,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('chesspiece (2).jpg', 0.9994464597613429)","('bat (2).jpg', 0.8570320106279524)","('bat (2).jpg', 0.8546704936554497)","('bat (2).jpg', 0.8546704936554497)","('toothbrush (2).jpg', 0.9565691670415108)","('toothbrush (2).jpg', 0.9565616169478898)","('toothbrush (2).jpg', 0.9565616169478898)","('toothbrush (2).jpg', 0.9702490844692556)","('toothbrush (2).jpg', 0.973344491429832)","('laundry (2).jpg', 0.9674654631355778)","('laundry (2).jpg', 0.9724155507268097)","('rainboots (2).jpg', 1.1416432103911551)","('rainboots (2).jpg', 1.1368567041987028)"
1,"('basketball (2).jpg', 0.9997409806202358)","('toothbrush (2).jpg', 0.8883381992066182)","('toothbrush (2).jpg', 0.8873141616360029)","('toothbrush (2).jpg', 0.8873141616360029)","('lego (2).jpg', 0.9884341013104956)","('lego (2).jpg', 0.9884228441285002)","('lego (2).jpg', 0.9884228441285002)","('nail (2).jpg', 0.9907193836611156)","('nail (2).jpg', 0.9818936128179365)","('rainboots (2).jpg', 1.0949648228520361)","('rainboots (2).jpg', 1.118857823831987)","('basketballrim (2).jpg', 1.1960579960959392)","('basketballrim (2).jpg', 1.1831608835075194)"
2,"('easel (2).jpg', 1.0000091255569876)","('dustpan (2).jpg', 0.9343701029646304)","('dustpan (2).jpg', 0.9398168326888303)","('dustpan (2).jpg', 0.9398168326888303)","('nail (2).jpg', 0.9927406429637783)","('nail (2).jpg', 0.9927695402836495)","('nail (2).jpg', 0.9927695402836495)","('bat (2).jpg', 1.0126720371704467)","('bat (2).jpg', 1.0125513143418403)","('basketballrim (2).jpg', 1.1861331467948977)","('basketballrim (2).jpg', 1.1783097115917143)","('pokerchips (2).jpg', 1.2344032641203715)","('nail (2).jpg', 1.2593312451258407)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('fish (2).jpg', 0.9511833645481057)","('fish (2).jpg', 0.9502265189935549)","('fish (2).jpg', 0.9502265189935549)","('bat (2).jpg', 0.9932976849987472)","('bat (2).jpg', 0.9933115533366637)","('bat (2).jpg', 0.9933115533366637)","('dustpan (2).jpg', 1.013859662425393)","('dustpan (2).jpg', 1.020183570222833)","('parrot (2).jpg', 1.2632165497429058)","('parrot (2).jpg', 1.262587766041847)","('laundry (2).jpg', 1.2540392214024867)","('laundry (2).jpg', 1.2678514579192282)"
4,"('sofa (2).jpg', 1.0000091255569876)","('broom (2).jpg', 0.9547051808966611)","('broom (2).jpg', 0.9548880464403421)","('broom (2).jpg', 0.9548880464403421)","('laundry (2).jpg', 0.9967845955811607)","('laundry (2).jpg', 0.9967738649600582)","('laundry (2).jpg', 0.9967738649600582)","('ironing (2).jpg', 1.0222009011304618)","('ironing (2).jpg', 1.0252228385487505)","('sippycup (2).jpg', 1.2779457316988132)","('toothbrush (2).jpg', 1.2641899814571276)","('beachchair (2).jpg', 1.2581572725342876)","('pokerchips (2).jpg', 1.2696583851241647)"
5,"('chair (2).jpg', 1.0000091255569876)","('lego (2).jpg', 0.9642600598927304)","('lego (2).jpg', 0.9668547766236881)","('lego (2).jpg', 0.9668547766236881)","('balloon (2).jpg', 1.0009349681413628)","('balloon (2).jpg', 1.0009921135451845)","('balloon (2).jpg', 1.0009921135451845)","('balloon (2).jpg', 1.02362060830172)","('lego (2).jpg', 1.0293263498719665)","('cake (2).jpg', 1.2846656603952809)","('parkingmeter (2).jpg', 1.2974102434753998)","('medal (2).jpg', 1.260223212496892)","('beachchair (2).jpg', 1.2730055554402917)"
6,"('lamp (2).jpg', 1.0000091255569876)","('cake (2).jpg', 0.9950737971342389)","('cake (2).jpg', 0.9947409002318713)","('cake (2).jpg', 0.9947409002318713)","('dustpan (2).jpg', 1.0017864527776639)","('dustpan (2).jpg', 1.0017675421815753)","('dustpan (2).jpg', 1.0017675421815753)","('lego (2).jpg', 1.02404865448806)","('balloon (2).jpg', 1.0309103645903512)","('pokerchips (2).jpg', 1.2864756694376116)","('medal (2).jpg', 1.297609672534109)","('dustpan (2).jpg', 1.276478903232742)","('dustpan (2).jpg', 1.2812735245909435)"
7,"('key (2).jpg', 1.0000091255569876)","('washer (2).jpg', 0.9981361449633798)","('fridge (2).jpg', 0.9973366812984968)","('fridge (2).jpg', 0.9973366812984968)","('rainboots (2).jpg', 1.0051382179115815)","('rainboots (2).jpg', 1.0051182918127082)","('rainboots (2).jpg', 1.0051182918127082)","('broom (2).jpg', 1.026278734377225)","('garbagebin (2).jpg', 1.0311251514520716)","('medal (2).jpg', 1.2906333660555283)","('sippycup (2).jpg', 1.3002151962659152)","('ironing (2).jpg', 1.282847363562416)","('medal (2).jpg', 1.282007163470248)"
8,"('lock (2).jpg', 1.0000091255569876)","('fridge (2).jpg', 1.0001495326729453)","('washer (2).jpg', 1.000139648185286)","('washer (2).jpg', 1.000139648185286)","('broom (2).jpg', 1.0072618593609792)","('broom (2).jpg', 1.0072524515536505)","('broom (2).jpg', 1.0072524515536505)","('parkingmeter (2).jpg', 1.0290685039798828)","('parkingmeter (2).jpg', 1.0331149145522613)","('beachchair (2).jpg', 1.2915242786030463)","('beachchair (2).jpg', 1.3008659057078777)","('fishbowl (2).jpg', 1.29445143960064)","('ironing (2).jpg', 1.2900290753276753)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('bowlingball (2).jpg', 1.0021340219649622)","('bowlingball (2).jpg', 1.0013261031669567)","('bowlingball (2).jpg', 1.0013261031669567)","('cheesegrater (2).jpg', 1.0076924941211824)","('cheesegrater (2).jpg', 1.007679507223035)","('cheesegrater (2).jpg', 1.007679507223035)","('garbagebin (2).jpg', 1.030767294871139)","('beachpail (2).jpg', 1.034744490947604)","('parkingmeter (2).jpg', 1.2954825747504066)","('pokerchips (2).jpg', 1.3069374068576847)","('dumbbell (2).jpg', 1.3069591092115613)","('dumbbell (2).jpg', 1.3135033755610324)"
