,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('easel (2).jpg', 1.0000091255569876)","('rubberduck (2).jpg', 1.3270708971557104)","('rubberduck (2).jpg', 1.325505875029478)","('rubberduck (2).jpg', 1.325505875029478)","('tennisball (2).jpg', 1.1476860851916355)","('tennisball (2).jpg', 1.1476811236239652)","('tennisball (2).jpg', 1.1476811236239652)","('carpet (2).jpg', 1.198293535755842)","('carpet (2).jpg', 1.2296269756472271)","('carpet (2).jpg', 3.8382132194126473)","('carpet (2).jpg', 3.9689403013961555)","('carpet (2).jpg', 4.0903267124143)","('carpet (2).jpg', 4.0363586962083104)"
1,"('printer (2).jpg', 1.0000091255569876)","('fries (2).jpg', 1.3105436819419287)","('fries (2).jpg', 1.3067114119442413)","('fries (2).jpg', 1.3067114119442413)","('pants (2).jpg', 1.1354635364102903)","('pants (2).jpg', 1.13544690203251)","('pants (2).jpg', 1.13544690203251)","('remotecontrol (2).jpg', 1.184903587466569)","('remotecontrol (2).jpg', 1.219911126713295)","('remotecontrol (2).jpg', 3.156037014099581)","('remotecontrol (2).jpg', 3.3542979429311908)","('remotecontrol (2).jpg', 2.9190989331818433)","('remotecontrol (2).jpg', 3.2198341941249646)"
2,"('washer (2).jpg', 1.0000091255569876)","('pants (2).jpg', 1.2835978739586784)","('pants (2).jpg', 1.2829178534512553)","('pants (2).jpg', 1.2829178534512553)","('carpet (2).jpg', 1.121540861574033)","('carpet (2).jpg', 1.1215220462634938)","('carpet (2).jpg', 1.1215220462634938)","('lipstick (2).jpg', 1.1716230243383907)","('pants (2).jpg', 1.1973269571317078)","('lipstick (2).jpg', 2.5542140246831244)","('lipstick (2).jpg', 2.660687431300966)","('pizza (2).jpg', 2.843565641285705)","('pizza (2).jpg', 2.792569870780642)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('beachball (2).jpg', 1.2687857435010652)","('beachball (2).jpg', 1.2673713617886553)","('beachball (2).jpg', 1.2673713617886553)","('rubberduck (2).jpg', 1.1142230287174142)","('rubberduck (2).jpg', 1.114221169100356)","('rubberduck (2).jpg', 1.114221169100356)","('pants (2).jpg', 1.1667432085377218)","('lipstick (2).jpg', 1.1968056546633619)","('bag (2).jpg', 2.343072658688579)","('crib (2).jpg', 2.3762168128038574)","('burger (2).jpg', 2.5279333789186595)","('television (2).jpg', 2.570673080814424)"
4,"('sofa (2).jpg', 1.0000091255569876)","('tennisball (2).jpg', 1.2470068971579826)","('tennisball (2).jpg', 1.2428821491952589)","('tennisball (2).jpg', 1.2428821491952589)","('fries (2).jpg', 1.112819352782339)","('fries (2).jpg', 1.1128404012272786)","('fries (2).jpg', 1.1128404012272786)","('rubberduck (2).jpg', 1.1580499117780567)","('beachball (2).jpg', 1.181249630441669)","('pants (2).jpg', 2.288153774330074)","('pants (2).jpg', 2.376066762204916)","('television (2).jpg', 2.407240965219953)","('burger (2).jpg', 2.514701217307995)"
5,"('chair (2).jpg', 1.0000091255569876)","('pallette (2).jpg', 1.2063167822218237)","('cone (2).jpg', 1.2056638303368432)","('cone (2).jpg', 1.2056638303368432)","('remotecontrol (2).jpg', 1.1112404681425625)","('remotecontrol (2).jpg', 1.1112396566576674)","('remotecontrol (2).jpg', 1.1112396566576674)","('beachball (2).jpg', 1.1547439233455488)","('rubberduck (2).jpg', 1.179819954953479)","('crib (2).jpg', 2.2692582887090316)","('bag (2).jpg', 2.3505146611981353)","('rolette (2).jpg', 2.287936472076219)","('fridge (2).jpg', 2.3588111402154692)"
6,"('lamp (2).jpg', 1.0000091255569876)","('cone (2).jpg', 1.2059893830654627)","('pallette (2).jpg', 1.204483697560735)","('pallette (2).jpg', 1.204483697560735)","('beachball (2).jpg', 1.107637235755679)","('beachball (2).jpg', 1.1076284609976945)","('beachball (2).jpg', 1.1076284609976945)","('bag (2).jpg', 1.1500250928238938)","('bag (2).jpg', 1.1697919663301455)","('television (2).jpg', 2.263028993290878)","('television (2).jpg', 2.298009088912567)","('backhoe (2).jpg', 2.2862963327248425)","('rolette (2).jpg', 2.3268768575965937)"
7,"('key (2).jpg', 1.0000091255569876)","('carpet (2).jpg', 1.2017382077204692)","('carpet (2).jpg', 1.2003154089905168)","('carpet (2).jpg', 1.2003154089905168)","('bag (2).jpg', 1.1048804440067674)","('bag (2).jpg', 1.1048776518613665)","('bag (2).jpg', 1.1048776518613665)","('bike (2).jpg', 1.1476642398980197)","('bike (2).jpg', 1.1690106777227818)","('pizza (2).jpg', 2.2399190541516267)","('pizza (2).jpg', 2.2643732014540827)","('motorcycle (2).jpg', 2.2855621178610637)","('motorcycle (2).jpg', 2.2967895280595476)"
8,"('lock (2).jpg', 1.0000091255569876)","('burger (2).jpg', 1.1661725422522817)","('burger (2).jpg', 1.1645338106424648)","('burger (2).jpg', 1.1645338106424648)","('bike (2).jpg', 1.1037882626432867)","('bike (2).jpg', 1.1037844002843682)","('bike (2).jpg', 1.1037844002843682)","('roses (2).jpg', 1.1436632082976546)","('tennisball (2).jpg', 1.1653141234122462)","('trafficlight (2).jpg', 2.224787377563443)","('trafficlight (2).jpg', 2.24646352668513)","('fridge (2).jpg', 2.212008806182347)","('horse (2).jpg', 2.2942447310806036)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('television (2).jpg', 1.155934525535029)","('television (2).jpg', 1.1542481267638092)","('television (2).jpg', 1.1542481267638092)","('pizza (2).jpg', 1.1008206530959372)","('pizza (2).jpg', 1.10081103745371)","('pizza (2).jpg', 1.10081103745371)","('tennisball (2).jpg', 1.1428850624266171)","('ambulance (2).jpg', 1.1633707841328007)","('fridge (2).jpg', 2.1697736176741103)","('coatrack (2).jpg', 2.239087270284735)","('ambulance (2).jpg', 2.203597658142003)","('ambulance (2).jpg', 2.2698559676716403)"
