,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10
0,"('chesspiece (2).jpg', 0.9994464597613429)","('lego (2).jpg', 0.8835943681670675)","('cake (2).jpg', 0.9591554253880974)","('bat (2).jpg', 0.9593696269130029)","('bat (2).jpg', 0.9593696269130029)","('dustpan (2).jpg', 0.940419565904838)","('toothbrush (2).jpg', 0.936105424724551)","('rainboots (2).jpg', 1.0924236218826944)","('laundry (2).jpg', 1.264149730451838)","('laundry (2).jpg', 1.4356664532947012)","('laundry (2).jpg', 1.3078027667049392)","('laundry (2).jpg', 1.5231234380319307)"
1,"('basketball (2).jpg', 0.9997409806202358)","('balloon (2).jpg', 0.9318527182460656)","('fish (2).jpg', 0.9648303509797361)","('cake (2).jpg', 0.9607693125325361)","('cake (2).jpg', 0.9607693125325361)","('stroller (2).jpg', 0.9453813839650594)","('rainboots (2).jpg', 0.9981031693087525)","('ovenmitt (2).jpg', 1.0926948742144762)","('basketballrim (2).jpg', 1.3412165777471992)","('boxing_gloves (2).jpg', 1.6129740183731247)","('basketballrim (2).jpg', 1.3608126436020216)","('basketballrim (2).jpg', 1.6135983794455797)"
2,"('easel (2).jpg', 1.0000091255569876)","('stroller (2).jpg', 0.9455508879393001)","('toothbrush (2).jpg', 0.9662806347156191)","('toothbrush (2).jpg', 0.9634462507384818)","('toothbrush (2).jpg', 0.9634462507384818)","('lego (2).jpg', 0.9558961292114682)","('bat (2).jpg', 1.002504117687391)","('laundry (2).jpg', 1.119128677732597)","('chair (2).jpg', 1.345112657181984)","('cheesegrater (2).jpg', 1.6471165622886659)","('pokerchips (2).jpg', 1.386365379932776)","('pokerchips (2).jpg', 1.6533836651558935)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('broom (2).jpg', 0.9589715905500045)","('dustpan (2).jpg', 0.9663965720495398)","('fish (2).jpg', 0.9645857817792303)","('fish (2).jpg', 0.9645857817792303)","('bat (2).jpg', 0.9608273548759668)","('balloon (2).jpg', 1.011295960739974)","('medal (2).jpg', 1.1206231740088692)","('highchair (2).jpg', 1.4015993940084717)","('pokerchips (2).jpg', 1.658474307624693)","('boxing_gloves (2).jpg', 1.412780178446226)","('boxing_gloves (2).jpg', 1.7484580813345156)"
4,"('sofa (2).jpg', 1.0000091255569876)","('cake (2).jpg', 0.9589787170677934)","('bat (2).jpg', 0.9667552728317634)","('dumbbell (2).jpg', 0.9708886981258403)","('dumbbell (2).jpg', 0.9708886981258403)","('washer (2).jpg', 0.9765856605586631)","('umbrella (2).jpg', 1.0272422964785957)","('basketballrim (2).jpg', 1.123861828540246)","('trophy (2).jpg', 1.440864135104293)","('basketballrim (2).jpg', 1.66058268130622)","('cheesegrater (2).jpg', 1.4267699769890723)","('medal (2).jpg', 1.7837683905933113)"
5,"('chair (2).jpg', 1.0000091255569876)","('toothbrush (2).jpg', 0.9601310525165487)","('dumbbell (2).jpg', 0.9745211531573207)","('dustpan (2).jpg', 0.9718864175566064)","('dustpan (2).jpg', 0.9718864175566064)","('toothbrush (2).jpg', 0.9792124416840371)","('broom (2).jpg', 1.027823134570037)","('toothbrush (2).jpg', 1.1375176860106153)","('birdcage (2).jpg', 1.4495356941008213)","('anchor2.jpg', 1.713822194596593)","('anchor2.jpg', 1.4388114257740374)","('anchor2.jpg', 1.8058597255991253)"
6,"('lamp (2).jpg', 1.0000091255569876)","('dumbbell (2).jpg', 0.9761250457746854)","('lego (2).jpg', 0.975113556724603)","('balloon (2).jpg', 0.9738043763429984)","('balloon (2).jpg', 0.9738043763429984)","('dumbbell (2).jpg', 0.9879549072799135)","('fishbowl (2).jpg', 1.0359683399960444)","('nail (2).jpg', 1.1394219626110378)","('ironing (2).jpg', 1.4820848055344291)","('lego (2).jpg', 1.7404311707134505)","('lego (2).jpg', 1.4621837223013188)","('cheesegrater (2).jpg', 1.8143611144615504)"
7,"('key (2).jpg', 1.0000091255569876)","('dustpan (2).jpg', 0.9768659534711946)","('stroller (2).jpg', 0.9781730856848306)","('stroller (2).jpg', 0.9766873417446349)","('stroller (2).jpg', 0.9766873417446349)","('rainboots (2).jpg', 0.9968934409266524)","('washer (2).jpg', 1.036762686451714)","('fishbowl (2).jpg', 1.1424264229658703)","('rainboots (2).jpg', 1.4866221982951102)","('cheese (2).jpg', 1.7529258774039833)","('trophy (2).jpg', 1.467409665747839)","('birdcage (2).jpg', 1.8706041950923964)"
8,"('lock (2).jpg', 1.0000091255569876)","('washer (2).jpg', 0.9806111108559897)","('balloon (2).jpg', 0.9784128211493762)","('lego (2).jpg', 0.9804591379134929)","('lego (2).jpg', 0.9804591379134929)","('ovenmitt (2).jpg', 1.0008104402684153)","('bowlingpin (2).jpg', 1.0371999174448219)","('trophy (2).jpg', 1.1484945310006511)","('cheesegrater (2).jpg', 1.4883401977167088)","('barbie (2).jpg', 1.8168996154296846)","('medal (2).jpg', 1.4689266921934667)","('dustpan (2).jpg', 1.9005195869275644)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('bat (2).jpg', 0.9810450305394541)","('pokerchips (2).jpg', 0.9822139487057097)","('pokerchips (2).jpg', 0.9836518627027592)","('pokerchips (2).jpg', 0.9836518627027592)","('bowlingball (2).jpg', 1.003148928308141)","('ironing (2).jpg', 1.0417582002518013)","('kayak (2).jpg', 1.149403130014699)","('boxing_gloves (2).jpg', 1.4919578673643588)","('seashell (2).jpg', 1.8190454973489953)","('cheese (2).jpg', 1.4710320957217635)","('trophy (2).jpg', 1.905250820205245)"
