,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10
0,"('22chess', 0.9994710361086783)","('38groceryshopping', 0.8136715645016377)","('38groceryshopping', 0.8292918363560366)","('38groceryshopping', 0.8296854709630266)","('38groceryshopping', 0.8296854709630266)","('38groceryshopping', 0.874692109641509)","('38groceryshopping', 0.8169447186995871)","('01art', 0.6662240147450815)","('01art', 0.4919441229389224)","('62sushi', 0.641021289027018)","('62sushi', 0.8445590756628364)","('62sushi', 0.7498537694809093)"
1,"('06basketball', 0.9998742030873513)","('69tub', 0.8174143923134047)","('64tennis', 0.8681188762114608)","('69tub', 0.8556001073487324)","('69tub', 0.8556001073487324)","('69tub', 0.8936246929116478)","('05baseball', 0.866527349941169)","('38groceryshopping', 0.852900309287875)","('05baseball', 0.6854866311519598)","('67toy', 0.7771404473517199)","('29cooking', 0.8975254344098544)","('05baseball', 0.7914788760231191)"
2,"('01art', 1.0000091889294935)","('01art', 0.8765609515408351)","('69tub', 0.8706178556203517)","('64tennis', 0.8630210815321429)","('64tennis', 0.8630210815321429)","('64tennis', 0.9045427845939572)","('01art', 0.9061528308258814)","('22chess', 0.8601169892171608)","('12birdcage', 0.7051602256942837)","('12birdcage', 0.8063224215837432)","('05baseball', 0.9068524746710503)","('29cooking', 0.8164497438231711)"
3,"('52motorbike', 1.0000091889294935)","('23childEating', 0.9066214595959247)","('23childEating', 0.9192609778924379)","('23childEating', 0.9198517197700593)","('23childEating', 0.9198517197700593)","('01art', 0.9161422322735829)","('63teethhygene', 0.9211429451504225)","('62sushi', 0.8853530596063811)","('62sushi', 0.7168671767827002)","('29cooking', 0.8211498633516746)","('67toy', 0.9365828518281747)","('47laundry', 0.9010714756096421)"
4,"('51makeup', 1.0000091889294935)","('64tennis', 0.9074940446895389)","('21cheese', 0.9278809922390497)","('73winter', 0.9287453279053247)","('73winter', 0.9287453279053247)","('21cheese', 0.9243277019446048)","('59pizza', 0.9221090138316608)","('05baseball', 0.9004318246653511)","('33fishtank', 0.7335661486104905)","('37golf', 0.8758653401576666)","('12birdcage', 0.9412108915367065)","('44kayak', 0.9013962778398446)"
5,"('50lock', 1.0000091889294935)","('21cheese', 0.9181574829437449)","('73winter', 0.929765613007419)","('01art', 0.9288532043193278)","('01art', 0.9288532043193278)","('59pizza', 0.9301519014945248)","('67toy', 0.928853973177205)","('19carpet', 0.9058800886780082)","('19carpet', 0.8047744616752576)","('26coathanging', 0.8774516354847027)","('33fishtank', 0.9486990887155183)","('34football', 0.9051921231033603)"
6,"('49livingroom-chair', 1.0000091889294935)","('44kayak', 0.9365595467682523)","('01art', 0.9322966633250022)","('21cheese', 0.932112194849072)","('21cheese', 0.932112194849072)","('24cleaning', 0.9546071348314646)","('12birdcage', 0.9386374678303719)","('67toy', 0.9139358191998009)","('47laundry', 0.8264852051893182)","('49livingroom-chair', 0.8791306036576856)","('47laundry', 0.9566335558915223)","('12birdcage', 0.9212150785067647)"
7,"('48livingroom', 1.0000091889294935)","('73winter', 0.9482510686437086)","('59pizza', 0.9523618101965734)","('05baseball', 0.9526404922923078)","('05baseball', 0.9526404922923078)","('23childEating', 0.9560685239740662)","('64tennis', 0.9517001478347445)","('59pizza', 0.9244572835107707)","('59pizza', 0.84095473199246)","('47laundry', 0.8812602810080736)","('34football', 0.9569556632338112)","('33fishtank', 0.9221254236209668)"
8,"('47laundry', 1.0000091889294935)","('59pizza', 0.9487597016383654)","('33fishtank', 0.9593592813068771)","('59pizza', 0.9534841451401257)","('59pizza', 0.9534841451401257)","('19carpet', 0.9697370233940178)","('73winter', 0.9540179905204492)","('21cheese', 0.9403142763028054)","('13birds', 0.8470804018418768)","('44kayak', 0.8846684169199746)","('49livingroom-chair', 0.9907191921812074)","('67toy', 0.9369525017824694)"
9,"('46kitchen2', 1.0000091889294935)","('05baseball', 0.9615399408402374)","('24cleaning', 0.9620603635624911)","('24cleaning', 0.9559331653505122)","('24cleaning', 0.9559331653505122)","('73winter', 0.975551342583634)","('69tub', 0.9546791139346702)","('28construction', 0.9429739572523134)","('68toys', 0.877958841786563)","('68toys', 0.8851645571768916)","('44kayak', 0.9915890755704081)","('19carpet', 0.9528110806256536)"
