,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10
0,"('01art', 1.0000091889294935)","('17burger', 1.1809818221196218)","('08beachball-pail', 1.2093396175996913)","('08beachball-pail', 1.2136133187872065)","('08beachball-pail', 1.2136133187872065)","('08beachball-pail', 1.176085497543953)","('30emergency', 1.1287815919459683)","('53ocean', 1.2820729312821755)","('32farm_animals', 1.6147311418009462)","('45kitchen', 1.886300006749915)","('24cleaning', 1.5681896902863763)","('64tennis', 2.1536668268650514)"
1,"('38groceryshopping', 1.0000091889294935)","('08beachball-pail', 1.1676658715818584)","('03backyard', 1.1547855996979268)","('03backyard', 1.1536719442882142)","('03backyard', 1.1536719442882142)","('17burger', 1.1725156051124228)","('46kitchen2', 1.1235934174294198)","('45kitchen', 1.2770275211541195)","('41hiking', 1.5934756260997676)","('24cleaning', 1.842714173817019)","('45kitchen', 1.56164665310585)","('60street', 2.148654647401653)"
2,"('54office_supply', 1.0000091889294935)","('03backyard', 1.153411244878619)","('18car', 1.1330827232783265)","('17burger', 1.1339434975933427)","('17burger', 1.1339434975933427)","('57pancakes', 1.1393854686798908)","('03backyard', 1.1205857768962149)","('55office-computer-printer', 1.270461239138753)","('53ocean', 1.5851671743992983)","('60street', 1.7951427692784652)","('64tennis', 1.537326573009856)","('45kitchen', 2.107081735928381)"
3,"('53ocean', 1.0000091889294935)","('71valentines', 1.147559643421798)","('17burger', 1.1324984951371238)","('45kitchen', 1.1326460884298886)","('45kitchen', 1.1326460884298886)","('03backyard', 1.1286553380436666)","('45kitchen', 1.1090020251989638)","('32farm_animals', 1.2603276644577166)","('45kitchen', 1.5295789470113617)","('66tools', 1.76496555409319)","('60street', 1.5133168797701873)","('24cleaning', 2.032666457420993)"
4,"('52motorbike', 1.0000091889294935)","('18car', 1.1381728680068084)","('45kitchen', 1.1239212586024867)","('18car', 1.1325017581518395)","('18car', 1.1325017581518395)","('18car', 1.123452998029716)","('53ocean', 1.1070472428045446)","('08beachball-pail', 1.2239328187481802)","('66tools', 1.5139222714943075)","('52motorbike', 1.7583114739759096)","('66tools', 1.5011679106660158)","('66tools', 1.9624690832674272)"
5,"('51makeup', 1.0000091889294935)","('57pancakes', 1.1199029897955317)","('71valentines', 1.1134513304592775)","('65toilet', 1.119196450053184)","('65toilet', 1.119196450053184)","('71valentines', 1.1190372750559814)","('48livingroom', 1.1021362921006919)","('41hiking', 1.2176679927795504)","('55office-computer-printer', 1.503573936518793)","('51makeup', 1.739510728410432)","('52motorbike', 1.4921368989948072)","('51makeup', 1.9290817310724282)"
6,"('50lock', 1.0000091889294935)","('65toilet', 1.1187746517046058)","('65toilet', 1.1096078527110167)","('71valentines', 1.1142259031879702)","('71valentines', 1.1142259031879702)","('60street', 1.1027341215418267)","('20casino', 1.101028689346399)","('18car', 1.2039432554417413)","('17burger', 1.4467626948322072)","('64tennis', 1.7212974613146217)","('51makeup', 1.4486395892209567)","('52motorbike', 1.8392471935550778)"
7,"('49livingroom-chair', 1.0000091889294935)","('45kitchen', 1.1176423460592249)","('42horseriding', 1.1076631892621374)","('10bed-dresser', 1.10847322980103)","('10bed-dresser', 1.10847322980103)","('45kitchen', 1.1004064471433745)","('07bathrobe-slippers', 1.1004562656588845)","('65toilet', 1.1944635881059484)","('50lock', 1.4346050038518325)","('63teethhygene', 1.706257322198995)","('63teethhygene', 1.4239411715771242)","('63teethhygene', 1.7259776314043156)"
8,"('48livingroom', 1.0000091889294935)","('14boat', 1.1164008281980573)","('10bed-dresser', 1.1073147506534782)","('42horseriding', 1.1069884213839518)","('42horseriding', 1.1069884213839518)","('65toilet', 1.0981502185149767)","('17burger', 1.099794671692918)","('37golf', 1.1892094960537967)","('65toilet', 1.4110956122778318)","('30emergency', 1.663599702106177)","('30emergency', 1.3969394446661845)","('30emergency', 1.6959969946424125)"
9,"('47laundry', 1.0000091889294935)","('42horseriding', 1.1135993422701909)","('14boat', 1.1061251694744545)","('14boat', 1.1069216415282384)","('14boat', 1.1069216415282384)","('46kitchen2', 1.094675115157461)","('42horseriding', 1.0911156216968003)","('30emergency', 1.183282414579804)","('07bathrobe-slippers', 1.3920159964123175)","('65toilet', 1.6316247589804616)","('56office-desk-chair', 1.3665037394436965)","('56office-desk-chair', 1.6837270152372004)"
