,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('easel (2).jpg', 1.0000091255569876)","('pallette (2).jpg', 1.2079033897898064)","('bike (2).jpg', 1.1839598434280276)","('bike (2).jpg', 1.1840005345701134)","('bike (2).jpg', 1.1840005345701134)","('lamp (2).jpg', 1.4071836632722092)","('carpet (2).jpg', 1.3474033904604423)","('rolette (2).jpg', 2.551401141838727)","('burger (2).jpg', 1.2832467437077386)","('burger (2).jpg', 1.0405094045208003)"
1,"('printer (2).jpg', 1.0000091255569876)","('fries (2).jpg', 1.2070291735777947)","('lamp (2).jpg', 1.1546942617164073)","('lamp (2).jpg', 1.1547869912230972)","('lamp (2).jpg', 1.1547869912230972)","('carpet (2).jpg', 1.3421468695505785)","('bike (2).jpg', 1.2875872493561307)","('bike (2).jpg', 2.4750265356127548)","('mailbox (2).jpg', 1.2191204231439468)","('motorcycle (2).jpg', 1.0349752520270097)"
2,"('washer (2).jpg', 1.0000091255569876)","('beachball (2).jpg', 1.2053831659752798)","('carpet (2).jpg', 1.1504131448629067)","('carpet (2).jpg', 1.1503894337058587)","('carpet (2).jpg', 1.1503894337058587)","('bike (2).jpg', 1.3112767461897534)","('rubberduck (2).jpg', 1.2762304310360506)","('helm2.jpg', 2.1060509189945877)","('rolette (2).jpg', 1.2103159590194807)","('bike (2).jpg', 1.0348708650857992)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('tennisball (2).jpg', 1.2041921972262426)","('rubberduck (2).jpg', 1.1224233262317924)","('rubberduck (2).jpg', 1.1223969808396599)","('rubberduck (2).jpg', 1.1223969808396599)","('rubberduck (2).jpg', 1.3068555230659062)","('pizza (2).jpg', 1.232362264054942)","('horse (2).jpg', 2.061706846412875)","('bike (2).jpg', 1.2049545350177908)","('horse (2).jpg', 1.0338421900770003)"
4,"('sofa (2).jpg', 1.0000091255569876)","('rubberduck (2).jpg', 1.1707341260682387)","('pizza (2).jpg', 1.113666089619449)","('pizza (2).jpg', 1.113614967944769)","('pizza (2).jpg', 1.113614967944769)","('coatrack (2).jpg', 1.2513248477231362)","('lamp (2).jpg', 1.1993925148074165)","('chicken (2).jpg', 2.0382016326442516)","('ambulance (2).jpg', 1.1933092422015805)","('rolette (2).jpg', 1.0325445756145326)"
5,"('chair (2).jpg', 1.0000091255569876)","('train (2).jpg', 1.120739810140206)","('easel (2).jpg', 1.1120340316617714)","('easel (2).jpg', 1.1121543331111379)","('easel (2).jpg', 1.1121543331111379)","('television (2).jpg', 1.228931720487676)","('burger (2).jpg', 1.1885463766905457)","('coatrack (2).jpg', 1.9834598417809797)","('coatrack (2).jpg', 1.1808173190627997)","('ambulance (2).jpg', 1.031022020730518)"
6,"('lamp (2).jpg', 1.0000091255569876)","('carpet (2).jpg', 1.1175638633847023)","('pants (2).jpg', 1.111653077595383)","('pants (2).jpg', 1.111667374780595)","('pants (2).jpg', 1.111667374780595)","('beachball (2).jpg', 1.2167558819828301)","('train (2).jpg', 1.1859880266268201)","('doll (2).jpg', 1.9588555546950446)","('tractor (2).jpg', 1.1778007892851567)","('tractor (2).jpg', 1.0283826227747805)"
7,"('key (2).jpg', 1.0000091255569876)","('burger (2).jpg', 1.1142836240064788)","('tennisball (2).jpg', 1.1028505031529146)","('tennisball (2).jpg', 1.10287257116391)","('tennisball (2).jpg', 1.10287257116391)","('mailbox (2).jpg', 1.2071132598907044)","('chess (2).jpg', 1.177702190749065)","('pizza (2).jpg', 1.9560549152021656)","('bag (2).jpg', 1.1739289625419154)","('backhoe (2).jpg', 1.0276347676040312)"
8,"('lock (2).jpg', 1.0000091255569876)","('bag (2).jpg', 1.1116286322754274)","('paper (2).jpg', 1.100743331688948)","('paper (2).jpg', 1.1007655631911313)","('paper (2).jpg', 1.1007655631911313)","('paper (2).jpg', 1.193008798150456)","('excersiceequipment (2).jpg', 1.1764987721044537)","('bowlingpin (2).jpg', 1.9559907268185663)","('bowlingpin (2).jpg', 1.1736478222777322)","('coatrack (2).jpg', 1.0275374949116818)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('pizza (2).jpg', 1.1088578519242778)","('pancake (2).jpg', 1.0969448429964317)","('beachball (2).jpg', 1.0969239321183102)","('beachball (2).jpg', 1.0969239321183102)","('pizza (2).jpg', 1.1928004337192089)","('basketball (2).jpg', 1.173162350040476)","('tractor (2).jpg', 1.9320129466415885)","('horse (2).jpg', 1.1736086004510866)","('handgun1 (2).JPG', 1.0273566944245265)"
