,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece (2).jpg', 0.9994464597613429)","('lego (2).jpg', 0.9024987676623721)","('stove (2).jpg', 0.9717313457792299)","('stove (2).jpg', 0.9717272390793416)","('stove (2).jpg', 0.9717272390793416)","('umbrella (2).jpg', 0.976075611393347)","('computer (2).jpg', 1.0054498527662477)","('cheesegrater (2).jpg', 1.1145377988095089)","('basketballrim (2).jpg', 1.0026837713544927)","('basketballrim (2).jpg', 1.0053705509505184)"
1,"('basketball (2).jpg', 0.9997409806202358)","('balloon (2).jpg', 0.9499515368490643)","('chopsticks (2).jpg', 0.975862642039191)","('chopsticks (2).jpg', 0.97583489464142)","('chopsticks (2).jpg', 0.97583489464142)","('balloon (2).jpg', 0.9888712843916463)","('washer (2).jpg', 1.0102888113759763)","('basketballrim (2).jpg', 1.175679310707485)","('cheesegrater (2).jpg', 1.0104858007010529)","('cheesegrater (2).jpg', 1.0057717730465685)"
2,"('easel (2).jpg', 1.0000091255569876)","('stroller (2).jpg', 0.9647977387189353)","('rearview_mirror (2).jpg', 0.9798862636975126)","('rearview_mirror (2).jpg', 0.9798424672977254)","('rearview_mirror (2).jpg', 0.9798424672977254)","('bathrobe (2).jpg', 1.0041535690800423)","('balloon (2).jpg', 1.010845281973741)","('laundry (2).jpg', 1.1844948914582556)","('dustpan (2).jpg', 1.0118581007931986)","('chair (2).jpg', 1.006551340718589)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('washer (2).jpg', 0.9719960766006739)","('bat (2).jpg', 0.9901901084421312)","('bat (2).jpg', 0.9904310407526448)","('bat (2).jpg', 0.9904310407526448)","('garbagebag (2).jpg', 1.0066758140466745)","('chair (2).jpg', 1.0253148693462528)","('ovenmitt (2).jpg', 1.2108541201382717)","('laundry (2).jpg', 1.013501184125792)","('dustpan (2).jpg', 1.0065697011956118)"
4,"('sofa (2).jpg', 1.0000091255569876)","('broom (2).jpg', 0.9803666892829331)","('bathrobe (2).jpg', 0.9945480026890339)","('bathrobe (2).jpg', 0.9945372038670609)","('bathrobe (2).jpg', 0.9945372038670609)","('fish (2).jpg', 1.010353900362581)","('bathrobe (2).jpg', 1.0321702699848896)","('chair (2).jpg', 1.2110921472668323)","('tub (2).jpg', 1.0245646150602603)","('ovenmitt (2).jpg', 1.0078476725324983)"
5,"('chair (2).jpg', 1.0000091255569876)","('beachpail (2).jpg', 0.9807642446174346)","('helmet (2).jpg', 0.9962982416709765)","('helmet (2).jpg', 0.9962959508881524)","('helmet (2).jpg', 0.9962959508881524)","('ironing (2).jpg', 1.0136191696004675)","('basketballrim (2).jpg', 1.0373956341842379)","('coffeemaker (2).jpg', 1.2270796236141701)","('ovenmitt (2).jpg', 1.0295818184660157)","('medal (2).jpg', 1.0080653183595532)"
6,"('lamp (2).jpg', 1.0000091255569876)","('toothbrush (2).jpg', 0.9833577023971376)","('strecher (2).jpg', 0.997814481285523)","('strecher (2).jpg', 0.9978242562540828)","('strecher (2).jpg', 0.9978242562540828)","('nail (2).jpg', 1.0201101213498764)","('dustpan (2).jpg', 1.039288077512571)","('ironing (2).jpg', 1.227117974349403)","('toiletseat (2).jpg', 1.035523163538233)","('trophy (2).jpg', 1.00825256600988)"
7,"('key (2).jpg', 1.0000091255569876)","('lifejacket (2).jpg', 0.9847743323301144)","('umbrella (2).jpg', 1.0016169114479174)","('umbrella (2).jpg', 1.0016040221115623)","('umbrella (2).jpg', 1.0016040221115623)","('desk (2).jpg', 1.0244742334231973)","('garbagebag (2).jpg', 1.0411801070860767)","('tub (2).jpg', 1.2574316319620258)","('cake (2).jpg', 1.0411988985011513)","('laundry (2).jpg', 1.0087477969014433)"
8,"('lock (2).jpg', 1.0000091255569876)","('bowlingball (2).jpg', 0.9850744956261202)","('garbagebag (2).jpg', 1.0056325810537599)","('garbagebag (2).jpg', 1.0056318545059841)","('garbagebag (2).jpg', 1.0056318545059841)","('computer (2).jpg', 1.0282615947767522)","('cheesegrater (2).jpg', 1.0422102405620117)","('boxing_gloves (2).jpg', 1.2583668863469866)","('lego (2).jpg', 1.0429899832545866)","('pokerchips (2).jpg', 1.008941945359407)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('crib (2).jpg', 0.9924925642177962)","('fishbowl (2).jpg', 1.0072847272049978)","('fishbowl (2).jpg', 1.00728612159708)","('fishbowl (2).jpg', 1.00728612159708)","('cheesegrater (2).jpg', 1.0315413924473977)","('fish (2).jpg', 1.0439916751520848)","('birdcage (2).jpg', 1.263196233936095)","('boxing_gloves (2).jpg', 1.043921344022532)","('dishrack (2).jpg', 1.0092027699148263)"
