,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('01art', 1.0000091889294935)","('17burger', 1.0666135194730846)","('08beachball-pail', 1.1196074424521998)","('08beachball-pail', 1.120026440628276)","('08beachball-pail', 1.120026440628276)","('08beachball-pail', 1.2015169647296462)","('30emergency', 1.1637687638748775)","('32farm_animals', 1.253680893389241)","('66tools', 1.3819098520416062)","('45kitchen', 1.0224076489965384)"
1,"('38groceryshopping', 1.0000091889294935)","('18car', 1.0644031408447963)","('50lock', 1.1098959369098877)","('50lock', 1.1102408726628192)","('50lock', 1.1102408726628192)","('53ocean', 1.1829658415758426)","('71valentines', 1.1555203967334366)","('20casino', 1.2401929641951737)","('07bathrobe-slippers', 1.1891146704859263)","('64tennis', 1.0210123932372683)"
2,"('54office_supply', 1.0000091889294935)","('03backyard', 1.0611512596998265)","('42horseriding', 1.0993412443535553)","('42horseriding', 1.0995609738848309)","('42horseriding', 1.0995609738848309)","('69tub', 1.1828422882712193)","('53ocean', 1.1295683769864073)","('03backyard', 1.23933530528946)","('53ocean', 1.1832008908851246)","('53ocean', 1.0191920520426276)"
3,"('53ocean', 1.0000091889294935)","('08beachball-pail', 1.0559531219443725)","('20casino', 1.096276346939576)","('20casino', 1.096599931029057)","('20casino', 1.096599931029057)","('17burger', 1.1724546938059897)","('42horseriding', 1.1271240721252587)","('71valentines', 1.2280591273712773)","('32farm_animals', 1.1762594878526234)","('07bathrobe-slippers', 1.0172489093734849)"
4,"('52motorbike', 1.0000091889294935)","('71valentines', 1.0555598185300001)","('53ocean', 1.0809289733232756)","('53ocean', 1.0811166108933044)","('53ocean', 1.0811166108933044)","('42horseriding', 1.1692714875458166)","('37golf', 1.1184936525767064)","('63teethhygene', 1.2171436914224139)","('61street', 1.1523938403480811)","('31farm', 1.015329830486003)"
5,"('51makeup', 1.0000091889294935)","('42horseriding', 1.0529182923094256)","('41hiking', 1.0800397944178428)","('41hiking', 1.0802602858266883)","('41hiking', 1.0802602858266883)","('14boat', 1.167623805251482)","('56office-desk-chair', 1.1108400001744494)","('66tools', 1.1861973199432616)","('62sushi', 1.1501808555525344)","('32farm_animals', 1.014946201698294)"
6,"('50lock', 1.0000091889294935)","('14boat', 1.052333959619985)","('46kitchen2', 1.0799732551146184)","('46kitchen2', 1.0802472570060038)","('46kitchen2', 1.0802472570060038)","('30emergency', 1.166185997904296)","('20casino', 1.1103234653120548)","('48livingroom', 1.1822543384661701)","('30emergency', 1.13976208566909)","('50lock', 1.014688645466809)"
7,"('49livingroom-chair', 1.0000091889294935)","('37golf', 1.0500663039303444)","('71valentines', 1.0783446267618322)","('71valentines', 1.0785477592570594)","('71valentines', 1.0785477592570594)","('20casino', 1.1611444072335384)","('32farm_animals', 1.1081743469655332)","('24cleaning', 1.1809200718930022)","('42horseriding', 1.1341583118528051)","('14boat', 1.0145347076252118)"
8,"('48livingroom', 1.0000091889294935)","('11biking', 1.0496368219435994)","('14boat', 1.0754050121433447)","('14boat', 1.0754840321572512)","('14boat', 1.0754840321572512)","('71valentines', 1.1449112445890968)","('36gardening', 1.1062952526007397)","('31farm', 1.1729174430458453)","('14boat', 1.1328807172263193)","('46kitchen2', 1.0140201114294247)"
9,"('47laundry', 1.0000091889294935)","('65toilet', 1.0494789034012038)","('29cooking', 1.0744628388772306)","('29cooking', 1.0746901321012328)","('29cooking', 1.0746901321012328)","('46kitchen2', 1.1377396516885767)","('07bathrobe-slippers', 1.1025899596066848)","('68toys', 1.1636968511788244)","('49livingroom-chair', 1.1260988985673335)","('60street', 1.013789617321517)"
