,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat
0,ResNet18_Places365,0,0.9999999678519189,0.9966257159816903,0.9970439769790875,7.523311769765655e-06,1.000003435072519,0.4211065446746607,0.4200950883009479,4.243076271225954e-06,0.47394201909739964
1,ResNet18_Places365,1,1.0156606952648686,2.0262198864836474e-05,1.2576078273948171e-05,0.003408527353232185,1.0381757102619613,3.9339004077545334e-31,4.549255612321635e-33,0.0025471484232168044,2.768745163437175e-06
2,ResNet18_Places365,2,1.0129230123153743,6.57328046490118e-06,4.195555325817398e-06,0.0026389634538782577,1.0309913051429958,1.2056892919896255e-34,5.961666881980318e-36,0.0018923937269969134,3.104188249134625e-07
3,ResNet18_Places365,3,1.0128807110116975,5.336446064565408e-06,3.443274768456536e-06,0.00260106764892566,1.030837396924387,9.811262462675565e-35,4.4139583554350487e-36,0.0018788849934828814,2.343176833100946e-07
4,ResNet18_Places365,4,1.0128807110116975,5.336446064565408e-06,3.443274768456536e-06,0.00260106764892566,1.030837396924387,9.811262462675565e-35,4.4139583554350487e-36,0.0018788849934828814,2.343176833100946e-07
5,ResNet18_Places365,5,1.0316867104045873,0.00012638269838912206,5.153620112461107e-05,0.007764658313460439,1.0920571373926917,6.29759394908127e-38,1.0163083703273098e-39,0.005198879355672519,7.580632465056437e-09
6,ResNet18_Places365,6,1.0455360923370425,0.00024476282501542424,7.898595885043902e-05,0.011714966476501451,1.2249447423671345,5.119887263352136e-58,1.257127872396732e-60,0.008367819769770723,7.333617510237203e-17
7,ResNet18_Places365,7,1.1171101954962843,1.3064811102400233e-05,4.292449024095444e-06,0.024845638442179963,1.6208162602072103,7.135199240993243e-62,5.362745360251531e-70,0.02147576489490408,2.0482748321656233e-20
8,ResNet18_Places365,8,1.2080745473888153,7.946080407217517e-06,1.5517447970168766e-06,0.04293163136872048,2.169583170390151,1.7482291848003003e-45,5.603272989909271e-73,0.055896594870827335,9.629009818876889e-19
9,ResNet18_Places365,9,1.1529722770203426,1.7645269454162716e-05,2.903142137152293e-06,0.03302366865740955,1.8653035461345129,5.566574540516219e-40,2.54231169859957e-72,0.04662579084522714,6.869636673886277e-17
