,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('22chess', 0.9994710361086783)","('69tub', 0.8502215470150781)","('70tv', 0.7613295652802562)","('70tv', 0.7615388855243778)","('70tv', 0.7615388855243778)","('70tv', 0.8785769338647749)","('05baseball', 0.7759263892499089)","('05baseball', 0.6658933168669461)","('38groceryshopping', 0.9659483816321496)","('09beachumbrella-chair', 0.9974170078124035)"
1,"('06basketball', 0.9998742030873513)","('38groceryshopping', 0.8863631935814823)","('49livingroom-chair', 0.7925932190733116)","('49livingroom-chair', 0.7903505720645309)","('49livingroom-chair', 0.7903505720645309)","('49livingroom-chair', 0.8912514692690862)","('19carpet', 0.8131009832811349)","('59pizza', 0.7470473835456303)","('70tv', 0.9739902628618126)","('22chess', 0.9977233813254471)"
2,"('01art', 1.0000091889294935)","('64tennis', 0.9074202110946897)","('11biking', 0.864552647221338)","('11biking', 0.8639786704904122)","('11biking', 0.8639786704904122)","('64tennis', 0.8960459733579634)","('59pizza', 0.8406488381917034)","('22chess', 0.7737469976404483)","('21cheese', 0.980675351250224)","('28construction', 0.9979753065643596)"
3,"('52motorbike', 1.0000091889294935)","('01art', 0.914073006657825)","('06basketball', 0.8706181732579445)","('06basketball', 0.8706279797300214)","('06basketball', 0.8706279797300214)","('59pizza', 0.9015447600776717)","('15bowling', 0.8463668410277587)","('01art', 0.797107291657905)","('68toys', 0.9837564317118552)","('49livingroom-chair', 0.9979847214229812)"
4,"('51makeup', 1.0000091889294935)","('21cheese', 0.9324708966123785)","('64tennis', 0.8891071882240682)","('64tennis', 0.8883743902482928)","('64tennis', 0.8883743902482928)","('11biking', 0.9230550728663082)","('49livingroom-chair', 0.8721804517814317)","('44kayak', 0.8055123970555697)","('69tub', 0.984475548737163)","('24cleaning', 0.9980295032731596)"
5,"('50lock', 1.0000091889294935)","('44kayak', 0.9435884786399101)","('59pizza', 0.9202176947635299)","('59pizza', 0.9188670041905828)","('59pizza', 0.9188670041905828)","('15bowling', 0.9270340909384357)","('70tv', 0.8755811611617552)","('15bowling', 0.8308665386096513)","('34football', 0.9848565491191933)","('26coathanging', 0.9980761869777163)"
6,"('49livingroom-chair', 1.0000091889294935)","('59pizza', 0.9507172938779388)","('21cheese', 0.944026945923182)","('39gun', 0.9442446958100287)","('39gun', 0.9442446958100287)","('19carpet', 0.9455033698586219)","('22chess', 0.8855590573234315)","('19carpet', 0.8374540751107159)","('16boxing', 0.9857564464930955)","('68toys', 0.9981806793790668)"
7,"('48livingroom', 1.0000091889294935)","('23childEating', 0.958280483855073)","('39gun', 0.9475620950402092)","('21cheese', 0.9452261053487805)","('21cheese', 0.9452261053487805)","('05baseball', 0.948272546587812)","('01art', 0.8970069227992908)","('49livingroom-chair', 0.8475047840211318)","('24cleaning', 0.9864944156945072)","('05baseball', 0.9982963156969463)"
8,"('47laundry', 1.0000091889294935)","('73winter', 0.9591346911525277)","('15bowling', 0.9498446434483211)","('15bowling', 0.9512172252427276)","('15bowling', 0.9512172252427276)","('06basketball', 0.9507402025022522)","('51makeup', 0.9017941489125288)","('25clothing', 0.8522460207686501)","('64tennis', 0.9868531244002396)","('67toy', 0.9983021900684047)"
9,"('46kitchen2', 1.0000091889294935)","('05baseball', 0.9655293745435767)","('26coathanging', 0.9533701091555357)","('40gym', 0.9526761475443438)","('40gym', 0.9526761475443438)","('26coathanging', 0.9528456053438664)","('33fishtank', 0.9177865160491668)","('26coathanging', 0.8588342419198067)","('41hiking', 0.988164528639692)","('43ironing', 0.9983303623046496)"
