,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10,Layer20_bottom10,Layer21_bottom10,Layer22_bottom10,Layer23_bottom10,Layer24_bottom10,Layer25_bottom10,Layer26_bottom10,Layer27_bottom10,Layer28_bottom10,Layer29_bottom10,Layer30_bottom10,Layer31_bottom10,Layer32_bottom10,Layer33_bottom10,Layer34_bottom10,Layer35_bottom10,Layer36_bottom10,Layer37_bottom10
0,"('chesspiece (2).jpg', 0.9994464597613429)","('cake (2).jpg', 0.975700471545557)","('cake (2).jpg', 0.9756048786306479)","('lego (2).jpg', 0.8999822295222247)","('lego (2).jpg', 0.9000599641621047)","('lego (2).jpg', 0.9000599641621047)","('dumbbell (2).jpg', 0.8892363886210062)","('dumbbell (2).jpg', 0.8892474694479463)","('bat (2).jpg', 0.8149128435660551)","('bat (2).jpg', 0.814912833455171)","('bat (2).jpg', 0.814912833455171)","('toothbrush (2).jpg', 0.8839485398741032)","('toothbrush (2).jpg', 0.8839499664154025)","('toothbrush (2).jpg', 0.8684445850422711)","('toothbrush (2).jpg', 0.8683672997343064)","('toothbrush (2).jpg', 0.8921185612433892)","('toothbrush (2).jpg', 0.8921021016093005)","('toothbrush (2).jpg', 0.9706389229409024)","('toothbrush (2).jpg', 0.9706451752414629)","('toothbrush (2).jpg', 0.9706451752414629)","('nail (2).jpg', 1.0215641613393591)","('nail (2).jpg', 1.0218903021954893)","('laundry (2).jpg', 1.1011516809666775)","('laundry (2).jpg', 1.1014045692325016)","('nail (2).jpg', 1.2556887734262474)","('nail (2).jpg', 1.2581049379375056)","('laundry (2).jpg', 1.2422427913095366)","('laundry (2).jpg', 1.2487219886449015)","('laundry (2).jpg', 1.2487219886449015)","('basketballrim (2).jpg', 1.3031124137139622)","('basketballrim (2).jpg', 1.305637206575502)","('laundry (2).jpg', 1.3690114700509808)","('laundry (2).jpg', 1.381339084068308)","('laundry (2).jpg', 1.4279881902928515)","('laundry (2).jpg', 1.435814386249771)","('laundry (2).jpg', 1.7378421243974302)","('laundry (2).jpg', 1.8323340843391691)"
1,"('basketball (2).jpg', 0.9997409806202358)","('lego (2).jpg', 0.9762126525867343)","('lego (2).jpg', 0.9770485772701424)","('bat (2).jpg', 0.9161267148575043)","('bat (2).jpg', 0.9160131598071787)","('bat (2).jpg', 0.9160131598071787)","('bat (2).jpg', 0.8987701205600916)","('bat (2).jpg', 0.8984996511209723)","('toothbrush (2).jpg', 0.8850198957790619)","('toothbrush (2).jpg', 0.88501987955132)","('toothbrush (2).jpg', 0.88501987955132)","('bat (2).jpg', 0.8941331014753996)","('bat (2).jpg', 0.894148671539083)","('bat (2).jpg', 0.9908025688779527)","('bat (2).jpg', 0.9905097654167226)","('nail (2).jpg', 0.984470876812854)","('nail (2).jpg', 0.9845193495721414)","('fishbowl (2).jpg', 1.0227079796959266)","('fishbowl (2).jpg', 1.022716114159708)","('fishbowl (2).jpg', 1.022716114159708)","('toothbrush (2).jpg', 1.082734854049825)","('toothbrush (2).jpg', 1.0815765582686951)","('nail (2).jpg', 1.1118486086095507)","('nail (2).jpg', 1.113194182749686)","('ovenmitt (2).jpg', 1.279597797643612)","('ovenmitt (2).jpg', 1.28023682875756)","('nail (2).jpg', 1.2490791150356602)","('nail (2).jpg', 1.2513014642571922)","('nail (2).jpg', 1.2513014642571922)","('laundry (2).jpg', 1.3107573675649886)","('laundry (2).jpg', 1.3139603286355044)","('basketballrim (2).jpg', 1.472289787385027)","('basketballrim (2).jpg', 1.4784274629086933)","('basketballrim (2).jpg', 1.4612907096793688)","('basketballrim (2).jpg', 1.475078555180737)","('basketballrim (2).jpg', 1.7988314666083896)","('basketballrim (2).jpg', 1.85410608765067)"
2,"('easel (2).jpg', 1.0000091255569876)","('balloon (2).jpg', 0.9845928363035327)","('balloon (2).jpg', 0.9844774312723338)","('cake (2).jpg', 0.9417756246096491)","('cake (2).jpg', 0.9418740365562681)","('cake (2).jpg', 0.9418740365562681)","('toothbrush (2).jpg', 0.9233232345039751)","('toothbrush (2).jpg', 0.9233337503169465)","('broom (2).jpg', 0.95669230694981)","('broom (2).jpg', 0.9566922849320586)","('broom (2).jpg', 0.9566922849320586)","('nail (2).jpg', 1.0114105128610653)","('nail (2).jpg', 1.0114955014530262)","('nail (2).jpg', 0.9920761524104994)","('nail (2).jpg', 0.9920739029004584)","('bat (2).jpg', 1.0076613524896578)","('bat (2).jpg', 1.0077298951083484)","('rainboots (2).jpg', 1.0324496165938273)","('rainboots (2).jpg', 1.0324643968035607)","('rainboots (2).jpg', 1.0324643968035607)","('fishbowl (2).jpg', 1.0844303908261348)","('fishbowl (2).jpg', 1.084419856242473)","('fishbowl (2).jpg', 1.1202084019581156)","('fishbowl (2).jpg', 1.1223962658846727)","('basketballrim (2).jpg', 1.284399532238213)","('basketballrim (2).jpg', 1.2859940318700631)","('chair (2).jpg', 1.359146585380085)","('chair (2).jpg', 1.3642190130725949)","('chair (2).jpg', 1.3642190130725949)","('nail (2).jpg', 1.3329336378545527)","('nail (2).jpg', 1.3365106046167068)","('chair (2).jpg', 1.563198956142035)","('chair (2).jpg', 1.575628029817)","('dustpan (2).jpg', 1.6924784226204204)","('dustpan (2).jpg', 1.7114861359826854)","('dustpan (2).jpg', 1.905632331304922)","('dustpan (2).jpg', 1.9949108204937078)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('trafficlight (2).jpg', 0.9856942817635925)","('trafficlight (2).jpg', 0.9854354454056058)","('chopsticks (2).jpg', 0.9428568565777367)","('chopsticks (2).jpg', 0.9428489329119564)","('chopsticks (2).jpg', 0.9428489329119564)","('dustpan (2).jpg', 0.9341472512071111)","('dustpan (2).jpg', 0.9341546708002095)","('balloon (2).jpg', 0.9825446628750585)","('balloon (2).jpg', 0.982544618559777)","('balloon (2).jpg', 0.982544618559777)","('washer (2).jpg', 1.0157958950848753)","('washer (2).jpg', 1.0157978230765028)","('fishbowl (2).jpg', 0.9997652890183669)","('fishbowl (2).jpg', 0.9997598944332987)","('balloon (2).jpg', 1.0459846151184586)","('balloon (2).jpg', 1.0459862628047083)","('balloon (2).jpg', 1.0710465250422212)","('balloon (2).jpg', 1.071052526690365)","('balloon (2).jpg', 1.071052526690365)","('laundry (2).jpg', 1.1203144210180906)","('laundry (2).jpg', 1.1204386301483573)","('cake (2).jpg', 1.1999302497111952)","('cake (2).jpg', 1.2011026446395558)","('laundry (2).jpg', 1.2934042913103156)","('laundry (2).jpg', 1.2949068013241367)","('dustpan (2).jpg', 1.3659615707363404)","('dustpan (2).jpg', 1.365771776146469)","('dustpan (2).jpg', 1.365771776146469)","('ironing (2).jpg', 1.4696899803447026)","('ironing (2).jpg', 1.4712675603314762)","('dumbbell (2).jpg', 1.5990610292078413)","('dumbbell (2).jpg', 1.613415587628034)","('chair (2).jpg', 1.758046104332987)","('chair (2).jpg', 1.7823199273486139)","('cheesegrater (2).jpg', 2.2135024172388267)","('cheesegrater (2).jpg', 2.2643723210473086)"
4,"('sofa (2).jpg', 1.0000091255569876)","('garbagebin (2).jpg', 0.985859578469498)","('garbagebin (2).jpg', 0.9862951676180804)","('toothbrush (2).jpg', 0.9442291442373777)","('toothbrush (2).jpg', 0.9442818141984234)","('toothbrush (2).jpg', 0.9442818141984234)","('ovenmitt (2).jpg', 0.9534352930493795)","('ovenmitt (2).jpg', 0.9534337300577633)","('rainboots (2).jpg', 1.0005491952241496)","('rainboots (2).jpg', 1.0005491420264838)","('rainboots (2).jpg', 1.0005491420264838)","('rainboots (2).jpg', 1.0238959215497758)","('rainboots (2).jpg', 1.0238958289731468)","('balloon (2).jpg', 1.0268876099621813)","('balloon (2).jpg', 1.0268953049032565)","('cheesegrater (2).jpg', 1.0549768795560726)","('cheesegrater (2).jpg', 1.0548255595663611)","('sushi (2).jpg', 1.0804553353490676)","('sushi (2).jpg', 1.0804713153202312)","('sushi (2).jpg', 1.0804713153202312)","('rainboots (2).jpg', 1.1364266909301073)","('rainboots (2).jpg', 1.13661712686336)","('medal (2).jpg', 1.2100740657339566)","('toothbrush (2).jpg', 1.209282742175722)","('medal (2).jpg', 1.3096641749471738)","('medal (2).jpg', 1.3112685692826962)","('basketballrim (2).jpg', 1.3771929810774295)","('basketballrim (2).jpg', 1.3791350089353116)","('basketballrim (2).jpg', 1.3791350089353116)","('dumbbell (2).jpg', 1.4775314698764463)","('dumbbell (2).jpg', 1.4807671686146056)","('dustpan (2).jpg', 1.6148444586690462)","('dustpan (2).jpg', 1.6286078481436939)","('cheesegrater (2).jpg', 1.8294753867909006)","('cheesegrater (2).jpg', 1.8537228020285397)","('can (2).jpg', 2.2355403090518533)","('can (2).jpg', 2.340651026599732)"
5,"('chair (2).jpg', 1.0000091255569876)","('broom (2).jpg', 0.9885178343249994)","('broom (2).jpg', 0.9883225855832123)","('broom (2).jpg', 0.9515112531896281)","('broom (2).jpg', 0.9515571028481332)","('broom (2).jpg', 0.9515571028481332)","('bowlingball (2).jpg', 0.9801506124174237)","('bowlingball (2).jpg', 0.9801595002286816)","('dustpan (2).jpg', 1.0028023666974601)","('dustpan (2).jpg', 1.0028023690648977)","('dustpan (2).jpg', 1.0028023690648977)","('computer (2).jpg', 1.0287782873435778)","('computer (2).jpg', 1.0287799381909948)","('rainboots (2).jpg', 1.0328022774450345)","('rainboots (2).jpg', 1.032808231081565)","('fishbowl (2).jpg', 1.059770869343465)","('fishbowl (2).jpg', 1.0597673192936816)","('nail (2).jpg', 1.081968105352268)","('nail (2).jpg', 1.082494640667818)","('nail (2).jpg', 1.082494640667818)","('dustpan (2).jpg', 1.1616037902227034)","('dustpan (2).jpg', 1.1610838325410746)","('toothbrush (2).jpg', 1.2185089531990532)","('medal (2).jpg', 1.2109224195094233)","('dumbbell (2).jpg', 1.319794160296714)","('dumbbell (2).jpg', 1.3215239841465547)","('ovenmitt (2).jpg', 1.3921976936336566)","('ovenmitt (2).jpg', 1.3954857486977286)","('ovenmitt (2).jpg', 1.3954857486977286)","('birdcage (2).jpg', 1.4941389002087682)","('birdcage (2).jpg', 1.493356406293435)","('can (2).jpg', 1.6646841470724891)","('can (2).jpg', 1.681495754015814)","('dumbbell (2).jpg', 1.836830760404604)","('pokerchips (2).jpg', 1.8569770702089878)","('medal (2).jpg', 2.243836126205609)","('dumbbell (2).jpg', 2.376775242357017)"
6,"('lamp (2).jpg', 1.0000091255569876)","('stroller (2).jpg', 0.9887049495486918)","('stroller (2).jpg', 0.988825156882032)","('rainboots (2).jpg', 0.9549377627988903)","('rainboots (2).jpg', 0.955010978472145)","('rainboots (2).jpg', 0.955010978472145)","('cake (2).jpg', 0.9866379557686185)","('cake (2).jpg', 0.9866421212285735)","('lego (2).jpg', 1.0248082917851995)","('lego (2).jpg', 1.0248082561121037)","('lego (2).jpg', 1.0248082561121037)","('broom (2).jpg', 1.032021870700438)","('broom (2).jpg', 1.0320240157424774)","('broom (2).jpg', 1.051277559057043)","('broom (2).jpg', 1.051288915240429)","('broom (2).jpg', 1.0631964203190576)","('broom (2).jpg', 1.0632020586707995)","('laundry (2).jpg', 1.0853020396698907)","('laundry (2).jpg', 1.0853157411587868)","('laundry (2).jpg', 1.0853157411587868)","('sippycup (2).jpg', 1.169135238172073)","('sippycup (2).jpg', 1.168935924129335)","('dustpan (2).jpg', 1.2212938506741668)","('dustpan (2).jpg', 1.2186102352304418)","('fishbowl (2).jpg', 1.3283815603221474)","('fishbowl (2).jpg', 1.331065278255488)","('birdcage (2).jpg', 1.4022173249188181)","('ironing (2).jpg', 1.404453579653673)","('ironing (2).jpg', 1.404453579653673)","('boxing_gloves (2).jpg', 1.507970732413961)","('boxing_gloves (2).jpg', 1.5103386511371282)","('pokerchips (2).jpg', 1.6954132553763752)","('pokerchips (2).jpg', 1.7056355458713606)","('highchair (2).jpg', 1.8459725161487133)","('dumbbell (2).jpg', 1.860865034754199)","('dumbbell (2).jpg', 2.2453930563186693)","('chair (2).jpg', 2.387377067101006)"
7,"('key (2).jpg', 1.0000091255569876)","('toothbrush (2).jpg', 0.9901673866748002)","('toothbrush (2).jpg', 0.9903404427413213)","('bowlingball (2).jpg', 0.9554760446471758)","('bowlingball (2).jpg', 0.9555359944203985)","('bowlingball (2).jpg', 0.9555359944203985)","('lego (2).jpg', 0.9882714826291015)","('lego (2).jpg', 0.9882804131909513)","('washer (2).jpg', 1.0271304475373837)","('washer (2).jpg', 1.0271304499881817)","('washer (2).jpg', 1.0271304499881817)","('balloon (2).jpg', 1.032335785185294)","('balloon (2).jpg', 1.0323377755840408)","('cake (2).jpg', 1.0647664932198693)","('cake (2).jpg', 1.0647673381211369)","('washer (2).jpg', 1.071808443071404)","('washer (2).jpg', 1.0718138994187598)","('cake (2).jpg', 1.0854125857656558)","('cake (2).jpg', 1.0854311407524657)","('cake (2).jpg', 1.0854311407524657)","('cheesegrater (2).jpg', 1.1796274319121713)","('cheesegrater (2).jpg', 1.179564643144779)","('ovenmitt (2).jpg', 1.242392814353855)","('ovenmitt (2).jpg', 1.2437527522631038)","('chair (2).jpg', 1.3310099658487864)","('chair (2).jpg', 1.333178044105793)","('ironing (2).jpg', 1.4024442924431175)","('birdcage (2).jpg', 1.4074911468682714)","('birdcage (2).jpg', 1.4074911468682714)","('dustpan (2).jpg', 1.5085539220525195)","('dustpan (2).jpg', 1.5105138346627658)","('ironing (2).jpg', 1.7047821216921626)","('ironing (2).jpg', 1.7196209175318315)","('pokerchips (2).jpg', 1.8480824461902663)","('highchair (2).jpg', 1.875611651912272)","('chair (2).jpg', 2.252125176158604)","('medal (2).jpg', 2.394725846044411)"
8,"('lock (2).jpg', 1.0000091255569876)","('pokerchips (2).jpg', 0.9928674888148535)","('pokerchips (2).jpg', 0.9927050595905941)","('dumbbell (2).jpg', 0.9575574007672031)","('dumbbell (2).jpg', 0.9575762094988761)","('dumbbell (2).jpg', 0.9575762094988761)","('balloon (2).jpg', 0.9958414398291595)","('balloon (2).jpg', 0.9958450356388577)","('trafficlight (2).jpg', 1.0275261942361325)","('trafficlight (2).jpg', 1.0275261455945162)","('trafficlight (2).jpg', 1.0275261455945162)","('punchingbag (2).jpg', 1.0457166391005401)","('punchingbag (2).jpg', 1.0457188869566094)","('tub (2).jpg', 1.067952432833111)","('tub (2).jpg', 1.0679527416959753)","('cake (2).jpg', 1.0722374877221565)","('cake (2).jpg', 1.0722356207990094)","('bat (2).jpg', 1.0871181053978867)","('bat (2).jpg', 1.0876094522348683)","('bat (2).jpg', 1.0876094522348683)","('anchor2.jpg', 1.1826748690742328)","('anchor2.jpg', 1.1828935274293424)","('rainboots (2).jpg', 1.2500105425552808)","('rainboots (2).jpg', 1.251773728906897)","('can (2).jpg', 1.3425719271356176)","('can (2).jpg', 1.3423567452157037)","('hairdryer (2).jpg', 1.4063239689115694)","('hairdryer (2).jpg', 1.411179633737246)","('hairdryer (2).jpg', 1.411179633737246)","('chair (2).jpg', 1.5121253154079395)","('chair (2).jpg', 1.5163810935575484)","('cheesegrater (2).jpg', 1.7180672092885723)","('cheesegrater (2).jpg', 1.7340305013322612)","('can (2).jpg', 1.8691794289935568)","('can (2).jpg', 1.8967335151730305)","('highchair (2).jpg', 2.2941575433140304)","('golfclubs (2).jpg', 2.3996581469249785)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('rainboots (2).jpg', 0.993257539515979)","('rainboots (2).jpg', 0.9930830771350587)","('trafficlight (2).jpg', 0.966018906773361)","('trafficlight (2).jpg', 0.9660736906229183)","('trafficlight (2).jpg', 0.9660736906229183)","('fish (2).jpg', 0.9963461395439904)","('fish (2).jpg', 0.9963517017436517)","('cake (2).jpg', 1.0417572945435252)","('cake (2).jpg', 1.0417572465122582)","('cake (2).jpg', 1.0417572465122582)","('fishbowl (2).jpg', 1.0483143481165305)","('fishbowl (2).jpg', 1.0483151661093986)","('pokerchips (2).jpg', 1.0707775993447348)","('pokerchips (2).jpg', 1.070786343766084)","('fish (2).jpg', 1.0772576057176582)","('fish (2).jpg', 1.0772577464909345)","('birdcage (2).jpg', 1.1040286661233887)","('birdcage (2).jpg', 1.104048406989115)","('birdcage (2).jpg', 1.104048406989115)","('ovenmitt (2).jpg', 1.182930943553533)","('ovenmitt (2).jpg', 1.1831979153850982)","('kayak (2).jpg', 1.250344377401524)","('kayak (2).jpg', 1.2518409499553182)","('cheesegrater (2).jpg', 1.3480253856807602)","('cheesegrater (2).jpg', 1.346119411724852)","('can (2).jpg', 1.4095854809393462)","('can (2).jpg', 1.4130428528165948)","('can (2).jpg', 1.4130428528165948)","('medal (2).jpg', 1.5313796973188891)","('medal (2).jpg', 1.5344382367213487)","('birdcage (2).jpg', 1.718861916765579)","('birdcage (2).jpg', 1.7393322601469525)","('golfclubs (2).jpg', 1.895169576975757)","('golfclubs (2).jpg', 1.9242050397364334)","('rainboots (2).jpg', 2.3056364445320163)","('highchair (2).jpg', 2.4189371957160524)"
