,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10,Layer32_top10,Layer33_top10,Layer34_top10,Layer35_top10,Layer36_top10,Layer37_top10
0,"('easel (2).jpg', 1.0000091255569876)","('fries (2).jpg', 1.09071873137993)","('fries (2).jpg', 1.0897159955484728)","('fries (2).jpg', 1.2904878125977264)","('fries (2).jpg', 1.2907011516500606)","('fries (2).jpg', 1.2907011516500606)","('rolette (2).jpg', 1.6998294874299043)","('rolette (2).jpg', 1.6998448545057587)","('rolette (2).jpg', 3.131543753818098)","('rolette (2).jpg', 3.131543293755611)","('rolette (2).jpg', 3.131543293755611)","('rolette (2).jpg', 1.749944837878027)","('rolette (2).jpg', 1.7499483027850244)","('rolette (2).jpg', 1.564961198062834)","('rolette (2).jpg', 1.5649764292166102)","('remotecontrol (2).jpg', 1.5754981314293843)","('remotecontrol (2).jpg', 1.5755092004794025)","('rolette (2).jpg', 1.7651114286674305)","('rolette (2).jpg', 1.7651567330875604)","('rolette (2).jpg', 1.7651567330875604)","('remotecontrol (2).jpg', 2.441909957789937)","('remotecontrol (2).jpg', 2.444687102594075)","('pizza (2).jpg', 2.554938132176356)","('pizza (2).jpg', 2.5500831300002806)","('doll (2).jpg', 3.1981388173670102)","('baseballball (2).jpg', 3.1957127457778816)","('burger (2).jpg', 3.9651579461022872)","('burger (2).jpg', 3.9643583316516753)","('burger (2).jpg', 3.9643583316516753)","('chicken (2).jpg', 5.057037440274447)","('chicken (2).jpg', 5.049223664852164)","('chicken (2).jpg', 8.147605352582811)","('chicken (2).jpg', 8.116879446310696)","('chicken (2).jpg', 13.78566139092819)","('chicken (2).jpg', 13.445688550738247)","('chicken (2).jpg', 359.3078253315645)","('chicken (2).jpg', 118.1149434170116)"
1,"('printer (2).jpg', 1.0000091255569876)","('carpet (2).jpg', 1.0526630393141048)","('carpet (2).jpg', 1.052351966411975)","('rolette (2).jpg', 1.2028210511027577)","('rolette (2).jpg', 1.202917139466362)","('rolette (2).jpg', 1.202917139466362)","('beachball (2).jpg', 1.5812126288593435)","('beachball (2).jpg', 1.5812245851579112)","('beachball (2).jpg', 2.023060524610546)","('beachball (2).jpg', 2.023060380654572)","('beachball (2).jpg', 2.023060380654572)","('tennisball (2).jpg', 1.518277276215549)","('tennisball (2).jpg', 1.5182711662565735)","('pants (2).jpg', 1.5155040635570296)","('pants (2).jpg', 1.5154921630014746)","('rolette (2).jpg', 1.554468273366105)","('rolette (2).jpg', 1.5544815479608654)","('carpet (2).jpg', 1.7641638603545982)","('carpet (2).jpg', 1.7642041407509126)","('carpet (2).jpg', 1.7642041407509126)","('baseballball (2).jpg', 2.070017153246355)","('baseballball (2).jpg', 2.0706412165160173)","('baseballball (2).jpg', 2.459444859575787)","('baseballball (2).jpg', 2.4703446403203237)","('baseballball (2).jpg', 3.1836714465691385)","('doll (2).jpg', 3.193156486945476)","('doll (2).jpg', 3.8886848884368903)","('doll (2).jpg', 3.8884434480221604)","('doll (2).jpg', 3.8884434480221604)","('remotecontrol (2).jpg', 4.539518965055513)","('remotecontrol (2).jpg', 4.614075556984075)","('cow (2).jpg', 6.567329032907778)","('cow (2).jpg', 6.5694278327057)","('parrot (2).jpg', 12.262568491991852)","('parrot (2).jpg', 12.050086582774467)","('cow (2).jpg', 48.606941732456704)","('cow (2).jpg', 35.377116945961795)"
2,"('washer (2).jpg', 1.0000091255569876)","('deskchair (2).jpg', 1.0490634867142399)","('deskchair (2).jpg', 1.0486497509851451)","('tennisball (2).jpg', 1.192655517812825)","('tennisball (2).jpg', 1.1976577538168893)","('tennisball (2).jpg', 1.1976577538168893)","('fries (2).jpg', 1.4705519167854)","('fries (2).jpg', 1.4705715143766083)","('bag (2).jpg', 2.005945440084833)","('bag (2).jpg', 2.0059452500813033)","('bag (2).jpg', 2.0059452500813033)","('carpet (2).jpg', 1.4784947292349038)","('carpet (2).jpg', 1.4784943524005034)","('remotecontrol (2).jpg', 1.456444780613727)","('remotecontrol (2).jpg', 1.4565111407065692)","('carpet (2).jpg', 1.5128100769678605)","('carpet (2).jpg', 1.5128021576999098)","('remotecontrol (2).jpg', 1.7637730357191543)","('remotecontrol (2).jpg', 1.7638137757287335)","('remotecontrol (2).jpg', 1.7638137757287335)","('pizza (2).jpg', 2.009881385280049)","('pizza (2).jpg', 2.0095025100822905)","('remotecontrol (2).jpg', 2.352361867728967)","('remotecontrol (2).jpg', 2.3681994407533984)","('pizza (2).jpg', 2.864415712822545)","('pizza (2).jpg', 2.8590975498100106)","('pizza (2).jpg', 3.5992277195717635)","('pizza (2).jpg', 3.6057236950003624)","('pizza (2).jpg', 3.6057236950003624)","('pizza (2).jpg', 4.205372067113617)","('pizza (2).jpg', 4.204467340209695)","('horse (2).jpg', 6.173591238634918)","('horse (2).jpg', 6.125962489532241)","('horse (2).jpg', 11.410942117610979)","('horse (2).jpg', 11.498112203931509)","('parrot (2).jpg', 34.35142969177361)","('parrot (2).jpg', 29.86106851617713)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('pizza (2).jpg', 1.0483975270465422)","('tennisball (2).jpg', 1.0485921321071967)","('cone (2).jpg', 1.1813056074265116)","('cone (2).jpg', 1.1815203953241569)","('cone (2).jpg', 1.1815203953241569)","('tennisball (2).jpg', 1.4220628701814282)","('tennisball (2).jpg', 1.421271535766306)","('carpet (2).jpg', 1.9305412918889893)","('carpet (2).jpg', 1.930541124828359)","('carpet (2).jpg', 1.930541124828359)","('beachball (2).jpg', 1.451705715786526)","('beachball (2).jpg', 1.4517088180224837)","('pizza (2).jpg', 1.427019476931168)","('pizza (2).jpg', 1.4270063806836752)","('pants (2).jpg', 1.4705659139923666)","('pants (2).jpg', 1.4705635052722361)","('pants (2).jpg', 1.5518250118173917)","('pants (2).jpg', 1.5518195372839723)","('pants (2).jpg', 1.5518195372839723)","('carpet (2).jpg', 1.98797426375182)","('carpet (2).jpg', 1.9879365933106852)","('burger (2).jpg', 2.283994484472821)","('burger (2).jpg', 2.2813618725509817)","('barbie (2).jpg', 2.823213025560517)","('barbie (2).jpg', 2.822875676824083)","('chicken (2).jpg', 3.5740279674286866)","('chicken (2).jpg', 3.5701519414746565)","('chicken (2).jpg', 3.5701519414746565)","('burger (2).jpg', 4.162520756469904)","('burger (2).jpg', 4.177531734296165)","('bird (2).jpg', 5.495136242852491)","('bird (2).jpg', 5.494203061918886)","('cow (2).jpg', 11.322753070332677)","('cow (2).jpg', 11.393215836863222)","('fish (2).jpg', 32.52524248690685)","('fish (2).jpg', 27.770802335706872)"
4,"('sofa (2).jpg', 1.0000091255569876)","('rubberduck (2).jpg', 1.0483866615979158)","('beachball (2).jpg', 1.0482122409441477)","('carpet (2).jpg', 1.1676035087303922)","('carpet (2).jpg', 1.167632064878174)","('carpet (2).jpg', 1.167632064878174)","('bag (2).jpg', 1.3561080393521927)","('bag (2).jpg', 1.3561181623003127)","('tennisball (2).jpg', 1.7961181613977821)","('tennisball (2).jpg', 1.7961182386390844)","('tennisball (2).jpg', 1.7961182386390844)","('pizza (2).jpg', 1.4020583222772176)","('pizza (2).jpg', 1.4020591914045673)","('carpet (2).jpg', 1.4123226058314553)","('carpet (2).jpg', 1.4123152183107324)","('beachball (2).jpg', 1.3842009293216262)","('beachball (2).jpg', 1.3842042559710848)","('burger (2).jpg', 1.5370093985233615)","('burger (2).jpg', 1.5370429426386238)","('burger (2).jpg', 1.5370429426386238)","('burger (2).jpg', 1.943077935176663)","('burger (2).jpg', 1.9433234221020839)","('carpet (2).jpg', 2.2636042875672198)","('carpet (2).jpg', 2.2632919120080377)","('burger (2).jpg', 2.767919206449501)","('burger (2).jpg', 2.7605626593134422)","('parrot (2).jpg', 3.2364574082303084)","('parrot (2).jpg', 3.2338518618146836)","('parrot (2).jpg', 3.2338518618146836)","('cow (2).jpg', 3.8434650591603114)","('cow (2).jpg', 3.853792345778601)","('burger (2).jpg', 5.401545746669616)","('burger (2).jpg', 5.48266712046517)","('bird (2).jpg', 10.009771288029077)","('bird (2).jpg', 9.812430519992672)","('bird (2).jpg', 19.71973354335884)","('burger (2).jpg', 22.51756166695446)"
5,"('chair (2).jpg', 1.0000091255569876)","('beachball (2).jpg', 1.0482915453296635)","('pizza (2).jpg', 1.0481741210989028)","('pants (2).jpg', 1.166255117048168)","('pants (2).jpg', 1.1662430147237803)","('pants (2).jpg', 1.1662430147237803)","('pants (2).jpg', 1.347713848671054)","('pants (2).jpg', 1.3477290337852483)","('roses (2).jpg', 1.6301518987166714)","('roses (2).jpg', 1.6301518496046445)","('roses (2).jpg', 1.6301518496046445)","('burger (2).jpg', 1.391084541294775)","('burger (2).jpg', 1.3910846109355472)","('television (2).jpg', 1.3867148861269019)","('television (2).jpg', 1.386727840770939)","('pizza (2).jpg', 1.3598631593139103)","('pizza (2).jpg', 1.3598533679054965)","('pizza (2).jpg', 1.5293353460869605)","('pizza (2).jpg', 1.529390261107156)","('pizza (2).jpg', 1.529390261107156)","('rolette (2).jpg', 1.899285558207747)","('rolette (2).jpg', 1.8997974370976365)","('rolette (2).jpg', 2.163274592595898)","('rolette (2).jpg', 2.1658615305578945)","('remotecontrol (2).jpg', 2.7260493691876824)","('remotecontrol (2).jpg', 2.74942098952234)","('remotecontrol (2).jpg', 3.09904256628389)","('remotecontrol (2).jpg', 3.1805487411749245)","('remotecontrol (2).jpg', 3.1805487411749245)","('doll (2).jpg', 3.6526294720990546)","('doll (2).jpg', 3.661592810947206)","('doll (2).jpg', 5.188460358339574)","('remotecontrol (2).jpg', 5.376481601936444)","('burger (2).jpg', 8.849558707915204)","('burger (2).jpg', 9.061665349059687)","('burger (2).jpg', 16.85329882262007)","('horse (2).jpg', 16.39479868118233)"
6,"('lamp (2).jpg', 1.0000091255569876)","('pancake (2).jpg', 1.0477929977229068)","('rubberduck (2).jpg', 1.0481375384376583)","('rubberduck (2).jpg', 1.1660605912788846)","('rubberduck (2).jpg', 1.1661329168773176)","('rubberduck (2).jpg', 1.1661329168773176)","('roses (2).jpg', 1.331304718712803)","('roses (2).jpg', 1.3313145248641087)","('fries (2).jpg', 1.62663853570415)","('fries (2).jpg', 1.6266384807837415)","('fries (2).jpg', 1.6266384807837415)","('pancake (2).jpg', 1.3856338561933839)","('pancake (2).jpg', 1.385636815319921)","('fridge (2).jpg', 1.3765521730828394)","('fridge (2).jpg', 1.377506068583536)","('lipstick (2).jpg', 1.3489987403516615)","('lipstick (2).jpg', 1.3489982031295291)","('rubberduck (2).jpg', 1.496209292445337)","('rubberduck (2).jpg', 1.4962328210555944)","('rubberduck (2).jpg', 1.4962328210555944)","('lipstick (2).jpg', 1.741067784129156)","('lipstick (2).jpg', 1.7418290892383943)","('barbie (2).jpg', 1.9941894468471006)","('barbie (2).jpg', 1.9953980240099054)","('bike (2).jpg', 2.5960225406452375)","('bike (2).jpg', 2.6004514366230485)","('baseballball (2).jpg', 3.0693905465905598)","('baseballball (2).jpg', 3.0873624171272303)","('baseballball (2).jpg', 3.0873624171272303)","('parrot (2).jpg', 3.543132987352744)","('parrot (2).jpg', 3.555573964960757)","('parrot (2).jpg', 5.157796146030726)","('doll (2).jpg', 5.334586562145861)","('fish (2).jpg', 8.411497466127567)","('remotecontrol (2).jpg', 9.049736112650232)","('horse (2).jpg', 16.634927114884636)","('bird (2).jpg', 16.195548622291966)"
7,"('key (2).jpg', 1.0000091255569876)","('tennisball (2).jpg', 1.0465994714381386)","('pancake (2).jpg', 1.0475481216201457)","('deskchair (2).jpg', 1.1525668424985858)","('deskchair (2).jpg', 1.1525225780888206)","('deskchair (2).jpg', 1.1525225780888206)","('sippycup (2).jpg', 1.3242541065695868)","('sippycup (2).jpg', 1.324268269345527)","('pants (2).jpg', 1.6116723085978928)","('pants (2).jpg', 1.6116723188045807)","('pants (2).jpg', 1.6116723188045807)","('bag (2).jpg', 1.3767818644687557)","('bag (2).jpg', 1.3767791789029515)","('burger (2).jpg', 1.3732131342898923)","('burger (2).jpg', 1.3732076954023895)","('bike (2).jpg', 1.3445798194920213)","('bike (2).jpg', 1.3445876267204495)","('bag (2).jpg', 1.472114706681952)","('bag (2).jpg', 1.4721584780309112)","('bag (2).jpg', 1.4721584780309112)","('pants (2).jpg', 1.7152741750992768)","('pants (2).jpg', 1.715302532879856)","('bag (2).jpg', 1.944939987788726)","('bike (2).jpg', 1.946940279697034)","('rolette (2).jpg', 2.5682787392210287)","('rolette (2).jpg', 2.5713208458227728)","('barbie (2).jpg', 2.8612263443388)","('barbie (2).jpg', 2.877834251558498)","('barbie (2).jpg', 2.877834251558498)","('bike (2).jpg', 3.444087553364144)","('baseballball (2).jpg', 3.4760523446820635)","('remotecontrol (2).jpg', 5.106432956714967)","('parrot (2).jpg', 5.255040933284415)","('remotecontrol (2).jpg', 8.12662304180597)","('fish (2).jpg', 8.320069937305714)","('remotecontrol (2).jpg', 12.724417270730608)","('remotecontrol (2).jpg', 15.297899098948378)"
8,"('lock (2).jpg', 1.0000091255569876)","('cone (2).jpg', 1.0440553651996622)","('cone (2).jpg', 1.044627960537934)","('stove (2).jpg', 1.1485978074330498)","('stove (2).jpg', 1.1485364738610464)","('stove (2).jpg', 1.1485364738610464)","('cone (2).jpg', 1.2998199159245472)","('cone (2).jpg', 1.2998236620424766)","('television (2).jpg', 1.6116324924276813)","('television (2).jpg', 1.6116325219360457)","('television (2).jpg', 1.6116325219360457)","('pants (2).jpg', 1.3609360733889915)","('pants (2).jpg', 1.3609357416666912)","('beachball (2).jpg', 1.3504717242125581)","('beachball (2).jpg', 1.3504922096116598)","('plant (2).jpg', 1.3409725051923507)","('plant (2).jpg', 1.3409802067858128)","('bike (2).jpg', 1.4608397581218935)","('bike (2).jpg', 1.4608507533227697)","('bike (2).jpg', 1.4608507533227697)","('bike (2).jpg', 1.7099733865334097)","('bike (2).jpg', 1.7099636580263855)","('bike (2).jpg', 1.9437380102041197)","('bag (2).jpg', 1.9465333787914432)","('parrot (2).jpg', 2.5303988382263185)","('parrot (2).jpg', 2.528633292437979)","('bike (2).jpg', 2.8538025449566353)","('bike (2).jpg', 2.8753166415295084)","('bike (2).jpg', 2.8753166415295084)","('baseballball (2).jpg', 3.426559854395054)","('bike (2).jpg', 3.4564544955467795)","('pizza (2).jpg', 4.552011365860313)","('pizza (2).jpg', 4.642144028434276)","('pizza (2).jpg', 6.819819773224944)","('pizza (2).jpg', 6.8670608541973435)","('baseballball (2).jpg', 9.90461066138447)","('baseballball (2).jpg', 11.240554996261316)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('backyard_grill (2).jpg', 1.0434209438364697)","('backyard_grill (2).jpg', 1.0430024817030248)","('sink (2).jpg', 1.141671127498091)","('sink (2).jpg', 1.1416218560899787)","('sink (2).jpg', 1.1416218560899787)","('backyard_grill (2).jpg', 1.290947944125298)","('backyard_grill (2).jpg', 1.2909624205463566)","('barbie (2).jpg', 1.6016014327651316)","('barbie (2).jpg', 1.6016013287944888)","('barbie (2).jpg', 1.6016013287944888)","('remotecontrol (2).jpg', 1.3565834269630306)","('remotecontrol (2).jpg', 1.3565867232272297)","('lipstick (2).jpg', 1.3301002218357163)","('lipstick (2).jpg', 1.3301129590701117)","('scissors (2).jpg', 1.3376270444698557)","('scissors (2).jpg', 1.3376536866293227)","('lipstick (2).jpg', 1.4552861156772259)","('lipstick (2).jpg', 1.4553070147775566)","('lipstick (2).jpg', 1.4553070147775566)","('rubberduck (2).jpg', 1.7090063577616514)","('rubberduck (2).jpg', 1.7095778651175575)","('doll (2).jpg', 1.9420969235885954)","('doll (2).jpg', 1.9419891751834288)","('carpet (2).jpg', 2.5038758049970133)","('carpet (2).jpg', 2.515513731412169)","('rolette (2).jpg', 2.8329598237929274)","('rolette (2).jpg', 2.8606624269075698)","('rolette (2).jpg', 2.8606624269075698)","('bird (2).jpg', 3.309557147670492)","('horse (2).jpg', 3.318287524170461)","('bike (2).jpg', 4.467255420270146)","('bike (2).jpg', 4.55689581206443)","('ambulance (2).jpg', 5.235745642095257)","('ambulance (2).jpg', 5.436260640890355)","('tractor (2).jpg', 9.212572917813718)","('pizza (2).jpg', 10.668016963817793)"
