,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('chesspiece ', 0.9994479582366893)","('toothbrush ', 0.8019587697208328)","('toothbrush ', 0.8034689534220464)","('toothbrush ', 0.8034689534220464)","('dustpan ', 0.9416718880053583)","('dustpan ', 0.9425778312604554)","('dustpan ', 0.9425778312604554)","('laundry ', 1.0530163906697827)","('laundry ', 1.0647026982717114)","('laundry ', 1.1755940878587918)","('laundry ', 1.1948281650874533)","('laundry ', 1.2239214698459229)","('laundry ', 1.252628437537104)"
1,"('basketball ', 0.9997396363836301)","('dustpan ', 0.8200066785334249)","('dustpan ', 0.808163581428961)","('dustpan ', 0.808163581428961)","('laundry ', 0.9455377135826243)","('laundry ', 0.9497518401444809)","('laundry ', 0.9497518401444809)","('parrot ', 1.128526231390041)","('parrot ', 1.1388880327721513)","('basketballrim ', 1.2770469849898334)","('basketballrim ', 1.2753715408632185)","('basketballrim ', 1.3503222805363897)","('basketballrim ', 1.3364848931659705)"
2,"('bowlingpin ', 1.0000081872830517)","('lego ', 0.8480152834259695)","('lego ', 0.8365685720281402)","('lego ', 0.8365685720281402)","('broom ', 1.007562611400817)","('broom ', 1.0038573802444082)","('broom ', 1.0038573802444082)","('ironing ', 1.2040167315212975)","('ironing ', 1.2101016584588)","('ironing ', 1.4094436515132454)","('ironing ', 1.4273825295782643)","('ironing ', 1.4418687246348354)","('ironing ', 1.4914893731047976)"
3,"('tennisball ', 1.0000081872830517)","('broom ', 0.890088107285144)","('broom ', 0.8921620949459629)","('broom ', 0.8921620949459629)","('toothbrush ', 1.0166706969642956)","('toothbrush ', 1.0060613041682105)","('toothbrush ', 1.0060613041682105)","('fish ', 1.219814887667987)","('fish ', 1.2320319538175033)","('garbagebin ', 1.4300168385952214)","('garbagebin ', 1.4474121178186798)","('rainboots ', 1.4695801393153831)","('rainboots ', 1.5392771484641687)"
4,"('helmet ', 1.0000081872830517)","('bat ', 0.9124034702069744)","('bat ', 0.8970371543012874)","('bat ', 0.8970371543012874)","('parrot ', 1.04478327432125)","('parrot ', 1.0499126382519084)","('parrot ', 1.0499126382519084)","('rainboots ', 1.2353303396569713)","('dustpan ', 1.2515630360315273)","('chair ', 1.4499113427741153)","('chair ', 1.464806807227122)","('dumbbell ', 1.5180027509216352)","('dumbbell ', 1.572347201674638)"
5,"('beachpail ', 1.0000081872830517)","('fish ', 0.9296995229811766)","('fish ', 0.9316174768475604)","('fish ', 0.9316174768475604)","('fishbowl ', 1.1163620498361364)","('fishbowl ', 1.1249915338437315)","('fishbowl ', 1.1249915338437315)","('fishbowl ', 1.2510201397675667)","('rainboots ', 1.2551364180621303)","('sippycup ', 1.4648812479022875)","('dustpan ', 1.4753250710585089)","('dustpan ', 1.5532655923608027)","('dustpan ', 1.5928266643810123)"
6,"('bat ', 1.0000081872830517)","('laundry ', 0.9565509230697224)","('laundry ', 0.9602184431406249)","('laundry ', 0.9602184431406249)","('basketballrim ', 1.136467258895597)","('fish ', 1.1390228412601842)","('fish ', 1.1390228412601842)","('basketballrim ', 1.2564244909585058)","('basketballrim ', 1.2584960326449788)","('dustpan ', 1.472584923805722)","('sippycup ', 1.4888188828742153)","('stroller ', 1.6010551527109689)","('stroller ', 1.6453661200395981)"
7,"('deskchair ', 1.0000085154874656)","('cake ', 0.9740133238601866)","('washer ', 0.9760065364492705)","('washer ', 0.9760065364492705)","('fish ', 1.1377207272819287)","('basketballrim ', 1.1396150783669807)","('basketballrim ', 1.1396150783669807)","('dustpan ', 1.262275397912731)","('nail ', 1.2586158435824788)","('kayak ', 1.497816286927051)","('kayak ', 1.5116444631788561)","('parkingmeter ', 1.6187329369786416)","('parkingmeter ', 1.6611299319028436)"
8,"('lamp ', 1.0000085154874656)","('washer ', 0.9743434569516329)","('cake ', 0.9791974727057144)","('cake ', 0.9791974727057144)","('rainboots ', 1.1394706357066184)","('rainboots ', 1.1469858460564284)","('rainboots ', 1.1469858460564284)","('kayak ', 1.2696323343484737)","('fishbowl ', 1.2674010213912459)","('parkingmeter ', 1.5120903907423255)","('medal ', 1.5222906141835741)","('ovenmitt ', 1.6372447878862053)","('lifejacket ', 1.7173668803573936)"
9,"('chair ', 1.0000085777357148)","('punchingbag ', 0.9775447114451722)","('punchingbag ', 0.9801584227628929)","('punchingbag ', 0.9801584227628929)","('cake ', 1.1784981611386747)","('cake ', 1.184842280047184)","('cake ', 1.184842280047184)","('ovenmitt ', 1.2816004207643739)","('kayak ', 1.2809779057836397)","('medal ', 1.51223056005206)","('parkingmeter ', 1.523724178746301)","('lifejacket ', 1.6390683737731966)","('board ', 1.7233117303270733)"
