,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('chesspiece ', 0.9994479582366893)","('bat ', 0.854568121726368)","('bat ', 0.8521571098930112)","('bat ', 0.8521571098930112)","('toothbrush ', 0.9565850460910895)","('toothbrush ', 0.9565774496122119)","('toothbrush ', 0.9565774496122119)","('toothbrush ', 0.9708981756618625)","('toothbrush ', 0.974107953803806)","('laundry ', 0.9663892632540244)","('laundry ', 0.9714678845661419)","('rainboots ', 1.1375773955514221)","('rainboots ', 1.1334001988208788)"
1,"('basketball ', 0.9997396363836301)","('toothbrush ', 0.8883065034141165)","('toothbrush ', 0.8873012096502316)","('toothbrush ', 0.8873012096502316)","('lego ', 0.9885163320002994)","('lego ', 0.9885049879622922)","('lego ', 0.9885049879622922)","('nail ', 0.9904794311468824)","('nail ', 0.9817475684831295)","('rainboots ', 1.0935079468152868)","('rainboots ', 1.1175285716536574)","('basketballrim ', 1.1888463036664367)","('basketballrim ', 1.1760519970144478)"
2,"('bowlingpin ', 1.0000081872830517)","('dustpan ', 0.9340349030853987)","('dustpan ', 0.9395077187209863)","('dustpan ', 0.9395077187209863)","('nail ', 0.9925250911719573)","('nail ', 0.9925535028458069)","('nail ', 0.9925535028458069)","('bat ', 1.012109624843726)","('bat ', 1.012084390886585)","('basketballrim ', 1.1795046744370634)","('basketballrim ', 1.171751226655907)","('pokerchips ', 1.2380458543808788)","('nail ', 1.2535521881288396)"
3,"('tennisball ', 1.0000081872830517)","('fish ', 0.9526839847811694)","('fish ', 0.9517075431537824)","('fish ', 0.9517075431537824)","('bat ', 0.9932096578238436)","('bat ', 0.9932234471861908)","('bat ', 0.9932234471861908)","('dustpan ', 1.0141938232444099)","('dustpan ', 1.0206041820166771)","('parrot ', 1.272832538085664)","('toothbrush ', 1.2603741485738378)","('laundry ', 1.2508139045358846)","('laundry ', 1.264589319660357)"
4,"('helmet ', 1.0000081872830517)","('broom ', 0.9553086922829074)","('broom ', 0.955480127488278)","('broom ', 0.955480127488278)","('laundry ', 0.9970488158838996)","('laundry ', 0.9970379996034566)","('laundry ', 0.9970379996034566)","('ironing ', 1.022039638726962)","('ironing ', 1.02503996221242)","('sippycup ', 1.2774159231638025)","('parrot ', 1.2721795555573359)","('beachchair ', 1.2558365373999294)","('beachchair ', 1.2709835543014012)"
5,"('beachpail ', 1.0000081872830517)","('lego ', 0.9652324915050575)","('lego ', 0.9678783915450957)","('lego ', 0.9678783915450957)","('balloon ', 1.0014030182378888)","('balloon ', 1.001459851765559)","('balloon ', 1.001459851765559)","('balloon ', 1.0241391836962301)","('lego ', 1.029521240144481)","('beachchair ', 1.2879833574384203)","('parkingmeter ', 1.290619383947055)","('medal ', 1.2631094529773221)","('pokerchips ', 1.2730126367409258)"
6,"('bat ', 1.0000081872830517)","('cake ', 0.9956955145078757)","('cake ', 0.9953558096104732)","('cake ', 0.9953558096104732)","('dustpan ', 1.0017935595436815)","('dustpan ', 1.0017744988218138)","('dustpan ', 1.0017744988218138)","('lego ', 1.0242195155747988)","('garbagebin ', 1.0308655023475992)","('parkingmeter ', 1.2886384917660803)","('beachchair ', 1.297248451594172)","('dustpan ', 1.270774493456688)","('dustpan ', 1.276122873404927)"
7,"('deskchair ', 1.0000085154874656)","('washer ', 0.9973318240932675)","('fridge ', 0.9954847781547572)","('fridge ', 0.9954847781547572)","('rainboots ', 1.005569876325625)","('rainboots ', 1.0055507870513982)","('rainboots ', 1.0055507870513982)","('broom ', 1.0274173025041962)","('balloon ', 1.0314690001180526)","('medal ', 1.2920464310857507)","('medal ', 1.2988307216367296)","('ironing ', 1.2743122300055223)","('ironing ', 1.2816416321404662)"
8,"('lamp ', 1.0000085154874656)","('fridge ', 0.9982212575526836)","('washer ', 0.999360870706921)","('washer ', 0.999360870706921)","('cheesegrater ', 1.0070895805874969)","('cheesegrater ', 1.0070764555365073)","('cheesegrater ', 1.0070764555365073)","('parkingmeter ', 1.028873144662875)","('parkingmeter ', 1.0328948531664226)","('toothbrush ', 1.2923946596874443)","('sippycup ', 1.2998078145699268)","('fishbowl ', 1.2936121247847534)","('medal ', 1.285127829471845)"
9,"('chair ', 1.0000085777357148)","('bowlingball ', 1.0033203919482758)","('bowlingball ', 1.0025103887764233)","('bowlingball ', 1.0025103887764233)","('broom ', 1.0078854678158018)","('broom ', 1.0078759922438632)","('broom ', 1.0078759922438632)","('garbagebin ', 1.0305917251712264)","('beachpail ', 1.0355486331766843)","('pokerchips ', 1.2927074716504237)","('nail ', 1.3074106466812376)","('dumbbell ', 1.301547983970652)","('dumbbell ', 1.3079477382375269)"
