,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('60street', 1.0000101942001327)","('08beachball-pail', 1.1353472900239843)","('08beachball-pail', 1.1395202257475603)","('08beachball-pail', 1.1395202257475603)","('53ocean', 1.0708951729314564)","('53ocean', 1.0708900524585498)","('53ocean', 1.0708900524585498)","('53ocean', 1.1021157257719016)","('53ocean', 1.115275653791654)","('53ocean', 1.6814701017785842)","('53ocean', 1.6825534755646527)","('53ocean', 1.7033663076942036)","('53ocean', 1.7169578605771534)"
1,"('61street', 1.0000101942001327)","('18car', 1.1156268596614574)","('18car', 1.1147786236348693)","('18car', 1.1147786236348693)","('42horseriding', 1.062406733206819)","('42horseriding', 1.0623948884974055)","('42horseriding', 1.0623948884974055)","('42horseriding', 1.0890393716223097)","('42horseriding', 1.1014679371753586)","('08beachball-pail', 1.5397960339851318)","('08beachball-pail', 1.5662638290243684)","('08beachball-pail', 1.6696420459084609)","('08beachball-pail', 1.6833373556852451)"
2,"('21cheese', 1.0000101942001327)","('11biking', 1.1098181476033322)","('11biking', 1.1091408656137383)","('11biking', 1.1091408656137383)","('14boat', 1.053174797619143)","('14boat', 1.0531663166248615)","('14boat', 1.0531663166248615)","('03backyard', 1.0805983751404422)","('03backyard', 1.0897182467946227)","('31farm', 1.522670698701646)","('31farm', 1.5404651096572772)","('65toilet', 1.5897685416441836)","('65toilet', 1.6148033063307075)"
3,"('52motorbike', 1.0000100395066203)","('03backyard', 1.1095520595803343)","('03backyard', 1.1086420401173145)","('03backyard', 1.1086420401173145)","('31farm', 1.0504460437237888)","('31farm', 1.0504324869013577)","('31farm', 1.0504324869013577)","('65toilet', 1.074734226468918)","('65toilet', 1.0828733630670448)","('41hiking', 1.503616564549437)","('41hiking', 1.5290072962842995)","('42horseriding', 1.4731936977647662)","('42horseriding', 1.5097684837637546)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('42horseriding', 1.1072193544825655)","('42horseriding', 1.1064330541973169)","('42horseriding', 1.1064330541973169)","('18car', 1.0499057184047251)","('18car', 1.0499000853487943)","('18car', 1.0499000853487943)","('71valentines', 1.0675565027128537)","('08beachball-pail', 1.0774008406152065)","('42horseriding', 1.4213525573545647)","('65toilet', 1.4338936846426695)","('48livingroom', 1.4533896435976685)","('31farm', 1.5077215923502645)"
5,"('67toy', 1.0000098894377727)","('14boat', 1.1057304581871872)","('14boat', 1.105252266290616)","('14boat', 1.105252266290616)","('57pancakes', 1.0490643391954326)","('57pancakes', 1.0490726226181741)","('57pancakes', 1.0490726226181741)","('08beachball-pail', 1.0675221899179759)","('31farm', 1.0757801242369036)","('65toilet', 1.41792990588318)","('42horseriding', 1.4304760655399027)","('31farm', 1.4524287914773966)","('45kitchen', 1.4924884328210162)"
6,"('23childEating', 1.0000098894377727)","('37golf', 1.1031496560126)","('37golf', 1.1024572858321815)","('37golf', 1.1024572858321815)","('11biking', 1.0485398936522317)","('11biking', 1.0485264793581492)","('11biking', 1.0485264793581492)","('31farm', 1.066286978808075)","('71valentines', 1.0709523595644506)","('45kitchen', 1.4085623701232364)","('66tools', 1.41473602849354)","('45kitchen', 1.4438292441865659)","('48livingroom', 1.4527812614813125)"
7,"('18car', 1.0000098894377727)","('46kitchen2', 1.1007808350963189)","('46kitchen2', 1.1001072822616893)","('46kitchen2', 1.1001072822616893)","('03backyard', 1.048120371546996)","('03backyard', 1.0481095030707346)","('03backyard', 1.0481095030707346)","('56office-desk-chair', 1.0614297729739537)","('56office-desk-chair', 1.0698839525653245)","('66tools', 1.4067930914769262)","('56office-desk-chair', 1.3994428874730722)","('41hiking', 1.4217125005883426)","('41hiking', 1.4462808942350154)"
8,"('11biking', 1.0000098894377727)","('56office-desk-chair', 1.093421251823434)","('56office-desk-chair', 1.0925990102615522)","('56office-desk-chair', 1.0925990102615522)","('56office-desk-chair', 1.0478905885247165)","('56office-desk-chair', 1.0478769241732844)","('56office-desk-chair', 1.0478769241732844)","('20casino', 1.057936670785081)","('14boat', 1.0658690912959)","('56office-desk-chair', 1.3953846378513504)","('10bed-dresser', 1.388166376786373)","('57pancakes', 1.4187076753328476)","('55office-computer-printer', 1.419212225986323)"
9,"('54office_supply', 1.0000098894377727)","('71valentines', 1.0912323518112779)","('71valentines', 1.0901869660379526)","('71valentines', 1.0901869660379526)","('08beachball-pail', 1.0442953447419858)","('08beachball-pail', 1.044286305604865)","('08beachball-pail', 1.044286305604865)","('14boat', 1.0571181400211842)","('50lock', 1.0653441773243453)","('10bed-dresser', 1.387110510921299)","('45kitchen', 1.381466183136356)","('56office-desk-chair', 1.4029070659431815)","('57pancakes', 1.413891229848281)"
