,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('22chess', 0.9994718178634568)","('69tub', 0.7893098222571513)","('69tub', 0.7949367662112347)","('69tub', 0.7949367662112347)","('01art', 0.929530370302444)","('01art', 0.929571044426727)","('01art', 0.929571044426727)","('01art', 0.8893709086465462)","('01art', 0.8819000007284312)","('01art', 0.47989767292744284)","('01art', 0.4419095402402198)","('02baby', 0.6059316785991172)","('02baby', 0.6159710804971787)"
1,"('06basketball', 0.9998745821547136)","('21cheese', 0.8502975120148917)","('21cheese', 0.8508241778900193)","('21cheese', 0.8508241778900193)","('63teethhygene', 0.9402575313488353)","('63teethhygene', 0.9402486951324498)","('63teethhygene', 0.9402486951324498)","('63teethhygene', 0.904152962023226)","('63teethhygene', 0.9007423898692531)","('38groceryshopping', 0.49862760757078967)","('02baby', 0.5019986929557146)","('39gun', 0.6380933439865278)","('39gun', 0.6360364095051777)"
2,"('02baby', 1.0000054538854783)","('05baseball', 0.8638758222376511)","('05baseball', 0.8612625888296693)","('05baseball', 0.8612625888296693)","('05baseball', 0.9460815490719171)","('05baseball', 0.9460750477327482)","('05baseball', 0.9460750477327482)","('05baseball', 0.9225841860908407)","('51makeup', 0.9160928574502654)","('02baby', 0.5314447527573433)","('38groceryshopping', 0.5114742075728653)","('12birdcage', 0.6422085939022296)","('38groceryshopping', 0.6621152416251049)"
3,"('46kitchen2', 1.0000055379211592)","('64tennis', 0.892894513086451)","('64tennis', 0.8926453138895222)","('64tennis', 0.8926453138895222)","('21cheese', 0.9530964918396648)","('21cheese', 0.953082028251798)","('21cheese', 0.953082028251798)","('51makeup', 0.9284531172327563)","('05baseball', 0.9220026871016264)","('51makeup', 0.5629393591592098)","('51makeup', 0.5137379073787615)","('38groceryshopping', 0.6615143059541911)","('19carpet', 0.6683194301563479)"
4,"('45kitchen', 1.0000055379211592)","('01art', 0.9185397842437808)","('01art', 0.9200458133835018)","('01art', 0.9200458133835018)","('64tennis', 0.9680414666076848)","('64tennis', 0.9680524952211733)","('64tennis', 0.9680524952211733)","('21cheese', 0.9467022607047896)","('21cheese', 0.9328295706753997)","('12birdcage', 0.6285784561559612)","('12birdcage', 0.6357802450974027)","('19carpet', 0.6895091701221753)","('12birdcage', 0.6787104552258305)"
5,"('10bed-dresser', 1.0000089655355493)","('38groceryshopping', 0.9334806750918877)","('63teethhygene', 0.9331140260573711)","('63teethhygene', 0.9331140260573711)","('51makeup', 0.9685908636732687)","('51makeup', 0.9685894648033172)","('51makeup', 0.9685894648033172)","('39gun', 0.9596159279217121)","('67toy', 0.9569444617509749)","('39gun', 0.711599969343835)","('39gun', 0.7023233860874308)","('51makeup', 0.7480742706875315)","('51makeup', 0.7263412439275534)"
6,"('69tub', 1.000009099550753)","('63teethhygene', 0.9339559505976428)","('38groceryshopping', 0.9337523137741138)","('38groceryshopping', 0.9337523137741138)","('24cleaning', 0.9714594994890419)","('24cleaning', 0.9714434201521307)","('24cleaning', 0.9714434201521307)","('67toy', 0.9607418924635439)","('39gun', 0.9576129201795922)","('67toy', 0.7632421971325094)","('63teethhygene', 0.7405884793694945)","('67toy', 0.8013604207260219)","('67toy', 0.7490890612496296)"
7,"('65toilet', 1.000009099550753)","('24cleaning', 0.9424380168628052)","('62sushi', 0.9415853858875458)","('62sushi', 0.9415853858875458)","('38groceryshopping', 0.973517700722899)","('38groceryshopping', 0.9735101986249272)","('38groceryshopping', 0.9735101986249272)","('38groceryshopping', 0.9653058238618282)","('38groceryshopping', 0.9603956445401247)","('63teethhygene', 0.7865474170234675)","('67toy', 0.7550154886271955)","('47laundry', 0.8100109824346728)","('47laundry', 0.7933206231474536)"
8,"('63teethhygene', 1.000009099550753)","('62sushi', 0.9433300478440673)","('24cleaning', 0.943371051304962)","('24cleaning', 0.943371051304962)","('02baby', 0.9803536489213812)","('02baby', 0.9803408516496337)","('02baby', 0.9803408516496337)","('62sushi', 0.970294612703426)","('44kayak', 0.9702688351442851)","('19carpet', 0.8005908889108689)","('21cheese', 0.7990206473854563)","('01art', 0.8153517679396132)","('01art', 0.7994710217755104)"
9,"('73winter', 1.0000094514728177)","('23childEating', 0.9550732991814966)","('23childEating', 0.9547324006577317)","('23childEating', 0.9547324006577317)","('70tv', 0.982398966627406)","('70tv', 0.9823833720764168)","('70tv', 0.9823833720764168)","('44kayak', 0.9719698580512433)","('15bowling', 0.9713717846219005)","('21cheese', 0.8128337224058396)","('36gardening', 0.8211707138585862)","('59pizza', 0.8759229521509045)","('21cheese', 0.8374685872024908)"
