,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('basketballrim (2).jpg', 1.000009743789258)","('rubberduck (2).jpg', 1.3322646379807737)","('rubberduck (2).jpg', 1.3306356089274896)","('rubberduck (2).jpg', 1.3306356089274896)","('tennisball (2).jpg', 1.148966849161678)","('tennisball (2).jpg', 1.1489611863637348)","('tennisball (2).jpg', 1.1489611863637348)","('carpet (2).jpg', 1.1997363621410528)","('carpet (2).jpg', 1.2312382919242908)","('carpet (2).jpg', 3.8574225489647747)","('carpet (2).jpg', 3.989912421509479)","('carpet (2).jpg', 4.107151095887873)","('carpet (2).jpg', 4.053946429884363)"
1,"('highchair (2).jpg', 1.0000096725620395)","('pants (2).jpg', 1.2806980679992475)","('pants (2).jpg', 1.2800571885859953)","('pants (2).jpg', 1.2800571885859953)","('pants (2).jpg', 1.1351767760644773)","('pants (2).jpg', 1.1351599273315416)","('pants (2).jpg', 1.1351599273315416)","('remotecontrol (2).jpg', 1.1849461755350434)","('remotecontrol (2).jpg', 1.2198799957782247)","('remotecontrol (2).jpg', 3.1237383684693962)","('remotecontrol (2).jpg', 3.3216691363260575)","('pizza (2).jpg', 2.9103218125086396)","('remotecontrol (2).jpg', 3.178125083776605)"
2,"('bike (2).jpg', 1.0000095331866181)","('beachball (2).jpg', 1.2726101292035945)","('beachball (2).jpg', 1.2711761284268357)","('beachball (2).jpg', 1.2711761284268357)","('carpet (2).jpg', 1.122079227854058)","('carpet (2).jpg', 1.1220602084581819)","('carpet (2).jpg', 1.1220602084581819)","('lipstick (2).jpg', 1.1720028785785859)","('lipstick (2).jpg', 1.1971849068187654)","('lipstick (2).jpg', 2.5345621285340334)","('lipstick (2).jpg', 2.639620023026867)","('remotecontrol (2).jpg', 2.8841317197090515)","('pizza (2).jpg', 2.8535134063005247)"
3,"('footballball (2).jpg', 1.0000095331866181)","('tennisball (2).jpg', 1.2487701621046678)","('tennisball (2).jpg', 1.2446588400384204)","('tennisball (2).jpg', 1.2446588400384204)","('rubberduck (2).jpg', 1.1158154553359005)","('rubberduck (2).jpg', 1.115813625676083)","('rubberduck (2).jpg', 1.115813625676083)","('pants (2).jpg', 1.1666659715173946)","('pants (2).jpg', 1.197157522002417)","('bag (2).jpg', 2.3798327593869106)","('bag (2).jpg', 2.3870465120129793)","('television (2).jpg', 2.366007066737558)","('television (2).jpg', 2.5268051292158704)"
4,"('stroller (2).jpg', 1.0000095331866181)","('cone (2).jpg', 1.2094630751134683)","('cone (2).jpg', 1.2091055472205479)","('cone (2).jpg', 1.2091055472205479)","('remotecontrol (2).jpg', 1.111208135539074)","('remotecontrol (2).jpg', 1.1112072050796713)","('remotecontrol (2).jpg', 1.1112072050796713)","('rubberduck (2).jpg', 1.1598188539370151)","('beachball (2).jpg', 1.1827047165205795)","('pants (2).jpg', 2.275628727029737)","('pants (2).jpg', 2.3634510696377564)","('backhoe (2).jpg', 2.299957501770408)","('rolette (2).jpg', 2.324949908509623)"
5,"('motorcycle (2).jpg', 1.0000095331866181)","('pallette (2).jpg', 1.2093134869155822)","('pallette (2).jpg', 1.2074420925319442)","('pallette (2).jpg', 1.2074420925319442)","('beachball (2).jpg', 1.1086574344942928)","('beachball (2).jpg', 1.1086485897453666)","('beachball (2).jpg', 1.1086485897453666)","('beachball (2).jpg', 1.1560188479534868)","('rubberduck (2).jpg', 1.1818266179635288)","('pizza (2).jpg', 2.2728376234515473)","('crib (2).jpg', 2.3564979334871308)","('motorcycle (2).jpg', 2.293386629730531)","('fridge (2).jpg', 2.324786121908097)"
6,"('tent (2).jpg', 1.0000095331866181)","('carpet (2).jpg', 1.2017029134625)","('carpet (2).jpg', 1.2002650535899828)","('carpet (2).jpg', 1.2002650535899828)","('bag (2).jpg', 1.106575482697402)","('bag (2).jpg', 1.106572671079625)","('bag (2).jpg', 1.106572671079625)","('bag (2).jpg', 1.1527115862345658)","('bag (2).jpg', 1.172847182870658)","('crib (2).jpg', 2.25023190906645)","('pizza (2).jpg', 2.2980756386918046)","('rolette (2).jpg', 2.2872656634679056)","('horse (2).jpg', 2.311610163949567)"
7,"('dresser (2).jpg', 1.0000095331866181)","('train (2).jpg', 1.1562854150482555)","('train (2).jpg', 1.1546188826239634)","('train (2).jpg', 1.1546188826239634)","('bike (2).jpg', 1.1041738887053911)","('bike (2).jpg', 1.1041698216035443)","('bike (2).jpg', 1.1041698216035443)","('bike (2).jpg', 1.1480498278881837)","('bike (2).jpg', 1.1694364555069066)","('trafficlight (2).jpg', 2.2363802639964336)","('television (2).jpg', 2.2696005265882797)","('ambulance (2).jpg', 2.1824969390782853)","('motorcycle (2).jpg', 2.303598849861528)"
8,"('coatrack (2).jpg', 1.0000094649943658)","('television (2).jpg', 1.1544715466595372)","('television (2).jpg', 1.1528181661782138)","('television (2).jpg', 1.1528181661782138)","('pizza (2).jpg', 1.102441962083127)","('pizza (2).jpg', 1.1024323162282461)","('pizza (2).jpg', 1.1024323162282461)","('roses (2).jpg', 1.146064658895711)","('tennisball (2).jpg', 1.1658672381481654)","('television (2).jpg', 2.2354680889501193)","('trafficlight (2).jpg', 2.2579392869617325)","('fridge (2).jpg', 2.180072478218928)","('backhoe (2).jpg', 2.2649379361169726)"
9,"('helmet (2).jpg', 1.0000094649943658)","('pancake (2).jpg', 1.1527109733211645)","('pancake (2).jpg', 1.1513023037261165)","('pancake (2).jpg', 1.1513023037261165)","('pancake (2).jpg', 1.1003828176656212)","('pancake (2).jpg', 1.1003847604084955)","('pancake (2).jpg', 1.1003847604084955)","('ambulance (2).jpg', 1.1435973967439537)","('ambulance (2).jpg', 1.1643736711671862)","('coatrack (2).jpg', 2.148268282503186)","('coatrack (2).jpg', 2.250540619613251)","('horse (2).jpg', 2.173038677721969)","('ambulance (2).jpg', 2.250458360879973)"
