,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10
0,"('chesspiece ', 0.9994479582366893)","('lego ', 0.883129812749962)","('cake ', 0.9600004064048605)","('bat ', 0.9557211151707938)","('bat ', 0.9557211151707938)","('dustpan ', 0.9398610138052915)","('toothbrush ', 0.9365559012572121)","('ovenmitt ', 1.089612848997511)","('laundry ', 1.2606326284039475)","('laundry ', 1.4328138697815804)","('laundry ', 1.3058777292734378)","('laundry ', 1.5202113107766326)"
1,"('basketball ', 0.9997396363836301)","('balloon ', 0.9323767886442493)","('bat ', 0.9634258049764335)","('cake ', 0.9617312391400106)","('cake ', 0.9617312391400106)","('stroller ', 0.94524325916221)","('rainboots ', 0.9997430640969595)","('rainboots ', 1.0914568234045787)","('basketballrim ', 1.3292658872088405)","('boxing_gloves ', 1.606697705998833)","('basketballrim ', 1.3540522080185482)","('basketballrim ', 1.601407383864867)"
2,"('bowlingpin ', 1.0000081872830517)","('stroller ', 0.9448900800687938)","('dustpan ', 0.9655322930166889)","('toothbrush ', 0.9629849567044302)","('toothbrush ', 0.9629849567044302)","('lego ', 0.9563934034207988)","('bat ', 1.0013342764900741)","('medal ', 1.1177329432907226)","('chair ', 1.3404474854881312)","('cheesegrater ', 1.640197043440134)","('pokerchips ', 1.383589301616744)","('pokerchips ', 1.6491070266368635)"
3,"('tennisball ', 1.0000081872830517)","('toothbrush ', 0.958943756312684)","('toothbrush ', 0.9657296148611043)","('fish ', 0.965851522812046)","('fish ', 0.965851522812046)","('bat ', 0.9590205806603351)","('umbrella ', 1.0083004183653441)","('basketballrim ', 1.1183732803865716)","('highchair ', 1.403473593591893)","('basketballrim ', 1.6482662835544821)","('boxing_gloves ', 1.4091893072219865)","('boxing_gloves ', 1.742299073529083)"
4,"('helmet ', 1.0000081872830517)","('cake ', 0.9594140386542785)","('fish ', 0.9660999036327499)","('dumbbell ', 0.9692044558539883)","('dumbbell ', 0.9692044558539883)","('washer ', 0.9759302357682998)","('balloon ', 1.012321391515657)","('laundry ', 1.1190788589211491)","('trophy ', 1.4357367244316939)","('pokerchips ', 1.6545027029010941)","('cheesegrater ', 1.4225421296693268)","('medal ', 1.7772803051361654)"
5,"('beachpail ', 1.0000081872830517)","('broom ', 0.9597056001093797)","('dumbbell ', 0.9728648151372777)","('dustpan ', 0.9708884697729964)","('dustpan ', 0.9708884697729964)","('toothbrush ', 0.9789882136762695)","('broom ', 1.0287638860039987)","('toothbrush ', 1.1339356005133638)","('birdcage ', 1.4436232502814534)","('anchor2.jpg', 1.7100504146808542)","('anchor2.jpg', 1.4371666427517285)","('anchor2.jpg', 1.8038589073705524)"
6,"('bat ', 1.0000081872830517)","('dumbbell ', 0.974125663217354)","('lego ', 0.9756210524410065)","('balloon ', 0.9745585075788719)","('balloon ', 0.9745585075788719)","('dumbbell ', 0.9862776130531885)","('washer ', 1.0366043564213834)","('nail ', 1.1365838480460069)","('ironing ', 1.4714351225328108)","('lego ', 1.734585544211396)","('lego ', 1.4590604009593553)","('cheesegrater ', 1.8058360737535546)"
7,"('deskchair ', 1.0000085154874656)","('dustpan ', 0.9757278997874402)","('stroller ', 0.9777451274573704)","('stroller ', 0.9762895091003188)","('stroller ', 0.9762895091003188)","('rainboots ', 0.9979121450648842)","('fishbowl ', 1.0373393855615474)","('fishbowl ', 1.1435831641575698)","('cheesegrater ', 1.4737579558802276)","('cheese ', 1.7536713856035382)","('trophy ', 1.4639540378127496)","('birdcage ', 1.8635973692317587)"
8,"('lamp ', 1.0000085154874656)","('bat ', 0.9768308352308588)","('balloon ', 0.9791321695842761)","('lego ', 0.9811684684177089)","('lego ', 0.9811684684177089)","('ovenmitt ', 1.0012099424098988)","('bowlingpin ', 1.0378682121834284)","('kayak ', 1.1477647055841553)","('belt ', 1.480628063430436)","('barbie ', 1.8202605587474132)","('medal ', 1.4647004263639254)","('dustpan ', 1.8916413334641888)"
9,"('chair ', 1.0000085777357148)","('washer ', 0.9794020371105842)","('pokerchips ', 0.9827102725192718)","('bowlingball ', 0.9841739614366457)","('bowlingball ', 0.9841739614366457)","('bowlingball ', 1.0034374633229297)","('ironing ', 1.0414077438904146)","('balloon ', 1.148875951731096)","('rainboots ', 1.4812609540817927)","('ovenmitt ', 1.8205055042886074)","('cheese ', 1.4711102538161247)","('trophy ', 1.8986950187323848)"
