,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10
0,"('basketballrim ', 1.000009743789258)","('beachball ', 1.4331928870949155)","('beachball ', 1.3114312778700066)","('beachball ', 1.3118812457284839)","('beachball ', 1.3118812457284839)","('beachball ', 1.2642455949443951)","('rolette ', 1.2848972634764408)","('carpet ', 1.6377837842730367)","('remotecontrol ', 3.0131888803162967)","('remotecontrol ', 3.4585407980618315)","('basketball ', 3.223491445195774)","('baseballball ', 5.430468543378644)"
1,"('highchair ', 1.0000096725620395)","('pallette ', 1.3578657448453242)","('tennisball ', 1.2569534954484696)","('tennisball ', 1.275533083327166)","('tennisball ', 1.275533083327166)","('pallette ', 1.2488065588238462)","('remotecontrol ', 1.2802591485186423)","('bike ', 1.6268780521855621)","('pizza ', 2.8803139319749955)","('wheelbarrow ', 3.1022574464243142)","('remotecontrol ', 3.1651202994614756)","('basketball ', 5.399543507203004)"
2,"('bike ', 1.0000095331866181)","('tennisball ', 1.3267874446089454)","('rubberduck ', 1.2474990293082686)","('rubberduck ', 1.2493528104624534)","('rubberduck ', 1.2493528104624534)","('cone ', 1.2436450221714466)","('bag ', 1.2442316614944349)","('pizza ', 1.6092623699420117)","('carpet ', 2.6556183602714363)","('plant ', 3.0754869112250063)","('tennisball ', 3.0382106964550046)","('carpet ', 5.016986973576475)"
3,"('footballball ', 1.0000095331866181)","('rubberduck ', 1.308431977629884)","('pallette ', 1.195771227956846)","('pallette ', 1.1983260386615517)","('pallette ', 1.1983260386615517)","('tennisball ', 1.239626469507587)","('carpet ', 1.2399958101787596)","('baseballball ', 1.5790607023161598)","('lipstick ', 2.5991139567096617)","('lipstick ', 3.028680300213997)","('baseballball ', 3.003338287334051)","('remotecontrol ', 4.926944693738946)"
4,"('stroller ', 1.0000095331866181)","('sippycup ', 1.2183487661054724)","('stove ', 1.1904056263025518)","('rolette ', 1.1918967184378693)","('rolette ', 1.1918967184378693)","('rubberduck ', 1.2049307556262976)","('beachball ', 1.2254213920471984)","('remotecontrol ', 1.5734037994735095)","('bike ', 2.4725929490746266)","('basketball ', 3.012683681708163)","('carpet ', 2.750627653833657)","('tennisball ', 4.620594252318707)"
5,"('motorcycle ', 1.0000095331866181)","('pizza ', 1.2074660801073065)","('rolette ', 1.189585985286427)","('deskchair ', 1.188143168692761)","('deskchair ', 1.188143168692761)","('rolette ', 1.1916090538050865)","('fridge ', 1.2004028001325422)","('easel ', 1.5704719165187446)","('baseballball ', 2.3580475762986164)","('broom ', 2.987631435471901)","('helmet ', 2.655886094631085)","('helmet ', 4.6177615649235175)"
6,"('tent ', 1.0000095331866181)","('roses ', 1.192370318708625)","('deskchair ', 1.1893362948020538)","('stove ', 1.1878938617944457)","('stove ', 1.1878938617944457)","('bag ', 1.189871165903246)","('roses ', 1.2002063705249808)","('rolette ', 1.5189946890054142)","('rolette ', 2.329831734934969)","('handgun1 (2).JPG', 2.974261526336253)","('cart ', 2.633422584340251)","('handgun1 (2).JPG', 4.253720733522426)"
7,"('dresser ', 1.0000095331866181)","('bag ', 1.1917576217081318)","('sippycup ', 1.1807726119007524)","('sippycup ', 1.1843932678603117)","('sippycup ', 1.1843932678603117)","('sippycup ', 1.1849956334323484)","('pizza ', 1.1932413312516015)","('tennisball ', 1.507295795898514)","('tennisball ', 2.289349970753151)","('tennisball ', 2.9299422059646996)","('lipstick ', 2.6201526470955305)","('cart ', 4.136441441649267)"
8,"('coatrack ', 1.0000094649943658)","('deskchair ', 1.1901826039139045)","('cone ', 1.1737209820330765)","('cone ', 1.178292487256564)","('cone ', 1.178292487256564)","('stove ', 1.1820151779901282)","('deskchair ', 1.1843244938403419)","('sleepingbag ', 1.4955193132998503)","('fish ', 2.269854730842576)","('paper ', 2.923363524807762)","('trafficlight ', 2.5970700948418033)","('trafficlight ', 4.046924384072683)"
9,"('helmet ', 1.0000094649943658)","('train ', 1.1851314827548596)","('pizza ', 1.1689925891529367)","('paper ', 1.1696475405720481)","('paper ', 1.1696475405720481)","('pizza ', 1.1809339320990855)","('motorcycle ', 1.181136400100233)","('pallette ', 1.4721427847556032)","('horse ', 2.2619289493743646)","('trafficlight ', 2.904243467635689)","('wheelbarrow ', 2.567784097944183)","('lipstick ', 4.034344986587656)"
