,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat,Confounds Removed
0,GRCNN55,0,0.999999967883564,0.9967184595938046,0.9971368363512252,7.726045220043264e-06,1.0000034980587729,0.4252043734629438,0.42419196599497555,4.358544247260488e-06,0.474405237991654,True
1,GRCNN55,1,1.037760777225743,4.99349470353693e-05,1.556691076989761e-05,0.00867258377949746,1.0915895608169783,5.003373589824915e-29,5.416552990687831e-33,0.006417611809303005,1.382918305717913e-05,True
2,GRCNN55,2,1.0374339728386819,1.0317131194574892e-05,3.518960081896569e-06,0.007818104966379288,1.0844595841313358,3.491790991440119e-34,9.999308602901152e-37,0.005170859045845689,4.934956143149978e-06,True
3,GRCNN55,3,1.0374344395554533,1.5610317090049823e-05,5.262625050951816e-06,0.008005757454295517,1.0850476318286988,4.526173986939759e-34,9.620251804387339e-37,0.005221522900539659,4.9654390244936415e-06,True
4,GRCNN55,4,1.0374344395554533,1.5610317090049823e-05,5.262625050951816e-06,0.008005757454295517,1.0850476318286988,4.526173986939759e-34,9.620251804387339e-37,0.005221522900539659,4.9654390244936415e-06,True
5,GRCNN55,5,1.0382817573205105,4.2096395053148614e-07,2.0857664110323073e-07,0.006809626070519771,1.079851226077322,4.223298018056582e-33,4.7744614734270877e-35,0.005023751245607175,1.2508687142508296e-05,True
6,GRCNN55,6,1.0259953662457564,0.0007675671762181315,0.0003903129640578354,0.007336367190244121,1.109231753558513,4.272087032234246e-53,3.9745364431485976e-55,0.004404613971938012,6.233035513575548e-13,True
7,GRCNN55,7,1.0589569561799428,2.9773806842297507e-05,1.1405520128689168e-05,0.013105802636731142,1.2945855001215814,1.60003575975023e-65,3.594051139789275e-70,0.009346620726902394,1.1278879649020987e-18,True
8,GRCNN55,8,1.1115293653822227,0.00012901323824673436,4.244929590547508e-05,0.027320020510489193,1.8394360861528158,1.6958613744683236e-69,1.0137618271113537e-78,0.02474708694067127,4.223534711060958e-24,True
9,GRCNN55,9,1.2228563437246196,1.730217687397735e-08,1.3136764303193415e-08,0.0347449042513151,2.3945379549248695,8.915115619026857e-84,2.624118505220215e-77,0.0318421904140219,9.058265541454002e-34,True
10,GRCNN55,10,1.1598685926737065,3.8908089410810824e-11,2.0165710793505497e-11,0.02029472147126127,1.9516712720306282,3.2025958004371203e-63,1.0165685539547479e-75,0.03152601399686248,2.4184090912747233e-24,True
11,GRCNN55,11,1.2992268243380156,1.6128310879025565e-10,5.0731371032213985e-11,0.039690108039172466,2.8077627039264343,6.374922958393142e-59,4.679725771667147e-77,0.06500276905207916,1.5239270870348799e-22,True
