,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10
0,"('60street', 1.0000101942001327)","('08beachball-pail', 1.1720502832097066)","('08beachball-pail', 1.214537857527046)","('08beachball-pail', 1.2190336321491688)","('08beachball-pail', 1.2190336321491688)","('08beachball-pail', 1.1796300303705196)","('30emergency', 1.1302699833269505)","('53ocean', 1.288560957966978)","('53ocean', 1.6009222818893607)","('45kitchen', 1.879394085535821)","('24cleaning', 1.5643923924193508)","('60street', 2.1552117024376822)"
1,"('61street', 1.0000101942001327)","('03backyard', 1.150470335219862)","('03backyard', 1.1519835353584635)","('03backyard', 1.1508330247701652)","('03backyard', 1.1508330247701652)","('57pancakes', 1.1425401756122489)","('46kitchen2', 1.1212007730757052)","('45kitchen', 1.2698383424761803)","('41hiking', 1.5856182329116135)","('24cleaning', 1.8367308481786195)","('45kitchen', 1.5618301967214776)","('64tennis', 2.1520907771808195)"
2,"('21cheese', 1.0000101942001327)","('71valentines', 1.1488940280728672)","('18car', 1.129511091562107)","('18car', 1.1288723522844535)","('18car', 1.1288723522844535)","('03backyard', 1.1261376648322785)","('03backyard', 1.1200152866399509)","('55office-computer-printer', 1.2653696765309763)","('45kitchen', 1.5133359767381966)","('60street', 1.804983775188401)","('64tennis', 1.5360442198778208)","('45kitchen', 2.10617253892947)"
3,"('52motorbike', 1.0000100395066203)","('18car', 1.134527494047002)","('45kitchen', 1.1184805746357551)","('45kitchen', 1.1271856235445576)","('45kitchen', 1.1271856235445576)","('71valentines', 1.1222285884240581)","('53ocean', 1.1081281477882339)","('08beachball-pail', 1.2221547490848175)","('66tools', 1.5057484343148209)","('52motorbike', 1.766056176446547)","('60street', 1.5160069623298926)","('24cleaning', 2.0248415854537014)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('57pancakes', 1.1227084429580605)","('71valentines', 1.1147755099897336)","('71valentines', 1.1155888858209)","('71valentines', 1.1155888858209)","('18car', 1.1199617534777684)","('45kitchen', 1.1079374204511638)","('41hiking', 1.2157571391978257)","('55office-computer-printer', 1.4896721982957999)","('66tools', 1.7620596175262526)","('66tools', 1.499414442656845)","('66tools', 1.9583803386875485)"
5,"('67toy', 1.0000098894377727)","('14boat', 1.1136840454726054)","('42horseriding', 1.106841260053045)","('65toilet', 1.1137208419827949)","('65toilet', 1.1137208419827949)","('60street', 1.106483239258822)","('20casino', 1.1026470425564532)","('18car', 1.2011521732719421)","('50lock', 1.4232960607956568)","('51makeup', 1.7392006745187463)","('52motorbike', 1.4929308964506434)","('51makeup', 1.9270668114117864)"
6,"('23childEating', 1.0000098894377727)","('42horseriding', 1.1128586972373447)","('10bed-dresser', 1.1048987725879602)","('42horseriding', 1.106136067155715)","('42horseriding', 1.106136067155715)","('45kitchen', 1.0959184906171169)","('48livingroom', 1.101207796829208)","('65toilet', 1.1888333351862446)","('65toilet', 1.4012879391387314)","('64tennis', 1.7235573898847456)","('51makeup', 1.4470753878822753)","('52motorbike', 1.8421711188083254)"
7,"('18car', 1.0000098894377727)","('45kitchen', 1.1128307725055164)","('65toilet', 1.1044847236361506)","('10bed-dresser', 1.106110215724885)","('10bed-dresser', 1.106110215724885)","('65toilet', 1.0937078185376858)","('07bathrobe-slippers', 1.0977262383751594)","('37golf', 1.1859410037368017)","('07bathrobe-slippers', 1.3928750732359994)","('63teethhygene', 1.6970947903527094)","('63teethhygene', 1.4191238799566037)","('63teethhygene', 1.7186725047725337)"
8,"('11biking', 1.0000098894377727)","('65toilet', 1.1127489007591824)","('14boat', 1.1033685849619441)","('14boat', 1.1041574145627242)","('14boat', 1.1041574145627242)","('46kitchen2', 1.0900376124829296)","('42horseriding', 1.092030517189188)","('30emergency', 1.1817242883011463)","('24cleaning', 1.374129074891621)","('30emergency', 1.6625636728855464)","('30emergency', 1.3940412082211677)","('30emergency', 1.691979136624802)"
9,"('54office_supply', 1.0000098894377727)","('10bed-dresser', 1.1094800870112262)","('37golf', 1.0935888937492981)","('37golf', 1.0927684888196132)","('37golf', 1.0927684888196132)","('37golf', 1.0874287088131667)","('18car', 1.0893228693764772)","('03backyard', 1.1777004201769812)","('08beachball-pail', 1.3723133099354339)","('65toilet', 1.6177500371988645)","('56office-desk-chair', 1.362879857166918)","('56office-desk-chair', 1.6771735157834011)"
