,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10
0,"('22chess', 0.9994718178634568)","('70tv', 0.8211191558290899)","('70tv', 0.8211191558290899)","('70tv', 0.8946788132051343)","('70tv', 0.7400890578123289)","('70tv', 0.7400890578123289)","('59pizza', 0.8274421613033516)","('59pizza', 0.7693016022982083)","('59pizza', 0.7693016022982083)","('19carpet', 0.714947063913584)","('51makeup', 0.8351589787809665)","('51makeup', 0.8864015725783314)","('19carpet', 0.7969371637964623)","('19carpet', 0.8040783738141455)","('19carpet', 0.8040783738141455)","('51makeup', 0.8680395413112612)","('12birdcage', 0.7545705983705115)","('70tv', 0.9754111499371925)","('08beachball-pail', 0.2409685729142353)"
1,"('06basketball', 0.9998745821547136)","('49livingroom-chair', 0.8573342481257739)","('49livingroom-chair', 0.8573342481257739)","('64tennis', 0.9062322000322384)","('59pizza', 0.7879095409857254)","('59pizza', 0.7879095409857254)","('19carpet', 0.8513664472027036)","('19carpet', 0.7758421916907418)","('19carpet', 0.7758421916907418)","('59pizza', 0.7663505163618665)","('19carpet', 0.8765457403094142)","('19carpet', 0.9077920356110968)","('51makeup', 0.8920301634459018)","('51makeup', 0.8617726463188654)","('51makeup', 0.8617726463188654)","('49livingroom-chair', 0.8853558352014456)","('33fishtank', 0.7800687186525271)","('51makeup', 0.9805940727861822)","('07bathrobe-slippers', 0.34777997978311387)"
2,"('02baby', 1.0000054538854783)","('64tennis', 0.8988507691882088)","('64tennis', 0.8988507691882088)","('49livingroom-chair', 0.9144635548740424)","('49livingroom-chair', 0.7952445964076116)","('49livingroom-chair', 0.7952445964076116)","('70tv', 0.8695469603338812)","('70tv', 0.8442027378171536)","('70tv', 0.8442027378171536)","('05baseball', 0.7709259642244164)","('15bowling', 0.8767029099282926)","('59pizza', 0.9287758928322176)","('12birdcage', 0.8942965527022215)","('59pizza', 0.8780334529574231)","('59pizza', 0.8780334529574231)","('15bowling', 0.9057621958124756)","('49livingroom-chair', 0.7849239269635834)","('25clothing', 0.9836407192760007)","('47laundry', 0.3864341484930769)"
3,"('46kitchen2', 1.0000055379211592)","('55office-computer-printer', 0.9294296419765382)","('55office-computer-printer', 0.9294296419765382)","('11biking', 0.9346101005728461)","('19carpet', 0.7994105444117624)","('19carpet', 0.7994105444117624)","('49livingroom-chair', 0.8979536605037515)","('22chess', 0.8609914977211743)","('22chess', 0.8609914977211743)","('15bowling', 0.7764495465596934)","('59pizza', 0.8769573138450864)","('12birdcage', 0.9302347776198178)","('59pizza', 0.8984845411970414)","('49livingroom-chair', 0.9008191564808322)","('49livingroom-chair', 0.9008191564808322)","('19carpet', 0.9276060193876554)","('19carpet', 0.7920159580457538)","('19carpet', 0.9838492265709944)","('03backyard', 0.5349167278226534)"
4,"('45kitchen', 1.0000055379211592)","('05baseball', 0.9399899020137843)","('05baseball', 0.9399899020137843)","('06basketball', 0.94785063276938)","('11biking', 0.8240445901282353)","('11biking', 0.8240445901282353)","('06basketball', 0.9046514424853122)","('49livingroom-chair', 0.8690597925804026)","('49livingroom-chair', 0.8690597925804026)","('51makeup', 0.8084156947852971)","('22chess', 0.8784091355235627)","('44kayak', 0.9401192463908709)","('25clothing', 0.9137186023575878)","('44kayak', 0.910035187786455)","('44kayak', 0.910035187786455)","('26coathanging', 0.9299076584877137)","('39gun', 0.8437352195103709)","('15bowling', 0.9842818076680241)","('50lock', 0.6137446614768407)"
5,"('10bed-dresser', 1.0000089655355493)","('11biking', 0.9449752286967162)","('11biking', 0.9449752286967162)","('05baseball', 0.9484056404917655)","('06basketball', 0.842340787204305)","('06basketball', 0.842340787204305)","('15bowling', 0.918967089781472)","('51makeup', 0.9027986133704738)","('51makeup', 0.9027986133704738)","('06basketball', 0.8573708757273094)","('05baseball', 0.9118016398756978)","('49livingroom-chair', 0.9490842849021296)","('22chess', 0.9199610729640844)","('12birdcage', 0.9162696662701958)","('12birdcage', 0.9162696662701958)","('44kayak', 0.9328631332456303)","('15bowling', 0.8636340809761963)","('52motorbike', 0.9847976000464672)","('49livingroom-chair', 0.6303995019380202)"
6,"('69tub', 1.000009099550753)","('06basketball', 0.947355958338515)","('06basketball', 0.947355958338515)","('19carpet', 0.9577405127808809)","('15bowling', 0.8635954644566823)","('15bowling', 0.8635954644566823)","('21cheese', 0.9260034496795712)","('12birdcage', 0.9073183210372572)","('12birdcage', 0.9073183210372572)","('12birdcage', 0.857774873873983)","('33fishtank', 0.9301566705067228)","('33fishtank', 0.9490862498455198)","('44kayak', 0.9251816927423377)","('33fishtank', 0.9194440798010115)","('33fishtank', 0.9194440798010115)","('22chess', 0.9455113976361654)","('51makeup', 0.864311351217377)","('59pizza', 0.9860784647466692)","('43ironing', 0.6390808632441329)"
7,"('65toilet', 1.000009099550753)","('16boxing', 0.9540149089147416)","('16boxing', 0.9540149089147416)","('51makeup', 0.9654909447927003)","('22chess', 0.8706943813177058)","('22chess', 0.8706943813177058)","('64tennis', 0.927209673175036)","('15bowling', 0.9144979675054374)","('15bowling', 0.9144979675054374)","('33fishtank', 0.8614476238831732)","('68toys', 0.9372368004152969)","('15bowling', 0.9518902839334552)","('05baseball', 0.9462225663561097)","('25clothing', 0.9221945673719177)","('25clothing', 0.9221945673719177)","('40gym', 0.9463958560943895)","('59pizza', 0.8711598999194203)","('16boxing', 0.9873499076252543)","('25clothing', 0.6396495426631538)"
8,"('63teethhygene', 1.000009099550753)","('01art', 0.9659302317059114)","('01art', 0.9659302317059114)","('21cheese', 0.9659808082826901)","('26coathanging', 0.8862876529461086)","('26coathanging', 0.8862876529461086)","('05baseball', 0.927719310845562)","('44kayak', 0.9150907323284931)","('44kayak', 0.9150907323284931)","('44kayak', 0.8625205058430104)","('44kayak', 0.9423311460663262)","('67toy', 0.9555464375063109)","('49livingroom-chair', 0.9478257730800049)","('22chess', 0.9263610784542012)","('22chess', 0.9263610784542012)","('12birdcage', 0.9570448363869374)","('05baseball', 0.896354316979187)","('45kitchen', 0.9876665241065147)","('10bed-dresser', 0.6693569903780083)"
9,"('73winter', 1.0000094514728177)","('40gym', 0.9666462585627785)","('40gym', 0.9666462585627785)","('45kitchen', 0.9682737819326843)","('64tennis', 0.9041448627988832)","('64tennis', 0.9041448627988832)","('22chess', 0.9289168185956064)","('01art', 0.9191721517077157)","('01art', 0.9191721517077157)","('01art', 0.8755734548316129)","('06basketball', 0.9456444930533264)","('25clothing', 0.9591721731640448)","('11biking', 0.952576349013734)","('05baseball', 0.9283647264667622)","('05baseball', 0.9283647264667622)","('33fishtank', 0.9611313163050799)","('06basketball', 0.9076811118547321)","('12birdcage', 0.9878602436460776)","('52motorbike', 0.6721631423380666)"
