,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('22chess', 0.9994718178634568)","('69tub', 0.8748219089181191)","('70tv', 0.883179203592643)","('70tv', 0.8831707776275376)","('70tv', 0.8831707776275376)","('70tv', 0.7806339279870846)","('70tv', 0.7904450643956453)","('67toy', 0.6823903951465224)","('49livingroom-chair', 0.9268141306580951)","('67toy', 0.987998614732983)"
1,"('06basketball', 0.9998745821547136)","('38groceryshopping', 0.9117173765499681)","('64tennis', 0.9154802847324235)","('64tennis', 0.9155174712773203)","('64tennis', 0.9155174712773203)","('49livingroom-chair', 0.8455598402563714)","('49livingroom-chair', 0.892345082994295)","('15bowling', 0.6909765231864259)","('68toys', 0.9428181818454986)","('68toys', 0.9914760074899558)"
2,"('02baby', 1.0000054538854783)","('01art', 0.9271131738401919)","('11biking', 0.9202053239129399)","('11biking', 0.9201539661872824)","('11biking', 0.9201539661872824)","('06basketball', 0.8879539501620572)","('59pizza', 0.9110725451662182)","('51makeup', 0.7363460150023062)","('70tv', 0.9488151270218635)","('49livingroom-chair', 0.9928437844151701)"
3,"('46kitchen2', 1.0000055379211592)","('21cheese', 0.940159312274751)","('49livingroom-chair', 0.9300242856311001)","('49livingroom-chair', 0.9300029407833998)","('49livingroom-chair', 0.9300029407833998)","('15bowling', 0.9024374146148029)","('11biking', 0.92279088895986)","('01art', 0.7370423918194292)","('26coathanging', 0.954374771668944)","('28construction', 0.9932601408031431)"
4,"('45kitchen', 1.0000055379211592)","('44kayak', 0.9508179375470187)","('40gym', 0.954224744811973)","('40gym', 0.9541677416311376)","('40gym', 0.9541677416311376)","('11biking', 0.9087660885979689)","('01art', 0.9251858572574628)","('19carpet', 0.8074775772805918)","('67toy', 0.9570396600720086)","('29cooking', 0.9939363989145724)"
5,"('10bed-dresser', 1.0000089655355493)","('59pizza', 0.9586696636283859)","('39gun', 0.9575458962078831)","('39gun', 0.9573217621295659)","('39gun', 0.9573217621295659)","('64tennis', 0.9227120430027788)","('05baseball', 0.9319908797134827)","('22chess', 0.8174001164916262)","('11biking', 0.964103248347521)","('19carpet', 0.9943089567555149)"
6,"('69tub', 1.000009099550753)","('64tennis', 0.9595705049694642)","('05baseball', 0.9583096171275544)","('05baseball', 0.9584490328909212)","('05baseball', 0.9584490328909212)","('40gym', 0.9251518774752804)","('06basketball', 0.9352071376872902)","('49livingroom-chair', 0.8181847858097989)","('12birdcage', 0.9645203048636614)","('26coathanging', 0.9943179266320537)"
7,"('65toilet', 1.000009099550753)","('23childEating', 0.9643987048641947)","('06basketball', 0.9605398118986269)","('06basketball', 0.9605497404643024)","('06basketball', 0.9605497404643024)","('19carpet', 0.931027859967198)","('64tennis', 0.9353195759479119)","('12birdcage', 0.8352659093539321)","('19carpet', 0.9659159028637699)","('22chess', 0.9954303058488178)"
8,"('63teethhygene', 1.000009099550753)","('73winter', 0.9723519194335507)","('21cheese', 0.9607504706448727)","('21cheese', 0.9608652233469622)","('21cheese', 0.9608652233469622)","('26coathanging', 0.9514093452558006)","('58party', 0.9452133857258032)","('59pizza', 0.8398153460640296)","('62sushi', 0.9711129869556717)","('01art', 0.9959482759275772)"
9,"('73winter', 1.0000094514728177)","('28construction', 0.9726092396386956)","('59pizza', 0.9609766293044174)","('59pizza', 0.9610920684378965)","('59pizza', 0.9610920684378965)","('59pizza', 0.9569031167066803)","('15bowling', 0.9473192263446457)","('28construction', 0.8511669220146751)","('06basketball', 0.972225004517635)","('44kayak', 0.9959972871728264)"
