,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('60street', 1.0000101942001327)","('71valentines', 1.0920912977938935)","('20casino', 1.06999637901735)","('20casino', 1.0700018768562698)","('20casino', 1.0700018768562698)","('50lock', 1.1381707265188514)","('71valentines', 1.1125154311277963)","('66tools', 1.3794237043931563)","('61street', 1.0607625150861741)","('53ocean', 1.0127875116672271)"
1,"('61street', 1.0000101942001327)","('57pancakes', 1.0828512033236208)","('50lock', 1.0659696347493255)","('50lock', 1.0659952888819633)","('50lock', 1.0659952888819633)","('71valentines', 1.1293543822004108)","('42horseriding', 1.106773397212777)","('31farm', 1.3468207607404838)","('31farm', 1.0593421800322818)","('71valentines', 1.0112314855699551)"
2,"('21cheese', 1.0000101942001327)","('03backyard', 1.0723705276050108)","('42horseriding', 1.0633292593419705)","('42horseriding', 1.063347969854421)","('42horseriding', 1.063347969854421)","('53ocean', 1.1284035848006018)","('50lock', 1.105238324171367)","('63teethhygene', 1.3429769057700331)","('71valentines', 1.0588020133655793)","('45kitchen', 1.0106447979388904)"
3,"('52motorbike', 1.0000100395066203)","('18car', 1.0716672175361073)","('08beachball-pail', 1.062510702292125)","('08beachball-pail', 1.0625734341620166)","('08beachball-pail', 1.0625734341620166)","('65toilet', 1.1253609055289506)","('53ocean', 1.1042888134627253)","('55office-computer-printer', 1.268145356986265)","('55office-computer-printer', 1.0553783376843493)","('42horseriding', 1.0101311463646971)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('65toilet', 1.0635537840923128)","('71valentines', 1.061715418038831)","('71valentines', 1.0617039003127005)","('71valentines', 1.0617039003127005)","('42horseriding', 1.122993021236476)","('03backyard', 1.0966708786030708)","('24cleaning', 1.2565281903468994)","('20casino', 1.0462174406142575)","('10bed-dresser', 1.0092151309782225)"
5,"('67toy', 1.0000098894377727)","('20casino', 1.0614343886246376)","('14boat', 1.053761040009932)","('14boat', 1.0537427542671327)","('14boat', 1.0537427542671327)","('20casino', 1.1099263064211478)","('08beachball-pail', 1.0892585478763674)","('71valentines', 1.2298329307150937)","('53ocean', 1.0457519918386724)","('55office-computer-printer', 1.009122788727148)"
6,"('23childEating', 1.0000098894377727)","('45kitchen', 1.0606334225040026)","('30emergency', 1.053495642093741)","('30emergency', 1.0535177326622156)","('30emergency', 1.0535177326622156)","('31farm', 1.10740229708962)","('69tub', 1.0884771248008296)","('42horseriding', 1.222871237438181)","('10bed-dresser', 1.0429976633661535)","('66tools', 1.0084652881132805)"
7,"('18car', 1.0000098894377727)","('42horseriding', 1.0595610881272366)","('53ocean', 1.0525989595627887)","('53ocean', 1.0525871085712464)","('53ocean', 1.0525871085712464)","('57pancakes', 1.1048216862470162)","('56office-desk-chair', 1.0860870870102644)","('03backyard', 1.2219156366083508)","('57pancakes', 1.042023725850126)","('08beachball-pail', 1.0082754514967758)"
8,"('11biking', 1.0000098894377727)","('14boat', 1.0587843911915407)","('65toilet', 1.0521432677864293)","('65toilet', 1.0521672802827682)","('65toilet', 1.0521672802827682)","('14boat', 1.0995520600380184)","('57pancakes', 1.0803713135136548)","('10bed-dresser', 1.2175595175465617)","('42horseriding', 1.0412864059191693)","('03backyard', 1.007062679361772)"
9,"('54office_supply', 1.0000098894377727)","('46kitchen2', 1.0583355721150918)","('41hiking', 1.0511566375925117)","('41hiking', 1.0511773740659176)","('41hiking', 1.0511773740659176)","('41hiking', 1.0978855805257624)","('31farm', 1.07768449601754)","('53ocean', 1.2109245441684302)","('40gym', 1.0389760765016673)","('31farm', 1.0068936233341392)"
