,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('basketballrim ', 1.000009743789258)","('tennisball ', 1.3137351213888682)","('bike ', 1.2224344026815923)","('bike ', 1.222442854217118)","('bike ', 1.222442854217118)","('lamp ', 1.5536741636654776)","('bike ', 1.4902973698342936)","('rolette ', 2.2329433204261613)","('rolette ', 1.2789682044298645)","('rolette ', 1.0392360202238053)"
1,"('highchair ', 1.0000096725620395)","('pallette ', 1.2482920576575232)","('lamp ', 1.1895445953525359)","('lamp ', 1.1895487566969778)","('lamp ', 1.1895487566969778)","('bike ', 1.4670102367649396)","('carpet ', 1.470478541136775)","('bike ', 2.174559297284169)","('backhoe ', 1.2238052599232419)","('bike ', 1.0385945127576546)"
2,"('bike ', 1.0000095331866181)","('rubberduck ', 1.2335236245031032)","('carpet ', 1.1362253194844802)","('carpet ', 1.136208866720026)","('carpet ', 1.136208866720026)","('carpet ', 1.3849772457560938)","('rubberduck ', 1.3758681693972552)","('horse ', 2.148590157064232)","('bike ', 1.2173047252638007)","('horse ', 1.0378032465086677)"
3,"('footballball ', 1.0000095331866181)","('beachball ', 1.2270161536235504)","('pants ', 1.1229829740751394)","('pants ', 1.1229808395115526)","('pants ', 1.1229808395115526)","('rubberduck ', 1.36245802961817)","('excersiceequipment ', 1.310608258202918)","('tractor ', 1.9769880270423341)","('scissors ', 1.2095340544904503)","('tractor ', 1.0348069837332434)"
4,"('stroller ', 1.0000095331866181)","('bag ', 1.1627906937865617)","('rubberduck ', 1.1199414997726302)","('rubberduck ', 1.1199311857688479)","('rubberduck ', 1.1199311857688479)","('coatrack ', 1.3325648915658717)","('lamp ', 1.290829097120133)","('helm2.jpg', 1.877579471942761)","('fish ', 1.1917550012760207)","('motorcycle ', 1.0341062721349539)"
5,"('motorcycle ', 1.0000095331866181)","('train ', 1.1546650978703865)","('pizza ', 1.1150804234434004)","('pizza ', 1.1150521423480189)","('pizza ', 1.1150521423480189)","('easel ', 1.3127407455564768)","('rolette ', 1.2829106156402699)","('rubberduck ', 1.8662483766563323)","('tractor ', 1.1847736137589993)","('ambulance ', 1.033045148464119)"
6,"('tent ', 1.0000095331866181)","('sippycup ', 1.1424895494623963)","('tennisball ', 1.1144003946249075)","('tennisball ', 1.114386168501306)","('tennisball ', 1.114386168501306)","('pizza ', 1.2772122699150905)","('remotecontrol ', 1.282181427836134)","('pizza ', 1.8503802186646625)","('umbrella ', 1.1826043320698567)","('toothpaste ', 1.0294412625014158)"
7,"('dresser ', 1.0000095331866181)","('pizza ', 1.142006857259748)","('beachball ', 1.11429891354848)","('beachball ', 1.1143250662191246)","('beachball ', 1.1143250662191246)","('television ', 1.260413172953263)","('coatrack ', 1.2626929065120784)","('pants ', 1.823741026066571)","('rubberduck ', 1.181296887351896)","('hammer ', 1.0291520984002127)"
8,"('coatrack ', 1.0000094649943658)","('pancake ', 1.136945196081098)","('paper ', 1.1124110535948106)","('paper ', 1.112409961058344)","('paper ', 1.112409961058344)","('toothbrush ', 1.2595494686145454)","('beachball ', 1.2492662885483394)","('coatrack ', 1.8198186123822453)","('bowlingpin ', 1.174262211471371)","('backhoe ', 1.028517492729787)"
9,"('helmet ', 1.0000094649943658)","('mailbox ', 1.1254824117918878)","('sofa ', 1.1042319023972642)","('sofa ', 1.1042264714342291)","('sofa ', 1.1042264714342291)","('racket ', 1.250299975932818)","('motorcycle ', 1.239251468787026)","('remotecontrol ', 1.78783643930866)","('handgun1 (2).JPG', 1.1707827333147687)","('pizza ', 1.028031115148408)"
