,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece (2).jpg', 0.9994479582366893)","('lego (2).jpg', 0.9634804619046136)","('chopsticks (2).jpg', 0.9739610825162194)","('chopsticks (2).jpg', 0.9740158852879494)","('chopsticks (2).jpg', 0.9740158852879494)","('fish (2).jpg', 0.9694202246474699)","('nail (2).jpg', 0.9880042564851768)","('dustpan (2).jpg', 0.9785907250261441)","('beachchair (2).jpg', 0.6108993325245606)","('nail (2).jpg', 0.9845987208105074)"
1,"('basketball (2).jpg', 0.9997396363836301)","('balloon (2).jpg', 0.9690907046902645)","('strecher (2).jpg', 0.9844580700883718)","('strecher (2).jpg', 0.9842149276295109)","('strecher (2).jpg', 0.9842149276295109)","('washer (2).jpg', 0.9755648092439452)","('fishbowl (2).jpg', 0.9880344014437609)","('footballball (2).jpg', 1.0150716492802119)","('laundry (2).jpg', 0.6829879777624699)","('trophy (2).jpg', 0.9886426657889665)"
2,"('bowlingpin (2).jpg', 1.0000081872830517)","('toothbrush (2).jpg', 0.9693033578753134)","('bathrobe (2).jpg', 0.9947564854652622)","('bathrobe (2).jpg', 0.9948443183241735)","('bathrobe (2).jpg', 0.9948443183241735)","('fishbowl (2).jpg', 0.9830292475640203)","('balloon (2).jpg', 1.0003269098899183)","('cheesegrater (2).jpg', 1.0239885163038611)","('desk (2).jpg', 0.7874855104824782)","('chopsticks (2).jpg', 0.9912493093847944)"
3,"('tennisball (2).jpg', 1.0000081872830517)","('bat (2).jpg', 0.9731634318632191)","('bat (2).jpg', 0.99746704653923)","('bat (2).jpg', 0.9972896653818369)","('bat (2).jpg', 0.9972896653818369)","('bathrobe (2).jpg', 0.9842494157981366)","('sushi (2).jpg', 1.0063859358360763)","('basketballrim (2).jpg', 1.0525226458885086)","('fishbowl (2).jpg', 0.8179770454581281)","('television (2).jpg', 0.993186643594953)"
4,"('helmet (2).jpg', 1.0000081872830517)","('bowlingball (2).jpg', 0.9802767911605978)","('fishbowl (2).jpg', 1.0025738413377792)","('fishbowl (2).jpg', 1.002452959353877)","('fishbowl (2).jpg', 1.002452959353877)","('umbrella (2).jpg', 0.9927151590084673)","('chopsticks (2).jpg', 1.007564491283957)","('dishrack (2).jpg', 1.0759466388994212)","('backyard_grill (2).jpg', 0.9047331752520917)","('birdcage (2).jpg', 0.9933169387865947)"
5,"('beachpail (2).jpg', 1.0000081872830517)","('cake (2).jpg', 0.9846140684817652)","('balloon (2).jpg', 1.0089205652946747)","('balloon (2).jpg', 1.0091938121193105)","('balloon (2).jpg', 1.0091938121193105)","('chopsticks (2).jpg', 1.0051494319771452)","('rainboots (2).jpg', 1.0180433600785568)","('sippycup (2).jpg', 1.0826208136325033)","('footballball (2).jpg', 0.9067826339912091)","('dresser (2).jpg', 0.9963099010141423)"
6,"('bat (2).jpg', 1.0000081872830517)","('fish (2).jpg', 0.989599196930354)","('umbrella (2).jpg', 1.0099891871770892)","('umbrella (2).jpg', 1.0097661377595095)","('umbrella (2).jpg', 1.0097661377595095)","('bat (2).jpg', 1.007922681971345)","('umbrella (2).jpg', 1.0228903699486434)","('sushi (2).jpg', 1.0831068154233074)","('cheesegrater (2).jpg', 0.9307328322635665)","('boxing_gloves (2).jpg', 0.9985531511241311)"
7,"('deskchair (2).jpg', 1.0000085154874656)","('broom (2).jpg', 0.9903946301883857)","('highchair (2).jpg', 1.0112671170863847)","('highchair (2).jpg', 1.011164960812285)","('highchair (2).jpg', 1.011164960812285)","('helmet (2).jpg', 1.0142459670025081)","('birdcage (2).jpg', 1.0267168989443156)","('ovenmitt (2).jpg', 1.0932182150726688)","('chair (2).jpg', 0.9572588466651442)","('belt (2).jpg', 1.000193152465832)"
8,"('lamp (2).jpg', 1.0000085154874656)","('dustpan (2).jpg', 0.991077607746381)","('fish (2).jpg', 1.0139276760424436)","('fish (2).jpg', 1.0143381767472663)","('fish (2).jpg', 1.0143381767472663)","('coffeemaker (2).jpg', 1.0162944040056867)","('hairdryer (2).jpg', 1.0273824704299819)","('dresser (2).jpg', 1.0987739847633793)","('fridge (2).jpg', 0.9657997328772872)","('parrot (2).jpg', 1.001280779342549)"
9,"('chair (2).jpg', 1.0000085777357148)","('dumbbell (2).jpg', 0.993029361816191)","('helmet (2).jpg', 1.0150672809607493)","('helmet (2).jpg', 1.015237579064405)","('helmet (2).jpg', 1.015237579064405)","('garbagebag (2).jpg', 1.0194625385302372)","('bowlingpin (2).jpg', 1.0294248729892184)","('golfclubs (2).jpg', 1.104332210727632)","('dresser (2).jpg', 0.9684287236692168)","('kayak (2).jpg', 1.0026308580829044)"
