,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('22chess', 0.9994718178634568)","('69tub', 0.9161574568631926)","('70tv', 0.8129522105848923)","('70tv', 0.8131769820175102)","('70tv', 0.8131769820175102)","('70tv', 0.8176402531688008)","('05baseball', 0.7968766292269713)","('51makeup', 0.6413791016451913)","('22chess', 0.7024948665522917)","('12birdcage', 0.9827684630992696)"
1,"('06basketball', 0.9998745821547136)","('38groceryshopping', 0.93099186522233)","('49livingroom-chair', 0.9002944816000258)","('49livingroom-chair', 0.9002025810600482)","('49livingroom-chair', 0.9002025810600482)","('64tennis', 0.8467712540818392)","('11biking', 0.8231507324811549)","('19carpet', 0.723967956295433)","('70tv', 0.7593373904368701)","('66tools', 0.9828666136183479)"
2,"('02baby', 1.0000054538854783)","('64tennis', 0.9392763336091966)","('11biking', 0.9014009952531228)","('11biking', 0.9011820236523629)","('11biking', 0.9011820236523629)","('40gym', 0.8662659195755649)","('01art', 0.8271142802878781)","('01art', 0.7836004248768529)","('06basketball', 0.7740930339198197)","('28construction', 0.9840047268169742)"
3,"('46kitchen2', 1.0000055379211592)","('21cheese', 0.9428461267346159)","('06basketball', 0.9207183777579355)","('06basketball', 0.920667404246465)","('06basketball', 0.920667404246465)","('11biking', 0.8745465648567239)","('59pizza', 0.8620187216941897)","('22chess', 0.8040773500927128)","('09beachumbrella-chair', 0.8164576413253295)","('15bowling', 0.9849778346949661)"
4,"('45kitchen', 1.0000055379211592)","('73winter', 0.9677367722856731)","('64tennis', 0.935287731458065)","('40gym', 0.9349507006205947)","('40gym', 0.9349507006205947)","('26coathanging', 0.8787324115659434)","('70tv', 0.8676871364744484)","('05baseball', 0.8112022211268874)","('52motorbike', 0.8187964257762113)","('67toy', 0.9853187610005097)"
5,"('10bed-dresser', 1.0000089655355493)","('01art', 0.9734470430348676)","('40gym', 0.9353965421124776)","('64tennis', 0.9355612988166926)","('64tennis', 0.9355612988166926)","('06basketball', 0.8823512046749884)","('06basketball', 0.8693043833777221)","('15bowling', 0.8159620795623166)","('19carpet', 0.8298642646225007)","('25clothing', 0.9872415919442733)"
6,"('69tub', 1.000009099550753)","('05baseball', 0.9759200143666352)","('55office-computer-printer', 0.9450998509861591)","('55office-computer-printer', 0.9453213304722197)","('55office-computer-printer', 0.9453213304722197)","('49livingroom-chair', 0.8925108309005371)","('19carpet', 0.8791185958159579)","('39gun', 0.8296942740026053)","('39gun', 0.8662461157917246)","('68toys', 0.9879438477898563)"
7,"('65toilet', 1.000009099550753)","('63teethhygene', 0.9771556976469362)","('15bowling', 0.9453990702113019)","('15bowling', 0.9458658121010026)","('15bowling', 0.9458658121010026)","('58party', 0.9175542368926788)","('64tennis', 0.8939586034156947)","('44kayak', 0.8354551414528179)","('73winter', 0.8899385199942915)","('11biking', 0.9898016140661203)"
8,"('63teethhygene', 1.000009099550753)","('23childEating', 0.9785147783029904)","('61street', 0.9551706638000238)","('61street', 0.9544397261766124)","('61street', 0.9544397261766124)","('73winter', 0.9271785346239672)","('33fishtank', 0.8986392086174201)","('12birdcage', 0.8422212834675608)","('10bed-dresser', 0.8950444357809768)","('19carpet', 0.9911041549994475)"
9,"('73winter', 1.0000094514728177)","('24cleaning', 0.9794001699974639)","('26coathanging', 0.9553618323069045)","('26coathanging', 0.9553776715636099)","('26coathanging', 0.9553776715636099)","('01art', 0.9311980130221872)","('15bowling', 0.904189305507161)","('25clothing', 0.8569158615185932)","('47laundry', 0.8990782738305132)","('62sushi', 0.9911383188268479)"
