,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece ', 0.9994479582366893)","('lego ', 0.8856142530397335)","('nail ', 0.9898037242667349)","('nail ', 0.9898556332462141)","('nail ', 0.9898556332462141)","('balloon ', 0.9740710008107849)","('computer ', 0.9664651297825639)","('sippycup ', 1.1193099217753777)","('chair ', 1.0027420074360855)","('basketballrim ', 1.0014823064510898)"
1,"('basketball ', 0.9997396363836301)","('balloon ', 0.9121866619329345)","('helmet ', 0.9964074948679749)","('helmet ', 0.9964635652109842)","('helmet ', 0.9964635652109842)","('fishbowl ', 1.0041273314254757)","('fish ', 0.9861243724440886)","('laundry ', 1.1529723706261574)","('birdcage ', 1.003598888561372)","('birdcage ', 1.003130350208587)"
2,"('bowlingpin ', 1.0000081872830517)","('stroller ', 0.9426866438584233)","('fishbowl ', 1.0120950405182287)","('fishbowl ', 1.012085556857772)","('fishbowl ', 1.012085556857772)","('fish ', 1.005639242920049)","('balloon ', 1.0078879755726138)","('basketballrim ', 1.1565945007541223)","('laundry ', 1.0049197436725128)","('laundry ', 1.0039245820521252)"
3,"('tennisball ', 1.0000081872830517)","('broom ', 0.957773123922819)","('bowlingpin ', 1.0131006049357283)","('bowlingpin ', 1.013116737871062)","('bowlingpin ', 1.013116737871062)","('umbrella ', 1.0087718138409023)","('helmet ', 1.0115188292869413)","('cake ', 1.1801719770473749)","('beachpail ', 1.007396607064938)","('trophy ', 1.0039464987094517)"
4,"('helmet ', 1.0000081872830517)","('toothbrush ', 0.9628434093350094)","('stove ', 1.0198493806355189)","('stove ', 1.0199051788639921)","('stove ', 1.0199051788639921)","('computer ', 1.0136862062110552)","('cheesegrater ', 1.0168871019975023)","('dustpan ', 1.2134225939636534)","('cheesegrater ', 1.0105539153674044)","('pokerchips ', 1.00426076760281)"
5,"('beachpail ', 1.0000081872830517)","('washer ', 0.9776281171230335)","('computer ', 1.0236492998699442)","('computer ', 1.0232104315457955)","('computer ', 1.0232104315457955)","('cheesegrater ', 1.0158879191262202)","('cake ', 1.0202873630303346)","('ovenmitt ', 1.255024806484491)","('toiletseat ', 1.0135840875864208)","('dishrack ', 1.0048848705392108)"
6,"('bat ', 1.0000081872830517)","('dumbbell ', 0.9776371435693332)","('cake ', 1.0250165478183708)","('cake ', 1.0249978409221567)","('cake ', 1.0249978409221567)","('laundry ', 1.0189110709019724)","('dustpan ', 1.0307581394477345)","('cheesegrater ', 1.2705647836827116)","('trophy ', 1.0152428381306746)","('dustpan ', 1.00519718112175)"
7,"('deskchair ', 1.0000085154874656)","('lifejacket ', 0.9784034374099997)","('garbagebag ', 1.025091679011893)","('garbagebag ', 1.0251486290845235)","('garbagebag ', 1.0251486290845235)","('cake ', 1.0194902823920902)","('washer ', 1.0371365255922902)","('pot ', 1.2714919778100147)","('dustpan ', 1.0161638116366691)","('sippycup ', 1.0055455500132113)"
8,"('lamp ', 1.0000085154874656)","('beachpail ', 0.9784993261703895)","('umbrella ', 1.0255578755748034)","('umbrella ', 1.0254933859159978)","('umbrella ', 1.0254933859159978)","('nail ', 1.0212143642344913)","('nail ', 1.0372622150318398)","('ironing ', 1.3064477382390116)","('basketballrim ', 1.0163134093326953)","('ovenmitt ', 1.005563631619805)"
9,"('chair ', 1.0000085777357148)","('bowlingball ', 0.9785836782532737)","('cheesegrater ', 1.0349810482825614)","('cheesegrater ', 1.0350986811508438)","('cheesegrater ', 1.0350986811508438)","('crib ', 1.0235630838917271)","('garbagebag ', 1.041354631997165)","('dresser ', 1.3144106523919579)","('backyard_grill ', 1.0169543719636414)","('medal ', 1.0055769450310528)"
