,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece ', 0.9994479582366893)","('lego ', 0.9232457342055483)","('balloon ', 0.9732220097781145)","('balloon ', 0.973094975733135)","('balloon ', 0.973094975733135)","('toothbrush ', 0.9822171657122312)","('toothbrush ', 0.9810541878162463)","('laundry ', 1.1022382706306848)","('laundry ', 1.227694337607715)","('laundry ', 1.1731088614180112)"
1,"('basketball ', 0.9997396363836301)","('balloon ', 0.9391649368527096)","('toothbrush ', 0.9767660530707577)","('toothbrush ', 0.9768343381038453)","('toothbrush ', 0.9768343381038453)","('balloon ', 0.9973390959958365)","('rainboots ', 1.0166976097985914)","('rainboots ', 1.1735766761028927)","('dustpan ', 1.2933043608501038)","('dustpan ', 1.2531854544330923)"
2,"('bowlingpin ', 1.0000081872830517)","('toothbrush ', 0.9651420789251857)","('lego ', 0.9786611309898082)","('lego ', 0.9790171864214092)","('lego ', 0.9790171864214092)","('fishbowl ', 0.9999334769987567)","('broom ', 1.0374964194029057)","('nail ', 1.1802648814580228)","('basketballrim ', 1.3120674636086616)","('pokerchips ', 1.303991098527538)"
3,"('tennisball ', 1.0000081872830517)","('stroller ', 0.9665660029900536)","('bat ', 0.9823055670709583)","('broom ', 0.9826233259366121)","('broom ', 0.9826233259366121)","('bowlingball ', 1.0016033630645702)","('beachchair ', 1.041821992691573)","('fishbowl ', 1.2540349632530308)","('nail ', 1.3469937821583484)","('basketballrim ', 1.3070010760971382)"
4,"('helmet ', 1.0000081872830517)","('broom ', 0.9715464841524056)","('broom ', 0.9826647484115416)","('bat ', 0.9826992822550994)","('bat ', 0.9826992822550994)","('rainboots ', 1.001714142988003)","('punchingbag ', 1.042205803752002)","('ovenmitt ', 1.2622203747535654)","('dumbbell ', 1.36062369372293)","('balloon ', 1.324308349646885)"
5,"('beachpail ', 1.0000081872830517)","('washer ', 0.9745553787311133)","('dumbbell ', 0.9887683820667189)","('dumbbell ', 0.9884430804211537)","('dumbbell ', 0.9884430804211537)","('fish ', 1.0078847693783108)","('dustpan ', 1.0444276073884717)","('ironing ', 1.2709293266797033)","('rainboots ', 1.3813920044524723)","('dumbbell ', 1.3245990549725348)"
6,"('bat ', 1.0000081872830517)","('lifejacket ', 0.9846550909893221)","('fish ', 0.9929529297441481)","('fish ', 0.9924529330064186)","('fish ', 0.9924529330064186)","('lego ', 1.0095079145466885)","('medal ', 1.0463209759610905)","('trophy ', 1.2933485946630923)","('pokerchips ', 1.3830710061013043)","('nail ', 1.3483377543023858)"
7,"('deskchair ', 1.0000085154874656)","('bowlingball ', 0.9888469384838022)","('cheesegrater ', 0.9942039201906628)","('cheesegrater ', 0.9937517092863815)","('cheesegrater ', 0.9937517092863815)","('dumbbell ', 1.010230039253098)","('fishbowl ', 1.0465173004945485)","('stroller ', 1.298312380474781)","('board ', 1.3970812100321799)","('rainboots ', 1.3489135207058836)"
8,"('lamp ', 1.0000085154874656)","('dustpan ', 0.9904597827903767)","('sushi ', 0.9963115028790572)","('sushi ', 0.9969992450884534)","('sushi ', 0.9969992450884534)","('laundry ', 1.0106321071125395)","('tent ', 1.04878095687187)","('basketballrim ', 1.3108696229033479)","('balloon ', 1.3976604430762283)","('board ', 1.3551644624577104)"
9,"('chair ', 1.0000085777357148)","('cake ', 0.9938943301661318)","('washer ', 0.9981146570883872)","('desk ', 0.9983054847074094)","('desk ', 0.9983054847074094)","('desk ', 1.012013815305914)","('ironing ', 1.0491743776025844)","('garbagebin ', 1.313184315302408)","('garbagebin ', 1.4269356124271486)","('belt ', 1.36957609060972)"
