,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('22chess', 0.9994718178634568)","('69tub', 0.8642714658920321)","('64tennis', 0.9228054731850708)","('64tennis', 0.9229223068885868)","('64tennis', 0.9229223068885868)","('64tennis', 0.9331679949457499)","('38groceryshopping', 0.8548785642334661)","('01art', 0.5047042584423933)","('19carpet', 0.5482374510009123)","('19carpet', 0.5573184753369255)"
1,"('06basketball', 0.9998745821547136)","('38groceryshopping', 0.9062392779361974)","('21cheese', 0.950131790490061)","('21cheese', 0.950879094037899)","('21cheese', 0.950879094037899)","('05baseball', 0.950830474758516)","('01art', 0.8890283904640549)","('47laundry', 0.7541941269703524)","('59pizza', 0.6884746668999514)","('59pizza', 0.5895315003456175)"
2,"('02baby', 1.0000054538854783)","('21cheese', 0.9187090903245034)","('69tub', 0.9683697293175532)","('69tub', 0.9694882911148051)","('69tub', 0.9694882911148051)","('28construction', 0.9566716871126425)","('63teethhygene', 0.91664125862036)","('19carpet', 0.7581700559069208)","('25clothing', 0.6887022567980894)","('25clothing', 0.7480077267026503)"
3,"('46kitchen2', 1.0000055379211592)","('01art', 0.9263200623562372)","('28construction', 0.9721209220356266)","('28construction', 0.9721872863572519)","('28construction', 0.9721872863572519)","('21cheese', 0.9607977813939982)","('05baseball', 0.9189729571134737)","('51makeup', 0.7745775545053748)","('01art', 0.6947187376177775)","('01art', 0.7530451126807509)"
4,"('45kitchen', 1.0000055379211592)","('64tennis', 0.9411351336223561)","('62sushi', 0.9755503573870453)","('62sushi', 0.9746381574989749)","('62sushi', 0.9746381574989749)","('51makeup', 0.9699116168018667)","('19carpet', 0.9263054788416357)","('12birdcage', 0.7910015354807682)","('38groceryshopping', 0.7374000306498057)","('02baby', 0.7630852130923896)"
5,"('10bed-dresser', 1.0000089655355493)","('23childEating', 0.954456474329699)","('38groceryshopping', 0.9787886028075754)","('38groceryshopping', 0.978479308718754)","('38groceryshopping', 0.978479308718754)","('63teethhygene', 0.9786309034485268)","('59pizza', 0.934612375403532)","('02baby', 0.7929256670600995)","('28construction', 0.8188610659360042)","('12birdcage', 0.841199607802482)"
6,"('69tub', 1.000009099550753)","('44kayak', 0.9563355762582997)","('05baseball', 0.98322595182761)","('05baseball', 0.982225372249241)","('05baseball', 0.982225372249241)","('70tv', 0.9843501167010643)","('70tv', 0.9379789022557912)","('39gun', 0.8147289180812017)","('12birdcage', 0.8319707925554465)","('22chess', 0.8695630533843715)"
7,"('65toilet', 1.000009099550753)","('59pizza', 0.9637644766926132)","('44kayak', 0.985185958570725)","('44kayak', 0.984892182377562)","('44kayak', 0.984892182377562)","('24cleaning', 0.9852022228386342)","('64tennis', 0.9492674015101892)","('67toy', 0.835650762623866)","('22chess', 0.8369724930430824)","('28construction', 0.8726262074728743)"
8,"('63teethhygene', 1.000009099550753)","('73winter', 0.9640231335683407)","('24cleaning', 0.9862073205166759)","('24cleaning', 0.9858320264414339)","('24cleaning', 0.9858320264414339)","('44kayak', 0.9877311043645896)","('21cheese', 0.952655360749038)","('38groceryshopping', 0.8406147168530222)","('02baby', 0.8464402370585904)","('38groceryshopping', 0.8855775405693358)"
9,"('73winter', 1.0000094514728177)","('63teethhygene', 0.9775544217042195)","('63teethhygene', 0.9876888964682387)","('63teethhygene', 0.9879233807143883)","('63teethhygene', 0.9879233807143883)","('33fishtank', 0.9882409172460536)","('51makeup', 0.9552616417334825)","('68toys', 0.8668922453574502)","('67toy', 0.8496517149775898)","('49livingroom-chair', 0.914084806416435)"
