,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('basketballrim ', 1.000009743789258)","('beachball ', 1.2759172830023704)","('beachball ', 1.110833982416989)","('beachball ', 1.110867987190384)","('beachball ', 1.110867987190384)","('beachball ', 1.1745119275830445)","('carpet ', 1.3398109586947928)","('carpet ', 2.7673113231949156)","('tableset ', 4.191101562863183)","('tableset ', 4.411165184696114)"
1,"('highchair ', 1.0000096725620395)","('pallette ', 1.2142572985697542)","('tennisball ', 1.0913720986250595)","('tennisball ', 1.0949583083375953)","('tennisball ', 1.0949583083375953)","('remotecontrol ', 1.1284857201621468)","('remotecontrol ', 1.3203027823675126)","('remotecontrol ', 2.482614776143476)","('backhoe ', 3.2771129767093976)","('pizza ', 3.8722305653986004)"
2,"('bike ', 1.0000095331866181)","('tennisball ', 1.1990474184197122)","('pallette ', 1.070541003512265)","('pallette ', 1.0702492476014995)","('pallette ', 1.0702492476014995)","('carpet ', 1.1206462978085054)","('beachball ', 1.2922013035887248)","('rolette ', 2.2439210138763133)","('pizza ', 3.2138429786510896)","('television ', 3.126805445292427)"
3,"('footballball ', 1.0000095331866181)","('rubberduck ', 1.193944552329733)","('pants ', 1.068009628089517)","('pants ', 1.0681739706608544)","('pants ', 1.0681739706608544)","('pizza ', 1.1148328884702399)","('rolette ', 1.2851946507971488)","('pizza ', 2.1827287834285642)","('television ', 3.1712262408702196)","('backhoe ', 2.988555896790052)"
4,"('stroller ', 1.0000095331866181)","('sippycup ', 1.1463691369141142)","('sippycup ', 1.0676295549288821)","('sippycup ', 1.067784251591603)","('sippycup ', 1.067784251591603)","('motorcycle ', 1.106708502791892)","('pizza ', 1.2498553236955614)","('lipstick ', 1.986340184111264)","('motorcycle ', 3.08524463809232)","('carpet ', 2.9731479509822782)"
5,"('motorcycle ', 1.0000095331866181)","('pizza ', 1.134632713545464)","('bike ', 1.066164650436784)","('bike ', 1.0657856041207754)","('bike ', 1.0657856041207754)","('bike ', 1.102689091127601)","('backhoe ', 1.2465782236269425)","('bike ', 1.9615456000566567)","('carpet ', 3.083331920645378)","('crib ', 2.968280251894514)"
6,"('tent ', 1.0000095331866181)","('pancake ', 1.1320709173999959)","('carpet ', 1.0651469221600085)","('carpet ', 1.0647869881109988)","('carpet ', 1.0647869881109988)","('steering_wheel ', 1.1010567861415697)","('rubberduck ', 1.2354331145676787)","('pants ', 1.9611054795336278)","('horse ', 3.0141968198292863)","('motorcycle ', 2.937473581440986)"
7,"('dresser ', 1.0000095331866181)","('mailbox ', 1.127905145299572)","('rubberduck ', 1.0643309371817091)","('rubberduck ', 1.0640514844773616)","('rubberduck ', 1.0640514844773616)","('tennisball ', 1.099418813247372)","('bike ', 1.2351897059019987)","('television ', 1.9464264037711165)","('plant ', 2.9826944117323984)","('tractor ', 2.852719312566688)"
8,"('coatrack ', 1.0000094649943658)","('carpet ', 1.1271065475090685)","('golfcart ', 1.0621077607642155)","('golfcart ', 1.0616994401413304)","('golfcart ', 1.0616994401413304)","('rolette ', 1.096346789334195)","('television ', 1.2317622262799064)","('chess ', 1.9412996387596713)","('sofa ', 2.8723161151489434)","('bike ', 2.718790992335259)"
9,"('helmet ', 1.0000094649943658)","('train ', 1.1244098594669445)","('deskchair ', 1.0620974256777558)","('deskchair ', 1.0616785078051112)","('deskchair ', 1.0616785078051112)","('deskchair ', 1.0962537921584867)","('pallette ', 1.2307215458494811)","('chopsticks ', 1.8986135723831097)","('tractor ', 2.8254564392350696)","('horse ', 2.7020274803536797)"
