,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('60street', 1.0000101942001327)","('71valentines', 1.0900299454277689)","('08beachball-pail', 1.063481634953909)","('08beachball-pail', 1.0609562910651775)","('08beachball-pail', 1.0609562910651775)","('08beachball-pail', 1.0808090008109361)","('03backyard', 1.1399337961884966)","('53ocean', 1.508895356530942)","('55office-computer-printer', 1.813093665675602)","('55office-computer-printer', 1.8291003335633125)"
1,"('61street', 1.0000101942001327)","('57pancakes', 1.0877590300528688)","('18car', 1.0492125270872454)","('18car', 1.0487383324478188)","('18car', 1.0487383324478188)","('53ocean', 1.0755959157135813)","('65toilet', 1.1381295881796096)","('45kitchen', 1.3791445385392305)","('41hiking', 1.662391874142484)","('45kitchen', 1.6498304582554502)"
2,"('21cheese', 1.0000101942001327)","('18car', 1.0857559071214062)","('37golf', 1.0467096839339414)","('37golf', 1.046304105394554)","('37golf', 1.046304105394554)","('37golf', 1.0630923175813145)","('53ocean', 1.1338951890578304)","('65toilet', 1.3737580454738736)","('65toilet', 1.6408824721974142)","('65toilet', 1.5702312092129684)"
3,"('52motorbike', 1.0000100395066203)","('03backyard', 1.0838972557140292)","('14boat', 1.04436828073994)","('14boat', 1.0441386788238571)","('14boat', 1.0441386788238571)","('52motorbike', 1.061498609775509)","('07bathrobe-slippers', 1.1178520071922953)","('08beachball-pail', 1.35171784124414)","('45kitchen', 1.582372278535839)","('41hiking', 1.5233850049318465)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('08beachball-pail', 1.077522681283769)","('53ocean', 1.039471677404931)","('53ocean', 1.0395216008848918)","('53ocean', 1.0395216008848918)","('14boat', 1.060340146701484)","('46kitchen2', 1.1151236627700523)","('55office-computer-printer', 1.3501306172394325)","('66tools', 1.485550650642077)","('66tools', 1.420513371574235)"
5,"('67toy', 1.0000098894377727)","('65toilet', 1.076649934055852)","('31farm', 1.0392952919705771)","('31farm', 1.0389365109858661)","('31farm', 1.0389365109858661)","('30emergency', 1.0553194699112904)","('45kitchen', 1.1104845439320816)","('41hiking', 1.3325980772694481)","('53ocean', 1.4624830823391626)","('30emergency', 1.4056826435907406)"
6,"('23childEating', 1.0000098894377727)","('37golf', 1.0756675962985531)","('30emergency', 1.038932600233219)","('30emergency', 1.038560801364799)","('30emergency', 1.038560801364799)","('65toilet', 1.0540279183213497)","('14boat', 1.1097194815022668)","('42horseriding', 1.321662584857352)","('08beachball-pail', 1.4517045347150288)","('53ocean', 1.3981536943949693)"
7,"('18car', 1.0000098894377727)","('46kitchen2', 1.0723375970890114)","('42horseriding', 1.0383051815674111)","('42horseriding', 1.0378639123964772)","('42horseriding', 1.0378639123964772)","('31farm', 1.053958766777991)","('42horseriding', 1.1096634653804656)","('14boat', 1.2863694230487697)","('27coffeemaking', 1.4404086723108336)","('27coffeemaking', 1.3940670613887498)"
8,"('11biking', 1.0000098894377727)","('42horseriding', 1.0703489201121625)","('03backyard', 1.0375554081115739)","('03backyard', 1.0371230747290687)","('03backyard', 1.0371230747290687)","('04barber', 1.0531812044130129)","('18car', 1.1095954134476127)","('18car', 1.2843407543327625)","('52motorbike', 1.416428093828488)","('08beachball-pail', 1.3818170378508203)"
9,"('54office_supply', 1.0000098894377727)","('14boat', 1.0673922605577455)","('71valentines', 1.0371634168726627)","('71valentines', 1.0367564924704424)","('71valentines', 1.0367564924704424)","('03backyard', 1.0501594186145449)","('08beachball-pail', 1.1066999828266788)","('50lock', 1.2806287426827652)","('61street', 1.4117849977328139)","('52motorbike', 1.3526277325227527)"
