,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('60street', 1.0000101942001327)","('57pancakes', 1.1044469831110675)","('20casino', 1.1372449913103302)","('20casino', 1.1392902740389064)","('20casino', 1.1392902740389064)","('50lock', 1.0895148852553778)","('20casino', 1.122088390855223)","('63teethhygene', 1.3075931629176072)","('60street', 1.0322112235392606)","('42horseriding', 1.0033817081653844)"
1,"('61street', 1.0000101942001327)","('18car', 1.0951592901392184)","('42horseriding', 1.1355875932343968)","('42horseriding', 1.1371005712674573)","('42horseriding', 1.1371005712674573)","('30emergency', 1.087140348578712)","('71valentines', 1.1177151814483695)","('10bed-dresser', 1.2774486119955824)","('57pancakes', 1.0293415036441813)","('71valentines', 1.0033597404464225)"
2,"('21cheese', 1.0000101942001327)","('03backyard', 1.0924074631340652)","('50lock', 1.1245914054011794)","('50lock', 1.1262643336598153)","('50lock', 1.1262643336598153)","('65toilet', 1.086067916940134)","('42horseriding', 1.115638121343281)","('61street', 1.26852471322727)","('53ocean', 1.0271995647281855)","('53ocean', 1.003034048851396)"
3,"('52motorbike', 1.0000100395066203)","('71valentines', 1.090104605965528)","('71valentines', 1.114317748202345)","('71valentines', 1.1155418319916222)","('71valentines', 1.1155418319916222)","('71valentines', 1.084291274391748)","('53ocean', 1.113520345705326)","('66tools', 1.2559789540954216)","('07bathrobe-slippers', 1.0260388940937515)","('03backyard', 1.0027504277465593)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('37golf', 1.0789872665532418)","('08beachball-pail', 1.109127495978522)","('08beachball-pail', 1.1101146573123108)","('08beachball-pail', 1.1101146573123108)","('42horseriding', 1.0830389038175743)","('65toilet', 1.1061367353604046)","('08beachball-pail', 1.244652676202118)","('61street', 1.0173220098914804)","('45kitchen', 1.0026220964309993)"
5,"('67toy', 1.0000098894377727)","('14boat', 1.0781321520966074)","('53ocean', 1.1019408436349973)","('53ocean', 1.103428642725848)","('53ocean', 1.103428642725848)","('53ocean', 1.082410760076246)","('63teethhygene', 1.1029504924850868)","('55office-computer-printer', 1.2429888373475422)","('31farm', 1.01621369071376)","('08beachball-pail', 1.0023894980820116)"
6,"('23childEating', 1.0000098894377727)","('10bed-dresser', 1.07520313087431)","('31farm', 1.1013430664210098)","('31farm', 1.1021837895448579)","('31farm', 1.1021837895448579)","('31farm', 1.0795253701534986)","('03backyard', 1.1028727773233284)","('53ocean', 1.23101183250791)","('10bed-dresser', 1.014521641160415)","('55office-computer-printer', 1.0022618659187004)"
7,"('18car', 1.0000098894377727)","('42horseriding', 1.0748145020996018)","('14boat', 1.0986244643195893)","('14boat', 1.098271166876445)","('14boat', 1.098271166876445)","('37golf', 1.0698311711767776)","('69tub', 1.0990556310491997)","('42horseriding', 1.2119780043511978)","('45kitchen', 1.0139668820698973)","('60street', 1.0020790260756056)"
8,"('11biking', 1.0000098894377727)","('11biking', 1.0711348764190225)","('46kitchen2', 1.0899108947653962)","('46kitchen2', 1.0904219985422832)","('46kitchen2', 1.0904219985422832)","('04barber', 1.0672613724676632)","('31farm', 1.091646096645907)","('34football', 1.1839848178971528)","('03backyard', 1.0132538544535494)","('70tv', 1.002068578557507)"
9,"('54office_supply', 1.0000098894377727)","('04barber', 1.069881402194633)","('41hiking', 1.089092885077745)","('41hiking', 1.0901932686488636)","('41hiking', 1.0901932686488636)","('03backyard', 1.0653830215236098)","('66tools', 1.082550410012258)","('20casino', 1.1835225833564142)","('29cooking', 1.0126414963207246)","('57pancakes', 1.0020629343888514)"
