,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece (2).jpg', 0.9994479582366893)","('lego (2).jpg', 0.9058505147807957)","('bathrobe (2).jpg', 0.9950528852004883)","('bathrobe (2).jpg', 0.9955498784260098)","('bathrobe (2).jpg', 0.9955498784260098)","('chopsticks (2).jpg', 0.9530039268380883)","('balloon (2).jpg', 1.0116430485238803)","('basketballrim (2).jpg', 1.112133800848765)","('dustpan (2).jpg', 0.9580110978952727)","('broom (2).jpg', 0.9975433647138706)"
1,"('basketball (2).jpg', 0.9997396363836301)","('balloon (2).jpg', 0.9448208504055616)","('helmet (2).jpg', 1.0001346125703598)","('strecher (2).jpg', 0.9986870702463709)","('strecher (2).jpg', 0.9986870702463709)","('balloon (2).jpg', 0.9811635491542058)","('rainboots (2).jpg', 1.01722639174518)","('dustpan (2).jpg', 1.1234655026428397)","('garbagebin (2).jpg', 0.9810410268877663)","('nail (2).jpg', 0.9979750214641157)"
2,"('bowlingpin (2).jpg', 1.0000081872830517)","('broom (2).jpg', 0.9511382519376859)","('strecher (2).jpg', 1.0002255321085487)","('bowlingpin (2).jpg', 0.9987249653509702)","('bowlingpin (2).jpg', 0.9987249653509702)","('nail (2).jpg', 0.9860699558456503)","('nail (2).jpg', 1.0252418906445688)","('laundry (2).jpg', 1.1336053859108814)","('punchingbag (2).jpg', 0.9810464637747667)","('dustpan (2).jpg', 0.998959445301805)"
3,"('tennisball (2).jpg', 1.0000081872830517)","('toothbrush (2).jpg', 0.9687491829741044)","('bowlingpin (2).jpg', 1.000361429051177)","('nail (2).jpg', 1.0006935860171278)","('nail (2).jpg', 1.0006935860171278)","('fish (2).jpg', 1.0040225727976655)","('fish (2).jpg', 1.0263046379961864)","('cheesegrater (2).jpg', 1.1408145611912313)","('laundry (2).jpg', 0.9822740347070444)","('basketballrim (2).jpg', 0.9989598414021627)"
4,"('helmet (2).jpg', 1.0000081872830517)","('stroller (2).jpg', 0.9718044518875446)","('nail (2).jpg', 1.0040692679701382)","('helmet (2).jpg', 1.0013085361052085)","('helmet (2).jpg', 1.0013085361052085)","('washer (2).jpg', 1.0092024184473958)","('cheesegrater (2).jpg', 1.02881512477776)","('golfclubs (2).jpg', 1.1623290798270527)","('tub (2).jpg', 0.9831564542574572)","('hairdryer (2).jpg', 0.9998229444372543)"
5,"('beachpail (2).jpg', 1.0000081872830517)","('washer (2).jpg', 0.9727449061271043)","('umbrella (2).jpg', 1.0075011367302753)","('umbrella (2).jpg', 1.0065015310369128)","('umbrella (2).jpg', 1.0065015310369128)","('cheesegrater (2).jpg', 1.010054733742902)","('cake (2).jpg', 1.0370851499333982)","('chair (2).jpg', 1.1626670852520562)","('beachpail (2).jpg', 0.986012208440971)","('beachchair (2).jpg', 1.000404671154178)"
6,"('bat (2).jpg', 1.0000081872830517)","('dustpan (2).jpg', 0.98347955455597)","('fish (2).jpg', 1.010944251787446)","('fish (2).jpg', 1.0107830681704035)","('fish (2).jpg', 1.0107830681704035)","('kayak (2).jpg', 1.0151747518636587)","('garbagebag (2).jpg', 1.0410273879621543)","('ironing (2).jpg', 1.1673721691212868)","('boxing_gloves (2).jpg', 0.9861836605565681)","('desk (2).jpg', 1.0004578376845323)"
7,"('deskchair (2).jpg', 1.0000085154874656)","('cake (2).jpg', 0.9852974826668592)","('computer (2).jpg', 1.0122432166636492)","('computer (2).jpg', 1.0112138891420674)","('computer (2).jpg', 1.0112138891420674)","('fishbowl (2).jpg', 1.0197545903183989)","('basketballrim (2).jpg', 1.0413141476365637)","('desk (2).jpg', 1.1706092882013424)","('nail (2).jpg', 0.9884273614345397)","('pokerchips (2).jpg', 1.0006214647204743)"
8,"('lamp (2).jpg', 1.0000085154874656)","('bat (2).jpg', 0.9866706306289191)","('garbagebag (2).jpg', 1.0136198404020442)","('rearview_mirror (2).jpg', 1.014226836918521)","('rearview_mirror (2).jpg', 1.014226836918521)","('garbagebag (2).jpg', 1.0226820734876303)","('birdcage (2).jpg', 1.0467246803969934)","('cake (2).jpg', 1.1737793767270501)","('baseballball (2).jpg', 0.9904601608348714)","('beachumbrella (2).jpg', 1.0006551740953324)"
9,"('chair (2).jpg', 1.0000085777357148)","('beachpail (2).jpg', 0.9966083591594264)","('stove (2).jpg', 1.0145860185823965)","('garbagebag (2).jpg', 1.014535737109014)","('garbagebag (2).jpg', 1.014535737109014)","('cake (2).jpg', 1.0266698453223453)","('sushi (2).jpg', 1.0493410721510374)","('beachchair (2).jpg', 1.1820477593046752)","('cart (2).jpg', 0.9906823347169854)","('dumbbell (2).jpg', 1.0006820940177046)"
