,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('22chess', 0.9994718178634568)","('69tub', 0.8493636860548412)","('70tv', 0.7616655521398475)","('70tv', 0.7618958318082079)","('70tv', 0.7618958318082079)","('70tv', 0.8786808775957635)","('05baseball', 0.7767349698650676)","('05baseball', 0.6648252085871523)","('38groceryshopping', 0.9660454237617395)","('09beachumbrella-chair', 0.9974463386237047)"
1,"('06basketball', 0.9998745821547136)","('38groceryshopping', 0.886722442740516)","('49livingroom-chair', 0.7922462280992999)","('49livingroom-chair', 0.7900031717023791)","('49livingroom-chair', 0.7900031717023791)","('49livingroom-chair', 0.891006752431953)","('19carpet', 0.812600245917678)","('59pizza', 0.7489322214571092)","('70tv', 0.97371342807449)","('22chess', 0.997733747408009)"
2,"('02baby', 1.0000054538854783)","('64tennis', 0.9081282353853702)","('11biking', 0.8671795750820935)","('11biking', 0.8666340699154396)","('11biking', 0.8666340699154396)","('64tennis', 0.8968369186652474)","('59pizza', 0.8417886865726154)","('22chess', 0.7731581914001321)","('21cheese', 0.9806564129331877)","('49livingroom-chair', 0.9980021236407316)"
3,"('46kitchen2', 1.0000055379211592)","('01art', 0.9151243813240874)","('06basketball', 0.8717631264381142)","('06basketball', 0.8717814805635172)","('06basketball', 0.8717814805635172)","('59pizza', 0.9022923934718371)","('15bowling', 0.8470163857824684)","('01art', 0.7978318606464898)","('68toys', 0.983963548143675)","('28construction', 0.9980110273625835)"
4,"('45kitchen', 1.0000055379211592)","('21cheese', 0.9312967535282336)","('64tennis', 0.8906044412484994)","('64tennis', 0.8898980364060104)","('64tennis', 0.8898980364060104)","('11biking', 0.9248320122196488)","('49livingroom-chair', 0.8714304440845073)","('44kayak', 0.8040132179095922)","('69tub', 0.9845246160139637)","('24cleaning', 0.998046811433731)"
5,"('10bed-dresser', 1.0000089655355493)","('44kayak', 0.943930571886074)","('59pizza', 0.9214518315508642)","('59pizza', 0.9201186061761456)","('59pizza', 0.9201186061761456)","('15bowling', 0.9271780817783685)","('70tv', 0.875584437742826)","('15bowling', 0.8294318238960602)","('34football', 0.9847309741998319)","('26coathanging', 0.9980622430998176)"
6,"('69tub', 1.000009099550753)","('59pizza', 0.9509681446950925)","('21cheese', 0.9466009210781821)","('39gun', 0.9447950371959829)","('39gun', 0.9447950371959829)","('19carpet', 0.9450235175776107)","('22chess', 0.8869963030673634)","('19carpet', 0.833439563044727)","('16boxing', 0.9857402312365722)","('68toys', 0.9981835810169102)"
7,"('65toilet', 1.000009099550753)","('23childEating', 0.9582626638850156)","('39gun', 0.9481077129010206)","('21cheese', 0.9478364997144245)","('21cheese', 0.9478364997144245)","('05baseball', 0.9489186230401876)","('01art', 0.8986717682667262)","('49livingroom-chair', 0.846887325428545)","('24cleaning', 0.9864811755169449)","('05baseball', 0.998300008741586)"
8,"('63teethhygene', 1.000009099550753)","('73winter', 0.9604621237638126)","('15bowling', 0.9508097410162509)","('15bowling', 0.9521878717568393)","('15bowling', 0.9521878717568393)","('06basketball', 0.9512417513327165)","('51makeup', 0.9021779258215985)","('25clothing', 0.8514022787830513)","('64tennis', 0.9867339492342679)","('67toy', 0.9983315604407887)"
9,"('73winter', 1.0000094514728177)","('05baseball', 0.9651631866748341)","('26coathanging', 0.9547890299703984)","('40gym', 0.9535983556136927)","('40gym', 0.9535983556136927)","('26coathanging', 0.9536297783661316)","('33fishtank', 0.9190395115191342)","('26coathanging', 0.8589124279884973)","('41hiking', 0.9883242335124619)","('43ironing', 0.9983339775373152)"
