,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10
0,"('60street', 1.0000101942001327)","('03backyard', 1.0287571141426952)","('03backyard', 1.0282605913151555)","('08beachball-pail', 1.1521998684570016)","('08beachball-pail', 1.151397805788422)","('08beachball-pail', 1.151397805788422)","('08beachball-pail', 1.4503833187815005)","('08beachball-pail', 1.450282139795445)","('45kitchen', 1.3667248715556626)","('45kitchen', 1.3667248715556626)","('45kitchen', 1.3667248715556626)","('03backyard', 1.2354530357043414)","('03backyard', 1.2354195261073988)","('03backyard', 1.2280962075351907)","('03backyard', 1.2280958951541379)","('45kitchen', 1.319341265093088)","('45kitchen', 1.3194568947616863)","('45kitchen', 1.3194568947616863)","('53ocean', 1.4228706701208345)","('53ocean', 1.4230642048860984)","('55office-computer-printer', 1.5553931683800846)","('55office-computer-printer', 1.5590816077787268)","('53ocean', 1.8539559928792135)","('53ocean', 1.8558380841731257)","('53ocean', 1.8558380841731257)","('53ocean', 2.005672816371947)","('53ocean', 2.0038450767879676)","('53ocean', 2.7801232438844257)","('53ocean', 2.830412505850213)","('53ocean', 2.9421664700617445)","('55office-computer-printer', 3.114581002102396)"
1,"('61street', 1.0000101942001327)","('18car', 1.0263008921622094)","('65toilet', 1.0258597823076223)","('03backyard', 1.1185990133968398)","('03backyard', 1.118600282441893)","('03backyard', 1.118600282441893)","('03backyard', 1.238274684198185)","('03backyard', 1.2382823333744746)","('20casino', 1.361163452352285)","('20casino', 1.361163452352285)","('20casino', 1.361163452352285)","('53ocean', 1.2078938309659815)","('53ocean', 1.207908499203202)","('65toilet', 1.1846875223065605)","('65toilet', 1.1846880868272511)","('03backyard', 1.283290276173768)","('03backyard', 1.2833251616668644)","('03backyard', 1.2833251616668644)","('55office-computer-printer', 1.3940114387942106)","('55office-computer-printer', 1.394479976348609)","('53ocean', 1.5450218722678954)","('53ocean', 1.5449542451276)","('55office-computer-printer', 1.7460897322964406)","('55office-computer-printer', 1.7591527392422142)","('55office-computer-printer', 1.7591527392422142)","('55office-computer-printer', 1.893328166355989)","('55office-computer-printer', 1.9066991312031318)","('55office-computer-printer', 2.3075282785123097)","('55office-computer-printer', 2.3834261944062543)","('55office-computer-printer', 2.8208327444315264)","('45kitchen', 3.1047872363447446)"
2,"('21cheese', 1.0000101942001327)","('04barber', 1.0254847443046986)","('18car', 1.0257766904539989)","('18car', 1.1170876496652773)","('18car', 1.1170907293927763)","('18car', 1.1170907293927763)","('71valentines', 1.2122069415705796)","('71valentines', 1.2122066136044363)","('03backyard', 1.3563737295260012)","('03backyard', 1.3563737295260012)","('03backyard', 1.3563737295260012)","('65toilet', 1.2044623790683362)","('65toilet', 1.2042327193423428)","('18car', 1.1709181261826909)","('18car', 1.1709292344199427)","('53ocean', 1.2826697026423781)","('53ocean', 1.2826845598462584)","('53ocean', 1.2826845598462584)","('45kitchen', 1.3690599272871165)","('45kitchen', 1.3679272166123055)","('45kitchen', 1.5417479211263263)","('45kitchen', 1.5428520533065964)","('45kitchen', 1.741363345089235)","('45kitchen', 1.751207472653885)","('45kitchen', 1.751207472653885)","('45kitchen', 1.8350217594157727)","('45kitchen', 1.8480382510872178)","('45kitchen', 2.278201661722386)","('45kitchen', 2.3426143313581362)","('45kitchen', 2.7596399912081946)","('41hiking', 3.0155150410502443)"
3,"('52motorbike', 1.0000100395066203)","('65toilet', 1.024641575236069)","('04barber', 1.0249852549340062)","('14boat', 1.1052026365537366)","('14boat', 1.1052070374558927)","('14boat', 1.1052070374558927)","('18car', 1.1967291419071158)","('18car', 1.1967340170253487)","('08beachball-pail', 1.298884728375733)","('08beachball-pail', 1.298884728375733)","('08beachball-pail', 1.298884728375733)","('45kitchen', 1.187801312663285)","('45kitchen', 1.1872529220835828)","('53ocean', 1.1641084696942332)","('53ocean', 1.16409751965691)","('55office-computer-printer', 1.2412784951291596)","('55office-computer-printer', 1.2413158670143365)","('55office-computer-printer', 1.2413158670143365)","('08beachball-pail', 1.325832872391918)","('08beachball-pail', 1.3261550603611028)","('08beachball-pail', 1.432655894623501)","('08beachball-pail', 1.4346334456116248)","('08beachball-pail', 1.6188308881960223)","('08beachball-pail', 1.6289219107834945)","('08beachball-pail', 1.6289219107834945)","('41hiking', 1.7272125129014118)","('41hiking', 1.7338633797168452)","('41hiking', 2.2062821023887995)","('41hiking', 2.261695830999213)","('41hiking', 2.745324674368189)","('53ocean', 2.9069812231182843)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('57pancakes', 1.0236090201592143)","('57pancakes', 1.0232970241857486)","('42horseriding', 1.0997931549155469)","('42horseriding', 1.0997965392906957)","('42horseriding', 1.0997965392906957)","('20casino', 1.1922784933377748)","('20casino', 1.192275139282538)","('65toilet', 1.2858555119877464)","('65toilet', 1.2858555119877464)","('65toilet', 1.2858555119877464)","('18car', 1.1831198374380478)","('18car', 1.1830865761026133)","('20casino', 1.162112329672931)","('20casino', 1.1621131038472303)","('42horseriding', 1.2353658317046852)","('42horseriding', 1.2353843951483645)","('42horseriding', 1.2353843951483645)","('65toilet', 1.273314380587598)","('65toilet', 1.2732654878998944)","('41hiking', 1.3606921214059855)","('41hiking', 1.3625531898743062)","('41hiking', 1.5232477678866614)","('41hiking', 1.5326179349061766)","('41hiking', 1.5326179349061766)","('08beachball-pail', 1.6542410539274897)","('08beachball-pail', 1.6609713628756717)","('20casino', 2.013736467296715)","('20casino', 2.0576076585523095)","('20casino', 2.572313392445984)","('20casino', 2.8668013757032127)"
5,"('67toy', 1.0000098894377727)","('37golf', 1.0233491427597923)","('37golf', 1.0228639509663326)","('37golf', 1.09845672426894)","('37golf', 1.0984599839369142)","('37golf', 1.0984599839369142)","('65toilet', 1.187535892117307)","('65toilet', 1.1875404618244356)","('18car', 1.2639974286625537)","('18car', 1.2639974286625537)","('18car', 1.2639974286625537)","('08beachball-pail', 1.1780739251689356)","('08beachball-pail', 1.177979275398699)","('45kitchen', 1.1598273609121172)","('45kitchen', 1.159906004963969)","('18car', 1.2274749425190725)","('18car', 1.2274388006718817)","('18car', 1.2274388006718817)","('03backyard', 1.2629804952884434)","('03backyard', 1.2632290483756952)","('20casino', 1.3398944876827128)","('20casino', 1.3433543791593092)","('65toilet', 1.5092432360266645)","('65toilet', 1.5138789011674816)","('65toilet', 1.5138789011674816)","('31farm', 1.6475758023614944)","('31farm', 1.6541434032000955)","('14boat', 2.005936362155773)","('14boat', 2.0460637422047827)","('42horseriding', 2.4002394236075437)","('42horseriding', 2.543378962209051)"
6,"('23childEating', 1.0000098894377727)","('71valentines', 1.0230472371851203)","('71valentines', 1.022686752505091)","('48livingroom', 1.0923612585949207)","('48livingroom', 1.092358896375532)","('48livingroom', 1.092358896375532)","('42horseriding', 1.1764281991083274)","('42horseriding', 1.1764328522878)","('46kitchen2', 1.2577495728502994)","('46kitchen2', 1.2577495728502994)","('46kitchen2', 1.2577495728502994)","('30emergency', 1.1765861888829772)","('30emergency', 1.1765122377470216)","('14boat', 1.156989738704057)","('14boat', 1.1569998480800365)","('30emergency', 1.2264895599850116)","('30emergency', 1.2265124284208893)","('30emergency', 1.2265124284208893)","('14boat', 1.2461589150965886)","('14boat', 1.2464032253347557)","('65toilet', 1.3356039148303893)","('65toilet', 1.3333134217912281)","('31farm', 1.4745453430454867)","('31farm', 1.4835484472937288)","('31farm', 1.4835484472937288)","('42horseriding', 1.6019019330890574)","('42horseriding', 1.603128832114058)","('31farm', 1.9620258337812735)","('31farm', 2.00461848369341)","('14boat', 2.194197792443806)","('61street', 2.3316100124052364)"
7,"('18car', 1.0000098894377727)","('11biking', 1.0222596930169043)","('11biking', 1.0217782313910129)","('04barber', 1.0910459770975016)","('04barber', 1.0910486870678326)","('04barber', 1.0910486870678326)","('14boat', 1.1714509159935937)","('14boat', 1.1714546906777894)","('53ocean', 1.2336107671913883)","('53ocean', 1.2336107671913883)","('53ocean', 1.2336107671913883)","('14boat', 1.1752691734952805)","('14boat', 1.1752804187947987)","('30emergency', 1.1559055514846712)","('30emergency', 1.1558983371183424)","('08beachball-pail', 1.2245646039463969)","('08beachball-pail', 1.2246069524387586)","('08beachball-pail', 1.2246069524387586)","('37golf', 1.245342884082604)","('37golf', 1.245600518364547)","('31farm', 1.321162369556587)","('31farm', 1.3230656598628732)","('14boat', 1.4270139915252487)","('14boat', 1.4320771838669377)","('14boat', 1.4320771838669377)","('65toilet', 1.5421463784987581)","('65toilet', 1.5471390281318893)","('42horseriding', 1.8583953290068598)","('42horseriding', 1.8895670330095764)","('61street', 2.166936261195473)","('14boat', 2.322426189711311)"
8,"('11biking', 1.0000098894377727)","('30emergency', 1.0216228887081933)","('30emergency', 1.0211997437770106)","('65toilet', 1.090460716838165)","('65toilet', 1.0904564171528455)","('65toilet', 1.0904564171528455)","('46kitchen2', 1.1567525767347089)","('46kitchen2', 1.1567576331626253)","('48livingroom', 1.2326563284656753)","('48livingroom', 1.2326563284656753)","('48livingroom', 1.2326563284656753)","('42horseriding', 1.174644855641172)","('42horseriding', 1.1746472344440835)","('55office-computer-printer', 1.154914205747742)","('55office-computer-printer', 1.1549148416151669)","('56office-desk-chair', 1.223753312121405)","('56office-desk-chair', 1.2237879155086586)","('56office-desk-chair', 1.2237879155086586)","('20casino', 1.2361025139595152)","('20casino', 1.236724358352994)","('03backyard', 1.3029452201012086)","('03backyard', 1.305606074800618)","('20casino', 1.4083705428988271)","('20casino', 1.4169335990357972)","('20casino', 1.4169335990357972)","('14boat', 1.5326195326903496)","('14boat', 1.536297902346061)","('66tools', 1.7833463315841998)","('66tools', 1.823032855396387)","('66tools', 2.1555282992250904)","('66tools', 2.3013677776182604)"
9,"('54office_supply', 1.0000098894377727)","('42horseriding', 1.0213911831346447)","('42horseriding', 1.0208946183307328)","('30emergency', 1.0890378844332567)","('30emergency', 1.0890437747106538)","('30emergency', 1.0890437747106538)","('04barber', 1.15344220991395)","('04barber', 1.1534467028028044)","('71valentines', 1.2293104645112978)","('71valentines', 1.2293104645112978)","('71valentines', 1.2293104645112978)","('20casino', 1.1651225925489668)","('20casino', 1.1649964373076982)","('08beachball-pail', 1.153671264213528)","('08beachball-pail', 1.1536842153947462)","('37golf', 1.2234601694968192)","('37golf', 1.223472569079867)","('37golf', 1.223472569079867)","('42horseriding', 1.226911857701181)","('42horseriding', 1.2271469163348236)","('18car', 1.294296010681284)","('18car', 1.2946663512008743)","('18car', 1.3990895423186003)","('03backyard', 1.4021111912154376)","('03backyard', 1.4021111912154376)","('20casino', 1.5128726179737175)","('20casino', 1.5174347210162487)","('08beachball-pail', 1.7730056005461732)","('07bathrobe-slippers', 1.8064247751906832)","('31farm', 2.0316907018152035)","('31farm', 2.15872997665634)"
