,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10,Layer20_bottom10,Layer21_bottom10,Layer22_bottom10,Layer23_bottom10,Layer24_bottom10,Layer25_bottom10,Layer26_bottom10,Layer27_bottom10,Layer28_bottom10,Layer29_bottom10,Layer30_bottom10,Layer31_bottom10
0,"('22chess', 0.9994718178634568)","('64tennis', 0.9745334010021066)","('64tennis', 0.9755627926753992)","('64tennis', 0.8566240734624071)","('64tennis', 0.856565682763428)","('64tennis', 0.856565682763428)","('64tennis', 0.7732390321286312)","('64tennis', 0.7726725000711819)","('05baseball', 0.7111950905197916)","('05baseball', 0.7111950905197916)","('05baseball', 0.7111950905197916)","('05baseball', 0.7365550879267906)","('05baseball', 0.7361086263270021)","('05baseball', 0.7100862975120392)","('05baseball', 0.7100440152246732)","('05baseball', 0.6234398815178694)","('05baseball', 0.6233935068709732)","('05baseball', 0.6233935068709732)","('01art', 0.584329499838018)","('01art', 0.5840867950061104)","('62sushi', 0.4737321560953213)","('62sushi', 0.46850608509389874)","('01art', 0.2984033602207834)","('01art', 0.28486670819539117)","('01art', 0.28486670819539117)","('01art', 0.10725146718237004)","('01art', 0.1030091117989658)","('01art', 0.10501735701294589)","('01art', 0.08238584879748626)","('13birds', -0.24610570571219917)","('13birds', -0.1661556387805951)"
1,"('06basketball', 0.9998745821547136)","('23childEating', 0.9782451564429825)","('23childEating', 0.9779710464773971)","('73winter', 0.862396961341349)","('73winter', 0.862400366918471)","('73winter', 0.862400366918471)","('69tub', 0.7957030888145533)","('69tub', 0.7957019915819175)","('38groceryshopping', 0.7186720882883856)","('38groceryshopping', 0.7186720882883856)","('38groceryshopping', 0.7186720882883856)","('63teethhygene', 0.8529632409719115)","('63teethhygene', 0.8529199769204512)","('21cheese', 0.7897015482947055)","('21cheese', 0.7892737770402838)","('01art', 0.6496895231576016)","('01art', 0.6496088019826299)","('01art', 0.6496088019826299)","('05baseball', 0.5936960985909598)","('05baseball', 0.5898450044642797)","('12birdcage', 0.48825703698571943)","('12birdcage', 0.4863451627136389)","('62sushi', 0.38804453582093346)","('62sushi', 0.38810051672917434)","('62sushi', 0.38810051672917434)","('62sushi', 0.5077030853163721)","('62sushi', 0.5013010949147514)","('12birdcage', 0.1093244220161022)","('12birdcage', 0.15844363747868295)","('12birdcage', -0.10291734754824197)","('12birdcage', -0.06065761475334036)"
2,"('02baby', 1.0000054538854783)","('38groceryshopping', 0.9793792623771053)","('38groceryshopping', 0.9790633779907343)","('28construction', 0.8700011058351648)","('28construction', 0.8700093173735278)","('28construction', 0.8700093173735278)","('73winter', 0.8114142598458205)","('73winter', 0.8114158354076542)","('73winter', 0.7676108202784669)","('73winter', 0.7676108202784669)","('73winter', 0.7676108202784669)","('21cheese', 0.8566179973349938)","('21cheese', 0.8565812917230898)","('63teethhygene', 0.7924698888559405)","('63teethhygene', 0.7924722259144352)","('21cheese', 0.7780494604267713)","('21cheese', 0.7780197055723346)","('21cheese', 0.7780197055723346)","('12birdcage', 0.6719483945467358)","('12birdcage', 0.6726422099580592)","('01art', 0.5448231482788575)","('01art', 0.5418725073680519)","('12birdcage', 0.44378127001437273)","('12birdcage', 0.4445431837194129)","('12birdcage', 0.4445431837194129)","('12birdcage', 0.5134086303718576)","('12birdcage', 0.5157815299903162)","('62sushi', 0.30286910823677954)","('62sushi', 0.2979564652183987)","('62sushi', -0.02126559805955944)","('01art', -0.038185527450100946)"
3,"('46kitchen2', 1.0000055379211592)","('44kayak', 0.9805768180564292)","('44kayak', 0.9802587996064337)","('69tub', 0.8813277144516146)","('69tub', 0.8813307421041515)","('69tub', 0.8813307421041515)","('38groceryshopping', 0.8195461085151643)","('38groceryshopping', 0.8195461821349402)","('21cheese', 0.7945765356989674)","('21cheese', 0.7945765356989674)","('21cheese', 0.7945765356989674)","('01art', 0.8678418524397851)","('01art', 0.8679000147197469)","('01art', 0.8286027983667124)","('01art', 0.8284544831605063)","('12birdcage', 0.7788413372550915)","('12birdcage', 0.7788209272987763)","('12birdcage', 0.7788209272987763)","('62sushi', 0.7535847683558705)","('62sushi', 0.7540267143558754)","('59pizza', 0.6333185302766913)","('59pizza', 0.6368553739389986)","('33fishtank', 0.6502015453354218)","('33fishtank', 0.6523972902148549)","('33fishtank', 0.6523972902148549)","('22chess', 0.5611629605944332)","('22chess', 0.5464531866347957)","('68toys', 0.3567686373160726)","('22chess', 0.309069605196503)","('68toys', 0.03065452848960204)","('62sushi', -0.027509113869511166)"
4,"('45kitchen', 1.0000055379211592)","('73winter', 0.9815664370288631)","('73winter', 0.9812178082060952)","('01art', 0.9020366827928376)","('01art', 0.9020416749137002)","('01art', 0.9020416749137002)","('23childEating', 0.8544543851206606)","('23childEating', 0.8544550514400464)","('01art', 0.8046761716772485)","('01art', 0.8046761716772485)","('01art', 0.8046761716772485)","('64tennis', 0.8803349304805596)","('64tennis', 0.8803325254325807)","('62sushi', 0.8359198174886072)","('62sushi', 0.8359018712014447)","('59pizza', 0.779658397187018)","('59pizza', 0.7798614528551967)","('59pizza', 0.7798614528551967)","('33fishtank', 0.7745492586440995)","('33fishtank', 0.7750335854187942)","('33fishtank', 0.661624029932946)","('33fishtank', 0.6629065731620656)","('67toy', 0.654742678466257)","('05baseball', 0.65605348255422)","('05baseball', 0.65605348255422)","('25clothing', 0.6636856618021764)","('25clothing', 0.6664723683680501)","('22chess', 0.3710097759209797)","('68toys', 0.34327806812948974)","('01art', 0.05917422206315864)","('68toys', 0.08470025285761813)"
5,"('10bed-dresser', 1.0000089655355493)","('21cheese', 0.9820590252284808)","('21cheese', 0.9830014060742365)","('38groceryshopping', 0.9151183777178487)","('38groceryshopping', 0.9151257895687404)","('38groceryshopping', 0.9151257895687404)","('05baseball', 0.8760295253866197)","('05baseball', 0.8760307765059939)","('19carpet', 0.8151492107159186)","('19carpet', 0.8151492107159186)","('19carpet', 0.8151492107159186)","('59pizza', 0.8829368800966226)","('59pizza', 0.882977535882519)","('70tv', 0.8673302258502777)","('70tv', 0.8673353402124029)","('33fishtank', 0.7865826248263381)","('33fishtank', 0.7865405341228324)","('33fishtank', 0.7865405341228324)","('21cheese', 0.7966615702056146)","('21cheese', 0.7962309657995857)","('21cheese', 0.7528013492332453)","('21cheese', 0.7502566199319719)","('05baseball', 0.67355897845519)","('67toy', 0.6565726924611539)","('67toy', 0.6565726924611539)","('05baseball', 0.6978185871655216)","('05baseball', 0.6981569064863704)","('25clothing', 0.394776685349656)","('25clothing', 0.3552355747444577)","('59pizza', 0.16228924881015155)","('59pizza', 0.1813806836934493)"
6,"('69tub', 1.000009099550753)","('01art', 0.9852362346779499)","('01art', 0.9854848290293565)","('23childEating', 0.9203553882102913)","('23childEating', 0.9203589561658079)","('23childEating', 0.9203589561658079)","('21cheese', 0.8972372406554833)","('21cheese', 0.8972423485867416)","('64tennis', 0.822118268464313)","('64tennis', 0.822118268464313)","('64tennis', 0.822118268464313)","('38groceryshopping', 0.8958300550913714)","('38groceryshopping', 0.8961322058069585)","('12birdcage', 0.8852428322588335)","('12birdcage', 0.8852294865870515)","('63teethhygene', 0.8257347059952536)","('63teethhygene', 0.8260187734628632)","('63teethhygene', 0.8260187734628632)","('70tv', 0.8103230777863946)","('70tv', 0.8084864505715519)","('67toy', 0.7605802754674993)","('67toy', 0.7602400617941271)","('21cheese', 0.7075831885752056)","('22chess', 0.7015207226533515)","('22chess', 0.7015207226533515)","('67toy', 0.7114325510155062)","('67toy', 0.707905995320546)","('67toy', 0.4555310797385849)","('67toy', 0.437487668056794)","('33fishtank', 0.4509641732799613)","('22chess', 0.2662680730072523)"
7,"('65toilet', 1.000009099550753)","('69tub', 0.9852520522101633)","('69tub', 0.9856095331327259)","('24cleaning', 0.9385528712310619)","('24cleaning', 0.9385586492550095)","('24cleaning', 0.9385586492550095)","('01art', 0.9111322605002029)","('01art', 0.9111333663562711)","('24cleaning', 0.8342923908314162)","('24cleaning', 0.8342923908314162)","('24cleaning', 0.8342923908314162)","('15bowling', 0.8978829747558552)","('15bowling', 0.8978356999477882)","('38groceryshopping', 0.8932613953071569)","('38groceryshopping', 0.8932598479540088)","('62sushi', 0.8324214031441514)","('62sushi', 0.8341714555947315)","('62sushi', 0.8341714555947315)","('67toy', 0.8331336626319926)","('67toy', 0.8330515852426787)","('22chess', 0.779515399924258)","('22chess', 0.7744370224760808)","('38groceryshopping', 0.7178604116907359)","('21cheese', 0.706962225136031)","('21cheese', 0.706962225136031)","('26coathanging', 0.7438211040289592)","('26coathanging', 0.7404223770218652)","('26coathanging', 0.48991022250321314)","('19carpet', 0.4853397629911088)","('22chess', 0.46591991250608)","('47laundry', 0.43921371771672013)"
8,"('63teethhygene', 1.000009099550753)","('59pizza', 0.9864881496281018)","('59pizza', 0.9862992175747957)","('21cheese', 0.945064084402373)","('21cheese', 0.9450639241797121)","('21cheese', 0.9450639241797121)","('24cleaning', 0.9264447784890937)","('24cleaning', 0.9264457681682907)","('63teethhygene', 0.8445371001127058)","('63teethhygene', 0.8445371001127058)","('63teethhygene', 0.8445371001127058)","('19carpet', 0.9147194591304831)","('19carpet', 0.914870235785784)","('59pizza', 0.8941069477904964)","('59pizza', 0.8941047665194127)","('70tv', 0.850921662367873)","('70tv', 0.8509483118627146)","('70tv', 0.8509483118627146)","('59pizza', 0.8390538461343092)","('59pizza', 0.8392437903768482)","('05baseball', 0.7913998218374141)","('05baseball', 0.7822069014185452)","('22chess', 0.7276654965926561)","('38groceryshopping', 0.7163169222488055)","('38groceryshopping', 0.7163169222488055)","('11biking', 0.7739695402597322)","('47laundry', 0.7736139303402932)","('13birds', 0.4959383298062786)","('26coathanging', 0.48620500000430145)","('47laundry', 0.4972309362354223)","('33fishtank', 0.4435361712019248)"
9,"('73winter', 1.0000094514728177)","('67toy', 0.9899136572721466)","('15bowling', 0.9906209044174185)","('05baseball', 0.9584735859137272)","('05baseball', 0.9584779855840019)","('05baseball', 0.9584779855840019)","('62sushi', 0.9395691864291127)","('62sushi', 0.9395712599392824)","('69tub', 0.8501547919171268)","('69tub', 0.8501547919171268)","('69tub', 0.8501547919171268)","('51makeup', 0.9174440790016936)","('51makeup', 0.9174370820956199)","('15bowling', 0.9082457112398193)","('15bowling', 0.9082429728718743)","('39gun', 0.8638525899629823)","('39gun', 0.8638061532991368)","('39gun', 0.8638061532991368)","('38groceryshopping', 0.840582355780695)","('38groceryshopping', 0.8410751822846514)","('38groceryshopping', 0.833941589163108)","('38groceryshopping', 0.8326572559885431)","('47laundry', 0.7387069938999833)","('47laundry', 0.7373771556544148)","('47laundry', 0.7373771556544148)","('13birds', 0.7808263297465774)","('13birds', 0.7758236808401917)","('19carpet', 0.5090091904158345)","('13birds', 0.523498715261014)","('19carpet', 0.6062084446422522)","('26coathanging', 0.515842961164286)"
