,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10,Layer20_bottom10,Layer21_bottom10,Layer22_bottom10,Layer23_bottom10,Layer24_bottom10,Layer25_bottom10,Layer26_bottom10,Layer27_bottom10,Layer28_bottom10,Layer29_bottom10,Layer30_bottom10,Layer31_bottom10,Layer32_bottom10,Layer33_bottom10,Layer34_bottom10,Layer35_bottom10,Layer36_bottom10,Layer37_bottom10
0,"('22chess', 0.9994718178634568)","('73winter', 0.9507871145558998)","('73winter', 0.950557882170913)","('64tennis', 0.8028675570018654)","('64tennis', 0.8017506496041593)","('64tennis', 0.8017506496041593)","('64tennis', 0.7695142118477495)","('64tennis', 0.7691782776830894)","('38groceryshopping', 0.5510290824543036)","('38groceryshopping', 0.5510290610936087)","('38groceryshopping', 0.5510290610936087)","('01art', 0.7997044722435372)","('01art', 0.799706151275983)","('05baseball', 0.730094285040839)","('05baseball', 0.7301276812984447)","('05baseball', 0.6660405932568694)","('05baseball', 0.6659670837275057)","('05baseball', 0.6274296381614161)","('05baseball', 0.6270886845750635)","('05baseball', 0.6270886845750635)","('01art', 0.5967810321903988)","('01art', 0.5964288968392014)","('01art', 0.46276730854607234)","('01art', 0.4608087542190024)","('01art', 0.44962778059424474)","('01art', 0.447253324381107)","('01art', 0.38256261296429833)","('01art', 0.3748455467172203)","('01art', 0.3748455467172203)","('01art', 0.21959626184150904)","('01art', 0.21398299531214787)","('01art', 0.18741252616049398)","('01art', 0.16640458888943244)","('01art', 0.1524426269131219)","('01art', 0.12767927521968478)","('12birdcage', -0.3820644563788817)","('12birdcage', -0.3892829283077879)"
1,"('06basketball', 0.9998745821547136)","('23childEating', 0.9620595865891864)","('23childEating', 0.9619420105969073)","('73winter', 0.8583497776853973)","('73winter', 0.8583858428633274)","('73winter', 0.8583858428633274)","('69tub', 0.826177446125548)","('69tub', 0.8261822625225953)","('05baseball', 0.6442572213471657)","('05baseball', 0.6442572099428567)","('05baseball', 0.6442572099428567)","('05baseball', 0.8026605486834891)","('05baseball', 0.8026614794721392)","('21cheese', 0.7907378834184225)","('21cheese', 0.790617975153992)","('62sushi', 0.7355968794933262)","('62sushi', 0.7355988093961745)","('01art', 0.6414696076734425)","('01art', 0.6411042308378033)","('01art', 0.6411042308378033)","('05baseball', 0.6708969565913818)","('05baseball', 0.67008387292488)","('62sushi', 0.5377293665753989)","('62sushi', 0.5324209572826276)","('67toy', 0.5513324746304081)","('67toy', 0.5543852005398191)","('12birdcage', 0.4098101677659178)","('12birdcage', 0.4116377878373117)","('12birdcage', 0.4116377878373117)","('22chess', 0.446603594602989)","('22chess', 0.44652975642596915)","('22chess', 0.2834130579078173)","('22chess', 0.2648254524873995)","('12birdcage', 0.2396732370863997)","('12birdcage', 0.2357814105176084)","('13birds', -0.22052293079832738)","('13birds', -0.14672039105535759)"
2,"('02baby', 1.0000054538854783)","('69tub', 0.9683706012791764)","('69tub', 0.9686436697436608)","('69tub', 0.8774603827102804)","('69tub', 0.8771148441857837)","('69tub', 0.8771148441857837)","('38groceryshopping', 0.8516125187924062)","('38groceryshopping', 0.8516199546156996)","('01art', 0.705946220104968)","('01art', 0.7059461928168195)","('01art', 0.7059461928168195)","('38groceryshopping', 0.8283960324117878)","('38groceryshopping', 0.8283963855038315)","('01art', 0.8016255760339104)","('01art', 0.801632356316462)","('01art', 0.7553722789040097)","('01art', 0.7553801686830246)","('62sushi', 0.7351490755111947)","('62sushi', 0.7346969492848987)","('62sushi', 0.7346969492848987)","('62sushi', 0.6768577902978944)","('62sushi', 0.676444553917463)","('12birdcage', 0.6359995794917515)","('12birdcage', 0.6371135247322021)","('62sushi', 0.5743707264187474)","('62sushi', 0.5784920912409888)","('62sushi', 0.5653060943561798)","('62sushi', 0.5685463736848356)","('62sushi', 0.5685463736848356)","('62sushi', 0.5043630179630967)","('62sushi', 0.5026441892392123)","('67toy', 0.4917857414655899)","('67toy', 0.4829752549707025)","('68toys', 0.43461565082029874)","('68toys', 0.41867839474201646)","('01art', -0.02089260914202196)","('01art', -0.12699250692256625)"
3,"('46kitchen2', 1.0000055379211592)","('38groceryshopping', 0.9704225259929767)","('38groceryshopping', 0.9701768273924979)","('23childEating', 0.8970053366385263)","('23childEating', 0.8970741563087479)","('23childEating', 0.8970741563087479)","('23childEating', 0.8603607713360468)","('23childEating', 0.8603677305503168)","('69tub', 0.7314343448726194)","('69tub', 0.7314343388477028)","('69tub', 0.7314343388477028)","('21cheese', 0.8382641484728193)","('21cheese', 0.8382311266571669)","('63teethhygene', 0.8238719055040075)","('63teethhygene', 0.8238285948521005)","('63teethhygene', 0.7847341853772679)","('63teethhygene', 0.78473255940281)","('12birdcage', 0.7719426223628388)","('12birdcage', 0.7719526111264909)","('12birdcage', 0.7719526111264909)","('59pizza', 0.7218352472750104)","('59pizza', 0.7221009355025253)","('59pizza', 0.6726386237770035)","('59pizza', 0.6737124071214159)","('12birdcage', 0.6185484382417555)","('12birdcage', 0.6186477501200575)","('67toy', 0.6449811358061429)","('67toy', 0.6491411607399672)","('67toy', 0.6491411607399672)","('12birdcage', 0.5098753442549298)","('12birdcage', 0.5099494030053096)","('25clothing', 0.5436887078768438)","('25clothing', 0.529449786689652)","('25clothing', 0.4842465043318435)","('25clothing', 0.4590670876094927)","('59pizza', 0.11829787207176277)","('59pizza', 0.03762260428089347)"
4,"('45kitchen', 1.0000055379211592)","('64tennis', 0.9803648909603374)","('01art', 0.9806460504624854)","('01art', 0.9068128206278389)","('01art', 0.9066722923847234)","('01art', 0.9066722923847234)","('73winter', 0.8628085701081114)","('73winter', 0.8628152116396081)","('73winter', 0.7485648458586708)","('73winter', 0.74856482675766)","('73winter', 0.74856482675766)","('63teethhygene', 0.8384255951121232)","('63teethhygene', 0.8384278515254077)","('59pizza', 0.8392771606120214)","('59pizza', 0.8394148582602413)","('21cheese', 0.8365123912410487)","('21cheese', 0.8366586597865645)","('21cheese', 0.8116747529460902)","('21cheese', 0.8115944322355507)","('21cheese', 0.8115944322355507)","('12birdcage', 0.7323202022078013)","('12birdcage', 0.7324450120784552)","('33fishtank', 0.6759338560298974)","('33fishtank', 0.6775133538049881)","('33fishtank', 0.6463460367422208)","('33fishtank', 0.6472469369294674)","('22chess', 0.6894832443759218)","('22chess', 0.6758324755680312)","('22chess', 0.6758324755680312)","('67toy', 0.6596276986830133)","('67toy', 0.6545520299260537)","('11biking', 0.5624114600792034)","('11biking', 0.5503272759028472)","('67toy', 0.4936285833798105)","('67toy', 0.4732179657138073)","('19carpet', 0.2722872262144885)","('62sushi', 0.20731646669312667)"
5,"('10bed-dresser', 1.0000089655355493)","('01art', 0.9806063972918324)","('64tennis', 0.9817035795671372)","('05baseball', 0.9366909980074339)","('05baseball', 0.9365661634915745)","('05baseball', 0.9365661634915745)","('01art', 0.8869944289486487)","('01art', 0.8870008355099623)","('19carpet', 0.7539468896300852)","('19carpet', 0.7539468592571938)","('19carpet', 0.7539468592571938)","('64tennis', 0.860695942346165)","('64tennis', 0.8606955661374935)","('62sushi', 0.8828393748864172)","('62sushi', 0.8828791810655395)","('12birdcage', 0.8716920440357143)","('12birdcage', 0.8716894242672968)","('22chess', 0.8163632900064302)","('22chess', 0.8163679660865713)","('22chess', 0.8163679660865713)","('21cheese', 0.7427087545822242)","('21cheese', 0.7426243649325481)","('22chess', 0.7123188483473478)","('22chess', 0.707930300946267)","('22chess', 0.6581893345590889)","('22chess', 0.6543372674524061)","('39gun', 0.724992063138146)","('39gun', 0.7238251706240925)","('39gun', 0.7238251706240925)","('59pizza', 0.7192782488754083)","('59pizza', 0.72254652137829)","('26coathanging', 0.5947945474412091)","('26coathanging', 0.5797288130458895)","('33fishtank', 0.5044145382728487)","('33fishtank', 0.5127024087621725)","('62sushi', 0.31630714122567116)","('68toys', 0.3014121773549889)"
6,"('69tub', 1.000009099550753)","('21cheese', 0.981939235052911)","('21cheese', 0.983052053772295)","('38groceryshopping', 0.9373161876753939)","('38groceryshopping', 0.9373565897303707)","('38groceryshopping', 0.9373565897303707)","('21cheese', 0.8933097080497792)","('21cheese', 0.8933156850056049)","('24cleaning', 0.7847242120139837)","('24cleaning', 0.7847242045527043)","('24cleaning', 0.7847242045527043)","('59pizza', 0.8610640603649657)","('59pizza', 0.8610649256070798)","('51makeup', 0.8871470287013544)","('51makeup', 0.8871565030174621)","('33fishtank', 0.8863849338272344)","('33fishtank', 0.8863834190003834)","('67toy', 0.8312674077926874)","('67toy', 0.8312735403886098)","('67toy', 0.8312735403886098)","('33fishtank', 0.814094778264108)","('33fishtank', 0.8140679685767649)","('05baseball', 0.7506893463566082)","('05baseball', 0.7438700917090603)","('39gun', 0.7444976090183651)","('39gun', 0.7427695431376564)","('33fishtank', 0.7300569541095941)","('33fishtank', 0.732370634980599)","('33fishtank', 0.732370634980599)","('26coathanging', 0.7241801193843999)","('26coathanging', 0.7230676100952549)","('13birds', 0.5951089104374069)","('62sushi', 0.5937534140897459)","('13birds', 0.5146763183191179)","('47laundry', 0.5154554032184765)","('68toys', 0.3197341253642872)","('47laundry', 0.3399096931455842)"
7,"('65toilet', 1.000009099550753)","('59pizza', 0.9873424117308304)","('59pizza', 0.987053154305352)","('24cleaning', 0.9406112335834981)","('24cleaning', 0.9404492581334312)","('24cleaning', 0.9404492581334312)","('05baseball', 0.9131601206187503)","('05baseball', 0.9129469970660357)","('64tennis', 0.7852511594059464)","('64tennis', 0.7852511668200701)","('64tennis', 0.7852511668200701)","('73winter', 0.8977319278066083)","('73winter', 0.8977326332632563)","('15bowling', 0.905922026351231)","('15bowling', 0.905930164504682)","('38groceryshopping', 0.8957885093616208)","('38groceryshopping', 0.8957893914588237)","('33fishtank', 0.8325266901593112)","('33fishtank', 0.832528261624205)","('33fishtank', 0.832528261624205)","('63teethhygene', 0.8223891726886596)","('63teethhygene', 0.8212942774311887)","('67toy', 0.7562103314776636)","('67toy', 0.7581504161291213)","('25clothing', 0.744549455516711)","('25clothing', 0.7444299806384795)","('68toys', 0.77403267804975)","('68toys', 0.7762523187768752)","('68toys', 0.7762523187768752)","('05baseball', 0.7331464772776017)","('05baseball', 0.7243142170161819)","('62sushi', 0.608788195035777)","('13birds', 0.6001424402662227)","('47laundry', 0.5206438540997568)","('59pizza', 0.5320884084954007)","('47laundry', 0.34310734107383895)","('11biking', 0.34021919599530764)"
8,"('63teethhygene', 1.000009099550753)","('58party', 0.9906385336345513)","('58party', 0.9905065324821071)","('21cheese', 0.9462983483021197)","('21cheese', 0.9472520078056805)","('21cheese', 0.9472520078056805)","('24cleaning', 0.9385839782807158)","('24cleaning', 0.9385895992672035)","('21cheese', 0.7948663021423247)","('21cheese', 0.7948663021423247)","('21cheese', 0.7948663021423247)","('15bowling', 0.910114092980429)","('15bowling', 0.9101149197816413)","('38groceryshopping', 0.9146522662978875)","('38groceryshopping', 0.9146556697662664)","('39gun', 0.9035918235660245)","('39gun', 0.9035946840072541)","('39gun', 0.846392373173451)","('39gun', 0.8462810549694321)","('39gun', 0.8462810549694321)","('22chess', 0.8596418834893557)","('70tv', 0.8590508321335254)","('21cheese', 0.8321246285690517)","('21cheese', 0.831239763943451)","('68toys', 0.8138115652481297)","('68toys', 0.8152939826905379)","('38groceryshopping', 0.7830009533115337)","('38groceryshopping', 0.780296973416174)","('38groceryshopping', 0.780296973416174)","('19carpet', 0.7421979511140121)","('19carpet', 0.7360273699618655)","('12birdcage', 0.6405971090930146)","('12birdcage', 0.656655625981)","('59pizza', 0.5528225936900765)","('22chess', 0.5323853187217823)","('11biking', 0.3706063365964836)","('19carpet', 0.3675398252882504)"
9,"('73winter', 1.0000094514728177)","('44kayak', 0.9937586371541501)","('44kayak', 0.9935325982183476)","('28construction', 0.9488212981425984)","('28construction', 0.9489051411175339)","('28construction', 0.9489051411175339)","('19carpet', 0.9582723599022283)","('19carpet', 0.958282552147755)","('63teethhygene', 0.8289882225065265)","('63teethhygene', 0.8289881960855108)","('63teethhygene', 0.8289881960855108)","('19carpet', 0.9241460836524411)","('19carpet', 0.9241466800343531)","('64tennis', 0.923142139585018)","('64tennis', 0.9231480574037769)","('67toy', 0.9160380649992891)","('67toy', 0.9160411660678051)","('63teethhygene', 0.8817521557247197)","('63teethhygene', 0.8817687957632944)","('63teethhygene', 0.8817687957632944)","('70tv', 0.8597191035440798)","('22chess', 0.8590535659896816)","('38groceryshopping', 0.848418519571429)","('38groceryshopping', 0.848310516887989)","('59pizza', 0.8223411991420659)","('59pizza', 0.8227578872816944)","('26coathanging', 0.7937232459924854)","('26coathanging', 0.790768878034525)","('26coathanging', 0.790768878034525)","('25clothing', 0.759210464323492)","('25clothing', 0.7598847118229148)","('19carpet', 0.6815710774869245)","('19carpet', 0.6713053659611917)","('19carpet', 0.5600508488288956)","('13birds', 0.5339355326497551)","('67toy', 0.41561369755021055)","('67toy', 0.3800581582643979)"
