,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10,Layer32_top10,Layer33_top10,Layer34_top10,Layer35_top10,Layer36_top10,Layer37_top10
0,"('60street', 1.0000101942001327)","('03backyard', 1.038950735125004)","('03backyard', 1.038544306890885)","('03backyard', 1.1259074944065244)","('03backyard', 1.125867974712743)","('03backyard', 1.125867974712743)","('08beachball-pail', 1.3797172556665234)","('08beachball-pail', 1.3797335849482604)","('08beachball-pail', 1.5085610062732302)","('08beachball-pail', 1.5085609697474374)","('08beachball-pail', 1.5085609697474374)","('03backyard', 1.2516943055946292)","('03backyard', 1.2516964494117524)","('45kitchen', 1.2404181816658075)","('45kitchen', 1.2404597391282757)","('08beachball-pail', 1.1822183278976353)","('08beachball-pail', 1.182221959153668)","('45kitchen', 1.2828115977300942)","('45kitchen', 1.282485023114416)","('45kitchen', 1.282485023114416)","('55office-computer-printer', 1.3858205551684242)","('55office-computer-printer', 1.3860033915321788)","('55office-computer-printer', 1.490207232101623)","('55office-computer-printer', 1.4918362501173925)","('45kitchen', 1.6622942009902415)","('45kitchen', 1.661702832293876)","('55office-computer-printer', 1.7448138871635057)","('55office-computer-printer', 1.7524175035183536)","('55office-computer-printer', 1.7524175035183536)","('55office-computer-printer', 1.8722466044876958)","('55office-computer-printer', 1.8794907810902697)","('41hiking', 2.055026433800979)","('41hiking', 2.085547799611152)","('55office-computer-printer', 2.21317261582111)","('41hiking', 2.262137036767553)","('41hiking', 2.86298294285897)","('41hiking', 3.1410017885704633)"
1,"('61street', 1.0000101942001327)","('18car', 1.0371635350849493)","('18car', 1.0367348648825079)","('18car', 1.1145268369952932)","('18car', 1.1144919640562123)","('18car', 1.1144919640562123)","('03backyard', 1.2584370640347198)","('03backyard', 1.2584506998244522)","('45kitchen', 1.45087291549469)","('45kitchen', 1.4508691524323398)","('45kitchen', 1.4508691524323398)","('08beachball-pail', 1.2002226381273178)","('08beachball-pail', 1.2002248136631386)","('03backyard', 1.2209759501823538)","('03backyard', 1.2209817037155943)","('53ocean', 1.1732686504138252)","('53ocean', 1.1732659728300445)","('55office-computer-printer', 1.2506970616671154)","('55office-computer-printer', 1.2507191552957861)","('55office-computer-printer', 1.2507191552957861)","('53ocean', 1.3718121912113102)","('53ocean', 1.3721211140470169)","('45kitchen', 1.4607403362677132)","('45kitchen', 1.4620931642161896)","('55office-computer-printer', 1.649850399147843)","('55office-computer-printer', 1.6525305369504915)","('53ocean', 1.7236978128143832)","('53ocean', 1.727522127032397)","('53ocean', 1.727522127032397)","('45kitchen', 1.7794671324935543)","('41hiking', 1.787802313087947)","('55office-computer-printer', 2.0394709942135085)","('55office-computer-printer', 2.060900004310856)","('41hiking', 2.20079318153972)","('55office-computer-printer', 2.2562404988721894)","('55office-computer-printer', 2.72266886103979)","('55office-computer-printer', 2.757335260631217)"
2,"('21cheese', 1.0000101942001327)","('71valentines', 1.0320363426933916)","('71valentines', 1.0317399043941544)","('71valentines', 1.104195373069617)","('71valentines', 1.1042648838659357)","('71valentines', 1.1042648838659357)","('18car', 1.2032050069936124)","('18car', 1.2032156140088635)","('03backyard', 1.444680735612995)","('03backyard', 1.4446807425964487)","('03backyard', 1.4446807425964487)","('53ocean', 1.1949289123933111)","('53ocean', 1.1949302815147338)","('53ocean', 1.1799009684490038)","('53ocean', 1.1798923758955628)","('03backyard', 1.1683034551919729)","('03backyard', 1.1683116826389865)","('03backyard', 1.2470188046257995)","('03backyard', 1.2470262577673397)","('03backyard', 1.2470262577673397)","('45kitchen', 1.3208101944237847)","('45kitchen', 1.3208590836036875)","('53ocean', 1.404095887652953)","('53ocean', 1.403818368940283)","('53ocean', 1.5686394111080952)","('53ocean', 1.56761826849782)","('45kitchen', 1.704706852089758)","('45kitchen', 1.714809263570007)","('45kitchen', 1.714809263570007)","('41hiking', 1.7774497278986858)","('45kitchen', 1.7833350744590257)","('53ocean', 1.9860992203863925)","('53ocean', 2.000821387758679)","('53ocean', 2.0308864358867673)","('53ocean', 2.0485455170773803)","('45kitchen', 2.508593365572179)","('45kitchen', 2.596684467283014)"
3,"('52motorbike', 1.0000100395066203)","('42horseriding', 1.0304511351903796)","('42horseriding', 1.0300586574551711)","('14boat', 1.1022899687349952)","('14boat', 1.102273553182122)","('14boat', 1.102273553182122)","('42horseriding', 1.170291804887652)","('42horseriding', 1.170300243770505)","('20casino', 1.4101917549051433)","('20casino', 1.410191671411229)","('20casino', 1.410191671411229)","('65toilet', 1.1908697896387945)","('65toilet', 1.1908716205310819)","('08beachball-pail', 1.1691364949145457)","('08beachball-pail', 1.1691537021555023)","('55office-computer-printer', 1.164659015525381)","('55office-computer-printer', 1.164667445809954)","('53ocean', 1.2345116717308686)","('53ocean', 1.2345153749301998)","('53ocean', 1.2345153749301998)","('08beachball-pail', 1.2729069367405126)","('08beachball-pail', 1.27298036665897)","('08beachball-pail', 1.3614544280763246)","('08beachball-pail', 1.3617941744813897)","('41hiking', 1.5149757677427016)","('41hiking', 1.5171837446217595)","('41hiking', 1.6098662906000536)","('41hiking', 1.617176383014563)","('41hiking', 1.617176383014563)","('53ocean', 1.7379050937739147)","('53ocean', 1.7434448905997053)","('31farm', 1.9059468665034023)","('31farm', 1.9281653278289674)","('45kitchen', 1.9557710251949372)","('45kitchen', 1.9823690264199925)","('66tools', 2.4476876926511717)","('61street', 2.5205619896335247)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('57pancakes', 1.0300576332250102)","('57pancakes', 1.0298367755059248)","('37golf', 1.096675647638329)","('37golf', 1.0966360987467791)","('37golf', 1.0966360987467791)","('71valentines', 1.1691545783691555)","('71valentines', 1.1691635058795327)","('65toilet', 1.3549451149289675)","('65toilet', 1.3549451375310761)","('65toilet', 1.3549451375310761)","('45kitchen', 1.186026831127881)","('45kitchen', 1.186029596088137)","('14boat', 1.1570372828286382)","('14boat', 1.157040996255498)","('20casino', 1.1645012475187868)","('20casino', 1.164508160946744)","('08beachball-pail', 1.2273086486369669)","('08beachball-pail', 1.2273137196138575)","('08beachball-pail', 1.2273137196138575)","('03backyard', 1.2555573159972067)","('03backyard', 1.2557687552224812)","('20casino', 1.3333377406200424)","('20casino', 1.3355950266224335)","('08beachball-pail', 1.4557987049772825)","('08beachball-pail', 1.4564040385638914)","('08beachball-pail', 1.5301720277251778)","('08beachball-pail', 1.5350763794927011)","('08beachball-pail', 1.5350763794927011)","('31farm', 1.613556318069991)","('31farm', 1.617951621745083)","('14boat', 1.8561747779315074)","('14boat', 1.872172616431513)","('31farm', 1.9221744194707149)","('31farm', 1.9547669691441523)","('61street', 2.4364760839917183)","('66tools', 2.509946830146269)"
5,"('67toy', 1.0000098894377727)","('04barber', 1.0300516573531162)","('04barber', 1.0296507363755631)","('42horseriding', 1.0928862545153097)","('42horseriding', 1.0928712709855062)","('42horseriding', 1.0928712709855062)","('30emergency', 1.165624409351184)","('30emergency', 1.1656335400785929)","('46kitchen2', 1.3212479258440764)","('46kitchen2', 1.3212479291135253)","('46kitchen2', 1.3212479291135253)","('56office-desk-chair', 1.1856667585745546)","('56office-desk-chair', 1.1856693357570989)","('42horseriding', 1.1548142012095135)","('42horseriding', 1.154813118591227)","('18car', 1.1602765801503883)","('18car', 1.1602852968804909)","('37golf', 1.204586314948981)","('37golf', 1.2045975500226898)","('37golf', 1.2045975500226898)","('65toilet', 1.2497943238210998)","('65toilet', 1.2496060489109868)","('41hiking', 1.3316131164457727)","('41hiking', 1.3331813617546475)","('20casino', 1.4176236039646513)","('20casino', 1.4216150059000938)","('14boat', 1.476988137117152)","('14boat', 1.4817828631544463)","('14boat', 1.4817828631544463)","('14boat', 1.610292396245781)","('14boat', 1.6152683432262438)","('07bathrobe-slippers', 1.8407241405574106)","('07bathrobe-slippers', 1.8533116104907992)","('66tools', 1.864433758272102)","('66tools', 1.8989224577414587)","('53ocean', 2.4286801959987985)","('53ocean', 2.4350988250655567)"
6,"('23childEating', 1.0000098894377727)","('11biking', 1.0299262217319185)","('11biking', 1.029524640519467)","('30emergency', 1.0915550997646783)","('30emergency', 1.091537272728978)","('30emergency', 1.091537272728978)","('20casino', 1.1652225727710415)","('20casino', 1.1652327293614078)","('18car', 1.3097183782103987)","('18car', 1.309718386536752)","('18car', 1.309718386536752)","('18car', 1.185449302583244)","('18car', 1.185451738523393)","('20casino', 1.153741755776985)","('20casino', 1.1537524575845224)","('42horseriding', 1.1561735598832703)","('42horseriding', 1.1561724709368946)","('65toilet', 1.1992305491586632)","('65toilet', 1.199235024491874)","('65toilet', 1.199235024491874)","('50lock', 1.2095429609120976)","('50lock', 1.2097317465497315)","('03backyard', 1.307445388780191)","('03backyard', 1.3086275272704895)","('65toilet', 1.3810609812561934)","('65toilet', 1.3826530597629834)","('31farm', 1.4428032997781317)","('31farm', 1.4480230997543244)","('31farm', 1.4480230997543244)","('08beachball-pail', 1.5233916387439195)","('08beachball-pail', 1.524469256179664)","('45kitchen', 1.802021598966196)","('45kitchen', 1.8175609877087653)","('07bathrobe-slippers', 1.8588780078501195)","('07bathrobe-slippers', 1.8770470039118425)","('42horseriding', 2.326275263943779)","('42horseriding', 2.392162059942013)"
7,"('18car', 1.0000098894377727)","('37golf', 1.0290524678180382)","('37golf', 1.0286477432778651)","('45kitchen', 1.0878307802703864)","('45kitchen', 1.0890718228904148)","('45kitchen', 1.0890718228904148)","('56office-desk-chair', 1.1629621006155226)","('56office-desk-chair', 1.1629720222632791)","('48livingroom', 1.2984478991156918)","('48livingroom', 1.298447877472218)","('48livingroom', 1.298447877472218)","('14boat', 1.1831343208896952)","('14boat', 1.1831365716024236)","('65toilet', 1.1499381649978166)","('65toilet', 1.1499453357615)","('45kitchen', 1.1378894035556941)","('45kitchen', 1.1378135942718128)","('07bathrobe-slippers', 1.1937066723883283)","('07bathrobe-slippers', 1.1936852479423838)","('07bathrobe-slippers', 1.1936852479423838)","('37golf', 1.2090825729781973)","('37golf', 1.2092635306291042)","('42horseriding', 1.2943211830068175)","('42horseriding', 1.2948264745258085)","('18car', 1.3637254394986638)","('18car', 1.3637410404146042)","('50lock', 1.4280345981117726)","('50lock', 1.4334688295802844)","('50lock', 1.4334688295802844)","('50lock', 1.5194590335908962)","('50lock', 1.522219006860512)","('66tools', 1.6876046050208733)","('66tools', 1.7030655100679324)","('50lock', 1.8033859418049838)","('50lock', 1.8289090955366971)","('07bathrobe-slippers', 2.07856863432996)","('31farm', 2.129981288764675)"
8,"('11biking', 1.0000098894377727)","('14boat', 1.0284681911978482)","('14boat', 1.0281170201974756)","('57pancakes', 1.0866137492185748)","('57pancakes', 1.08672131175422)","('57pancakes', 1.08672131175422)","('14boat', 1.1558494444449652)","('14boat', 1.155858424833962)","('71valentines', 1.2654414173666408)","('71valentines', 1.2654413780254525)","('71valentines', 1.2654413780254525)","('42horseriding', 1.182939061241502)","('42horseriding', 1.1829400375861545)","('56office-desk-chair', 1.1486916793489144)","('56office-desk-chair', 1.1487192775615647)","('31farm', 1.1372615784272377)","('31farm', 1.1372687056939674)","('30emergency', 1.192688622475904)","('30emergency', 1.1927163442638185)","('30emergency', 1.1927163442638185)","('18car', 1.203757869583969)","('18car', 1.2034675022876666)","('65toilet', 1.2911827640945435)","('65toilet', 1.2916264177255699)","('14boat', 1.3487329955369078)","('14boat', 1.3503808025974418)","('65toilet', 1.421989206353641)","('65toilet', 1.422475038192696)","('65toilet', 1.422475038192696)","('42horseriding', 1.5156699055057918)","('42horseriding', 1.5190917397144064)","('42horseriding', 1.5981133581348572)","('42horseriding', 1.6050203381941948)","('14boat', 1.795006387986059)","('14boat', 1.820520759625677)","('31farm', 2.0449504006068824)","('20casino', 2.1177413628274775)"
9,"('54office_supply', 1.0000098894377727)","('65toilet', 1.0263564251000468)","('65toilet', 1.027711719703256)","('10bed-dresser', 1.085011276165214)","('10bed-dresser', 1.0850099864001184)","('10bed-dresser', 1.0850099864001184)","('65toilet', 1.1522768686513565)","('65toilet', 1.152290188517139)","('56office-desk-chair', 1.260933517844914)","('56office-desk-chair', 1.2609335233398533)","('56office-desk-chair', 1.2609335233398533)","('48livingroom', 1.1532593553484471)","('48livingroom', 1.1532613332682138)","('30emergency', 1.1474012733195709)","('30emergency', 1.1474062942235967)","('30emergency', 1.1344705948180194)","('30emergency', 1.134476235137002)","('56office-desk-chair', 1.1842386782659808)","('56office-desk-chair', 1.1842561743270195)","('56office-desk-chair', 1.1842561743270195)","('04barber', 1.2032467898296029)","('04barber', 1.2034306807309507)","('31farm', 1.2719762233153231)","('31farm', 1.273110874228557)","('31farm', 1.3428142928456768)","('31farm', 1.3446982561776502)","('18car', 1.3889935199878092)","('18car', 1.3888712817596969)","('18car', 1.3888712817596969)","('65toilet', 1.5094952050344217)","('65toilet', 1.5122528933583808)","('61street', 1.5881274076285667)","('61street', 1.600704223570387)","('61street', 1.7698666465967055)","('61street', 1.7883822915950764)","('20casino', 2.018695452387943)","('14boat', 2.0707973223113156)"
