,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('chesspiece (2).jpg', 0.9994479582366893)","('toothbrush (2).jpg', 0.8025599800098521)","('toothbrush (2).jpg', 0.8040763539933787)","('toothbrush (2).jpg', 0.8040763539933787)","('dustpan (2).jpg', 0.9420372409383949)","('dustpan (2).jpg', 0.9429768393367938)","('dustpan (2).jpg', 0.9429768393367938)","('laundry (2).jpg', 1.0537784013250835)","('laundry (2).jpg', 1.0654556231593677)","('laundry (2).jpg', 1.1756068730087776)","('laundry (2).jpg', 1.1947915356235452)","('laundry (2).jpg', 1.2251901905228364)","('laundry (2).jpg', 1.2535174777811755)"
1,"('basketball (2).jpg', 0.9997396363836301)","('dustpan (2).jpg', 0.8205202474427293)","('dustpan (2).jpg', 0.8086631882865117)","('dustpan (2).jpg', 0.8086631882865117)","('laundry (2).jpg', 0.9458816559489122)","('laundry (2).jpg', 0.9501315864598607)","('laundry (2).jpg', 0.9501315864598607)","('parrot (2).jpg', 1.1285360360816803)","('parrot (2).jpg', 1.138914886642504)","('basketballrim (2).jpg', 1.2827478931131542)","('basketballrim (2).jpg', 1.2812481255970676)","('basketballrim (2).jpg', 1.3589719155513782)","('basketballrim (2).jpg', 1.3458144522329116)"
2,"('fries (2).jpg', 1.0)","('lego (2).jpg', 0.8491191400052299)","('lego (2).jpg', 0.8376939825058703)","('lego (2).jpg', 0.8376939825058703)","('broom (2).jpg', 1.0079925969232275)","('broom (2).jpg', 1.0043533356180456)","('broom (2).jpg', 1.0043533356180456)","('ironing (2).jpg', 1.206708596180739)","('ironing (2).jpg', 1.2129364666947018)","('ironing (2).jpg', 1.4149186154906526)","('ironing (2).jpg', 1.4329403887462107)","('ironing (2).jpg', 1.4496407677971335)","('ironing (2).jpg', 1.4995223671784996)"
3,"('burger (2).jpg', 1.0)","('broom (2).jpg', 0.8905612340542404)","('broom (2).jpg', 0.8926527701001777)","('broom (2).jpg', 0.8926527701001777)","('toothbrush (2).jpg', 1.0178976506840325)","('toothbrush (2).jpg', 1.0074383211968942)","('toothbrush (2).jpg', 1.0074383211968942)","('fish (2).jpg', 1.2192945207941865)","('fish (2).jpg', 1.2316208771178825)","('garbagebin (2).jpg', 1.4335639408168883)","('garbagebin (2).jpg', 1.4509123180764172)","('rainboots (2).jpg', 1.4753106110780323)","('rainboots (2).jpg', 1.545560303603978)"
4,"('cow (2).jpg', 1.0)","('bat (2).jpg', 0.9119112444886082)","('bat (2).jpg', 0.8965326192577893)","('bat (2).jpg', 0.8965326192577893)","('parrot (2).jpg', 1.0435983453450277)","('parrot (2).jpg', 1.0487296133885504)","('parrot (2).jpg', 1.0487296133885504)","('rainboots (2).jpg', 1.2386069054541333)","('dustpan (2).jpg', 1.2522709149322553)","('chair (2).jpg', 1.450153290586117)","('chair (2).jpg', 1.4650495440280098)","('dumbbell (2).jpg', 1.5261961347231843)","('dumbbell (2).jpg', 1.5806186651162542)"
5,"('chicken (2).jpg', 1.0)","('fish (2).jpg', 0.9292710147830268)","('fish (2).jpg', 0.9311938820795629)","('fish (2).jpg', 0.9311938820795629)","('fishbowl (2).jpg', 1.1174388075798836)","('fishbowl (2).jpg', 1.1261381222376328)","('fishbowl (2).jpg', 1.1261381222376328)","('fishbowl (2).jpg', 1.2525726098754002)","('nail (2).jpg', 1.2584097870368107)","('sippycup (2).jpg', 1.4664133117707943)","('dustpan (2).jpg', 1.476376779880629)","('dustpan (2).jpg', 1.557073461906922)","('dustpan (2).jpg', 1.5968187633016226)"
6,"('tennisball (2).jpg', 1.0000081872830517)","('laundry (2).jpg', 0.9572953990996937)","('laundry (2).jpg', 0.9609838621466352)","('laundry (2).jpg', 0.9609838621466352)","('fish (2).jpg', 1.1370092029579797)","('fish (2).jpg', 1.1383209351197268)","('fish (2).jpg', 1.1383209351197268)","('basketballrim (2).jpg', 1.2591697484205109)","('rainboots (2).jpg', 1.258567433373196)","('dustpan (2).jpg', 1.473777006297593)","('sippycup (2).jpg', 1.490216362787068)","('stroller (2).jpg', 1.6121247282534281)","('stroller (2).jpg', 1.6569984134546245)"
7,"('bowlingpin (2).jpg', 1.0000081872830517)","('cake (2).jpg', 0.9745250723921066)","('washer (2).jpg', 0.9769411636759225)","('washer (2).jpg', 0.9769411636759225)","('basketballrim (2).jpg', 1.1385159073383464)","('basketballrim (2).jpg', 1.1417497005497421)","('basketballrim (2).jpg', 1.1417497005497421)","('dustpan (2).jpg', 1.2628982981288046)","('basketballrim (2).jpg', 1.2614612554549427)","('kayak (2).jpg', 1.5014251205432048)","('kayak (2).jpg', 1.5152835365476611)","('parkingmeter (2).jpg', 1.6288455958172479)","('parkingmeter (2).jpg', 1.6713161854140333)"
8,"('helmet (2).jpg', 1.0000081872830517)","('washer (2).jpg', 0.9752404896161558)","('cake (2).jpg', 0.9797323551311505)","('cake (2).jpg', 0.9797323551311505)","('rainboots (2).jpg', 1.1397701629493353)","('rainboots (2).jpg', 1.1473099733837306)","('rainboots (2).jpg', 1.1473099733837306)","('kayak (2).jpg', 1.2714484689947851)","('fishbowl (2).jpg', 1.2690409020754057)","('medal (2).jpg', 1.51523900407075)","('medal (2).jpg', 1.5253236555661447)","('ovenmitt (2).jpg', 1.639771431711279)","('lifejacket (2).jpg', 1.724504961162861)"
9,"('bat (2).jpg', 1.0000081872830517)","('punchingbag (2).jpg', 0.9781182206030319)","('punchingbag (2).jpg', 0.9807446957321406)","('punchingbag (2).jpg', 0.9807446957321406)","('cake (2).jpg', 1.1797463414599938)","('cake (2).jpg', 1.1861663262083613)","('cake (2).jpg', 1.1861663262083613)","('ovenmitt (2).jpg', 1.2834360584326987)","('kayak (2).jpg', 1.2827490722395456)","('rainboots (2).jpg', 1.5162059019107748)","('parkingmeter (2).jpg', 1.529358631978439)","('lifejacket (2).jpg', 1.6455464719857444)","('ovenmitt (2).jpg', 1.726734882131178)"
