,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('22chess', 0.9994718178634568)","('69tub', 0.33481738288388824)","('69tub', 0.2653748551652098)","('69tub', 0.2653748551652098)","('01art', 0.34086547666454015)","('01art', 0.3020000759999054)","('01art', 0.3020000759999054)","('01art', 0.23863231661634504)","('01art', 0.21585850062761355)","('01art', 0.052751594601527514)","('01art', -0.00248279329524292)","('01art', 0.01670142233601576)","('01art', -0.10275993519427286)"
1,"('06basketball', 0.9998745821547136)","('38groceryshopping', 0.5926217275545455)","('38groceryshopping', 0.5949120373602574)","('38groceryshopping', 0.5949120373602574)","('21cheese', 0.6138926396388255)","('05baseball', 0.5879142378110609)","('05baseball', 0.5879142378110609)","('67toy', 0.7417328706899672)","('67toy', 0.7383482096879661)","('22chess', 0.3990214786569394)","('22chess', 0.3879433842159695)","('62sushi', 0.2725596768777043)","('62sushi', 0.26874553561289866)"
2,"('17burger', 1.0)","('01art', 0.6220049733349949)","('01art', 0.6115805376696661)","('01art', 0.6115805376696661)","('05baseball', 0.6367983415668997)","('21cheese', 0.5894461342576276)","('21cheese', 0.5894461342576276)","('33fishtank', 0.7602830501822534)","('05baseball', 0.7459798920364987)","('13birds', 0.5470726985009307)","('13birds', 0.5436494523958225)","('12birdcage', 0.3931399920225487)","('12birdcage', 0.382233048103414)"
3,"('32farm_animals', 1.0)","('21cheese', 0.6418603317251234)","('21cheese', 0.6346233239404122)","('21cheese', 0.6346233239404122)","('51makeup', 0.7231604666673979)","('51makeup', 0.7246167315743082)","('51makeup', 0.7246167315743082)","('21cheese', 0.7715509968108611)","('21cheese', 0.7559097311755604)","('67toy', 0.5959581143157541)","('05baseball', 0.5951530857043912)","('68toys', 0.45018110899626024)","('22chess', 0.4239565888944787)"
4,"('02baby', 1.0000054538854783)","('64tennis', 0.6637027221549645)","('64tennis', 0.6548683936006611)","('64tennis', 0.6548683936006611)","('15bowling', 0.7505438612960721)","('15bowling', 0.7535406690728306)","('15bowling', 0.7535406690728306)","('38groceryshopping', 0.7747844472253803)","('33fishtank', 0.7678312091306868)","('33fishtank', 0.6662409186450416)","('67toy', 0.6017704970833948)","('22chess', 0.4800785204794131)","('19carpet', 0.4427606810711894)"
5,"('46kitchen2', 1.0000055379211592)","('63teethhygene', 0.7502328664097581)","('63teethhygene', 0.7467089574252889)","('63teethhygene', 0.7467089574252889)","('38groceryshopping', 0.7649087425735959)","('38groceryshopping', 0.7600670133138383)","('38groceryshopping', 0.7600670133138383)","('51makeup', 0.7995216460708199)","('51makeup', 0.7743995744686747)","('12birdcage', 0.6681500778373108)","('12birdcage', 0.6583416789882125)","('67toy', 0.5063680734872218)","('67toy', 0.4753893789207516)"
6,"('45kitchen', 1.0000055379211592)","('05baseball', 0.7958588250436079)","('05baseball', 0.7741540745954244)","('05baseball', 0.7741540745954244)","('63teethhygene', 0.7804921958129208)","('63teethhygene', 0.7711921406770659)","('63teethhygene', 0.7711921406770659)","('05baseball', 0.8056044794275642)","('38groceryshopping', 0.7931949820628208)","('05baseball', 0.6971204130519162)","('33fishtank', 0.6603136106476168)","('19carpet', 0.5093017429485629)","('68toys', 0.5020414907064754)"
7,"('10bed-dresser', 1.0000089655355493)","('73winter', 0.8185101249374974)","('73winter', 0.8197615753865761)","('73winter', 0.8197615753865761)","('58party', 0.8295049863885929)","('59pizza', 0.8236444029955668)","('59pizza', 0.8236444029955668)","('15bowling', 0.8148856530024036)","('15bowling', 0.8031672628014157)","('19carpet', 0.7514889382362844)","('19carpet', 0.7335645329537135)","('33fishtank', 0.5343196825619702)","('33fishtank', 0.5467160121559695)"
8,"('69tub', 1.000009099550753)","('24cleaning', 0.8558927170326919)","('24cleaning', 0.8359634801468582)","('24cleaning', 0.8359634801468582)","('59pizza', 0.8329055221952781)","('58party', 0.8274514606857226)","('58party', 0.8274514606857226)","('12birdcage', 0.8245195136472271)","('12birdcage', 0.83305171792502)","('68toys', 0.7709956231585574)","('68toys', 0.7770405312297801)","('13birds', 0.6542511173345733)","('05baseball', 0.6261829321311904)"
9,"('65toilet', 1.000009099550753)","('23childEating', 0.8639279428437386)","('23childEating', 0.8674244445219534)","('23childEating', 0.8674244445219534)","('73winter', 0.8531537386319853)","('69tub', 0.831760061076078)","('69tub', 0.831760061076078)","('59pizza', 0.8326752120828587)","('59pizza', 0.8414817508901399)","('62sushi', 0.8131237725514108)","('62sushi', 0.7927984979860749)","('05baseball', 0.6802144657739715)","('25clothing', 0.630500331115273)"
