,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('basketballrim (2).jpg', 1.000009743789258)","('beachball (2).jpg', 3.363803112944671)","('beachball (2).jpg', 3.426938179672673)","('beachball (2).jpg', 3.426938179672673)","('beachball (2).jpg', 2.579905215725096)","('beachball (2).jpg', 2.6290344525628693)","('beachball (2).jpg', 2.6290344525628693)","('carpet (2).jpg', 2.9502190748668915)","('chicken (2).jpg', 3.0071093937163296)","('chicken (2).jpg', 9.596044356863434)","('chicken (2).jpg', 8.839601632868662)","('cow (2).jpg', 7.830250492886909)","('cow (2).jpg', 7.617819623135624)"
1,"('highchair (2).jpg', 1.0000096725620395)","('rubberduck (2).jpg', 2.527206987078541)","('rubberduck (2).jpg', 2.5402496999372177)","('rubberduck (2).jpg', 2.5402496999372177)","('carpet (2).jpg', 2.468231598822985)","('carpet (2).jpg', 2.4920137055646037)","('carpet (2).jpg', 2.4920137055646037)","('chicken (2).jpg', 2.9029662980014357)","('carpet (2).jpg', 2.9642378714876627)","('doll (2).jpg', 5.514932598120371)","('doll (2).jpg', 5.486720773517955)","('chicken (2).jpg', 6.328168944581921)","('chicken (2).jpg', 6.345941315271617)"
2,"('tent (2).jpg', 1.0000095331866181)","('fries (2).jpg', 2.1446570767598447)","('fries (2).jpg', 2.151732921169215)","('fries (2).jpg', 2.151732921169215)","('tennisball (2).jpg', 2.376850984790741)","('tennisball (2).jpg', 2.4434621485572325)","('tennisball (2).jpg', 2.4434621485572325)","('baseballball (2).jpg', 2.642722991102774)","('baseballball (2).jpg', 2.7824161944556365)","('cow (2).jpg', 4.778240690982371)","('cow (2).jpg', 4.593861513233139)","('burger (2).jpg', 5.013609543048366)","('remotecontrol (2).jpg', 5.673360016415732)"
3,"('dresser (2).jpg', 1.0000095331866181)","('pallette (2).jpg', 2.13602486848541)","('pallette (2).jpg', 2.147672028594818)","('pallette (2).jpg', 2.147672028594818)","('toothpaste (2).jpg', 2.354690852066461)","('toothpaste (2).jpg', 2.4170676693472255)","('toothpaste (2).jpg', 2.4170676693472255)","('burger (2).jpg', 2.621117097921414)","('burger (2).jpg', 2.686735437172934)","('baseballball (2).jpg', 3.8562261527268835)","('baseballball (2).jpg', 4.065123920929231)","('horse (2).jpg', 4.93661493378754)","('baseballball (2).jpg', 5.517153473869733)"
4,"('footballball (2).jpg', 1.0000095331866181)","('tennisball (2).jpg', 2.071638954501134)","('tennisball (2).jpg', 2.1259037718729283)","('tennisball (2).jpg', 2.1259037718729283)","('pants (2).jpg', 2.217586272884776)","('pallette (2).jpg', 2.2412289374784105)","('pallette (2).jpg', 2.2412289374784105)","('pizza (2).jpg', 2.5203449406844745)","('pizza (2).jpg', 2.537080420364671)","('horse (2).jpg', 3.664720994543678)","('remotecontrol (2).jpg', 3.6681370241308824)","('doll (2).jpg', 4.823260095939965)","('carpet (2).jpg', 5.127919201574209)"
5,"('motorcycle (2).jpg', 1.0000095331866181)","('cow (2).jpg', 2.052818631020215)","('cone (2).jpg', 2.0692122343103136)","('cone (2).jpg', 2.0692122343103136)","('rubberduck (2).jpg', 2.2142619167537365)","('rubberduck (2).jpg', 2.2371972280672066)","('rubberduck (2).jpg', 2.2371972280672066)","('rolette (2).jpg', 2.3854662414937278)","('pants (2).jpg', 2.4470335788581754)","('carpet (2).jpg', 3.5636030191359254)","('horse (2).jpg', 3.667483379445317)","('pizza (2).jpg', 4.676283565280153)","('horse (2).jpg', 5.0592160102515855)"
6,"('stroller (2).jpg', 1.0000095331866181)","('cone (2).jpg', 2.048264819230254)","('cow (2).jpg', 2.0528490471685803)","('cow (2).jpg', 2.0528490471685803)","('pallette (2).jpg', 2.2082518317249873)","('remotecontrol (2).jpg', 2.2317232190442478)","('remotecontrol (2).jpg', 2.2317232190442478)","('pants (2).jpg', 2.3782971083412217)","('rolette (2).jpg', 2.4285656365018573)","('pants (2).jpg', 3.51332206709793)","('carpet (2).jpg', 3.617831813305159)","('baseballball (2).jpg', 4.605084467087239)","('burger (2).jpg', 5.003952535093712)"
7,"('bike (2).jpg', 1.0000095331866181)","('sippycup (2).jpg', 2.0289774916646226)","('sippycup (2).jpg', 2.046349299863267)","('sippycup (2).jpg', 2.046349299863267)","('burger (2).jpg', 2.197816637788779)","('pants (2).jpg', 2.225549104670646)","('pants (2).jpg', 2.225549104670646)","('bag (2).jpg', 2.3212122631545515)","('fries (2).jpg', 2.366366393862724)","('remotecontrol (2).jpg', 3.443525265678548)","('pants (2).jpg', 3.588462492481526)","('remotecontrol (2).jpg', 4.568140430120911)","('doll (2).jpg', 4.894411300216091)"
8,"('sippycup (2).jpg', 1.0000094649943658)","('pants (2).jpg', 1.9964563272892935)","('pants (2).jpg', 2.001798269394686)","('pants (2).jpg', 2.001798269394686)","('remotecontrol (2).jpg', 2.180878371599037)","('burger (2).jpg', 2.2058483776532185)","('burger (2).jpg', 2.2058483776532185)","('fries (2).jpg', 2.295559288409259)","('remotecontrol (2).jpg', 2.359180066894502)","('burger (2).jpg', 3.3447986638798355)","('burger (2).jpg', 3.405874836880042)","('carpet (2).jpg', 4.483940082751512)","('pizza (2).jpg', 4.611319893412381)"
9,"('ovenmitt (2).jpg', 1.0000094649943658)","('chicken (2).jpg', 1.8318430533790275)","('chicken (2).jpg', 1.83231227201337)","('chicken (2).jpg', 1.83231227201337)","('fries (2).jpg', 2.1752155963169253)","('fries (2).jpg', 2.1879811248845975)","('fries (2).jpg', 2.1879811248845975)","('remotecontrol (2).jpg', 2.270549952104539)","('bag (2).jpg', 2.3249709384964703)","('barbie (2).jpg', 3.1308465406508)","('chess (2).jpg', 3.269166141752782)","('motorcycle (2).jpg', 4.112527384609344)","('rolette (2).jpg', 4.505746078707687)"
