,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('21cheese', 1.0000101942001327)","('08beachball-pail', 2.2379404239766907)","('08beachball-pail', 2.295508039330321)","('08beachball-pail', 2.295508039330321)","('17burger', 1.7992957202641542)","('17burger', 1.8019740936209845)","('17burger', 1.8019740936209845)","('53ocean', 1.601037113593072)","('17burger', 1.619619156362437)","('08beachball-pail', 1.8654736097666762)","('08beachball-pail', 1.9034892062491868)","('17burger', 2.4992222786306)","('17burger', 2.486549944032994)"
1,"('61street', 1.0000101942001327)","('17burger', 1.7568470967750882)","('17burger', 1.7592844337677729)","('17burger', 1.7592844337677729)","('08beachball-pail', 1.6198621113675156)","('08beachball-pail', 1.6424856318482208)","('08beachball-pail', 1.6424856318482208)","('17burger', 1.579326241719787)","('53ocean', 1.611073973497256)","('53ocean', 1.8382898664444778)","('66tools', 1.8579162143097308)","('42horseriding', 2.2917305273316035)","('42horseriding', 2.3439678491833598)"
2,"('60street', 1.0000101942001327)","('03backyard', 1.4168186136216536)","('03backyard', 1.4192011040104426)","('03backyard', 1.4192011040104426)","('53ocean', 1.5212258602207167)","('53ocean', 1.5260275272841441)","('53ocean', 1.5260275272841441)","('45kitchen', 1.5242271700412269)","('45kitchen', 1.5384761367008823)","('66tools', 1.8218836114756685)","('53ocean', 1.8374201185242838)","('53ocean', 2.1674396977824495)","('08beachball-pail', 2.2717648388998906)"
3,"('52motorbike', 1.0000100395066203)","('18car', 1.4109304505040925)","('18car', 1.413643254293436)","('18car', 1.413643254293436)","('45kitchen', 1.4700914737650717)","('45kitchen', 1.4870832341508717)","('45kitchen', 1.4870832341508717)","('08beachball-pail', 1.4921745861668798)","('08beachball-pail', 1.500919599006827)","('45kitchen', 1.7973958171579936)","('45kitchen', 1.8369942295964803)","('08beachball-pail', 2.1377695490291506)","('53ocean', 2.076780652480509)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('71valentines', 1.4035017465127375)","('20casino', 1.4094615367455623)","('20casino', 1.4094615367455623)","('42horseriding', 1.4678019156636497)","('42horseriding', 1.4720500391007474)","('42horseriding', 1.4720500391007474)","('42horseriding', 1.4664872314639863)","('42horseriding', 1.4820792285197015)","('31farm', 1.797040501970722)","('31farm', 1.8164374562093943)","('66tools', 1.8545643479244198)","('20casino', 1.9364553108645757)"
5,"('67toy', 1.0000098894377727)","('20casino', 1.401365018976351)","('71valentines', 1.4092009763807043)","('71valentines', 1.4092009763807043)","('03backyard', 1.4464872757757052)","('03backyard', 1.4539290363248576)","('03backyard', 1.4539290363248576)","('55office-computer-printer', 1.4520076961285)","('55office-computer-printer', 1.4666887309874295)","('32farm_animals', 1.79662269508658)","('32farm_animals', 1.7908689157158386)","('65toilet', 1.8515773879447168)","('66tools', 1.9235977429862912)"
6,"('18car', 1.0000098894377727)","('42horseriding', 1.3857414929855532)","('42horseriding', 1.3880854995996887)","('42horseriding', 1.3880854995996887)","('14boat', 1.3949526419970788)","('14boat', 1.4025494052295446)","('14boat', 1.4025494052295446)","('31farm', 1.435669026573208)","('31farm', 1.4489790627298829)","('42horseriding', 1.7740144490440772)","('42horseriding', 1.7869150700764966)","('45kitchen', 1.8136255344520738)","('65toilet', 1.9177910115526804)"
7,"('29cooking', 1.0000098894377727)","('37golf', 1.3491262829414186)","('65toilet', 1.3557834407491078)","('65toilet', 1.3557834407491078)","('56office-desk-chair', 1.3772201520144534)","('56office-desk-chair', 1.3838060633835656)","('56office-desk-chair', 1.3838060633835656)","('03backyard', 1.4113370829852612)","('03backyard', 1.416203480443759)","('17burger', 1.731023431926346)","('17burger', 1.7498649817639436)","('20casino', 1.7923242700561672)","('45kitchen', 1.8859332813656566)"
8,"('23childEating', 1.0000098894377727)","('14boat', 1.3478471824337521)","('37golf', 1.3520171049267986)","('37golf', 1.3520171049267986)","('46kitchen2', 1.3610048661110212)","('18car', 1.3632241373712841)","('18car', 1.3632241373712841)","('65toilet', 1.4100851278707869)","('65toilet', 1.4138672670214478)","('55office-computer-printer', 1.719819756180003)","('55office-computer-printer', 1.7389477450440847)","('31farm', 1.770479598221358)","('31farm', 1.8547913268498049)"
9,"('54office_supply', 1.0000098894377727)","('53ocean', 1.3456931595215536)","('46kitchen2', 1.3512278894315919)","('46kitchen2', 1.3512278894315919)","('65toilet', 1.35786033559519)","('31farm', 1.3577589485632222)","('31farm', 1.3577589485632222)","('66tools', 1.406100760645326)","('30emergency', 1.399221625935996)","('41hiking', 1.5877707308698024)","('65toilet', 1.5921449271206018)","('32farm_animals', 1.7549656653428263)","('41hiking', 1.8358666038682179)"
