,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10
0,"('chesspiece (2).jpg', 0.9994479582366893)","('bat (2).jpg', 0.8544894238439946)","('bat (2).jpg', 0.852091641439156)","('bat (2).jpg', 0.852091641439156)","('toothbrush (2).jpg', 0.9567234829024743)","('toothbrush (2).jpg', 0.9567158642718208)","('toothbrush (2).jpg', 0.9567158642718208)","('toothbrush (2).jpg', 0.9708962369234846)","('toothbrush (2).jpg', 0.9741420539881827)","('laundry (2).jpg', 0.965953060802949)","('laundry (2).jpg', 0.9709806478511381)","('rainboots (2).jpg', 1.1390702208383703)","('rainboots (2).jpg', 1.134921959099179)"
1,"('basketball (2).jpg', 0.9997396363836301)","('toothbrush (2).jpg', 0.8887216065013804)","('toothbrush (2).jpg', 0.8877013674522346)","('toothbrush (2).jpg', 0.8877013674522346)","('lego (2).jpg', 0.9887095782399302)","('lego (2).jpg', 0.9886980934343237)","('lego (2).jpg', 0.9886980934343237)","('nail (2).jpg', 0.9902220859913619)","('nail (2).jpg', 0.9815018184454041)","('rainboots (2).jpg', 1.0941075090275807)","('rainboots (2).jpg', 1.1181797020933868)","('basketballrim (2).jpg', 1.1908193130189644)","('basketballrim (2).jpg', 1.178149479498536)"
2,"('fries (2).jpg', 1.0)","('dustpan (2).jpg', 0.9342506430493157)","('dustpan (2).jpg', 0.9397246087566682)","('dustpan (2).jpg', 0.9397246087566682)","('nail (2).jpg', 0.9924959000557368)","('nail (2).jpg', 0.9925242098874072)","('nail (2).jpg', 0.9925242098874072)","('bat (2).jpg', 1.011723003038966)","('bat (2).jpg', 1.0117095946880876)","('basketballrim (2).jpg', 1.1809268662521337)","('basketballrim (2).jpg', 1.17324044638838)","('pokerchips (2).jpg', 1.2401403243606628)","('nail (2).jpg', 1.2530251434795305)"
3,"('burger (2).jpg', 1.0)","('fish (2).jpg', 0.9527737494432651)","('fish (2).jpg', 0.9517939113645515)","('fish (2).jpg', 0.9517939113645515)","('bat (2).jpg', 0.9930850845687813)","('bat (2).jpg', 0.9930988377488935)","('bat (2).jpg', 0.9930988377488935)","('dustpan (2).jpg', 1.0139826279371538)","('dustpan (2).jpg', 1.0203898361020431)","('parrot (2).jpg', 1.2706750363691335)","('toothbrush (2).jpg', 1.2601814234112854)","('laundry (2).jpg', 1.250703648849089)","('laundry (2).jpg', 1.264394195716879)"
4,"('cow (2).jpg', 1.0)","('broom (2).jpg', 0.9554532476786591)","('broom (2).jpg', 0.9556210820843825)","('broom (2).jpg', 0.9556210820843825)","('laundry (2).jpg', 0.9970672110225861)","('laundry (2).jpg', 0.9970563620872399)","('laundry (2).jpg', 0.9970563620872399)","('ironing (2).jpg', 1.0220248876891893)","('ironing (2).jpg', 1.025050456193084)","('sippycup (2).jpg', 1.2766788313939053)","('parrot (2).jpg', 1.2699711629342074)","('beachchair (2).jpg', 1.2544569351366222)","('beachchair (2).jpg', 1.2695736354129394)"
5,"('chicken (2).jpg', 1.0)","('lego (2).jpg', 0.9656287910453827)","('lego (2).jpg', 0.9682665730508788)","('lego (2).jpg', 0.9682665730508788)","('balloon (2).jpg', 1.0015218544102584)","('balloon (2).jpg', 1.0015785351460864)","('balloon (2).jpg', 1.0015785351460864)","('balloon (2).jpg', 1.0241694321151098)","('lego (2).jpg', 1.029616665020672)","('beachchair (2).jpg', 1.286732402839392)","('parkingmeter (2).jpg', 1.2928799421535397)","('medal (2).jpg', 1.2624528245403)","('pokerchips (2).jpg', 1.275388087017917)"
6,"('tennisball (2).jpg', 1.0000081872830517)","('cake (2).jpg', 0.9959485273147777)","('cake (2).jpg', 0.9956036540495049)","('cake (2).jpg', 0.9956036540495049)","('dustpan (2).jpg', 1.0018171663393114)","('dustpan (2).jpg', 1.001797979502843)","('dustpan (2).jpg', 1.001797979502843)","('lego (2).jpg', 1.0242889698715612)","('garbagebin (2).jpg', 1.0309148150820444)","('parkingmeter (2).jpg', 1.290857754997687)","('beachchair (2).jpg', 1.2960526246491282)","('dustpan (2).jpg', 1.2709238512958023)","('dustpan (2).jpg', 1.275948626848417)"
7,"('bowlingpin (2).jpg', 1.0000081872830517)","('washer (2).jpg', 0.9977058551002135)","('fridge (2).jpg', 0.9960876220040141)","('fridge (2).jpg', 0.9960876220040141)","('rainboots (2).jpg', 1.0055788490171462)","('rainboots (2).jpg', 1.0055596088172212)","('rainboots (2).jpg', 1.0055596088172212)","('broom (2).jpg', 1.0273945989820732)","('balloon (2).jpg', 1.0315215715254205)","('toothbrush (2).jpg', 1.2921734688676727)","('sippycup (2).jpg', 1.2990414902857303)","('ironing (2).jpg', 1.2765258662553451)","('ironing (2).jpg', 1.2837731367513103)"
8,"('helmet (2).jpg', 1.0000081872830517)","('fridge (2).jpg', 0.9988279243121301)","('washer (2).jpg', 0.9997292594739259)","('washer (2).jpg', 0.9997292594739259)","('cheesegrater (2).jpg', 1.0073517205262639)","('cheesegrater (2).jpg', 1.0073384679934114)","('cheesegrater (2).jpg', 1.0073384679934114)","('parkingmeter (2).jpg', 1.028986785860504)","('parkingmeter (2).jpg', 1.0330531346467566)","('medal (2).jpg', 1.2922869042395306)","('medal (2).jpg', 1.2991527356997166)","('fishbowl (2).jpg', 1.2940625388453648)","('medal (2).jpg', 1.2845241706743116)"
9,"('bat (2).jpg', 1.0000081872830517)","('bowlingball (2).jpg', 1.003730158484433)","('bowlingball (2).jpg', 1.0029166833044103)","('bowlingball (2).jpg', 1.0029166833044103)","('broom (2).jpg', 1.0079496126591723)","('broom (2).jpg', 1.0079400293219103)","('broom (2).jpg', 1.0079400293219103)","('garbagebin (2).jpg', 1.0306097674785404)","('beachpail (2).jpg', 1.0352422579430773)","('cake (2).jpg', 1.2944509890084777)","('nail (2).jpg', 1.3056508952784567)","('dumbbell (2).jpg', 1.3014879181082482)","('dumbbell (2).jpg', 1.3079574290165201)"
