,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10
0,"('21cheese', 1.0000101942001327)","('08beachball-pail', 1.1340956140340042)","('08beachball-pail', 1.1382706199173729)","('08beachball-pail', 1.1382706199173729)","('53ocean', 1.0704140577513819)","('53ocean', 1.0704087548297079)","('53ocean', 1.0704087548297079)","('53ocean', 1.101133305692096)","('53ocean', 1.114159722737381)","('17burger', 1.6815588084714905)","('17burger', 1.711204074669477)","('17burger', 1.8811682532868559)","('17burger', 1.8973341679060176)"
1,"('61street', 1.0000101942001327)","('17burger', 1.130046873092744)","('17burger', 1.1293400021141489)","('17burger', 1.1293400021141489)","('42horseriding', 1.0627222451981602)","('42horseriding', 1.0627102047853294)","('42horseriding', 1.0627102047853294)","('42horseriding', 1.089091014667527)","('42horseriding', 1.1015699721016583)","('53ocean', 1.6699339180307833)","('53ocean', 1.6710588330159593)","('53ocean', 1.6908555107689682)","('53ocean', 1.7047426683910625)"
2,"('60street', 1.0000101942001327)","('18car', 1.1169504527579486)","('18car', 1.116085910303577)","('18car', 1.116085910303577)","('17burger', 1.0621911564504347)","('17burger', 1.0622017707211582)","('17burger', 1.0622017707211582)","('03backyard', 1.0808662084613836)","('17burger', 1.0908685609956044)","('08beachball-pail', 1.5386413894063056)","('08beachball-pail', 1.5652484011491272)","('08beachball-pail', 1.6708110920921204)","('08beachball-pail', 1.6847959547753961)"
3,"('52motorbike', 1.0000100395066203)","('11biking', 1.1109894143676002)","('11biking', 1.110300564941435)","('11biking', 1.110300564941435)","('14boat', 1.053439295711331)","('14boat', 1.0534308091766356)","('14boat', 1.0534308091766356)","('17burger', 1.0794795374489665)","('03backyard', 1.0900925742946104)","('31farm', 1.5255746283188036)","('31farm', 1.5434522174461776)","('65toilet', 1.5947590155336104)","('65toilet', 1.6196825489378173)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('03backyard', 1.110989162492606)","('03backyard', 1.1100717884573892)","('03backyard', 1.1100717884573892)","('31farm', 1.0504793746943106)","('31farm', 1.0504656337009153)","('31farm', 1.0504656337009153)","('65toilet', 1.0749053804713002)","('65toilet', 1.0831273852450216)","('41hiking', 1.505467322632886)","('41hiking', 1.5310038364885608)","('42horseriding', 1.4730463442607766)","('31farm', 1.5162953250519462)"
5,"('67toy', 1.0000098894377727)","('42horseriding', 1.1084011914974325)","('42horseriding', 1.1076039642642166)","('42horseriding', 1.1076039642642166)","('18car', 1.0503980152118495)","('18car', 1.0503922455885968)","('18car', 1.0503922455885968)","('71valentines', 1.0672022347788872)","('08beachball-pail', 1.076967429368739)","('42horseriding', 1.4218560093226784)","('65toilet', 1.4375390688288205)","('31farm', 1.4605488830029956)","('42horseriding', 1.5095507651454376)"
6,"('18car', 1.0000098894377727)","('14boat', 1.106766890601972)","('14boat', 1.1062790484512446)","('14boat', 1.1062790484512446)","('11biking', 1.0487456971546463)","('03backyard', 1.0487321883560101)","('03backyard', 1.0487321883560101)","('08beachball-pail', 1.067130021175951)","('31farm', 1.0756051371338755)","('65toilet', 1.421403910116134)","('42horseriding', 1.4310560276983544)","('45kitchen', 1.4531171135445269)","('45kitchen', 1.5020160429076796)"
7,"('29cooking', 1.0000098894377727)","('37golf', 1.104515140006812)","('37golf', 1.1038115765939562)","('37golf', 1.1038115765939562)","('03backyard', 1.0487432298519503)","('11biking', 1.0487319873507335)","('11biking', 1.0487319873507335)","('31farm', 1.066070993813357)","('71valentines', 1.0705548561648945)","('45kitchen', 1.4133970135523626)","('66tools', 1.4125415690207825)","('48livingroom', 1.4524205858577768)","('48livingroom', 1.451602911537903)"
8,"('23childEating', 1.0000098894377727)","('46kitchen2', 1.1020460916851293)","('46kitchen2', 1.1013613673124958)","('46kitchen2', 1.1013613673124958)","('57pancakes', 1.0485883771844602)","('57pancakes', 1.0485966028361748)","('57pancakes', 1.0485966028361748)","('56office-desk-chair', 1.0617289128335792)","('56office-desk-chair', 1.07026592292677)","('66tools', 1.4046426269081072)","('56office-desk-chair', 1.40279031291071)","('41hiking', 1.4244224305035271)","('41hiking', 1.4487421988711955)"
9,"('54office_supply', 1.0000098894377727)","('56office-desk-chair', 1.0947020502159301)","('56office-desk-chair', 1.0938708106349067)","('56office-desk-chair', 1.0938708106349067)","('56office-desk-chair', 1.0483978823589106)","('56office-desk-chair', 1.0483839927172587)","('56office-desk-chair', 1.0483839927172587)","('20casino', 1.0578912820639796)","('14boat', 1.0659614585230823)","('56office-desk-chair', 1.3986528188497453)","('10bed-dresser', 1.3922151629628958)","('57pancakes', 1.4136567196182372)","('55office-computer-printer', 1.4307744131392888)"
