,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10
0,"('chesspiece (2).jpg', 0.9994479582366893)","('lego (2).jpg', 0.883741581113234)","('cake (2).jpg', 0.9604493724047153)","('bat (2).jpg', 0.9559958047126589)","('bat (2).jpg', 0.9559958047126589)","('dustpan (2).jpg', 0.9399531157055099)","('toothbrush (2).jpg', 0.9365020060832212)","('ovenmitt (2).jpg', 1.0900590379596768)","('laundry (2).jpg', 1.2602700604862895)","('laundry (2).jpg', 1.433744469607002)","('laundry (2).jpg', 1.3056844359008473)","('laundry (2).jpg', 1.5205898299645957)"
1,"('basketball (2).jpg', 0.9997396363836301)","('balloon (2).jpg', 0.9328268062858385)","('bat (2).jpg', 0.9636844018620836)","('cake (2).jpg', 0.9621590863057673)","('cake (2).jpg', 0.9621590863057673)","('stroller (2).jpg', 0.9455383595605611)","('rainboots (2).jpg', 0.9997548646926888)","('rainboots (2).jpg', 1.0922349631209551)","('basketballrim (2).jpg', 1.3326787532488993)","('boxing_gloves (2).jpg', 1.609316517133987)","('basketballrim (2).jpg', 1.3547427332905846)","('basketballrim (2).jpg', 1.603589750058551)"
2,"('fries (2).jpg', 1.0)","('stroller (2).jpg', 0.9455824968327209)","('dustpan (2).jpg', 0.9659421897198978)","('toothbrush (2).jpg', 0.9634937072916617)","('toothbrush (2).jpg', 0.9634937072916617)","('lego (2).jpg', 0.9566126363889904)","('bat (2).jpg', 1.0009716711171328)","('medal (2).jpg', 1.1187992374612274)","('chair (2).jpg', 1.3391871001022746)","('cheesegrater (2).jpg', 1.6402831964378175)","('pokerchips (2).jpg', 1.3820483766712315)","('pokerchips (2).jpg', 1.646612352355339)"
3,"('burger (2).jpg', 1.0)","('toothbrush (2).jpg', 0.9594475396529367)","('toothbrush (2).jpg', 0.9662598080887972)","('fish (2).jpg', 0.9661226616554106)","('fish (2).jpg', 0.9661226616554106)","('bat (2).jpg', 0.9590055943409665)","('umbrella (2).jpg', 1.0083853436463726)","('laundry (2).jpg', 1.119302381919445)","('highchair (2).jpg', 1.4042479925972295)","('basketballrim (2).jpg', 1.652116118374213)","('boxing_gloves (2).jpg', 1.4096354609031605)","('boxing_gloves (2).jpg', 1.7436293358840336)"
4,"('cow (2).jpg', 1.0)","('cake (2).jpg', 0.9598242525705886)","('fish (2).jpg', 0.966371260021992)","('dumbbell (2).jpg', 0.9698602605648832)","('dumbbell (2).jpg', 0.9698602605648832)","('washer (2).jpg', 0.976059697724022)","('balloon (2).jpg', 1.0122192517129436)","('basketballrim (2).jpg', 1.1195870606662917)","('trophy (2).jpg', 1.4361633807975276)","('pokerchips (2).jpg', 1.6526508072125952)","('cheesegrater (2).jpg', 1.4215968123174192)","('medal (2).jpg', 1.776367117269451)"
5,"('chicken (2).jpg', 1.0)","('broom (2).jpg', 0.9598685834913979)","('dumbbell (2).jpg', 0.9735144238886346)","('dustpan (2).jpg', 0.9712870371530706)","('dustpan (2).jpg', 0.9712870371530706)","('toothbrush (2).jpg', 0.979163299787364)","('broom (2).jpg', 1.0288256758826326)","('toothbrush (2).jpg', 1.1351014533475443)","('birdcage (2).jpg', 1.4459245136325247)","('anchor2.jpg', 1.7095818198827804)","('anchor2.jpg', 1.4361303699996102)","('anchor2.jpg', 1.802243971055205)"
6,"('tennisball (2).jpg', 1.0000081872830517)","('dumbbell (2).jpg', 0.9748238811495967)","('lego (2).jpg', 0.9761861163744658)","('balloon (2).jpg', 0.9750055641228682)","('balloon (2).jpg', 0.9750055641228682)","('dumbbell (2).jpg', 0.986605832097853)","('washer (2).jpg', 1.0365270533376751)","('nail (2).jpg', 1.1366469833070156)","('ironing (2).jpg', 1.4732048043027148)","('lego (2).jpg', 1.7334170161837468)","('lego (2).jpg', 1.4577707235076507)","('cheesegrater (2).jpg', 1.8049700626021776)"
7,"('bowlingpin (2).jpg', 1.0000081872830517)","('dustpan (2).jpg', 0.9761152725178995)","('stroller (2).jpg', 0.9783818969624409)","('stroller (2).jpg', 0.9769235985973812)","('stroller (2).jpg', 0.9769235985973812)","('rainboots (2).jpg', 0.9980224153136368)","('fishbowl (2).jpg', 1.0372424020660123)","('fishbowl (2).jpg', 1.143880584662095)","('cheesegrater (2).jpg', 1.4755774540622972)","('cheese (2).jpg', 1.7503906546534047)","('trophy (2).jpg', 1.4629017950506498)","('birdcage (2).jpg', 1.8637861146918064)"
8,"('helmet (2).jpg', 1.0000081872830517)","('bat (2).jpg', 0.9769153609510417)","('balloon (2).jpg', 0.9795834855610855)","('lego (2).jpg', 0.9817142250645705)","('lego (2).jpg', 0.9817142250645705)","('ovenmitt (2).jpg', 1.0014000570671415)","('bowlingpin (2).jpg', 1.037684412871074)","('kayak (2).jpg', 1.148810356638057)","('belt (2).jpg', 1.4817912319784208)","('ovenmitt (2).jpg', 1.8194203340212882)","('medal (2).jpg', 1.4640512781022212)","('dustpan (2).jpg', 1.8923831668692757)"
9,"('bat (2).jpg', 1.0000081872830517)","('washer (2).jpg', 0.9797881308411801)","('pokerchips (2).jpg', 0.9833744105761976)","('bowlingball (2).jpg', 0.9847840907716743)","('bowlingball (2).jpg', 0.9847840907716743)","('bowlingball (2).jpg', 1.0037335507576715)","('ironing (2).jpg', 1.0414047542922968)","('trophy (2).jpg', 1.1489296188166278)","('rainboots (2).jpg', 1.4827150569114345)","('barbie (2).jpg', 1.820497911984245)","('cheese (2).jpg', 1.4686559686517489)","('trophy (2).jpg', 1.8974639438441698)"
