,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10
0,"('22chess', 0.9994718178634568)","('38groceryshopping', 0.8154534572692722)","('38groceryshopping', 0.8306359092882084)","('38groceryshopping', 0.8310569007549292)","('38groceryshopping', 0.8310569007549292)","('38groceryshopping', 0.8762069175743298)","('38groceryshopping', 0.8181520201215968)","('01art', 0.6663343740471228)","('01art', 0.4909270261860122)","('62sushi', 0.6404321932510552)","('62sushi', 0.8433991413034723)","('62sushi', 0.7489197430581307)"
1,"('06basketball', 0.9998745821547136)","('69tub', 0.8174260959097429)","('64tennis', 0.8685179766686499)","('69tub', 0.855462130808931)","('69tub', 0.855462130808931)","('69tub', 0.8933397109469144)","('05baseball', 0.8668838097490392)","('38groceryshopping', 0.8539196741407579)","('05baseball', 0.6839976752767425)","('67toy', 0.7789193191126125)","('29cooking', 0.8932573941221196)","('05baseball', 0.7911235169073767)"
2,"('17burger', 1.0)","('01art', 0.8779061234773573)","('69tub', 0.8706747388167991)","('64tennis', 0.8634025781542174)","('64tennis', 0.8634025781542174)","('64tennis', 0.905150488790486)","('01art', 0.9075214900040889)","('22chess', 0.8588420301957216)","('12birdcage', 0.7050828253528413)","('12birdcage', 0.8065263230483478)","('05baseball', 0.9058899991482355)","('29cooking', 0.8105078557027934)"
3,"('32farm_animals', 1.0)","('23childEating', 0.9071451711611305)","('23childEating', 0.9197988161823556)","('23childEating', 0.920324555559333)","('23childEating', 0.920324555559333)","('01art', 0.9177072163789002)","('63teethhygene', 0.9215899034999042)","('62sushi', 0.8860096954480485)","('62sushi', 0.7162699437392764)","('29cooking', 0.8201919658299429)","('67toy', 0.9382875480580717)","('47laundry', 0.8985924236590211)"
4,"('02baby', 1.0000054538854783)","('64tennis', 0.9076110509779389)","('21cheese', 0.9267655348964118)","('01art', 0.9298005485647737)","('01art', 0.9298005485647737)","('21cheese', 0.9234792683251235)","('59pizza', 0.9225395357862515)","('05baseball', 0.8998274653142927)","('33fishtank', 0.7342332312758243)","('37golf', 0.8754291482069388)","('12birdcage', 0.9403580010942405)","('44kayak', 0.8995053198842872)"
5,"('46kitchen2', 1.0000055379211592)","('21cheese', 0.9173040061158105)","('01art', 0.9332636436724238)","('21cheese', 0.9308971237739628)","('21cheese', 0.9308971237739628)","('59pizza', 0.9308235461974381)","('67toy', 0.9297926468224013)","('19carpet', 0.9047778780255623)","('19carpet', 0.8023709983549083)","('26coathanging', 0.8786409056491505)","('33fishtank', 0.9478632318521839)","('34football', 0.9065459012877368)"
6,"('45kitchen', 1.0000055379211592)","('44kayak', 0.9381154212297571)","('73winter', 0.936774350889958)","('73winter', 0.9355125330894859)","('73winter', 0.9355125330894859)","('24cleaning', 0.9553207268297742)","('12birdcage', 0.9398120583442373)","('67toy', 0.9138686040951796)","('47laundry', 0.8227510254017499)","('47laundry', 0.879071937949565)","('47laundry', 0.9542834954636846)","('12birdcage', 0.9211321934425676)"
7,"('10bed-dresser', 1.0000089655355493)","('59pizza', 0.9487383163257138)","('59pizza', 0.9521415470817933)","('05baseball', 0.9531898744645158)","('05baseball', 0.9531898744645158)","('23childEating', 0.9560362299348426)","('73winter', 0.9504429894264551)","('59pizza', 0.9245823127319026)","('59pizza', 0.840309901699138)","('49livingroom-chair', 0.879877397006915)","('34football', 0.9574225889949204)","('33fishtank', 0.9217207963647409)"
8,"('69tub', 1.000009099550753)","('73winter', 0.9536969001572987)","('33fishtank', 0.9604985843181689)","('59pizza', 0.9532466981668198)","('59pizza', 0.9532466981668198)","('19carpet', 0.9707929190409644)","('64tennis', 0.9523417248303829)","('21cheese', 0.9403794250933258)","('13birds', 0.8493755434462711)","('44kayak', 0.8827166115069021)","('49livingroom-chair', 0.9875003189480362)","('67toy', 0.9407717454511791)"
9,"('65toilet', 1.000009099550753)","('05baseball', 0.9618781455341018)","('24cleaning', 0.962686699609103)","('24cleaning', 0.956518767778177)","('24cleaning', 0.956518767778177)","('02baby', 0.9769435463249222)","('69tub', 0.9533187697037813)","('28construction', 0.9439487617990385)","('11biking', 0.8768119679639645)","('68toys', 0.886830006033219)","('44kayak', 0.9890803586505003)","('19carpet', 0.9481555395150033)"
