,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10
0,"('basketballrim (2).jpg', 1.000009743789258)","('beachball (2).jpg', 1.4324579066576502)","('fries (2).jpg', 1.3181974305997108)","('beachball (2).jpg', 1.3115151480864136)","('beachball (2).jpg', 1.3115151480864136)","('fries (2).jpg', 1.266774097782362)","('rolette (2).jpg', 1.285512422477019)","('burger (2).jpg', 1.6523263937179533)","('remotecontrol (2).jpg', 3.0138564763958198)","('remotecontrol (2).jpg', 3.4602311944486233)","('basketball (2).jpg', 3.224386595553122)","('baseballball (2).jpg', 5.42006387239315)"
1,"('highchair (2).jpg', 1.0000096725620395)","('fries (2).jpg', 1.4247648684913565)","('cow (2).jpg', 1.3115961682742938)","('cow (2).jpg', 1.3113875411082812)","('cow (2).jpg', 1.3113875411082812)","('beachball (2).jpg', 1.2642699547324947)","('burger (2).jpg', 1.284074570012159)","('carpet (2).jpg', 1.6387732132353996)","('pizza (2).jpg', 2.869041503541467)","('wheelbarrow (2).jpg', 3.1072734215870863)","('remotecontrol (2).jpg', 3.1629287661370635)","('basketball (2).jpg', 5.405608339086692)"
2,"('tent (2).jpg', 1.0000095331866181)","('pallette (2).jpg', 1.3577119519895124)","('beachball (2).jpg', 1.311122748971753)","('fries (2).jpg', 1.3002398371665815)","('fries (2).jpg', 1.3002398371665815)","('pallette (2).jpg', 1.2487206469516183)","('remotecontrol (2).jpg', 1.2806370691263145)","('bike (2).jpg', 1.629216943626444)","('burger (2).jpg', 2.7212641353023934)","('plant (2).jpg', 3.076957765018352)","('tennisball (2).jpg', 3.0358413823407675)","('carpet (2).jpg', 5.012947927114209)"
3,"('dresser (2).jpg', 1.0000095331866181)","('tennisball (2).jpg', 1.3260026495677872)","('tennisball (2).jpg', 1.2567746610222088)","('tennisball (2).jpg', 1.2753331244764214)","('tennisball (2).jpg', 1.2753331244764214)","('cone (2).jpg', 1.2434760322388534)","('bag (2).jpg', 1.2443204209804626)","('pizza (2).jpg', 1.606772869243507)","('carpet (2).jpg', 2.6570135845499534)","('burger (2).jpg', 3.073941944449481)","('baseballball (2).jpg', 2.9990198140480615)","('remotecontrol (2).jpg', 4.924535399071629)"
4,"('footballball (2).jpg', 1.0000095331866181)","('rubberduck (2).jpg', 1.3080372262375777)","('rubberduck (2).jpg', 1.2474739351635173)","('rubberduck (2).jpg', 1.249305739373866)","('rubberduck (2).jpg', 1.249305739373866)","('tennisball (2).jpg', 1.2396632132857046)","('carpet (2).jpg', 1.2404981479419033)","('baseballball (2).jpg', 1.5782349589440499)","('lipstick (2).jpg', 2.6053441974693445)","('lipstick (2).jpg', 3.0317819917733337)","('burger (2).jpg', 2.909787237820448)","('tennisball (2).jpg', 4.617838250759879)"
5,"('motorcycle (2).jpg', 1.0000095331866181)","('cow (2).jpg', 1.2849015930067802)","('burger (2).jpg', 1.2015205769776605)","('burger (2).jpg', 1.201755923055611)","('burger (2).jpg', 1.201755923055611)","('rubberduck (2).jpg', 1.2048444308530522)","('cow (2).jpg', 1.2288335722953798)","('remotecontrol (2).jpg', 1.5759774784451253)","('bike (2).jpg', 2.479902956315613)","('basketball (2).jpg', 3.017179425113254)","('carpet (2).jpg', 2.748727937540862)","('helmet (2).jpg', 4.6138809626369985)"
6,"('stroller (2).jpg', 1.0000095331866181)","('burger (2).jpg', 1.2680448909490123)","('pallette (2).jpg', 1.195854328491451)","('pallette (2).jpg', 1.1983892585759828)","('pallette (2).jpg', 1.1983892585759828)","('cow (2).jpg', 1.2046632552218597)","('beachball (2).jpg', 1.2252784973710822)","('easel (2).jpg', 1.5694969707962165)","('baseballball (2).jpg', 2.356028262618704)","('broom (2).jpg', 2.9896808133576136)","('helmet (2).jpg', 2.6537918736117265)","('burger (2).jpg', 4.570695434772587)"
7,"('bike (2).jpg', 1.0000095331866181)","('chicken (2).jpg', 1.2285527626337887)","('stove (2).jpg', 1.1911904059559881)","('rolette (2).jpg', 1.1925318555883182)","('rolette (2).jpg', 1.1925318555883182)","('rolette (2).jpg', 1.1918926489036346)","('fridge (2).jpg', 1.2005929542107368)","('rolette (2).jpg', 1.521024911922015)","('rolette (2).jpg', 2.33360503573785)","('handgun1 (2).JPG', 2.9754831405127864)","('cart (2).jpg', 2.6327415350881003)","('handgun1 (2).JPG', 4.252243291943285)"
8,"('sippycup (2).jpg', 1.0000094649943658)","('sippycup (2).jpg', 1.2178954928095227)","('rolette (2).jpg', 1.1902286568980471)","('deskchair (2).jpg', 1.1889794355924796)","('deskchair (2).jpg', 1.1889794355924796)","('bag (2).jpg', 1.1899807656521983)","('roses (2).jpg', 1.200346766340174)","('tennisball (2).jpg', 1.5081496018719147)","('tennisball (2).jpg', 2.28867644541894)","('tennisball (2).jpg', 2.93164783135589)","('lipstick (2).jpg', 2.6194876085880954)","('cart (2).jpg', 4.13587646961273)"
9,"('ovenmitt (2).jpg', 1.0000094649943658)","('pizza (2).jpg', 1.2071032391336616)","('deskchair (2).jpg', 1.1901768469945289)","('stove (2).jpg', 1.188664248273938)","('stove (2).jpg', 1.188664248273938)","('sippycup (2).jpg', 1.1850263881010576)","('pizza (2).jpg', 1.1927849721234325)","('chicken (2).jpg', 1.5015450595821336)","('cow (2).jpg', 2.2746682429935783)","('paper (2).jpg', 2.9239574549979794)","('trafficlight (2).jpg', 2.594616773729383)","('trafficlight (2).jpg', 4.040923803357184)"
