,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10
0,"('22chess', 0.9994718178634568)","('70tv', 0.820472649467311)","('70tv', 0.820472649467311)","('70tv', 0.8951882650699816)","('70tv', 0.7395782935964015)","('70tv', 0.7395782935964015)","('59pizza', 0.8263126123438103)","('59pizza', 0.7682582001978653)","('59pizza', 0.7682582001978653)","('19carpet', 0.7156807563822375)","('51makeup', 0.8347828552782878)","('51makeup', 0.8860563940609414)","('19carpet', 0.7965824619800539)","('19carpet', 0.8039682878445602)","('19carpet', 0.8039682878445602)","('51makeup', 0.8676591755660837)","('12birdcage', 0.754277358840736)","('70tv', 0.9753372286788973)","('01art', 0.3405446124634614)"
1,"('06basketball', 0.9998745821547136)","('49livingroom-chair', 0.8567147739281318)","('49livingroom-chair', 0.8567147739281318)","('64tennis', 0.9064400237107217)","('59pizza', 0.7867066619896135)","('59pizza', 0.7867066619896135)","('19carpet', 0.850974065465334)","('19carpet', 0.7755456168108985)","('19carpet', 0.7755456168108985)","('59pizza', 0.7647080731023975)","('59pizza', 0.8762723212904174)","('19carpet', 0.9077485258798742)","('51makeup', 0.8912544396467642)","('51makeup', 0.8613348198880582)","('51makeup', 0.8613348198880582)","('49livingroom-chair', 0.8860736201266536)","('33fishtank', 0.779875168681018)","('51makeup', 0.9805447268866267)","('55office-computer-printer', 0.3984548577227941)"
2,"('17burger', 1.0)","('64tennis', 0.8980198347355797)","('64tennis', 0.8980198347355797)","('49livingroom-chair', 0.9149778535066095)","('49livingroom-chair', 0.7947551312865854)","('49livingroom-chair', 0.7947551312865854)","('70tv', 0.869203309127898)","('70tv', 0.843994344512976)","('70tv', 0.843994344512976)","('05baseball', 0.7713268646122473)","('19carpet', 0.8769953257681412)","('59pizza', 0.9279633630056898)","('12birdcage', 0.8935275206452763)","('59pizza', 0.8770508587763155)","('59pizza', 0.8770508587763155)","('15bowling', 0.9059799937315663)","('49livingroom-chair', 0.7862827516900501)","('25clothing', 0.9834250625318114)","('20casino', 0.42808753010723727)"
3,"('32farm_animals', 1.0)","('55office-computer-printer', 0.9294290745107676)","('55office-computer-printer', 0.9294290745107676)","('11biking', 0.9357324724393377)","('19carpet', 0.7988478702437146)","('19carpet', 0.7988478702437146)","('49livingroom-chair', 0.8977552289744694)","('22chess', 0.8604679123163625)","('22chess', 0.8604679123163625)","('15bowling', 0.7772974087278887)","('15bowling', 0.8772873693185045)","('12birdcage', 0.9298762406301652)","('59pizza', 0.8973999374110856)","('49livingroom-chair', 0.9010894403114753)","('49livingroom-chair', 0.9010894403114753)","('19carpet', 0.9279753536133917)","('19carpet', 0.7918638120865009)","('19carpet', 0.9838317512981828)","('67toy', 0.45453582540723636)"
4,"('02baby', 1.0000054538854783)","('05baseball', 0.939446574201648)","('05baseball', 0.939446574201648)","('05baseball', 0.948553719656471)","('11biking', 0.8236060790021142)","('11biking', 0.8236060790021142)","('06basketball', 0.9041000231099977)","('49livingroom-chair', 0.869475877043495)","('49livingroom-chair', 0.869475877043495)","('51makeup', 0.8085232128132765)","('22chess', 0.8785107155962184)","('44kayak', 0.9396316460149146)","('25clothing', 0.9131143128133308)","('44kayak', 0.9097467108144854)","('44kayak', 0.9097467108144854)","('26coathanging', 0.9307116064515395)","('39gun', 0.8444489094811543)","('15bowling', 0.9842029933770587)","('64tennis', 0.455285371668868)"
5,"('46kitchen2', 1.0000055379211592)","('11biking', 0.9447658691012468)","('11biking', 0.9447658691012468)","('06basketball', 0.9485864701832762)","('06basketball', 0.841644761651491)","('06basketball', 0.841644761651491)","('15bowling', 0.9186132591993562)","('51makeup', 0.9024964484342074)","('51makeup', 0.9024964484342074)","('12birdcage', 0.8574262827579597)","('05baseball', 0.9121200119652252)","('33fishtank', 0.9484006412261247)","('22chess', 0.919567953334545)","('12birdcage', 0.9156021181225467)","('12birdcage', 0.9156021181225467)","('44kayak', 0.9329148966937068)","('51makeup', 0.8640921208093073)","('52motorbike', 0.9848060649691278)","('42horseriding', 0.46556173839390175)"
6,"('45kitchen', 1.0000055379211592)","('06basketball', 0.9469789587827083)","('06basketball', 0.9469789587827083)","('19carpet', 0.9585011054566256)","('15bowling', 0.8629203968812018)","('15bowling', 0.8629203968812018)","('21cheese', 0.9253688167157119)","('12birdcage', 0.9065243483356338)","('12birdcage', 0.9065243483356338)","('06basketball', 0.857756190713523)","('33fishtank', 0.929522070829292)","('49livingroom-chair', 0.9491229784012033)","('44kayak', 0.9246300141917975)","('33fishtank', 0.9185973620565491)","('33fishtank', 0.9185973620565491)","('22chess', 0.9458372972549465)","('15bowling', 0.8651571625555202)","('59pizza', 0.9858630270436843)","('18car', 0.5229170073008904)"
7,"('10bed-dresser', 1.0000089655355493)","('16boxing', 0.9536246208486893)","('16boxing', 0.9536246208486893)","('51makeup', 0.9660622089574659)","('22chess', 0.8698340889957513)","('22chess', 0.8698340889957513)","('64tennis', 0.9265673032723826)","('44kayak', 0.9144430384221585)","('44kayak', 0.9144430384221585)","('33fishtank', 0.8601787135296423)","('68toys', 0.9371624985898868)","('15bowling', 0.951903318012369)","('05baseball', 0.9454920873314987)","('25clothing', 0.9217115345792203)","('25clothing', 0.9217115345792203)","('40gym', 0.9465545213879145)","('59pizza', 0.8702860363560039)","('16boxing', 0.9873674266613327)","('27coffeemaking', 0.5395355906981957)"
8,"('69tub', 1.000009099550753)","('01art', 0.9651442864022267)","('01art', 0.9651442864022267)","('21cheese', 0.9666129728633213)","('26coathanging', 0.8857003175283847)","('26coathanging', 0.8857003175283847)","('05baseball', 0.9273026482260415)","('15bowling', 0.9145404642683315)","('15bowling', 0.9145404642683315)","('44kayak', 0.8622904263998492)","('44kayak', 0.942049083040948)","('67toy', 0.9552170578329717)","('49livingroom-chair', 0.9474677497405496)","('22chess', 0.9263978216869664)","('22chess', 0.9263978216869664)","('12birdcage', 0.956813054412294)","('05baseball', 0.896167987042041)","('45kitchen', 0.9875277044662065)","('36gardening', 0.5804450742484059)"
9,"('65toilet', 1.000009099550753)","('40gym', 0.9664651702854073)","('40gym', 0.9664651702854073)","('45kitchen', 0.9691408852100242)","('64tennis', 0.9032662088449656)","('64tennis', 0.9032662088449656)","('22chess', 0.9285852871896446)","('01art', 0.918485086898427)","('01art', 0.918485086898427)","('01art', 0.8748060184799096)","('06basketball', 0.9456765716803501)","('25clothing', 0.9585615961344801)","('11biking', 0.9511043315815324)","('05baseball', 0.9279658201376925)","('05baseball', 0.9279658201376925)","('33fishtank', 0.960669632965051)","('06basketball', 0.907270564556365)","('12birdcage', 0.9876019679166401)","('21cheese', 0.5926041859770178)"
