,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10
0,"('basketballrim (2).jpg', 1.000009743789258)","('lamp (2).jpg', 1.1791620494992316)","('lamp (2).jpg', 1.1791620494992316)","('bike (2).jpg', 1.3073686584663378)","('carpet (2).jpg', 1.5328574415163903)","('carpet (2).jpg', 1.5328574415163903)","('rubberduck (2).jpg', 1.340974122672991)","('carpet (2).jpg', 1.6018143769803599)","('carpet (2).jpg', 1.6018143769803599)","('coatrack (2).jpg', 1.7058751281825555)","('coatrack (2).jpg', 1.3702152383498618)","('coatrack (2).jpg', 1.2855677058845523)","('carpet (2).jpg', 1.4168854702739293)","('coatrack (2).jpg', 1.4150793970119617)","('coatrack (2).jpg', 1.4150793970119617)","('coatrack (2).jpg', 1.367840553502668)","('burger (2).jpg', 2.1905475291904666)","('burger (2).jpg', 1.056498761561076)","('dresser (2).jpg', 2.447610216243017)"
1,"('highchair (2).jpg', 1.0000096725620395)","('tennisball (2).jpg', 1.1713798601738694)","('tennisball (2).jpg', 1.1713798601738694)","('fries (2).jpg', 1.2453470508759865)","('lamp (2).jpg', 1.4957611223457647)","('lamp (2).jpg', 1.4957611223457647)","('carpet (2).jpg', 1.3075049939108143)","('lamp (2).jpg', 1.4841506540621716)","('lamp (2).jpg', 1.4841506540621716)","('carpet (2).jpg', 1.6769215624409564)","('lamp (2).jpg', 1.3276980198615267)","('lamp (2).jpg', 1.2258753525165833)","('coatrack (2).jpg', 1.329667728321602)","('rolette (2).jpg', 1.3695624183848687)","('rolette (2).jpg', 1.3695624183848687)","('rolette (2).jpg', 1.263248439994995)","('rolette (2).jpg', 1.9421643681242406)","('rolette (2).jpg', 1.047909262968774)","('dustpan (2).jpg', 2.3304881138507536)"
2,"('tent (2).jpg', 1.0000095331866181)","('carpet (2).jpg', 1.1585945327493965)","('carpet (2).jpg', 1.1585945327493965)","('rubberduck (2).jpg', 1.2147289100483056)","('bike (2).jpg', 1.4609407366848761)","('bike (2).jpg', 1.4609407366848761)","('coatrack (2).jpg', 1.2651113589834744)","('coatrack (2).jpg', 1.4760028426167042)","('coatrack (2).jpg', 1.4760028426167042)","('bike (2).jpg', 1.6626947447726155)","('bike (2).jpg', 1.2916057555720921)","('carpet (2).jpg', 1.2192147681865968)","('rolette (2).jpg', 1.28883788712908)","('carpet (2).jpg', 1.353956595746525)","('carpet (2).jpg', 1.353956595746525)","('pizza (2).jpg', 1.2428215087452548)","('doll (2).jpg', 1.8063752824913086)","('ambulance (2).jpg', 1.047060351424692)","('lamp (2).jpg', 2.270080574017785)"
3,"('dresser (2).jpg', 1.0000095331866181)","('rolette (2).jpg', 1.1566863018251266)","('rolette (2).jpg', 1.1566863018251266)","('pancake (2).jpg', 1.1694527699707775)","('coatrack (2).jpg', 1.4326266693518572)","('coatrack (2).jpg', 1.4326266693518572)","('lamp (2).jpg', 1.2456574560042837)","('toothbrush (2).jpg', 1.4021370260006123)","('toothbrush (2).jpg', 1.4021370260006123)","('lamp (2).jpg', 1.6213047125559497)","('hammer (2).jpg', 1.2760722376715876)","('motorhelmet (2).jpg', 1.2158465399448994)","('hammer (2).jpg', 1.2515572863972941)","('ambulance (2).jpg', 1.2937729218728897)","('ambulance (2).jpg', 1.2937729218728897)","('bowlingball (2).jpg', 1.2335717622721993)","('coatrack (2).jpg', 1.7335887490001236)","('toothpaste (2).jpg', 1.0425685354962728)","('seashell (2).jpg', 2.244548162685988)"
4,"('footballball (2).jpg', 1.0000095331866181)","('rubberduck (2).jpg', 1.146398362743704)","('rubberduck (2).jpg', 1.146398362743704)","('lamp (2).jpg', 1.1654928864491982)","('rubberduck (2).jpg', 1.4317913449253352)","('rubberduck (2).jpg', 1.4317913449253352)","('bike (2).jpg', 1.2285764541044826)","('pizza (2).jpg', 1.3825186776823126)","('pizza (2).jpg', 1.3825186776823126)","('bowlingball (2).jpg', 1.5938877501334447)","('rolette (2).jpg', 1.2728053495552514)","('hammer (2).jpg', 1.2143765214182851)","('motorhelmet (2).jpg', 1.2392955872574043)","('lamp (2).jpg', 1.2903090687243903)","('lamp (2).jpg', 1.2903090687243903)","('burger (2).jpg', 1.2275524389437487)","('key (2).jpg', 1.7294160944578876)","('bike (2).jpg', 1.0420265103156796)","('fridge (2).jpg', 2.187279338799245)"
5,"('motorcycle (2).jpg', 1.0000095331866181)","('pants (2).jpg', 1.135396915244743)","('pants (2).jpg', 1.135396915244743)","('carpet (2).jpg', 1.163810775712446)","('pizza (2).jpg', 1.385014931808424)","('pizza (2).jpg', 1.385014931808424)","('scissors (2).jpg', 1.2221196267025518)","('bike (2).jpg', 1.3790081658440154)","('bike (2).jpg', 1.3790081658440154)","('rolette (2).jpg', 1.5591420295252927)","('motorhelmet (2).jpg', 1.2726111346279925)","('bike (2).jpg', 1.1921681455802509)","('doll (2).jpg', 1.23648824026241)","('bike (2).jpg', 1.2878420072879013)","('bike (2).jpg', 1.2878420072879013)","('ambulance (2).jpg', 1.2194956778733448)","('hammer (2).jpg', 1.6813691876596097)","('bathrobe (2).jpg', 1.0403559578358104)","('umbrella (2).jpg', 2.087541247413443)"
6,"('stroller (2).jpg', 1.0000095331866181)","('paper (2).jpg', 1.13162403252308)","('paper (2).jpg', 1.13162403252308)","('pants (2).jpg', 1.1464233832577082)","('chess (2).jpg', 1.3247827099157876)","('chess (2).jpg', 1.3247827099157876)","('burger (2).jpg', 1.2158652174534816)","('rubberduck (2).jpg', 1.367016177148361)","('rubberduck (2).jpg', 1.367016177148361)","('pizza (2).jpg', 1.540058603598772)","('carpet (2).jpg', 1.2694885176509862)","('rolette (2).jpg', 1.1905225715834666)","('toothpaste (2).jpg', 1.2357020389012572)","('toothpaste (2).jpg', 1.2735159160966694)","('toothpaste (2).jpg', 1.2735159160966694)","('handgun1 (2).JPG', 1.2151303460899654)","('pizza (2).jpg', 1.6446213631650137)","('slippers (2).jpg', 1.0375256786790132)","('trafficlight (2).jpg', 2.063518653731252)"
7,"('bike (2).jpg', 1.0000095331866181)","('easel (2).jpg', 1.131404205551503)","('easel (2).jpg', 1.131404205551503)","('beachpail (2).jpg', 1.1400226374509714)","('pants (2).jpg', 1.2986703039817125)","('pants (2).jpg', 1.2986703039817125)","('sofa (2).jpg', 1.2098247990919286)","('remotecontrol (2).jpg', 1.313584222567119)","('remotecontrol (2).jpg', 1.313584222567119)","('lipstick (2).jpg', 1.5374516805246026)","('remotecontrol (2).jpg', 1.249524647833571)","('lipstick (2).jpg', 1.1887966871647258)","('umbrella (2).jpg', 1.232629756586335)","('remotecontrol (2).jpg', 1.2684805543049753)","('remotecontrol (2).jpg', 1.2684805543049753)","('lamp (2).jpg', 1.197875634466222)","('motorhelmet (2).jpg', 1.6276563543642417)","('carpet (2).jpg', 1.03511481370903)","('stroller (2).jpg', 2.034545095370137)"
8,"('sippycup (2).jpg', 1.0000094649943658)","('lipstick (2).jpg', 1.1295175790539023)","('lipstick (2).jpg', 1.1295175790539023)","('lipstick (2).jpg', 1.1388476497761728)","('easel (2).jpg', 1.2961562273041018)","('easel (2).jpg', 1.2961562273041018)","('pants (2).jpg', 1.1970113127544724)","('hammer (2).jpg', 1.3105406736145235)","('hammer (2).jpg', 1.3105406736145235)","('remotecontrol (2).jpg', 1.521762596380479)","('toothpaste (2).jpg', 1.241469123487901)","('bowlingball (2).jpg', 1.185848674802479)","('bowlingball (2).jpg', 1.2300868471100521)","('umbrella (2).jpg', 1.2681492525972096)","('umbrella (2).jpg', 1.2681492525972096)","('toothpaste (2).jpg', 1.1947324096005227)","('racket (2).jpg', 1.509732251540346)","('chicken (2).jpg', 1.0342499818809792)","('sushi (2).jpg', 2.01205300770575)"
9,"('ovenmitt (2).jpg', 1.0000094649943658)","('roadsign (2).jpg', 1.1274389813419627)","('roadsign (2).jpg', 1.1274389813419627)","('racket (2).jpg', 1.1344546485511229)","('chicken (2).jpg', 1.2867488563435403)","('chicken (2).jpg', 1.2867488563435403)","('pizza (2).jpg', 1.196695378019408)","('rolette (2).jpg', 1.302046148832944)","('rolette (2).jpg', 1.302046148832944)","('hammer (2).jpg', 1.5058013614767898)","('pizza (2).jpg', 1.2384827175357038)","('toothbrush (2).jpg', 1.1815421001312496)","('lamp (2).jpg', 1.2291440688165651)","('handgun1 (2).JPG', 1.2679604265746918)","('handgun1 (2).JPG', 1.2679604265746918)","('doll (2).jpg', 1.192562693505045)","('lamp (2).jpg', 1.497069968480352)","('hairdryer (2).jpg', 1.0342442573261128)","('fries (2).jpg', 2.0055417944034377)"
