,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10
0,"('21cheese', 1.0000101942001327)","('42horseriding', 1.097656782514108)","('42horseriding', 1.097656782514108)","('71valentines', 1.0916421058549959)","('30emergency', 1.1977833451397255)","('30emergency', 1.1977833451397255)","('08beachball-pail', 1.1148603748217671)","('30emergency', 1.1603044174371688)","('30emergency', 1.1603044174371688)","('66tools', 1.2597786347912825)","('66tools', 1.1496579231183541)","('63teethhygene', 1.0966210639848226)","('60street', 1.1143056590416112)","('63teethhygene', 1.1355305880146769)","('63teethhygene', 1.1355305880146769)","('63teethhygene', 1.1134149718841049)","('66tools', 1.3638284897262798)","('32farm_animals', 1.0268317884451752)","('24cleaning', 1.7243572438509776)"
1,"('61street', 1.0000101942001327)","('65toilet', 1.0973309941762168)","('65toilet', 1.0973309941762168)","('50lock', 1.0892297683292547)","('08beachball-pail', 1.1866582489534008)","('08beachball-pail', 1.1866582489534008)","('30emergency', 1.107862314260583)","('63teethhygene', 1.1577726265374864)","('63teethhygene', 1.1577726265374864)","('63teethhygene', 1.2292644245772906)","('63teethhygene', 1.1483878066969162)","('66tools', 1.0858083586844438)","('63teethhygene', 1.1097939037056237)","('60street', 1.1303451823132127)","('60street', 1.1303451823132127)","('71valentines', 1.1092110468883785)","('07bathrobe-slippers', 1.3105196776259742)","('71valentines', 1.0246063817101734)","('43ironing', 1.6414035234794988)"
2,"('60street', 1.0000101942001327)","('20casino', 1.0955273006810058)","('20casino', 1.0955273006810058)","('57pancakes', 1.0873833352881617)","('71valentines', 1.1418072635402978)","('71valentines', 1.1418072635402978)","('71valentines', 1.1070987242632462)","('24cleaning', 1.1506022102571731)","('24cleaning', 1.1506022102571731)","('24cleaning', 1.1954865880544072)","('17burger', 1.1195322862209829)","('48livingroom', 1.077082136391194)","('71valentines', 1.105782184807391)","('71valentines', 1.1297817064920204)","('71valentines', 1.1297817064920204)","('17burger', 1.106328472063066)","('17burger', 1.306487210505539)","('41hiking', 1.0211639393076004)","('68toys', 1.5670921973143386)"
3,"('52motorbike', 1.0000100395066203)","('08beachball-pail', 1.0896727715557633)","('08beachball-pail', 1.0896727715557633)","('42horseriding', 1.080010992701351)","('20casino', 1.1407941359305651)","('20casino', 1.1407941359305651)","('42horseriding', 1.1068219438799862)","('71valentines', 1.1412421771014252)","('71valentines', 1.1412421771014252)","('17burger', 1.1820824766856814)","('50lock', 1.1072804391529254)","('71valentines', 1.0767932034022671)","('08beachball-pail', 1.1031925250715242)","('17burger', 1.1145708703103405)","('17burger', 1.1145708703103405)","('30emergency', 1.078692736002354)","('57pancakes', 1.272691168799418)","('07bathrobe-slippers', 1.020917142038701)","('61street', 1.5495428994848204)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('03backyard', 1.0819130033440814)","('03backyard', 1.0819130033440814)","('20casino', 1.0756507601189242)","('42horseriding', 1.1385485982454688)","('42horseriding', 1.1385485982454688)","('17burger', 1.0992728152826075)","('66tools', 1.138354346353007)","('66tools', 1.138354346353007)","('61street', 1.1775500182787355)","('24cleaning', 1.1066085236411332)","('54office_supply', 1.0749101439868918)","('50lock', 1.1008203830052985)","('30emergency', 1.1068669275965448)","('30emergency', 1.1068669275965448)","('60street', 1.0743458625754292)","('20casino', 1.25306798108523)","('17burger', 1.0199772995150014)","('06basketball', 1.5435615526351072)"
5,"('67toy', 1.0000098894377727)","('50lock', 1.0788142778445187)","('50lock', 1.0788142778445187)","('65toilet', 1.0715876092855272)","('14boat', 1.133684530272113)","('14boat', 1.133684530272113)","('50lock', 1.0909139529054968)","('17burger', 1.1215160732013403)","('17burger', 1.1215160732013403)","('31farm', 1.173610109031776)","('30emergency', 1.0998988054658525)","('60street', 1.0743980454276858)","('17burger', 1.0977307824027838)","('24cleaning', 1.096249666102423)","('24cleaning', 1.096249666102423)","('53ocean', 1.0727558731399436)","('71valentines', 1.2153715646050587)","('48livingroom', 1.0163468291709674)","('65toilet', 1.4696401965453)"
6,"('18car', 1.0000098894377727)","('71valentines', 1.0766832802318065)","('71valentines', 1.0766832802318065)","('08beachball-pail', 1.0699885912153997)","('53ocean', 1.1308928503022297)","('53ocean', 1.1308928503022297)","('48livingroom', 1.0878836870156234)","('65toilet', 1.1213291931641973)","('65toilet', 1.1213291931641973)","('50lock', 1.167798690583782)","('54office_supply', 1.0995944683749457)","('50lock', 1.074235759046988)","('30emergency', 1.0958728892631158)","('72winning', 1.093419063935048)","('72winning', 1.093419063935048)","('61street', 1.0628235176510732)","('30emergency', 1.2030348108383209)","('55office-computer-printer', 1.0163177098419915)","('73winter', 1.4580430663486537)"
7,"('29cooking', 1.0000098894377727)","('41hiking', 1.0697490759958286)","('41hiking', 1.0697490759958286)","('04barber', 1.0675150035896384)","('65toilet', 1.1217404920366216)","('65toilet', 1.1217404920366216)","('31farm', 1.081323830564564)","('08beachball-pail', 1.1132990546977828)","('08beachball-pail', 1.1132990546977828)","('09beachumbrella-chair', 1.16775840846175)","('71valentines', 1.098177257778011)","('30emergency', 1.0706329071681602)","('64tennis', 1.093790155670228)","('50lock', 1.0927594267147553)","('50lock', 1.0927594267147553)","('57pancakes', 1.0565954113117124)","('09beachumbrella-chair', 1.2007019442216589)","('34football', 1.0157971295854422)","('16boxing', 1.423281667605551)"
8,"('23childEating', 1.0000098894377727)","('57pancakes', 1.0688245488589496)","('57pancakes', 1.0688245488589496)","('30emergency', 1.0587912758664324)","('17burger', 1.1124556231932434)","('17burger', 1.1124556231932434)","('20casino', 1.080200897181693)","('20casino', 1.112088198400917)","('20casino', 1.112088198400917)","('48livingroom', 1.1655777203044513)","('31farm', 1.087745536521263)","('24cleaning', 1.070452364043572)","('66tools', 1.0829383747497487)","('07bathrobe-slippers', 1.0897290053345492)","('07bathrobe-slippers', 1.0897290053345492)","('27coffeemaking', 1.0557471140921775)","('34football', 1.1921311883530215)","('03backyard', 1.014810062386461)","('03backyard', 1.3733109139022752)"
9,"('54office_supply', 1.0000098894377727)","('10bed-dresser', 1.0669187755087564)","('10bed-dresser', 1.0669187755087564)","('53ocean', 1.0555381951886988)","('10bed-dresser', 1.1122986823673964)","('10bed-dresser', 1.1122986823673964)","('03backyard', 1.0770483721691309)","('50lock', 1.1117708258631405)","('50lock', 1.1117708258631405)","('30emergency', 1.1653844601248677)","('61street', 1.0798973821993745)","('17burger', 1.0695209876074798)","('61street', 1.08139105624539)","('53ocean', 1.0881554772414603)","('53ocean', 1.0881554772414603)","('08beachball-pail', 1.053381353508235)","('46kitchen2', 1.1711662055365042)","('64tennis', 1.0143635191152776)","('56office-desk-chair', 1.3462611600694168)"
