,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('basketballrim (2).jpg', 1.000009743789258)","('tennisball (2).jpg', 1.3130853476019555)","('bike (2).jpg', 1.2225683524139026)","('bike (2).jpg', 1.2225763892409665)","('bike (2).jpg', 1.2225763892409665)","('lamp (2).jpg', 1.5538155495004549)","('bike (2).jpg', 1.4902895564627991)","('rolette (2).jpg', 2.234522195466283)","('rolette (2).jpg', 1.2792194338212415)","('rolette (2).jpg', 1.0392489267985339)"
1,"('highchair (2).jpg', 1.0000096725620395)","('fries (2).jpg', 1.281390177768313)","('lamp (2).jpg', 1.189507829732935)","('lamp (2).jpg', 1.189512036118393)","('lamp (2).jpg', 1.189512036118393)","('bike (2).jpg', 1.4679951771595081)","('carpet (2).jpg', 1.4695170642908315)","('bike (2).jpg', 2.1765578740444145)","('backhoe (2).jpg', 1.2240112447809846)","('bike (2).jpg', 1.0386355850964013)"
2,"('tent (2).jpg', 1.0000095331866181)","('pallette (2).jpg', 1.2480972309676976)","('carpet (2).jpg', 1.1360940271934887)","('carpet (2).jpg', 1.1360773971510334)","('carpet (2).jpg', 1.1360773971510334)","('carpet (2).jpg', 1.3844937333970289)","('rubberduck (2).jpg', 1.375358397816976)","('horse (2).jpg', 2.142023480057229)","('bike (2).jpg', 1.217528561027237)","('horse (2).jpg', 1.0376981974784478)"
3,"('dresser (2).jpg', 1.0000095331866181)","('rubberduck (2).jpg', 1.2332010784719811)","('pants (2).jpg', 1.1227440028190132)","('pants (2).jpg', 1.1227418202385626)","('pants (2).jpg', 1.1227418202385626)","('rubberduck (2).jpg', 1.3615020995885552)","('excersiceequipment (2).jpg', 1.3104043787137092)","('tractor (2).jpg', 1.9794459031448102)","('scissors (2).jpg', 1.2097463476329327)","('tractor (2).jpg', 1.0348528280696743)"
4,"('footballball (2).jpg', 1.0000095331866181)","('beachball (2).jpg', 1.2265541720690407)","('rubberduck (2).jpg', 1.1195319551077918)","('rubberduck (2).jpg', 1.1195215655491828)","('rubberduck (2).jpg', 1.1195215655491828)","('coatrack (2).jpg', 1.3324938494301057)","('lamp (2).jpg', 1.2910912145166038)","('helm2.jpg', 1.8787268729216557)","('burger (2).jpg', 1.1992886836608276)","('burger (2).jpg', 1.0347366405059346)"
5,"('motorcycle (2).jpg', 1.0000095331866181)","('burger (2).jpg', 1.1748560702601363)","('pizza (2).jpg', 1.1146561979741128)","('pizza (2).jpg', 1.1146277230508275)","('pizza (2).jpg', 1.1146277230508275)","('easel (2).jpg', 1.3122576423476269)","('rolette (2).jpg', 1.2826003875402998)","('rubberduck (2).jpg', 1.866064932860339)","('fish (2).jpg', 1.191347857012842)","('motorcycle (2).jpg', 1.0341009739240272)"
6,"('stroller (2).jpg', 1.0000095331866181)","('bag (2).jpg', 1.1627460800571134)","('beachball (2).jpg', 1.1140059260286337)","('beachball (2).jpg', 1.1140312038343)","('beachball (2).jpg', 1.1140312038343)","('pizza (2).jpg', 1.2758885625784306)","('remotecontrol (2).jpg', 1.2821627388178023)","('pizza (2).jpg', 1.8468305389878734)","('tractor (2).jpg', 1.185059222460146)","('ambulance (2).jpg', 1.0330965077145857)"
7,"('bike (2).jpg', 1.0000095331866181)","('chicken (2).jpg', 1.1547289321941052)","('tennisball (2).jpg', 1.1138927487961339)","('tennisball (2).jpg', 1.1138784082840434)","('tennisball (2).jpg', 1.1138784082840434)","('cow (2).jpg', 1.2607150690460898)","('coatrack (2).jpg', 1.2628314458209944)","('coatrack (2).jpg', 1.8226312893374097)","('umbrella (2).jpg', 1.1825127384023362)","('toothpaste (2).jpg', 1.0294270245802841)"
8,"('sippycup (2).jpg', 1.0000094649943658)","('train (2).jpg', 1.1547023883775556)","('paper (2).jpg', 1.1122736489319252)","('paper (2).jpg', 1.1122725802507727)","('paper (2).jpg', 1.1122725802507727)","('toothbrush (2).jpg', 1.2602792447948936)","('burger (2).jpg', 1.2609775583618124)","('pants (2).jpg', 1.821219262910636)","('rubberduck (2).jpg', 1.1812093326016977)","('hammer (2).jpg', 1.0290968520482149)"
9,"('ovenmitt (2).jpg', 1.0000094649943658)","('cow (2).jpg', 1.1538022460705817)","('sofa (2).jpg', 1.1039477915619287)","('sofa (2).jpg', 1.1039423180041588)","('sofa (2).jpg', 1.1039423180041588)","('television (2).jpg', 1.2595105484076452)","('beachball (2).jpg', 1.2485381996475757)","('chicken (2).jpg', 1.8192584258832165)","('bowlingpin (2).jpg', 1.1744138991512554)","('backhoe (2).jpg', 1.0285170606351706)"
