,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('21cheese', 1.0000101942001327)","('17burger', 1.0679314210967124)","('08beachball-pail', 1.1206041192944798)","('08beachball-pail', 1.1210261755692066)","('08beachball-pail', 1.1210261755692066)","('08beachball-pail', 1.20290907880986)","('30emergency', 1.1662096478107171)","('20casino', 1.2397575710663604)","('66tools', 1.3866629527771093)","('32farm_animals', 1.0278743267892057)"
1,"('61street', 1.0000101942001327)","('18car', 1.0641903380009663)","('50lock', 1.1102095122770455)","('50lock', 1.1105538198951375)","('50lock', 1.1105538198951375)","('69tub', 1.1856008496741337)","('71valentines', 1.1565422082349144)","('03backyard', 1.2380596860080832)","('32farm_animals', 1.2420560598268366)","('45kitchen', 1.0223916235702377)"
2,"('60street', 1.0000101942001327)","('03backyard', 1.0609013439928752)","('42horseriding', 1.0994037853609788)","('42horseriding', 1.0996187946651714)","('42horseriding', 1.0996187946651714)","('53ocean', 1.1852574542966376)","('53ocean', 1.1316936362717516)","('71valentines', 1.228649357650458)","('17burger', 1.206539327056276)","('17burger', 1.0218361271939052)"
3,"('52motorbike', 1.0000100395066203)","('08beachball-pail', 1.0574206825972552)","('20casino', 1.0974491189306093)","('20casino', 1.0977757816134457)","('20casino', 1.0977757816134457)","('42horseriding', 1.169353856315796)","('42horseriding', 1.1293455052415384)","('63teethhygene', 1.2236906850040894)","('07bathrobe-slippers', 1.1890925761348923)","('64tennis', 1.021114289934465)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('71valentines', 1.056316890770085)","('53ocean', 1.082322797622972)","('53ocean', 1.0825140351814042)","('53ocean', 1.0825140351814042)","('14boat', 1.1691404431227013)","('32farm_animals', 1.1227244481591525)","('32farm_animals', 1.215164573223142)","('53ocean', 1.186043415005755)","('53ocean', 1.0193477357762315)"
5,"('67toy', 1.0000098894377727)","('42horseriding', 1.0535269259404807)","('41hiking', 1.0803059043760723)","('41hiking', 1.0805251762805275)","('41hiking', 1.0805251762805275)","('30emergency', 1.1682092453228543)","('37golf', 1.1202996622054835)","('17burger', 1.188153209643051)","('62sushi', 1.1535271152272986)","('07bathrobe-slippers', 1.0169899719155098)"
6,"('18car', 1.0000098894377727)","('14boat', 1.0519490500295412)","('46kitchen2', 1.079601710968095)","('46kitchen2', 1.079891977494988)","('46kitchen2', 1.079891977494988)","('20casino', 1.1622433851192484)","('56office-desk-chair', 1.113714834212578)","('66tools', 1.1853308731699286)","('61street', 1.1529165170863085)","('31farm', 1.0151838693130977)"
7,"('29cooking', 1.0000098894377727)","('37golf', 1.0500402535878224)","('71valentines', 1.0793835010429782)","('71valentines', 1.0795897564578403)","('71valentines', 1.0795897564578403)","('71valentines', 1.1460517360277207)","('20casino', 1.111333058568792)","('24cleaning', 1.1817297828970872)","('30emergency', 1.1409730666896287)","('50lock', 1.01458956741792)"
8,"('23childEating', 1.0000098894377727)","('11biking', 1.0497096564086685)","('14boat', 1.076547476894027)","('14boat', 1.0766219135353754)","('14boat', 1.0766219135353754)","('46kitchen2', 1.137735804714598)","('36gardening', 1.1073815759860792)","('48livingroom', 1.1776137347234341)","('42horseriding', 1.1365143260723263)","('14boat', 1.0144878142051208)"
9,"('54office_supply', 1.0000098894377727)","('65toilet', 1.0476476656100102)","('29cooking', 1.0741816858436821)","('29cooking', 1.0744092414532969)","('29cooking', 1.0744092414532969)","('50lock', 1.1268165549275106)","('07bathrobe-slippers', 1.1005309196159268)","('31farm', 1.1718659034780778)","('14boat', 1.1359393414634626)","('46kitchen2', 1.0140553258471925)"
