,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('chesspiece (2).jpg', 0.9994479582366893)","('lego (2).jpg', 0.954814956228331)","('bat (2).jpg', 0.9796620807929405)","('toothbrush (2).jpg', 0.979691545365077)","('toothbrush (2).jpg', 0.979691545365077)","('broom (2).jpg', 0.9042423660567349)","('rainboots (2).jpg', 0.972549118119005)","('laundry (2).jpg', 1.0153166240238216)","('laundry (2).jpg', 1.26132671939808)","('laundry (2).jpg', 1.1708935863851153)"
1,"('basketball (2).jpg', 0.9997396363836301)","('balloon (2).jpg', 0.9609477432399998)","('toothbrush (2).jpg', 0.9797072903537518)","('balloon (2).jpg', 0.9805446668504497)","('balloon (2).jpg', 0.9805446668504497)","('toothbrush (2).jpg', 0.9337079345077536)","('laundry (2).jpg', 0.9990675648923745)","('rainboots (2).jpg', 1.0581100987542216)","('rainboots (2).jpg', 1.3350721682907118)","('rainboots (2).jpg', 1.2402571762166885)"
2,"('fries (2).jpg', 1.0)","('toothbrush (2).jpg', 0.9778958073267615)","('balloon (2).jpg', 0.9801461105283861)","('bat (2).jpg', 0.9807389060525155)","('bat (2).jpg', 0.9807389060525155)","('cake (2).jpg', 0.9468768305782945)","('toothbrush (2).jpg', 1.0167365402309942)","('nail (2).jpg', 1.2054993079018177)","('basketballrim (2).jpg', 1.3457149335804879)","('dustpan (2).jpg', 1.2863905958744968)"
3,"('burger (2).jpg', 1.0)","('broom (2).jpg', 0.9826342453662507)","('lego (2).jpg', 0.9855460275339992)","('lego (2).jpg', 0.9862813588953149)","('lego (2).jpg', 0.9862813588953149)","('trafficlight (2).jpg', 0.9475399823004295)","('tent (2).jpg', 1.032200277125143)","('fishbowl (2).jpg', 1.2398288302034344)","('dustpan (2).jpg', 1.3742641906015998)","('pokerchips (2).jpg', 1.3001272385780211)"
4,"('cow (2).jpg', 1.0)","('stroller (2).jpg', 0.9828410967753586)","('dustpan (2).jpg', 0.987374844619286)","('cake (2).jpg', 0.9876327421362526)","('cake (2).jpg', 0.9876327421362526)","('fishbowl (2).jpg', 0.9653050020474152)","('fishbowl (2).jpg', 1.057881823710827)","('dumbbell (2).jpg', 1.248942023224666)","('dumbbell (2).jpg', 1.402916953162728)","('dumbbell (2).jpg', 1.3018553764375347)"
5,"('chicken (2).jpg', 1.0)","('cake (2).jpg', 0.9842276459357189)","('cake (2).jpg', 0.9877426391841303)","('broom (2).jpg', 0.9894263521033345)","('broom (2).jpg', 0.9894263521033345)","('balloon (2).jpg', 0.988487012567774)","('coatrack (2).jpg', 1.0745315784836624)","('bird (2).jpg', 1.2742886914687266)","('pokerchips (2).jpg', 1.4121311746080227)","('basketballrim (2).jpg', 1.3153691951484188)"
6,"('tennisball (2).jpg', 1.0000081872830517)","('bat (2).jpg', 0.985079408623391)","('broom (2).jpg', 0.9897518261286198)","('dustpan (2).jpg', 0.9896455027908418)","('dustpan (2).jpg', 0.9896455027908418)","('garbagebin (2).jpg', 0.9897884202251118)","('nail (2).jpg', 1.0855667767611272)","('parkingmeter (2).jpg', 1.315784728080966)","('birdhouse (2).jpg', 1.4850779024467966)","('nail (2).jpg', 1.3405772668835283)"
7,"('bowlingpin (2).jpg', 1.0000081872830517)","('washer (2).jpg', 0.9886066621562838)","('dumbbell (2).jpg', 0.9921005317564733)","('dumbbell (2).jpg', 0.991858711272209)","('dumbbell (2).jpg', 0.991858711272209)","('stroller (2).jpg', 0.9899648090079699)","('fish (2).jpg', 1.08831347789694)","('kayak (2).jpg', 1.3160450845520095)","('beachchair (2).jpg', 1.487289020129027)","('medal (2).jpg', 1.3418346327580002)"
8,"('helmet (2).jpg', 1.0000081872830517)","('bowlingball (2).jpg', 0.9899761939930071)","('fish (2).jpg', 0.9930333854741902)","('fish (2).jpg', 0.9924668236355769)","('fish (2).jpg', 0.9924668236355769)","('bat (2).jpg', 0.9904241679908292)","('computer (2).jpg', 1.0895799254277982)","('cheesegrater (2).jpg', 1.3224614712534644)","('medal (2).jpg', 1.4976404006657846)","('birdhouse (2).jpg', 1.3440906872961167)"
9,"('bat (2).jpg', 1.0000081872830517)","('dustpan (2).jpg', 0.9900653664644943)","('stroller (2).jpg', 0.9943741329651963)","('stroller (2).jpg', 0.9941606242669604)","('stroller (2).jpg', 0.9941606242669604)","('laundry (2).jpg', 0.9913050985546517)","('hairdryer (2).jpg', 1.091826832175073)","('hairdryer (2).jpg', 1.3280122772523124)","('board (2).jpg', 1.5262710442280432)","('highchair (2).jpg', 1.362122494812457)"
