,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10
0,"('22chess', 0.9994718178634568)","('69tub', 0.9221251359669794)","('64tennis', 0.9464311126697468)","('64tennis', 0.9481208848180941)","('64tennis', 0.9481208848180941)","('38groceryshopping', 0.8191862592693181)","('01art', 0.8267403113050866)","('01art', 0.5025541232581212)","('59pizza', 0.5416669195744438)","('59pizza', 0.4324841534726164)"
1,"('06basketball', 0.9998745821547136)","('21cheese', 0.938981952964512)","('69tub', 0.9470406213478842)","('69tub', 0.9502542709640474)","('69tub', 0.9502542709640474)","('69tub', 0.881708457479276)","('73winter', 0.8426753536168186)","('67toy', 0.6984728529271361)","('38groceryshopping', 0.5876051107582323)","('02baby', 0.6137469587389167)"
2,"('17burger', 1.0)","('38groceryshopping', 0.9541470107000197)","('21cheese', 0.954720208051566)","('21cheese', 0.9566788180555498)","('21cheese', 0.9566788180555498)","('01art', 0.8957041019128136)","('19carpet', 0.858335587028537)","('47laundry', 0.7457896580608357)","('12birdcage', 0.6083183258012271)","('01art', 0.6726888141497198)"
3,"('32farm_animals', 1.0)","('64tennis', 0.9545042242639578)","('38groceryshopping', 0.9701778918044025)","('38groceryshopping', 0.9696993842604275)","('38groceryshopping', 0.9696993842604275)","('73winter', 0.9172404707909976)","('67toy', 0.8628050888291731)","('12birdcage', 0.7713153144697139)","('01art', 0.6103579536475414)","('19carpet', 0.6731508221938937)"
4,"('02baby', 1.0000054538854783)","('01art', 0.9588957163360398)","('73winter', 0.9783212273099051)","('73winter', 0.9779629001218768)","('73winter', 0.9779629001218768)","('64tennis', 0.9185904306349142)","('38groceryshopping', 0.8657469055670226)","('51makeup', 0.806902921373324)","('02baby', 0.6145033201686191)","('12birdcage', 0.673783873652053)"
5,"('46kitchen2', 1.0000055379211592)","('44kayak', 0.9754455472913546)","('01art', 0.9809567048740431)","('01art', 0.9815129002259184)","('01art', 0.9815129002259184)","('24cleaning', 0.9227096063480249)","('63teethhygene', 0.8719506626601847)","('02baby', 0.8189504656546843)","('49livingroom-chair', 0.7082975377998298)","('38groceryshopping', 0.758080574623331)"
6,"('45kitchen', 1.0000055379211592)","('73winter', 0.9762400754076845)","('24cleaning', 0.9817656946448187)","('24cleaning', 0.9821446070690991)","('24cleaning', 0.9821446070690991)","('23childEating', 0.9436388942252311)","('21cheese', 0.8917573849058417)","('38groceryshopping', 0.8325855665039438)","('19carpet', 0.7345014456678302)","('49livingroom-chair', 0.7800591853965598)"
7,"('10bed-dresser', 1.0000089655355493)","('23childEating', 0.9771883699750018)","('62sushi', 0.9833480602716154)","('62sushi', 0.9835755290659284)","('62sushi', 0.9835755290659284)","('63teethhygene', 0.9437509819698425)","('22chess', 0.8928062768694001)","('19carpet', 0.8538840700801229)","('73winter', 0.7521826533257511)","('68toys', 0.8115500109480618)"
8,"('69tub', 1.000009099550753)","('59pizza', 0.9810061892242623)","('05baseball', 0.9851983745708538)","('05baseball', 0.9851612979349575)","('05baseball', 0.9851612979349575)","('62sushi', 0.9549851264957171)","('70tv', 0.9006546017390061)","('39gun', 0.8610110127251938)","('62sushi', 0.7525190499343726)","('73winter', 0.8274158772714967)"
9,"('65toilet', 1.000009099550753)","('24cleaning', 0.9822135938794945)","('28construction', 0.989898625219874)","('28construction', 0.9905021199362465)","('28construction', 0.9905021199362465)","('21cheese', 0.9579029889005448)","('62sushi', 0.9060417275059153)","('22chess', 0.8712500736029865)","('67toy', 0.7563025314960048)","('47laundry', 0.8339577170695435)"
