,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('basketballrim (2).jpg', 1.000009743789258)","('beachball (2).jpg', 1.275499216321452)","('beachball (2).jpg', 1.1105942373940654)","('beachball (2).jpg', 1.1106312986689335)","('beachball (2).jpg', 1.1106312986689335)","('beachball (2).jpg', 1.174403243721161)","('carpet (2).jpg', 1.3398671091879135)","('carpet (2).jpg', 2.7685176245163268)","('tableset (2).jpg', 4.198243509264754)","('tableset (2).jpg', 4.420682231434004)"
1,"('highchair (2).jpg', 1.0000096725620395)","('fries (2).jpg', 1.2345119915015654)","('tennisball (2).jpg', 1.0910952300905936)","('tennisball (2).jpg', 1.0946779399037199)","('tennisball (2).jpg', 1.0946779399037199)","('cow (2).jpg', 1.1299056354362014)","('remotecontrol (2).jpg', 1.3209403530718475)","('remotecontrol (2).jpg', 2.4888073792337733)","('backhoe (2).jpg', 3.2821109475962045)","('pizza (2).jpg', 3.8585026409459364)"
2,"('tent (2).jpg', 1.0000095331866181)","('pallette (2).jpg', 1.2141309339008637)","('cow (2).jpg', 1.081107828783237)","('cow (2).jpg', 1.0810615409083988)","('cow (2).jpg', 1.0810615409083988)","('remotecontrol (2).jpg', 1.1286380448872868)","('beachball (2).jpg', 1.2920820322114808)","('burger (2).jpg', 2.273712665381422)","('pizza (2).jpg', 3.202697789968134)","('television (2).jpg', 3.143064010465516)"
3,"('dresser (2).jpg', 1.0000095331866181)","('tennisball (2).jpg', 1.1984586556549761)","('fries (2).jpg', 1.0799567779712451)","('fries (2).jpg', 1.079047129880328)","('fries (2).jpg', 1.079047129880328)","('carpet (2).jpg', 1.120782189153752)","('rolette (2).jpg', 1.2855514641069976)","('rolette (2).jpg', 2.2475292466400134)","('television (2).jpg', 3.1845446019238723)","('backhoe (2).jpg', 2.9942512809100603)"
4,"('footballball (2).jpg', 1.0000095331866181)","('rubberduck (2).jpg', 1.1937100599574593)","('pallette (2).jpg', 1.070480615137526)","('pallette (2).jpg', 1.0701865887518769)","('pallette (2).jpg', 1.0701865887518769)","('pizza (2).jpg', 1.1144486287356035)","('cow (2).jpg', 1.2760428961050194)","('pizza (2).jpg', 2.1754397586148566)","('motorcycle (2).jpg', 3.096179041104414)","('carpet (2).jpg', 2.9777582337924433)"
5,"('motorcycle (2).jpg', 1.0000095331866181)","('cow (2).jpg', 1.1583689690661216)","('pants (2).jpg', 1.068317178962745)","('pants (2).jpg', 1.0684805057847542)","('pants (2).jpg', 1.0684805057847542)","('motorcycle (2).jpg', 1.1068774188731005)","('burger (2).jpg', 1.2520593971882972)","('lipstick (2).jpg', 1.9890914590414497)","('carpet (2).jpg', 3.0867449932350977)","('crib (2).jpg', 2.975388008645743)"
6,"('stroller (2).jpg', 1.0000095331866181)","('burger (2).jpg', 1.153721178394763)","('sippycup (2).jpg', 1.0675545289493853)","('sippycup (2).jpg', 1.0677096281768994)","('sippycup (2).jpg', 1.0677096281768994)","('fries (2).jpg', 1.1045360881555983)","('pizza (2).jpg', 1.2490364860345653)","('bike (2).jpg', 1.9643333682723747)","('horse (2).jpg', 3.0021873107884334)","('motorcycle (2).jpg', 2.9496576883097405)"
7,"('bike (2).jpg', 1.0000095331866181)","('sippycup (2).jpg', 1.1460166384120127)","('bike (2).jpg', 1.0665381656773825)","('bike (2).jpg', 1.066157076608975)","('bike (2).jpg', 1.066157076608975)","('bike (2).jpg', 1.1029364353249551)","('backhoe (2).jpg', 1.2461247522336276)","('pants (2).jpg', 1.9587232716633491)","('plant (2).jpg', 2.981826698363132)","('tractor (2).jpg', 2.861270530034872)"
8,"('sippycup (2).jpg', 1.0000094649943658)","('pizza (2).jpg', 1.1344066901895304)","('carpet (2).jpg', 1.0654996161494097)","('carpet (2).jpg', 1.0651378980246722)","('carpet (2).jpg', 1.0651378980246722)","('steering_wheel (2).jpg', 1.1013908839652657)","('bike (2).jpg', 1.2355190503998394)","('television (2).jpg', 1.9492787736444914)","('sofa (2).jpg', 2.87124553443059)","('bike (2).jpg', 2.7290478914925775)"
9,"('ovenmitt (2).jpg', 1.0000094649943658)","('pancake (2).jpg', 1.1317968410809092)","('rubberduck (2).jpg', 1.064319137140261)","('rubberduck (2).jpg', 1.0640393143204836)","('rubberduck (2).jpg', 1.0640393143204836)","('tennisball (2).jpg', 1.0990373224913141)","('rubberduck (2).jpg', 1.2351029772779683)","('chess (2).jpg', 1.9390042526216815)","('tractor (2).jpg', 2.833728148968882)","('horse (2).jpg', 2.6960098396645127)"
