,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('21cheese', 1.0000101942001327)","('17burger', 1.118618565350198)","('08beachball-pail', 1.0630487834934772)","('08beachball-pail', 1.0605291005738466)","('08beachball-pail', 1.0605291005738466)","('08beachball-pail', 1.080367812756305)","('03backyard', 1.140223020191772)","('53ocean', 1.5018320529434144)","('17burger', 2.13050296927437)","('17burger', 2.0884021240804587)"
1,"('61street', 1.0000101942001327)","('71valentines', 1.0905707166550245)","('18car', 1.0498317279105225)","('18car', 1.049352872743707)","('18car', 1.049352872743707)","('53ocean', 1.075263178029074)","('65toilet', 1.1381496019495356)","('17burger', 1.4593120190150815)","('32farm_animals', 1.9930141900212757)","('55office-computer-printer', 1.846760174354014)"
2,"('60street', 1.0000101942001327)","('57pancakes', 1.0873667782198624)","('37golf', 1.047427938583686)","('37golf', 1.047018305397069)","('37golf', 1.047018305397069)","('37golf', 1.0635203740496633)","('53ocean', 1.1327689441094353)","('32farm_animals', 1.4135142637810545)","('55office-computer-printer', 1.8308371155223129)","('32farm_animals', 1.809793376604875)"
3,"('52motorbike', 1.0000100395066203)","('18car', 1.0868031783805057)","('14boat', 1.044882836948926)","('14boat', 1.0446512273712587)","('14boat', 1.0446512273712587)","('52motorbike', 1.0614375705368073)","('07bathrobe-slippers', 1.1177075011843747)","('45kitchen', 1.382256797198274)","('41hiking', 1.6676750136023915)","('45kitchen', 1.663011557424714)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('03backyard', 1.0849859370203183)","('31farm', 1.0395075502892128)","('53ocean', 1.0394811917048186)","('53ocean', 1.0394811917048186)","('14boat', 1.0604709160567078)","('17burger', 1.1165938799853687)","('65toilet', 1.3747527654893694)","('65toilet', 1.6506211643049464)","('65toilet', 1.5797193434497019)"
5,"('67toy', 1.0000098894377727)","('65toilet', 1.0772904781412118)","('53ocean', 1.039431830016855)","('31farm', 1.0391449550230423)","('31farm', 1.0391449550230423)","('17burger', 1.0600893240963496)","('46kitchen2', 1.1154433199919052)","('55office-computer-printer', 1.3546387205911332)","('45kitchen', 1.5947458998748754)","('41hiking', 1.5289204865150638)"
6,"('18car', 1.0000098894377727)","('37golf', 1.0768553447695408)","('30emergency', 1.0393829897553495)","('30emergency', 1.0390076037991534)","('30emergency', 1.0390076037991534)","('30emergency', 1.0554438308855112)","('45kitchen', 1.1112650534385853)","('08beachball-pail', 1.3530255995972476)","('66tools', 1.4922801959456238)","('66tools', 1.4269773805642256)"
7,"('29cooking', 1.0000098894377727)","('08beachball-pail', 1.076794270194033)","('42horseriding', 1.0388283891051073)","('42horseriding', 1.0383831482476453)","('42horseriding', 1.0383831482476453)","('31farm', 1.054033748550484)","('18car', 1.1101714107707328)","('41hiking', 1.333027394229419)","('08beachball-pail', 1.458685757059542)","('30emergency', 1.416533926868731)"
8,"('23childEating', 1.0000098894377727)","('46kitchen2', 1.0732986589835793)","('03backyard', 1.038141351407286)","('03backyard', 1.0377055541812286)","('03backyard', 1.0377055541812286)","('65toilet', 1.0538239714062647)","('14boat', 1.1096365154800905)","('42horseriding', 1.3198659734515656)","('53ocean', 1.4574183937479372)","('27coffeemaking', 1.4052516575963485)"
9,"('54office_supply', 1.0000098894377727)","('42horseriding', 1.071238999767432)","('71valentines', 1.0374598198831597)","('71valentines', 1.0370492915407554)","('71valentines', 1.0370492915407554)","('04barber', 1.0535147120801152)","('42horseriding', 1.1096245678151382)","('18car', 1.2878363235956927)","('27coffeemaking', 1.4522437398064256)","('53ocean', 1.396066034386789)"
