,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('21cheese', 1.0000101942001327)","('17burger', 1.1163880529092385)","('20casino', 1.1375969855658843)","('20casino', 1.1396342631812997)","('20casino', 1.1396342631812997)","('50lock', 1.0897279754815463)","('20casino', 1.121927567378389)","('63teethhygene', 1.3099487530817369)","('60street', 1.032287043360417)","('42horseriding', 1.0033565977692287)"
1,"('61street', 1.0000101942001327)","('57pancakes', 1.1040617650568976)","('42horseriding', 1.1353922939570043)","('42horseriding', 1.136891253068983)","('42horseriding', 1.136891253068983)","('30emergency', 1.0875165615988642)","('71valentines', 1.1168966648274563)","('32farm_animals', 1.2860067658754846)","('57pancakes', 1.0290541546008594)","('71valentines', 1.0033303376590728)"
2,"('60street', 1.0000101942001327)","('18car', 1.0966477265773666)","('50lock', 1.1243609057041457)","('50lock', 1.1260179688958727)","('50lock', 1.1260179688958727)","('65toilet', 1.0861506027667416)","('42horseriding', 1.1153887015398227)","('10bed-dresser', 1.2769444060696225)","('53ocean', 1.027079763344346)","('53ocean', 1.0029908101467928)"
3,"('52motorbike', 1.0000100395066203)","('03backyard', 1.0938472119292406)","('71valentines', 1.1140167910448453)","('71valentines', 1.1152300579933905)","('71valentines', 1.1152300579933905)","('71valentines', 1.0839570976753699)","('53ocean', 1.1122944476378436)","('61street', 1.2695121531724531)","('07bathrobe-slippers', 1.0257358886680414)","('32farm_animals', 1.0028926277648038)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('71valentines', 1.0909391058355602)","('08beachball-pail', 1.1082444578252904)","('08beachball-pail', 1.1092233637599196)","('08beachball-pail', 1.1092233637599196)","('42horseriding', 1.0830803623525074)","('65toilet', 1.1062713916968268)","('66tools', 1.257285117256021)","('17burger', 1.0255282902658591)","('03backyard', 1.0027359639891027)"
5,"('67toy', 1.0000098894377727)","('37golf', 1.0805108750515844)","('53ocean', 1.101021371113577)","('53ocean', 1.102489714986089)","('53ocean', 1.102489714986089)","('53ocean', 1.0817818769231347)","('63teethhygene', 1.1039411533554195)","('55office-computer-printer', 1.2447827455144196)","('61street', 1.017334917047273)","('45kitchen', 1.0026009812170098)"
6,"('18car', 1.0000098894377727)","('14boat', 1.0792371340630773)","('31farm', 1.100781451861665)","('31farm', 1.101598975988202)","('31farm', 1.101598975988202)","('31farm', 1.079565249365511)","('03backyard', 1.1025201762811234)","('08beachball-pail', 1.2439238392535574)","('31farm', 1.0160715077855977)","('08beachball-pail', 1.0023646868638774)"
7,"('29cooking', 1.0000098894377727)","('10bed-dresser', 1.0762560326529773)","('14boat', 1.098296627055691)","('14boat', 1.0979204603828217)","('14boat', 1.0979204603828217)","('37golf', 1.0703560054190733)","('69tub', 1.0990496498946347)","('53ocean', 1.227976349153825)","('32farm_animals', 1.0160128845323286)","('17burger', 1.0022812116464956)"
8,"('23childEating', 1.0000098894377727)","('42horseriding', 1.0760110519712915)","('17burger', 1.094477580953742)","('17burger', 1.0957363308257977)","('17burger', 1.0957363308257977)","('04barber', 1.0679424826375228)","('31farm', 1.0917824802107583)","('42horseriding', 1.210107415560487)","('10bed-dresser', 1.0141930660200729)","('55office-computer-printer', 1.0022425204392378)"
9,"('54office_supply', 1.0000098894377727)","('11biking', 1.0724514242045429)","('46kitchen2', 1.0896426794483096)","('41hiking', 1.090248754594142)","('41hiking', 1.090248754594142)","('03backyard', 1.0653337564388894)","('17burger', 1.0829825117366656)","('17burger', 1.2013226568445936)","('45kitchen', 1.0137689604509346)","('60street', 1.002066615471296)"
