,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10,Layer20_bottom10,Layer21_bottom10,Layer22_bottom10,Layer23_bottom10,Layer24_bottom10,Layer25_bottom10,Layer26_bottom10,Layer27_bottom10,Layer28_bottom10,Layer29_bottom10,Layer30_bottom10,Layer31_bottom10
0,"('chesspiece (2).jpg', 0.9994479582366893)","('lego (2).jpg', 0.9699016784978983)","('lego (2).jpg', 0.9724116467724416)","('lego (2).jpg', 0.9114122109913416)","('lego (2).jpg', 0.911418266384326)","('lego (2).jpg', 0.911418266384326)","('dumbbell (2).jpg', 0.9216726201264028)","('dumbbell (2).jpg', 0.92167626254779)","('bat (2).jpg', 0.754235810454356)","('bat (2).jpg', 0.754235810454356)","('bat (2).jpg', 0.754235810454356)","('toothbrush (2).jpg', 0.9081341716560852)","('toothbrush (2).jpg', 0.9081052143070772)","('toothbrush (2).jpg', 0.9330773183494735)","('toothbrush (2).jpg', 0.9330933331644676)","('toothbrush (2).jpg', 0.8852010980220767)","('toothbrush (2).jpg', 0.8849304005964184)","('toothbrush (2).jpg', 0.8849304005964184)","('cake (2).jpg', 1.052902620725686)","('cake (2).jpg', 1.0530105380727584)","('nail (2).jpg', 1.0737051338801582)","('nail (2).jpg', 1.071151816335212)","('laundry (2).jpg', 1.2292254437086925)","('laundry (2).jpg', 1.2370280115585026)","('laundry (2).jpg', 1.2370280115585026)","('laundry (2).jpg', 1.3219425731676926)","('laundry (2).jpg', 1.3271880499668633)","('basketballrim (2).jpg', 1.4840218017609053)","('basketballrim (2).jpg', 1.490005833258284)","('cow (2).jpg', -771.6509968643159)","('cow (2).jpg', -56.890198301838)"
1,"('basketball (2).jpg', 0.9997396363836301)","('balloon (2).jpg', 0.9846428345062389)","('balloon (2).jpg', 0.9846608633301457)","('cake (2).jpg', 0.9298345308299453)","('cake (2).jpg', 0.9298445591866138)","('cake (2).jpg', 0.9298445591866138)","('dustpan (2).jpg', 0.9239273272278741)","('dustpan (2).jpg', 0.9239298965587911)","('toothbrush (2).jpg', 0.7699747282256624)","('toothbrush (2).jpg', 0.7699747282256624)","('toothbrush (2).jpg', 0.7699747282256624)","('bat (2).jpg', 0.9119893653339226)","('bat (2).jpg', 0.9113081177935924)","('fishbowl (2).jpg', 0.9901849631328684)","('fishbowl (2).jpg', 0.9901924455728285)","('rainboots (2).jpg', 1.0170502592495991)","('rainboots (2).jpg', 1.017058159968123)","('rainboots (2).jpg', 1.017058159968123)","('nail (2).jpg', 1.0593596581812077)","('nail (2).jpg', 1.056908312185517)","('laundry (2).jpg', 1.1122858003716434)","('laundry (2).jpg', 1.1147797200861018)","('ovenmitt (2).jpg', 1.3254875372506534)","('nail (2).jpg', 1.3293761820528973)","('nail (2).jpg', 1.3293761820528973)","('basketballrim (2).jpg', 1.3458491456383612)","('basketballrim (2).jpg', 1.350402612366076)","('laundry (2).jpg', 1.555545252839698)","('laundry (2).jpg', 1.5861191841413853)","('chicken (2).jpg', -322.04413964309134)","('laundry (2).jpg', 1.804195312991195)"
2,"('fries (2).jpg', 1.0)","('rainboots (2).jpg', 0.9852287417733071)","('rainboots (2).jpg', 0.9849344284084481)","('toothbrush (2).jpg', 0.9336735412570341)","('toothbrush (2).jpg', 0.9336779970126087)","('toothbrush (2).jpg', 0.9336779970126087)","('toothbrush (2).jpg', 0.9333347516633397)","('toothbrush (2).jpg', 0.9333384481446079)","('broom (2).jpg', 0.9560911663339368)","('broom (2).jpg', 0.9560911663339368)","('broom (2).jpg', 0.9560911663339368)","('broom (2).jpg', 1.008670260731665)","('broom (2).jpg', 1.0086139376973866)","('dustpan (2).jpg', 1.0188695615476813)","('dustpan (2).jpg', 1.0188598980552406)","('laundry (2).jpg', 1.061113657187914)","('laundry (2).jpg', 1.0611149456588844)","('laundry (2).jpg', 1.0611149456588844)","('fishbowl (2).jpg', 1.0766259437875731)","('fishbowl (2).jpg', 1.0767541674277663)","('fishbowl (2).jpg', 1.1898001535036962)","('fishbowl (2).jpg', 1.194675875545175)","('nail (2).jpg', 1.3315111790361422)","('ovenmitt (2).jpg', 1.3304625339322886)","('ovenmitt (2).jpg', 1.3304625339322886)","('ovenmitt (2).jpg', 1.3933229245785101)","('ovenmitt (2).jpg', 1.4013775123704404)","('chair (2).jpg', 1.5785079875366448)","('chair (2).jpg', 1.610129817709411)","('laundry (2).jpg', 1.662391387116651)","('basketballrim (2).jpg', 1.8877231889445776)"
3,"('burger (2).jpg', 1.0)","('cake (2).jpg', 0.9879638745425886)","('cake (2).jpg', 0.9877442549032851)","('dumbbell (2).jpg', 0.9548677066311734)","('dumbbell (2).jpg', 0.9548672255413423)","('dumbbell (2).jpg', 0.9548672255413423)","('bat (2).jpg', 0.9452550434242126)","('bat (2).jpg', 0.9452553427996722)","('balloon (2).jpg', 0.9808673040130107)","('balloon (2).jpg', 0.9808673040130107)","('balloon (2).jpg', 0.9808673040130107)","('nail (2).jpg', 1.011661283336904)","('nail (2).jpg', 1.0100661439135405)","('sushi (2).jpg', 1.0214313363672063)","('sushi (2).jpg', 1.021430801897668)","('balloon (2).jpg', 1.0677834648512505)","('balloon (2).jpg', 1.0677397955545005)","('balloon (2).jpg', 1.0677397955545005)","('laundry (2).jpg', 1.0884757117257298)","('toothbrush (2).jpg', 1.0876891466785408)","('kayak (2).jpg', 1.229047813172082)","('kayak (2).jpg', 1.22937675508195)","('chair (2).jpg', 1.3813845627396633)","('dustpan (2).jpg', 1.3804639329597297)","('dustpan (2).jpg', 1.3804639329597297)","('nail (2).jpg', 1.4130540235995084)","('nail (2).jpg', 1.4185963099035142)","('dumbbell (2).jpg', 1.6387293444102553)","('dumbbell (2).jpg', 1.673200497968628)","('basketballrim (2).jpg', 1.7961615627746397)","('dustpan (2).jpg', 1.960680955988978)"
4,"('cow (2).jpg', 1.0)","('dustpan (2).jpg', 0.9886384564392126)","('toothbrush (2).jpg', 0.9892376055889397)","('broom (2).jpg', 0.9567109120452219)","('broom (2).jpg', 0.9567182492498129)","('broom (2).jpg', 0.9567182492498129)","('fish (2).jpg', 0.9699358971509309)","('fish (2).jpg', 0.9699316129570299)","('chopsticks (2).jpg', 0.9903772391443155)","('chopsticks (2).jpg', 0.9903772391443155)","('chopsticks (2).jpg', 0.9903772391443155)","('rainboots (2).jpg', 1.015845910716972)","('rainboots (2).jpg', 1.0157499329150488)","('bat (2).jpg', 1.0251790300607504)","('bat (2).jpg', 1.02543316890901)","('dustpan (2).jpg', 1.0702363136248638)","('dustpan (2).jpg', 1.070291028736055)","('dustpan (2).jpg', 1.070291028736055)","('toothbrush (2).jpg', 1.091181072327304)","('laundry (2).jpg', 1.0887221613938434)","('rainboots (2).jpg', 1.245389623053372)","('rainboots (2).jpg', 1.2476817412028645)","('dustpan (2).jpg', 1.383119397228603)","('chair (2).jpg', 1.3890339820147373)","('chair (2).jpg', 1.3890339820147373)","('ironing (2).jpg', 1.4549492662354335)","('ironing (2).jpg', 1.457191657313252)","('nail (2).jpg', 1.7575049238001916)","('ironing (2).jpg', 1.7931830335012442)","('dustpan (2).jpg', 1.8822632350828734)","('chair (2).jpg', 2.211855256086472)"
5,"('chicken (2).jpg', 1.0)","('toothbrush (2).jpg', 0.9891060804883914)","('dustpan (2).jpg', 0.9904391930127251)","('sushi (2).jpg', 0.9617904816178611)","('sushi (2).jpg', 0.9617963061469793)","('sushi (2).jpg', 0.9617963061469793)","('cake (2).jpg', 0.9748049964125312)","('cake (2).jpg', 0.9748041332837539)","('dustpan (2).jpg', 1.0080422635347706)","('dustpan (2).jpg', 1.0080422635347706)","('dustpan (2).jpg', 1.0080422635347706)","('balloon (2).jpg', 1.0182694219867419)","('balloon (2).jpg', 1.01819473139381)","('balloon (2).jpg', 1.029687248110543)","('balloon (2).jpg', 1.0296913497205977)","('fishbowl (2).jpg', 1.0810753022198922)","('fishbowl (2).jpg', 1.0811943268591244)","('fishbowl (2).jpg', 1.0811943268591244)","('balloon (2).jpg', 1.137114037373957)","('balloon (2).jpg', 1.1374705346982492)","('medal (2).jpg', 1.2646297995486693)","('medal (2).jpg', 1.2659523972263724)","('basketballrim (2).jpg', 1.4004845174739917)","('basketballrim (2).jpg', 1.4083298566403317)","('basketballrim (2).jpg', 1.4083298566403317)","('chair (2).jpg', 1.4586245791888728)","('chair (2).jpg', 1.4650481563080802)","('ironing (2).jpg', 1.766085305620876)","('can (2).jpg', 1.7977880215541608)","('chair (2).jpg', 2.023038000956998)","('dumbbell (2).jpg', 2.2343613468058736)"
6,"('tennisball (2).jpg', 1.0000081872830517)","('bat (2).jpg', 0.9913174748689328)","('stroller (2).jpg', 0.991418999016851)","('dustpan (2).jpg', 0.9672683182404024)","('dustpan (2).jpg', 0.9672727697408646)","('dustpan (2).jpg', 0.9672727697408646)","('stroller (2).jpg', 0.9761137842395997)","('stroller (2).jpg', 0.9761165924872878)","('fish (2).jpg', 1.0112916603164102)","('fish (2).jpg', 1.0112916603164102)","('fish (2).jpg', 1.0112916603164102)","('washer (2).jpg', 1.021613135676565)","('washer (2).jpg', 1.0216066132545523)","('nail (2).jpg', 1.0396765555850922)","('rainboots (2).jpg', 1.0397615565462708)","('cake (2).jpg', 1.094334657544314)","('cake (2).jpg', 1.094306210146544)","('cake (2).jpg', 1.094306210146544)","('dustpan (2).jpg', 1.1524287643568751)","('dustpan (2).jpg', 1.151466450279707)","('sippycup (2).jpg', 1.271275181972895)","('sippycup (2).jpg', 1.2733373191297859)","('sippycup (2).jpg', 1.4248695041034323)","('sippycup (2).jpg', 1.4345666251181883)","('sippycup (2).jpg', 1.4345666251181883)","('dustpan (2).jpg', 1.461948881253293)","('dustpan (2).jpg', 1.4671068632636692)","('can (2).jpg', 1.7667699647182034)","('ovenmitt (2).jpg', 1.8083467100970245)","('dumbbell (2).jpg', 2.0759218212498536)","('backyard_grill (2).jpg', 2.3176730590257173)"
7,"('bowlingpin (2).jpg', 1.0000081872830517)","('stroller (2).jpg', 0.9914108972192436)","('bat (2).jpg', 0.9922050414732988)","('balloon (2).jpg', 0.9681753859570583)","('balloon (2).jpg', 0.9681879992183222)","('balloon (2).jpg', 0.9681879992183222)","('balloon (2).jpg', 0.9893668487864768)","('balloon (2).jpg', 0.9893721031053222)","('cake (2).jpg', 1.0144225648849092)","('cake (2).jpg', 1.0144225648849092)","('cake (2).jpg', 1.0144225648849092)","('dustpan (2).jpg', 1.0319949756510542)","('dustpan (2).jpg', 1.032236876110909)","('rainboots (2).jpg', 1.0397531590055145)","('nail (2).jpg', 1.0403415128243105)","('nail (2).jpg', 1.1151880445036881)","('nail (2).jpg', 1.1153314544653437)","('nail (2).jpg', 1.1153314544653437)","('sippycup (2).jpg', 1.1639878600379563)","('sippycup (2).jpg', 1.1642244754905684)","('ovenmitt (2).jpg', 1.274015312032862)","('ovenmitt (2).jpg', 1.2757135314324586)","('ironing (2).jpg', 1.4500933592172964)","('ironing (2).jpg', 1.4558329677493735)","('ironing (2).jpg', 1.4558329677493735)","('dumbbell (2).jpg', 1.4750046361482314)","('dumbbell (2).jpg', 1.482082755583747)","('birdcage (2).jpg', 1.7705702032555584)","('cheesegrater (2).jpg', 1.8158736221241154)","('backyard_grill (2).jpg', 2.165459436102432)","('cheesegrater (2).jpg', 2.341504097064627)"
8,"('helmet (2).jpg', 1.0000081872830517)","('dumbbell (2).jpg', 0.9922183523009914)","('dumbbell (2).jpg', 0.9931600434411165)","('bat (2).jpg', 0.9757720330606107)","('trafficlight (2).jpg', 0.9758860709089402)","('trafficlight (2).jpg', 0.9758860709089402)","('chopsticks (2).jpg', 0.9942306590427568)","('chopsticks (2).jpg', 0.9942324940614475)","('trafficlight (2).jpg', 1.0155361143405222)","('trafficlight (2).jpg', 1.0155361143405222)","('trafficlight (2).jpg', 1.0155361143405222)","('trafficlight (2).jpg', 1.0366746406987684)","('trafficlight (2).jpg', 1.036615949157836)","('broom (2).jpg', 1.0413985052060026)","('broom (2).jpg', 1.0414014141897407)","('bat (2).jpg', 1.1288124753105033)","('bat (2).jpg', 1.1294453548067809)","('bat (2).jpg', 1.1294453548067809)","('kayak (2).jpg', 1.1680470651556654)","('kayak (2).jpg', 1.167880275350435)","('dustpan (2).jpg', 1.2872377695209345)","('cheesegrater (2).jpg', 1.2840798174909687)","('rainboots (2).jpg', 1.4512788323683259)","('rainboots (2).jpg', 1.4619217636761643)","('rainboots (2).jpg', 1.4619217636761643)","('medal (2).jpg', 1.4970089048402841)","('birdcage (2).jpg', 1.500772360261225)","('ovenmitt (2).jpg', 1.771831367517937)","('birdcage (2).jpg', 1.8171004745146544)","('ovenmitt (2).jpg', 2.1780615127117153)","('ovenmitt (2).jpg', 2.3542983157085895)"
9,"('bat (2).jpg', 1.0000081872830517)","('garbagebin (2).jpg', 0.9938427203561344)","('garbagebin (2).jpg', 0.994210091195426)","('trafficlight (2).jpg', 0.9758813038595743)","('bat (2).jpg', 0.9759926463105283)","('bat (2).jpg', 0.9759926463105283)","('medal (2).jpg', 1.0029377414789464)","('medal (2).jpg', 1.0029414665187075)","('rainboots (2).jpg', 1.019694712692188)","('rainboots (2).jpg', 1.019694712692188)","('rainboots (2).jpg', 1.019694712692188)","('punchingbag (2).jpg', 1.051657731793263)","('punchingbag (2).jpg', 1.05159696829403)","('cake (2).jpg', 1.0514910784066593)","('cake (2).jpg', 1.0514717087481507)","('ovenmitt (2).jpg', 1.131299966404805)","('ovenmitt (2).jpg', 1.1313230191110044)","('ovenmitt (2).jpg', 1.1313230191110044)","('footballball (2).jpg', 1.1780436332821869)","('footballball (2).jpg', 1.178299277296152)","('cheesegrater (2).jpg', 1.2885458690887663)","('dustpan (2).jpg', 1.285537021137694)","('kayak (2).jpg', 1.463322637965101)","('kayak (2).jpg', 1.4680391218883484)","('kayak (2).jpg', 1.4680391218883484)","('birdcage (2).jpg', 1.4997592895750598)","('medal (2).jpg', 1.5040364167937423)","('medal (2).jpg', 1.7863697437578159)","('nail (2).jpg', 1.818661188554741)","('cheesegrater (2).jpg', 2.2086243009401163)","('train (2).jpg', 2.393613693576013)"
