,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10
0,"('easel (2).jpg', 1.0000091255569876)","('fries (2).jpg', 1.063593231216598)","('fries (2).jpg', 1.060021325507445)","('fries (2).jpg', 1.3399265799398332)","('fries (2).jpg', 1.3399372727447592)","('fries (2).jpg', 1.3399372727447592)","('rolette (2).jpg', 1.7252906254195643)","('rolette (2).jpg', 1.7252785640459942)","('rolette (2).jpg', 2.4980661533168877)","('rolette (2).jpg', 2.4980661533168877)","('rolette (2).jpg', 2.4980661533168877)","('rolette (2).jpg', 1.7008793963871298)","('rolette (2).jpg', 1.7006062884126096)","('rolette (2).jpg', 1.6181334943608259)","('rolette (2).jpg', 1.6181210813332276)","('rolette (2).jpg', 1.82811144754618)","('rolette (2).jpg', 1.828146778192827)","('rolette (2).jpg', 1.828146778192827)","('remotecontrol (2).jpg', 2.5070105224510035)","('remotecontrol (2).jpg', 2.5127409712832702)","('remotecontrol (2).jpg', 3.020206568841193)","('remotecontrol (2).jpg', 3.068416670028197)","('burger (2).jpg', 4.32589754623205)","('burger (2).jpg', 4.299267717229297)","('burger (2).jpg', 4.299267717229297)","('chicken (2).jpg', 5.915056904786886)","('chicken (2).jpg', 5.908173838591401)","('chicken (2).jpg', 16.085078755004957)","('chicken (2).jpg', 14.882701034600014)","('cow (2).jpg', 167.5413823301942)","('cow (2).jpg', 252.89425494414522)"
1,"('printer (2).jpg', 1.0000091255569876)","('tennisball (2).jpg', 1.0526705998544246)","('tennisball (2).jpg', 1.055122678360312)","('tennisball (2).jpg', 1.249316474263558)","('tennisball (2).jpg', 1.2497652351057458)","('tennisball (2).jpg', 1.2497652351057458)","('beachball (2).jpg', 1.6093498347176256)","('beachball (2).jpg', 1.6093552702884817)","('beachball (2).jpg', 1.7490896630986155)","('beachball (2).jpg', 1.7490896630986155)","('beachball (2).jpg', 1.7490896630986155)","('carpet (2).jpg', 1.4848166056962009)","('carpet (2).jpg', 1.4846463817083337)","('remotecontrol (2).jpg', 1.5303073235847962)","('remotecontrol (2).jpg', 1.5303239166115101)","('remotecontrol (2).jpg', 1.7665066538871816)","('remotecontrol (2).jpg', 1.7665548095406267)","('remotecontrol (2).jpg', 1.7665548095406267)","('rolette (2).jpg', 1.9936212533893194)","('rolette (2).jpg', 1.9942610808833146)","('pizza (2).jpg', 2.717152557094573)","('pizza (2).jpg', 2.7121692396771513)","('doll (2).jpg', 4.267455012788856)","('doll (2).jpg', 4.252951005413363)","('doll (2).jpg', 4.252951005413363)","('cow (2).jpg', 5.716810973009491)","('cow (2).jpg', 5.685417000163184)","('parrot (2).jpg', 11.043153346735092)","('parrot (2).jpg', 9.747326953595568)","('burger (2).jpg', 53.07537694642519)","('burger (2).jpg', 61.10810324660515)"
2,"('washer (2).jpg', 1.0000091255569876)","('carpet (2).jpg', 1.049664995344498)","('carpet (2).jpg', 1.0492659131126951)","('beachball (2).jpg', 1.2416957240959237)","('beachball (2).jpg', 1.2417189445284869)","('beachball (2).jpg', 1.2417189445284869)","('fries (2).jpg', 1.4455705811571844)","('fries (2).jpg', 1.4455718034252336)","('carpet (2).jpg', 1.6917029495556801)","('carpet (2).jpg', 1.6917029495556801)","('carpet (2).jpg', 1.6917029495556801)","('pants (2).jpg', 1.4257842923894712)","('pants (2).jpg', 1.425799559451555)","('carpet (2).jpg', 1.5119541287765823)","('carpet (2).jpg', 1.511913165346217)","('pizza (2).jpg', 1.7152653608583153)","('pizza (2).jpg', 1.715254677347484)","('pizza (2).jpg', 1.715254677347484)","('baseballball (2).jpg', 1.8798405793911392)","('baseballball (2).jpg', 1.8811958952094385)","('baseballball (2).jpg', 2.5079315605687738)","('baseballball (2).jpg', 2.5183747089275967)","('remotecontrol (2).jpg', 3.888070483982824)","('remotecontrol (2).jpg', 4.131455520828679)","('remotecontrol (2).jpg', 4.131455520828679)","('pizza (2).jpg', 4.9620169472338125)","('pizza (2).jpg', 4.927178059362429)","('cow (2).jpg', 9.180223627140654)","('cow (2).jpg', 9.210757815503397)","('bird (2).jpg', 32.36525143695521)","('fish (2).jpg', 23.32723359903113)"
3,"('coffeetable (2).jpg', 1.0000091255569876)","('pizza (2).jpg', 1.040303111257547)","('pizza (2).jpg', 1.0399680802400573)","('rolette (2).jpg', 1.1946367284865953)","('rolette (2).jpg', 1.1946464716945098)","('rolette (2).jpg', 1.1946464716945098)","('beachpail (2).jpg', 1.4134179508761708)","('beachpail (2).jpg', 1.413045892335946)","('bag (2).jpg', 1.6252404904595243)","('bag (2).jpg', 1.6252404904595243)","('bag (2).jpg', 1.6252404904595243)","('bag (2).jpg', 1.4012881060022018)","('bag (2).jpg', 1.401121989725235)","('pants (2).jpg', 1.4655582031532424)","('pants (2).jpg', 1.4655528347098643)","('carpet (2).jpg', 1.708565950785474)","('carpet (2).jpg', 1.7085442575282042)","('carpet (2).jpg', 1.7085442575282042)","('pizza (2).jpg', 1.8581492666000248)","('carpet (2).jpg', 1.8586021031819178)","('burger (2).jpg', 2.4413380490360552)","('burger (2).jpg', 2.438745276875226)","('pizza (2).jpg', 3.8689635850861994)","('pizza (2).jpg', 3.8349394255285185)","('pizza (2).jpg', 3.8349394255285185)","('doll (2).jpg', 4.716256183117882)","('doll (2).jpg', 4.775379854266186)","('burger (2).jpg', 9.167850242541688)","('burger (2).jpg', 9.139810181481227)","('fish (2).jpg', 21.74299768110438)","('bird (2).jpg', 22.18123265979687)"
4,"('sofa (2).jpg', 1.0000091255569876)","('beachball (2).jpg', 1.038437983503306)","('beachball (2).jpg', 1.037788842732462)","('cone (2).jpg', 1.1833817936496018)","('cone (2).jpg', 1.183397968420435)","('cone (2).jpg', 1.183397968420435)","('sippycup (2).jpg', 1.3964377982427363)","('sippycup (2).jpg', 1.3964353893260726)","('fries (2).jpg', 1.50616512175593)","('fries (2).jpg', 1.50616512175593)","('fries (2).jpg', 1.50616512175593)","('burger (2).jpg', 1.3834458206381597)","('burger (2).jpg', 1.3833621390395734)","('beachball (2).jpg', 1.4093480882288083)","('beachball (2).jpg', 1.4093769117491883)","('burger (2).jpg', 1.647847709885941)","('burger (2).jpg', 1.6477081282570876)","('burger (2).jpg', 1.6477081282570876)","('carpet (2).jpg', 1.857851160544868)","('pizza (2).jpg', 1.858576182293871)","('carpet (2).jpg', 2.2877685092390054)","('carpet (2).jpg', 2.2860565294666215)","('chicken (2).jpg', 3.586719385768632)","('chicken (2).jpg', 3.562070377657642)","('chicken (2).jpg', 3.562070377657642)","('horse (2).jpg', 4.472179130372995)","('horse (2).jpg', 4.460038669095654)","('horse (2).jpg', 9.11652653898734)","('horse (2).jpg', 9.096438635205809)","('parrot (2).jpg', 20.103777477387112)","('horse (2).jpg', 17.72464501487245)"
5,"('chair (2).jpg', 1.0000091255569876)","('roses (2).jpg', 1.0362575221628456)","('paper (2).jpg', 1.0367680443671565)","('pants (2).jpg', 1.160360272832844)","('pants (2).jpg', 1.1603595314116373)","('pants (2).jpg', 1.1603595314116373)","('bag (2).jpg', 1.3872788897740547)","('bag (2).jpg', 1.3872746583549462)","('pants (2).jpg', 1.5046347752073805)","('pants (2).jpg', 1.5046347752073805)","('pants (2).jpg', 1.5046347752073805)","('beachball (2).jpg', 1.3829609299287697)","('beachball (2).jpg', 1.3828263950651685)","('burger (2).jpg', 1.3735761015770527)","('burger (2).jpg', 1.373562524415209)","('pants (2).jpg', 1.6253030482002457)","('pants (2).jpg', 1.6253241937217453)","('pants (2).jpg', 1.6253241937217453)","('lipstick (2).jpg', 1.842753767039718)","('lipstick (2).jpg', 1.8447895841978827)","('rolette (2).jpg', 2.2546316383522513)","('rolette (2).jpg', 2.2583293480852173)","('baseballball (2).jpg', 3.4000995537989023)","('baseballball (2).jpg', 3.437712606289176)","('baseballball (2).jpg', 3.437712606289176)","('burger (2).jpg', 4.434753762867596)","('burger (2).jpg', 4.439780732185599)","('bird (2).jpg', 7.797051545388463)","('bird (2).jpg', 7.457858794486292)","('horse (2).jpg', 16.173070579094347)","('parrot (2).jpg', 17.395271424315037)"
6,"('lamp (2).jpg', 1.0000091255569876)","('deskchair (2).jpg', 1.0361983879657883)","('roses (2).jpg', 1.0359361375637113)","('backhoe (2).jpg', 1.1524795616971428)","('backhoe (2).jpg', 1.1524854924526102)","('backhoe (2).jpg', 1.1524854924526102)","('cone (2).jpg', 1.3705876058032866)","('cone (2).jpg', 1.3705895113282474)","('roses (2).jpg', 1.497826749131818)","('roses (2).jpg', 1.497826749131818)","('roses (2).jpg', 1.497826749131818)","('pizza (2).jpg', 1.3785325767498267)","('pizza (2).jpg', 1.3784642795509918)","('television (2).jpg', 1.3500227660431687)","('television (2).jpg', 1.350024648175993)","('beachball (2).jpg', 1.583482198732952)","('beachball (2).jpg', 1.5835476119386849)","('beachball (2).jpg', 1.5835476119386849)","('burger (2).jpg', 1.8003657929838288)","('burger (2).jpg', 1.7999197049438926)","('doll (2).jpg', 2.2294517562452407)","('doll (2).jpg', 2.2248656860884775)","('cow (2).jpg', 3.2767227888519397)","('cow (2).jpg', 3.2644744121015714)","('cow (2).jpg', 3.2644744121015714)","('barbie (2).jpg', 3.6446059358237)","('barbie (2).jpg', 3.687369468757025)","('pizza (2).jpg', 6.984126591577459)","('pizza (2).jpg', 7.029065779968054)","('pizza (2).jpg', 12.116285929678341)","('remotecontrol (2).jpg', 15.478048174441408)"
7,"('key (2).jpg', 1.0000091255569876)","('pants (2).jpg', 1.0346746033999317)","('deskchair (2).jpg', 1.0357085080900803)","('deskchair (2).jpg', 1.1524630277088976)","('deskchair (2).jpg', 1.152467037914759)","('deskchair (2).jpg', 1.152467037914759)","('roses (2).jpg', 1.3571395080004491)","('roses (2).jpg', 1.3571396277445453)","('tennisball (2).jpg', 1.4724907585327356)","('tennisball (2).jpg', 1.4724907585327356)","('tennisball (2).jpg', 1.4724907585327356)","('television (2).jpg', 1.3596492142751004)","('television (2).jpg', 1.3596816129078575)","('lipstick (2).jpg', 1.3269916999892537)","('lipstick (2).jpg', 1.3269881630430387)","('television (2).jpg', 1.5756184710851744)","('television (2).jpg', 1.575681175855864)","('television (2).jpg', 1.575681175855864)","('pants (2).jpg', 1.7568194578402327)","('pants (2).jpg', 1.7573421325744323)","('chicken (2).jpg', 2.165139455295972)","('barbie (2).jpg', 2.1677885027942896)","('barbie (2).jpg', 3.1663457654453286)","('barbie (2).jpg', 3.178461036606612)","('barbie (2).jpg', 3.178461036606612)","('parrot (2).jpg', 3.629114803940248)","('remotecontrol (2).jpg', 3.675427871866168)","('doll (2).jpg', 6.567029234026043)","('doll (2).jpg', 6.931073839469555)","('remotecontrol (2).jpg', 11.545989947216679)","('pizza (2).jpg', 12.917276967943327)"
8,"('lock (2).jpg', 1.0000091255569876)","('pancake (2).jpg', 1.0345992947986615)","('pants (2).jpg', 1.0342339858170837)","('carpet (2).jpg', 1.1510342961889268)","('carpet (2).jpg', 1.1510389345391334)","('carpet (2).jpg', 1.1510389345391334)","('carpet (2).jpg', 1.3301589651616539)","('carpet (2).jpg', 1.3301548504921956)","('cone (2).jpg', 1.4705472082307962)","('cone (2).jpg', 1.4705472082307962)","('cone (2).jpg', 1.4705472082307962)","('tennisball (2).jpg', 1.3585811212757193)","('tennisball (2).jpg', 1.358543921190261)","('roses (2).jpg', 1.3229614323292445)","('roses (2).jpg', 1.3229444978688027)","('lipstick (2).jpg', 1.5640705900525698)","('lipstick (2).jpg', 1.5641699054351499)","('lipstick (2).jpg', 1.5641699054351499)","('roses (2).jpg', 1.727008917812562)","('roses (2).jpg', 1.726746074354551)","('barbie (2).jpg', 2.1619455726974754)","('chicken (2).jpg', 2.1599635056545954)","('rolette (2).jpg', 2.9299356103426266)","('rolette (2).jpg', 2.9657035580712794)","('rolette (2).jpg', 2.9657035580712794)","('baseballball (2).jpg', 3.6203969795885276)","('baseballball (2).jpg', 3.6581067423474645)","('fish (2).jpg', 6.218376567339463)","('fish (2).jpg', 6.137787106597956)","('seashell (2).jpg', 9.324431204263126)","('seashell (2).jpg', 9.061384037281652)"
9,"('lipstick (2).jpg', 1.0000091255569876)","('paper (2).jpg', 1.0339798825207884)","('pancake (2).jpg', 1.0341281047294621)","('paper (2).jpg', 1.1478778116542718)","('paper (2).jpg', 1.1478709831967098)","('paper (2).jpg', 1.1478709831967098)","('pants (2).jpg', 1.3077796128621915)","('pants (2).jpg', 1.3077843547370998)","('television (2).jpg', 1.4670072676890926)","('television (2).jpg', 1.4670072676890926)","('television (2).jpg', 1.4670072676890926)","('remotecontrol (2).jpg', 1.3350546997410166)","('remotecontrol (2).jpg', 1.335096102067027)","('deskchair (2).jpg', 1.3120142683656257)","('deskchair (2).jpg', 1.312018826512193)","('fridge (2).jpg', 1.5243877082968627)","('fridge (2).jpg', 1.5247066522380879)","('fridge (2).jpg', 1.5247066522380879)","('backhoe (2).jpg', 1.7239111608136186)","('backhoe (2).jpg', 1.7245279015740205)","('backhoe (2).jpg', 2.096216540637476)","('backhoe (2).jpg', 2.101365461999406)","('parrot (2).jpg', 2.8416737748806136)","('parrot (2).jpg', 2.8406658910753073)","('parrot (2).jpg', 2.8406658910753073)","('bird (2).jpg', 3.60602777611116)","('parrot (2).jpg', 3.634929993626989)","('remotecontrol (2).jpg', 5.267999066933928)","('remotecontrol (2).jpg', 5.796063888942158)","('sushi (2).jpg', 8.155384749946725)","('sushi (2).jpg', 9.036311769434773)"
