,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10
0,"('21cheese', 1.0000101942001327)","('03backyard', 1.029040967417334)","('03backyard', 1.0285280408340514)","('08beachball-pail', 1.1515720010205277)","('08beachball-pail', 1.1507673399564358)","('08beachball-pail', 1.1507673399564358)","('08beachball-pail', 1.4503247337250993)","('08beachball-pail', 1.4502230961439968)","('45kitchen', 1.3677763908149432)","('45kitchen', 1.3677763908149432)","('45kitchen', 1.3677763908149432)","('03backyard', 1.2358453056769603)","('03backyard', 1.2358121741359307)","('03backyard', 1.2299246307281457)","('03backyard', 1.2299243174162375)","('45kitchen', 1.3234540293893422)","('45kitchen', 1.323571383856965)","('45kitchen', 1.323571383856965)","('53ocean', 1.4188641716316175)","('53ocean', 1.4190535914651916)","('55office-computer-printer', 1.569085875839916)","('55office-computer-printer', 1.5727754463175445)","('32farm_animals', 1.9981797667215584)","('32farm_animals', 1.999672948073575)","('32farm_animals', 1.999672948073575)","('32farm_animals', 2.702061441319386)","('32farm_animals', 2.6850096291435306)","('17burger', 3.3233416649035084)","('17burger', 3.264542372052459)","('17burger', 5.983356572591798)","('17burger', 6.742965620225083)"
1,"('61street', 1.0000101942001327)","('18car', 1.0266270053086706)","('18car', 1.0260837891182417)","('03backyard', 1.1202258121660649)","('03backyard', 1.1202270849049947)","('03backyard', 1.1202270849049947)","('03backyard', 1.239617578398647)","('03backyard', 1.2396252441748663)","('20casino', 1.3641384246505037)","('20casino', 1.3641384246505037)","('20casino', 1.3641384246505037)","('53ocean', 1.2056748810283953)","('53ocean', 1.2056894954224981)","('65toilet', 1.185658354114154)","('65toilet', 1.185658919560455)","('03backyard', 1.286424836594622)","('03backyard', 1.2864602526161153)","('03backyard', 1.2864602526161153)","('55office-computer-printer', 1.4009269783415406)","('55office-computer-printer', 1.4013986506970995)","('45kitchen', 1.5522859281289496)","('45kitchen', 1.5533558688059323)","('53ocean', 1.8418110849277476)","('53ocean', 1.843509493444493)","('53ocean', 1.843509493444493)","('53ocean', 1.9882723290689455)","('53ocean', 1.9865273394910552)","('32farm_animals', 3.2629978966343)","('32farm_animals', 3.1955698083096444)","('32farm_animals', 4.881767414059239)","('32farm_animals', 4.47986237047909)"
2,"('60street', 1.0000101942001327)","('04barber', 1.0258103150553293)","('65toilet', 1.025908644730364)","('18car', 1.1189391217686737)","('18car', 1.1189422117133887)","('18car', 1.1189422117133887)","('71valentines', 1.2136963443816737)","('71valentines', 1.2136960156091108)","('03backyard', 1.356831776568546)","('03backyard', 1.356831776568546)","('03backyard', 1.356831776568546)","('65toilet', 1.2042453608560022)","('65toilet', 1.2040180396198712)","('18car', 1.172420606747068)","('18car', 1.1724317435101366)","('53ocean', 1.2797062058722324)","('53ocean', 1.2797207614951802)","('53ocean', 1.2797207614951802)","('45kitchen', 1.3738050443359944)","('45kitchen', 1.3726839100199)","('53ocean', 1.5402823139480317)","('53ocean', 1.5402020171018946)","('55office-computer-printer', 1.766828646643572)","('55office-computer-printer', 1.7799951734293675)","('55office-computer-printer', 1.7799951734293675)","('55office-computer-printer', 1.9165993383084943)","('55office-computer-printer', 1.9302735761955265)","('53ocean', 2.738044582647888)","('53ocean', 2.787242612944314)","('53ocean', 2.8870858490205196)","('55office-computer-printer', 3.1807225078970296)"
3,"('52motorbike', 1.0000100395066203)","('65toilet', 1.0247095755013942)","('04barber', 1.0252930174719306)","('14boat', 1.1066867482489506)","('14boat', 1.1066911609784917)","('14boat', 1.1066911609784917)","('17burger', 1.200704709021277)","('17burger', 1.200704709021277)","('17burger', 1.312365388160289)","('17burger', 1.312365388160289)","('17burger', 1.312365388160289)","('45kitchen', 1.1888478423959266)","('45kitchen', 1.1883015618462507)","('20casino', 1.1642165328224554)","('20casino', 1.164217309802844)","('55office-computer-printer', 1.2461394282503957)","('55office-computer-printer', 1.2461768629471535)","('55office-computer-printer', 1.2461768629471535)","('08beachball-pail', 1.3278961714153443)","('08beachball-pail', 1.32821413899226)","('32farm_animals', 1.4567669189953452)","('32farm_animals', 1.4561259290563155)","('45kitchen', 1.7589750928418535)","('45kitchen', 1.7688201698347532)","('45kitchen', 1.7688201698347532)","('45kitchen', 1.8547199829843086)","('45kitchen', 1.868003714719115)","('55office-computer-printer', 2.3399806319483014)","('55office-computer-printer', 2.4171081967069723)","('55office-computer-printer', 2.8777502778532225)","('45kitchen', 3.1569437627092927)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('37golf', 1.0236688177418414)","('17burger', 1.0241309639955265)","('42horseriding', 1.1014089543032393)","('42horseriding', 1.101412348630254)","('42horseriding', 1.101412348630254)","('18car', 1.1979992635829573)","('18car', 1.1980041490548978)","('08beachball-pail', 1.2972031602829563)","('08beachball-pail', 1.2972031602829563)","('08beachball-pail', 1.2972031602829563)","('18car', 1.183705687549701)","('18car', 1.1836729964684698)","('53ocean', 1.1634097297849806)","('53ocean', 1.1633987928888656)","('42horseriding', 1.236884592900962)","('42horseriding', 1.2369035315877013)","('42horseriding', 1.2369035315877013)","('65toilet', 1.275265763302466)","('65toilet', 1.275215189701129)","('08beachball-pail', 1.438712756425257)","('08beachball-pail', 1.4406592571820767)","('08beachball-pail', 1.6266285907957716)","('08beachball-pail', 1.6365011648418681)","('08beachball-pail', 1.6365011648418681)","('17burger', 1.801868389608268)","('17burger', 1.813678938313999)","('45kitchen', 2.3085757020569373)","('45kitchen', 2.3742270828120895)","('45kitchen', 2.804648892427496)","('41hiking', 3.0489098765071097)"
5,"('67toy', 1.0000098894377727)","('57pancakes', 1.0235349346477263)","('57pancakes', 1.0232206240214672)","('37golf', 1.100317112620115)","('37golf', 1.1003203833388524)","('37golf', 1.1003203833388524)","('20casino', 1.1935375014936767)","('20casino', 1.1935341403511586)","('65toilet', 1.285126079514157)","('65toilet', 1.285126079514157)","('65toilet', 1.285126079514157)","('08beachball-pail', 1.1775752880623587)","('08beachball-pail', 1.1774807183957627)","('45kitchen', 1.1615166135601949)","('45kitchen', 1.1615953801138676)","('18car', 1.230665956408227)","('18car', 1.2306296611065333)","('18car', 1.2306296611065333)","('03backyard', 1.2663436242394932)","('03backyard', 1.2665906024125642)","('41hiking', 1.3676709640728475)","('41hiking', 1.3694915455898191)","('17burger', 1.6227658956847506)","('17burger', 1.6205438573433928)","('17burger', 1.6205438573433928)","('41hiking', 1.7430120164156564)","('41hiking', 1.749806629812665)","('41hiking', 2.224238751055287)","('41hiking', 2.27975208216619)","('41hiking', 2.774270788835031)","('20casino', 2.9192681205370787)"
6,"('18car', 1.0000098894377727)","('17burger', 1.0232883979466654)","('37golf', 1.02316645851318)","('48livingroom', 1.0933539288837741)","('48livingroom', 1.0933515623691619)","('48livingroom', 1.0933515623691619)","('65toilet', 1.1884081822305512)","('65toilet', 1.1884127586534043)","('18car', 1.264897144718835)","('18car', 1.264897144718835)","('18car', 1.264897144718835)","('30emergency', 1.177067588653457)","('30emergency', 1.176993576992869)","('14boat', 1.1581558069595268)","('14boat', 1.1581659367232662)","('30emergency', 1.2289659648410227)","('30emergency', 1.2289892400401496)","('30emergency', 1.2289892400401496)","('37golf', 1.2487994780114728)","('37golf', 1.2490572651388472)","('17burger', 1.3648980306454321)","('17burger', 1.3635723177902552)","('41hiking', 1.5349512792303526)","('41hiking', 1.5443017638141576)","('41hiking', 1.5443017638141576)","('31farm', 1.6655461086429075)","('31farm', 1.6722649214766045)","('20casino', 2.0466593613833903)","('20casino', 2.092122634504461)","('20casino', 2.620044853497591)","('53ocean', 2.8564259792258397)"
7,"('29cooking', 1.0000098894377727)","('71valentines', 1.02322854235314)","('71valentines', 1.0228558665790672)","('04barber', 1.0928586308264694)","('04barber', 1.0928613498089312)","('04barber', 1.0928613498089312)","('42horseriding', 1.1778274674721503)","('42horseriding', 1.1778321317274063)","('46kitchen2', 1.2574169779023885)","('46kitchen2', 1.2574169779023885)","('46kitchen2', 1.2574169779023885)","('14boat', 1.1751369412224864)","('14boat', 1.1751486052281712)","('55office-computer-printer', 1.1571524863934213)","('55office-computer-printer', 1.1571531247279199)","('56office-desk-chair', 1.2266932061783713)","('56office-desk-chair', 1.2267283588133036)","('56office-desk-chair', 1.2267283588133036)","('14boat', 1.2472842311270307)","('14boat', 1.2475286235932819)","('20casino', 1.3495373808195688)","('20casino', 1.3530179334918233)","('65toilet', 1.5187199817053243)","('65toilet', 1.523122177608015)","('65toilet', 1.523122177608015)","('08beachball-pail', 1.6654899364296134)","('08beachball-pail', 1.6722422076693382)","('14boat', 2.025608230144236)","('14boat', 2.0666441426893516)","('42horseriding', 2.42138608654481)","('42horseriding', 2.569400590209858)"
8,"('23childEating', 1.0000098894377727)","('11biking', 1.0225402130048595)","('11biking', 1.0220421837497784)","('65toilet', 1.091601685616099)","('65toilet', 1.0915973769284129)","('65toilet', 1.0915973769284129)","('14boat', 1.17233770963359)","('14boat', 1.172341490034864)","('48livingroom', 1.2320303462627225)","('48livingroom', 1.2320303462627225)","('48livingroom', 1.2320303462627225)","('42horseriding', 1.1746817099430804)","('42horseriding', 1.1746840888952639)","('30emergency', 1.156927712380814)","('30emergency', 1.1569204852496346)","('37golf', 1.2263987457810743)","('37golf', 1.2264116630960409)","('37golf', 1.2264116630960409)","('20casino', 1.2402229381810328)","('20casino', 1.2408433660232956)","('65toilet', 1.3420110744759703)","('65toilet', 1.3396381015851575)","('31farm', 1.486813253758141)","('31farm', 1.4956541827472156)","('31farm', 1.4956541827472156)","('42horseriding', 1.6042466470374472)","('42horseriding', 1.6055329440872066)","('31farm', 1.9856592685574521)","('31farm', 2.028386588500008)","('14boat', 2.2212509871399626)","('61street', 2.3586810945173227)"
9,"('54office_supply', 1.0000098894377727)","('30emergency', 1.0218761178709683)","('30emergency', 1.021436620596895)","('30emergency', 1.0905196063463478)","('30emergency', 1.090525512663066)","('30emergency', 1.090525512663066)","('46kitchen2', 1.157857192627453)","('46kitchen2', 1.1578622587170548)","('53ocean', 1.2316058587828274)","('53ocean', 1.2316058587828274)","('53ocean', 1.2316058587828274)","('20casino', 1.166195146710417)","('20casino', 1.1660687591103043)","('08beachball-pail', 1.1546712286459602)","('08beachball-pail', 1.1546842022883532)","('08beachball-pail', 1.2259636740562865)","('08beachball-pail', 1.2260054417600617)","('08beachball-pail', 1.2260054417600617)","('42horseriding', 1.2278111553157185)","('42horseriding', 1.2280467371851338)","('31farm', 1.328565994919081)","('31farm', 1.3304336702400612)","('14boat', 1.4338914451222888)","('14boat', 1.4388878369821405)","('14boat', 1.4388878369821405)","('65toilet', 1.5532270815735394)","('65toilet', 1.5583752761991165)","('42horseriding', 1.8657284702160506)","('42horseriding', 1.8966068874307491)","('61street', 2.1913581262329798)","('14boat', 2.3547930050300008)"
