,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10,Layer20_bottom10,Layer21_bottom10,Layer22_bottom10,Layer23_bottom10,Layer24_bottom10,Layer25_bottom10,Layer26_bottom10,Layer27_bottom10,Layer28_bottom10,Layer29_bottom10,Layer30_bottom10,Layer31_bottom10,Layer32_bottom10,Layer33_bottom10,Layer34_bottom10,Layer35_bottom10,Layer36_bottom10,Layer37_bottom10
0,"('22chess', 0.9994718178634568)","('73winter', 0.9507284422456396)","('73winter', 0.9505013772762455)","('64tennis', 0.803268264793245)","('64tennis', 0.8021499296100574)","('64tennis', 0.8021499296100574)","('64tennis', 0.7698549878075359)","('64tennis', 0.7695189630262429)","('38groceryshopping', 0.5521210865632283)","('38groceryshopping', 0.5521210651177862)","('38groceryshopping', 0.5521210651177862)","('01art', 0.7988071693643146)","('01art', 0.798808844630977)","('05baseball', 0.7296489087938101)","('05baseball', 0.729679852694782)","('05baseball', 0.6657941126983884)","('05baseball', 0.6657204100353246)","('05baseball', 0.6275227273974966)","('05baseball', 0.6271802618997122)","('05baseball', 0.6271802618997122)","('01art', 0.5958356774445207)","('01art', 0.5954829207180339)","('01art', 0.46277332639990015)","('01art', 0.4608059434488913)","('01art', 0.4494783896926404)","('01art', 0.4471017879462657)","('01art', 0.3824717062959329)","('01art', 0.3747142687231755)","('01art', 0.3747142687231755)","('01art', 0.21991273129960193)","('01art', 0.2142843835246077)","('01art', 0.18760226747953707)","('01art', 0.16657094785548793)","('01art', 0.15291071317273255)","('01art', 0.12806357324963583)","('12birdcage', -0.3816407229808976)","('12birdcage', -0.38860415894941625)"
1,"('06basketball', 0.9998745821547136)","('23childEating', 0.9622142678145684)","('23childEating', 0.9620948792257085)","('73winter', 0.8584860876554812)","('73winter', 0.8585211621195428)","('73winter', 0.8585211621195428)","('69tub', 0.826893483043808)","('69tub', 0.826898307793111)","('05baseball', 0.6441947490481952)","('05baseball', 0.6441947376460977)","('05baseball', 0.6441947376460977)","('05baseball', 0.8023443480170132)","('05baseball', 0.8023452820399283)","('21cheese', 0.7911099863159974)","('21cheese', 0.7909881755954332)","('62sushi', 0.7344709697543721)","('62sushi', 0.7344728937538884)","('01art', 0.6410452808930024)","('01art', 0.6406805376923581)","('01art', 0.6406805376923581)","('05baseball', 0.6710888735617823)","('05baseball', 0.6702617404859367)","('62sushi', 0.5360798367337933)","('62sushi', 0.5307440919911133)","('67toy', 0.554702664061314)","('67toy', 0.5577491455979954)","('12birdcage', 0.410105696864651)","('12birdcage', 0.41190909602500625)","('12birdcage', 0.41190909602500625)","('22chess', 0.4482856330671309)","('22chess', 0.44820989041985054)","('22chess', 0.28500708543163794)","('22chess', 0.26636306252798725)","('12birdcage', 0.2396267965961473)","('12birdcage', 0.23575985789895654)","('13birds', -0.22248261543518677)","('13birds', -0.14792654124025795)"
2,"('17burger', 1.0)","('69tub', 0.9685811451940584)","('69tub', 0.968853630922442)","('69tub', 0.8783435680553999)","('69tub', 0.8779993502848027)","('69tub', 0.8779993502848027)","('38groceryshopping', 0.8527228381460515)","('38groceryshopping', 0.8527302933714949)","('01art', 0.7051402138868635)","('01art', 0.7051401866609913)","('01art', 0.7051401866609913)","('38groceryshopping', 0.8291295067765371)","('38groceryshopping', 0.8291298604941236)","('01art', 0.8008058796918981)","('01art', 0.8008126461152243)","('01art', 0.7547490672729834)","('01art', 0.7547569342952865)","('62sushi', 0.7338002692827277)","('62sushi', 0.7333487632789314)","('62sushi', 0.7333487632789314)","('62sushi', 0.6742649656005574)","('62sushi', 0.6738500192049955)","('12birdcage', 0.6360517679002463)","('12birdcage', 0.6371567933395073)","('62sushi', 0.5717776225036806)","('62sushi', 0.5758430662797129)","('62sushi', 0.5625866771946412)","('62sushi', 0.5657049546223052)","('62sushi', 0.5657049546223052)","('62sushi', 0.5011473101127707)","('62sushi', 0.4994246589401921)","('67toy', 0.49637036928572237)","('67toy', 0.4874917922814672)","('68toys', 0.44073592542551887)","('68toys', 0.42459467108189347)","('01art', -0.020913238061366312)","('01art', -0.12709531857735662)"
3,"('32farm_animals', 1.0)","('38groceryshopping', 0.9706859419497257)","('38groceryshopping', 0.9704367738195963)","('23childEating', 0.8977311212671755)","('23childEating', 0.8978000523534233)","('23childEating', 0.8978000523534233)","('23childEating', 0.8608266328939556)","('23childEating', 0.8608335996467403)","('69tub', 0.7311342713078239)","('69tub', 0.7311342652878499)","('69tub', 0.7311342652878499)","('21cheese', 0.8382092992320999)","('21cheese', 0.8381761054965106)","('63teethhygene', 0.8249660437044929)","('63teethhygene', 0.8249227665807861)","('63teethhygene', 0.7858856876443047)","('63teethhygene', 0.7858840606987729)","('12birdcage', 0.7727527504309871)","('12birdcage', 0.7727629948624558)","('12birdcage', 0.7727629948624558)","('59pizza', 0.7189696571969207)","('59pizza', 0.7192348531157375)","('59pizza', 0.6701177861456757)","('59pizza', 0.6711877790973029)","('12birdcage', 0.6178642970259479)","('12birdcage', 0.617970434634152)","('67toy', 0.6494025251182616)","('67toy', 0.6535189300784282)","('67toy', 0.6535189300784282)","('12birdcage', 0.5097759179827167)","('12birdcage', 0.5098399331297355)","('25clothing', 0.546154373349035)","('25clothing', 0.5318895364778526)","('25clothing', 0.4865718765288747)","('25clothing', 0.46131984534212683)","('59pizza', 0.11716662516220092)","('59pizza', 0.03719926384496575)"
4,"('02baby', 1.0000054538854783)","('64tennis', 0.9804491593593747)","('01art', 0.980862976688644)","('01art', 0.9076271417703349)","('01art', 0.907486503835722)","('01art', 0.907486503835722)","('73winter', 0.8618291533280791)","('73winter', 0.8618355957200553)","('73winter', 0.7473715714443482)","('73winter', 0.7473715529330797)","('73winter', 0.7473715529330797)","('63teethhygene', 0.8391216568844018)","('63teethhygene', 0.8391239170457996)","('59pizza', 0.8376044484189935)","('59pizza', 0.8377418018651863)","('21cheese', 0.8368417954512144)","('21cheese', 0.8369856285393659)","('21cheese', 0.8130642317818773)","('21cheese', 0.8129839781114339)","('21cheese', 0.8129839781114339)","('12birdcage', 0.7318519314586177)","('12birdcage', 0.7319752376388851)","('33fishtank', 0.6765994174588248)","('33fishtank', 0.678162189853797)","('33fishtank', 0.6470372542760232)","('33fishtank', 0.6479274685169047)","('22chess', 0.6915964187825131)","('22chess', 0.6778796313686978)","('22chess', 0.6778796313686978)","('67toy', 0.6647682130215127)","('67toy', 0.6596184177387987)","('11biking', 0.5674424675088763)","('11biking', 0.5552852195999644)","('67toy', 0.4977658399948122)","('67toy', 0.47703643881106506)","('19carpet', 0.2778014376449415)","('62sushi', 0.20502962933070654)"
5,"('46kitchen2', 1.0000055379211592)","('01art', 0.9808249477032422)","('64tennis', 0.9817931422602838)","('05baseball', 0.9377154387384643)","('05baseball', 0.9375928363614773)","('05baseball', 0.9375928363614773)","('01art', 0.8874197656671721)","('01art', 0.8874261783742045)","('19carpet', 0.7556078914749119)","('19carpet', 0.7556078609680457)","('19carpet', 0.7556078609680457)","('59pizza', 0.8596460705812105)","('59pizza', 0.8596469329759292)","('62sushi', 0.881460980709479)","('62sushi', 0.8815006571178097)","('12birdcage', 0.8713769574986819)","('12birdcage', 0.8713743396238307)","('22chess', 0.8166151038247254)","('22chess', 0.8166198735934543)","('22chess', 0.8166198735934543)","('21cheese', 0.7447698246355152)","('21cheese', 0.744681164286088)","('22chess', 0.7134865345702792)","('22chess', 0.7090707404271175)","('22chess', 0.6594792190777172)","('22chess', 0.6556176826950264)","('33fishtank', 0.7309713548267817)","('39gun', 0.7299421878730549)","('39gun', 0.7299421878730549)","('59pizza', 0.7161467654804394)","('59pizza', 0.7194270912451003)","('13birds', 0.5974963760642253)","('26coathanging', 0.5834618501500822)","('33fishtank', 0.5070447753980063)","('33fishtank', 0.5152722097993638)","('62sushi', 0.3132836179682217)","('68toys', 0.3060102676601252)"
6,"('45kitchen', 1.0000055379211592)","('21cheese', 0.9822654563404233)","('21cheese', 0.9833755960603564)","('38groceryshopping', 0.9384396083927677)","('38groceryshopping', 0.9384801073556758)","('38groceryshopping', 0.9384801073556758)","('21cheese', 0.8944543783194233)","('21cheese', 0.8944603706026322)","('64tennis', 0.7836105662081958)","('64tennis', 0.7836105735913718)","('64tennis', 0.7836105735913718)","('64tennis', 0.8596872388289193)","('64tennis', 0.8596868635015361)","('51makeup', 0.8878835993128901)","('51makeup', 0.8878930893680732)","('33fishtank', 0.8860798806928596)","('33fishtank', 0.8860783669084966)","('67toy', 0.8329359903933456)","('67toy', 0.8329421688839943)","('67toy', 0.8329421688839943)","('33fishtank', 0.8139429075643543)","('33fishtank', 0.8139167439497034)","('05baseball', 0.7532580148201268)","('05baseball', 0.7463443408400158)","('25clothing', 0.7464575576950382)","('25clothing', 0.7463381621508256)","('39gun', 0.7311440235668119)","('33fishtank', 0.7332005690192595)","('33fishtank', 0.7332005690192595)","('26coathanging', 0.7275814856004612)","('26coathanging', 0.7264553597962587)","('26coathanging', 0.5985158341866289)","('62sushi', 0.5903364219246899)","('13birds', 0.5202442395162536)","('47laundry', 0.5208740701219946)","('68toys', 0.32441774468645884)","('47laundry', 0.3436202058947608)"
7,"('10bed-dresser', 1.0000089655355493)","('59pizza', 0.987423019196821)","('59pizza', 0.987131471069321)","('24cleaning', 0.9417168408079196)","('24cleaning', 0.9415568016069624)","('24cleaning', 0.9415568016069624)","('05baseball', 0.913777545167823)","('05baseball', 0.91356478019947)","('24cleaning', 0.7853958116140519)","('24cleaning', 0.785395804139996)","('24cleaning', 0.785395804139996)","('73winter', 0.8967968580218972)","('73winter', 0.896797542454483)","('15bowling', 0.9067676884627999)","('15bowling', 0.9067758418170541)","('38groceryshopping', 0.8966895447778651)","('38groceryshopping', 0.896690428650489)","('33fishtank', 0.833167634051179)","('33fishtank', 0.8331693278962451)","('33fishtank', 0.8331693278962451)","('63teethhygene', 0.8261071585898779)","('63teethhygene', 0.8250036120652933)","('67toy', 0.75951697064281)","('67toy', 0.7614228873043686)","('39gun', 0.7498543599385683)","('39gun', 0.748116160822938)","('68toys', 0.7806515182789031)","('68toys', 0.7828335308224758)","('68toys', 0.7828335308224758)","('05baseball', 0.7358160190605392)","('05baseball', 0.7269463551911582)","('62sushi', 0.6053711916556855)","('13birds', 0.6026491835929187)","('47laundry', 0.5261118352446547)","('59pizza', 0.5299168756028166)","('47laundry', 0.34709066016297785)","('11biking', 0.34404063775503485)"
8,"('69tub', 1.000009099550753)","('58party', 0.9908299684733028)","('58party', 0.9906961357785737)","('21cheese', 0.9475353955337434)","('21cheese', 0.9484902697631956)","('21cheese', 0.9484902697631956)","('24cleaning', 0.9396112417127185)","('24cleaning', 0.9396168750101155)","('21cheese', 0.7949631085160487)","('21cheese', 0.7949631085160487)","('21cheese', 0.7949631085160487)","('15bowling', 0.9098697757484007)","('15bowling', 0.9098706021057682)","('38groceryshopping', 0.9157001270329476)","('38groceryshopping', 0.9157035383040956)","('39gun', 0.9041488034951835)","('39gun', 0.9041516659748834)","('39gun', 0.8486142032457784)","('39gun', 0.8485024491320986)","('39gun', 0.8485024491320986)","('22chess', 0.8597591232541618)","('22chess', 0.8591669839110314)","('21cheese', 0.8363154406172177)","('21cheese', 0.8353955508532861)","('68toys', 0.8193735120983622)","('59pizza', 0.8199039066763459)","('38groceryshopping', 0.7911308174030994)","('38groceryshopping', 0.7883591547071706)","('38groceryshopping', 0.7883591547071706)","('19carpet', 0.750675059129789)","('19carpet', 0.744443128261471)","('12birdcage', 0.6393358979602347)","('12birdcage', 0.6553873725754605)","('59pizza', 0.5505831678402587)","('22chess', 0.5348550290662725)","('11biking', 0.3747663506735007)","('19carpet', 0.37525492583310893)"
9,"('65toilet', 1.000009099550753)","('44kayak', 0.9940308646390755)","('44kayak', 0.9938017343696169)","('28construction', 0.9492257979046121)","('28construction', 0.9493097123855149)","('28construction', 0.9493097123855149)","('59pizza', 0.958671330646635)","('59pizza', 0.9586778018135965)","('63teethhygene', 0.8296359389240793)","('63teethhygene', 0.82963591246176)","('63teethhygene', 0.82963591246176)","('19carpet', 0.9247122386702503)","('19carpet', 0.9247128357831036)","('64tennis', 0.9227440941042971)","('64tennis', 0.9227500068207851)","('67toy', 0.916195483503647)","('67toy', 0.9161985856380757)","('63teethhygene', 0.8850295072805433)","('63teethhygene', 0.8850459363566112)","('63teethhygene', 0.8850459363566112)","('70tv', 0.864009442773208)","('70tv', 0.8633357640566028)","('38groceryshopping', 0.8529333421817583)","('38groceryshopping', 0.8528121085888856)","('59pizza', 0.8194715204035227)","('68toys', 0.8208504369008081)","('26coathanging', 0.7965263204985099)","('26coathanging', 0.7934900598378941)","('26coathanging', 0.7934900598378941)","('25clothing', 0.7618955995429336)","('25clothing', 0.7625713974727094)","('19carpet', 0.6901675305284363)","('19carpet', 0.6798311461717181)","('19carpet', 0.5681987859230311)","('13birds', 0.5397322754914701)","('67toy', 0.41858094836525234)","('67toy', 0.38248653515486214)"
