,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10,Layer32_top10,Layer33_top10,Layer34_top10,Layer35_top10,Layer36_top10,Layer37_top10
0,"('basketballrim (2).jpg', 1.000009743789258)","('cow (2).jpg', 1.1088351471290734)","('cow (2).jpg', 1.1088351471290734)","('cow (2).jpg', 1.3899935943739008)","('cow (2).jpg', 1.3899935943739008)","('cow (2).jpg', 1.3899935943739008)","('rolette (2).jpg', 1.7126408269952056)","('rolette (2).jpg', 1.712656891916346)","('rolette (2).jpg', 3.1923384371892367)","('rolette (2).jpg', 3.1923379448289086)","('rolette (2).jpg', 3.1923379448289086)","('rolette (2).jpg', 1.759188642460069)","('rolette (2).jpg', 1.7591922485210514)","('rolette (2).jpg', 1.5698429143920383)","('rolette (2).jpg', 1.5698586979000873)","('remotecontrol (2).jpg', 1.573539958849551)","('remotecontrol (2).jpg', 1.5735513297681754)","('carpet (2).jpg', 1.7619886589451357)","('carpet (2).jpg', 1.7620300386835344)","('carpet (2).jpg', 1.7620300386835344)","('remotecontrol (2).jpg', 2.4265184986209545)","('remotecontrol (2).jpg', 2.4292915011069445)","('pizza (2).jpg', 2.588447352234298)","('pizza (2).jpg', 2.5833297764572887)","('doll (2).jpg', 3.234572482868585)","('doll (2).jpg', 3.2294064464792682)","('chicken (2).jpg', 4.09056124793591)","('chicken (2).jpg', 4.0898978846305125)","('chicken (2).jpg', 4.0898978846305125)","('chicken (2).jpg', 5.01372279792981)","('chicken (2).jpg', 5.035838516923726)","('chicken (2).jpg', 8.919015989475902)","('chicken (2).jpg', 8.98054302723207)","('parrot (2).jpg', 13.262443696543725)","('parrot (2).jpg', 13.00447971127438)","('parrot (2).jpg', 43.78059292170084)","('parrot (2).jpg', 36.46422279493421)"
1,"('highchair (2).jpg', 1.0000096725620395)","('fries (2).jpg', 1.1074530825345132)","('fries (2).jpg', 1.106631113245703)","('burger (2).jpg', 1.3153010816406652)","('burger (2).jpg', 1.3153010816406652)","('burger (2).jpg', 1.3153010816406652)","('beachball (2).jpg', 1.5897898027570385)","('beachball (2).jpg', 1.5898022496536062)","('beachball (2).jpg', 2.038438034787943)","('beachball (2).jpg', 2.038437884275531)","('beachball (2).jpg', 2.038437884275531)","('tennisball (2).jpg', 1.520964191726533)","('tennisball (2).jpg', 1.5209576256567665)","('pants (2).jpg', 1.5118974980105688)","('pants (2).jpg', 1.51188530073105)","('rolette (2).jpg', 1.5553769313664645)","('rolette (2).jpg', 1.55539061792673)","('rolette (2).jpg', 1.7617854245745745)","('rolette (2).jpg', 1.761831904776484)","('rolette (2).jpg', 1.761831904776484)","('baseballball (2).jpg', 2.070569040261065)","('baseballball (2).jpg', 2.0712078309252404)","('baseballball (2).jpg', 2.448640036770767)","('baseballball (2).jpg', 2.45967239996129)","('baseballball (2).jpg', 3.1511206201275517)","('baseballball (2).jpg', 3.1632909939510583)","('doll (2).jpg', 3.9338100875005666)","('doll (2).jpg', 3.93356482287297)","('doll (2).jpg', 3.93356482287297)","('remotecontrol (2).jpg', 4.424519599556508)","('remotecontrol (2).jpg', 4.49678782489402)","('cow (2).jpg', 8.13309481029001)","('cow (2).jpg', 8.02830993264323)","('horse (2).jpg', 12.133483566832771)","('horse (2).jpg', 12.231535972472551)","('fish (2).jpg', 38.569448557196985)","('fish (2).jpg', 31.895444031711843)"
2,"('tent (2).jpg', 1.0000095331866181)","('chicken (2).jpg', 1.078490003097713)","('chicken (2).jpg', 1.078490003097713)","('fries (2).jpg', 1.3085279542980843)","('fries (2).jpg', 1.3085279542980843)","('fries (2).jpg', 1.3085279542980843)","('cow (2).jpg', 1.5490452762459115)","('cow (2).jpg', 1.5490452762459115)","('bag (2).jpg', 2.0362079875251577)","('bag (2).jpg', 2.036207785905415)","('bag (2).jpg', 2.036207785905415)","('carpet (2).jpg', 1.4824377869770566)","('carpet (2).jpg', 1.4824373968291533)","('remotecontrol (2).jpg', 1.4554241567452713)","('remotecontrol (2).jpg', 1.4554935405993012)","('carpet (2).jpg', 1.512899689989107)","('carpet (2).jpg', 1.5128915335280402)","('remotecontrol (2).jpg', 1.7580873627089042)","('remotecontrol (2).jpg', 1.7581290479431904)","('remotecontrol (2).jpg', 1.7581290479431904)","('burger (2).jpg', 2.060006390882773)","('burger (2).jpg', 2.060650344818716)","('burger (2).jpg', 2.3515819533782603)","('burger (2).jpg', 2.3458449768924967)","('burger (2).jpg', 3.018363658969778)","('burger (2).jpg', 3.0143091752848212)","('burger (2).jpg', 3.9030276144175486)","('burger (2).jpg', 3.9053698399917427)","('burger (2).jpg', 3.9053698399917427)","('pizza (2).jpg', 4.258179216385334)","('pizza (2).jpg', 4.256526487311655)","('horse (2).jpg', 6.356955608150595)","('horse (2).jpg', 6.304638757349409)","('cow (2).jpg', 10.751091332275987)","('cow (2).jpg', 11.050263866511752)","('bird (2).jpg', 21.148084274717498)","('horse (2).jpg', 17.725604206336836)"
3,"('dresser (2).jpg', 1.0000095331866181)","('burger (2).jpg', 1.077776076200159)","('burger (2).jpg', 1.077776076200159)","('chicken (2).jpg', 1.2485345457778012)","('chicken (2).jpg', 1.2485345457778012)","('chicken (2).jpg', 1.2485345457778012)","('fries (2).jpg', 1.428545690894987)","('fries (2).jpg', 1.428545690894987)","('carpet (2).jpg', 1.9401690359694534)","('carpet (2).jpg', 1.9401688622052113)","('carpet (2).jpg', 1.9401688622052113)","('burger (2).jpg', 1.478840611585586)","('burger (2).jpg', 1.478840611585586)","('pizza (2).jpg', 1.435264353773191)","('pizza (2).jpg', 1.435250710578555)","('pants (2).jpg', 1.4674309132912877)","('pants (2).jpg', 1.4674284432852949)","('burger (2).jpg', 1.7101706083126464)","('burger (2).jpg', 1.7101706083126464)","('burger (2).jpg', 1.7101706083126464)","('pizza (2).jpg', 2.0343772083880807)","('pizza (2).jpg', 2.0339834410385063)","('remotecontrol (2).jpg', 2.321624199291636)","('remotecontrol (2).jpg', 2.3374190309581917)","('pizza (2).jpg', 2.890982683244748)","('pizza (2).jpg', 2.8853849718473255)","('pizza (2).jpg', 3.6401344918863865)","('pizza (2).jpg', 3.6466420386806573)","('pizza (2).jpg', 3.6466420386806573)","('doll (2).jpg', 3.6765358304765257)","('doll (2).jpg', 3.6856745970289824)","('bird (2).jpg', 5.63883179879094)","('bird (2).jpg', 5.635599410077903)","('chicken (2).jpg', 10.60944117181878)","('chicken (2).jpg', 10.621208282999838)","('horse (2).jpg', 18.04322819416819)","('bird (2).jpg', 17.06859838666642)"
4,"('footballball (2).jpg', 1.0000095331866181)","('carpet (2).jpg', 1.0527592202681026)","('carpet (2).jpg', 1.0524426776466427)","('rolette (2).jpg', 1.2050617307817963)","('rolette (2).jpg', 1.2051610546889366)","('rolette (2).jpg', 1.2051610546889366)","('tennisball (2).jpg', 1.4275889533457053)","('tennisball (2).jpg', 1.4268241182233221)","('fries (2).jpg', 1.9026817959034714)","('fries (2).jpg', 1.9026817959034714)","('fries (2).jpg', 1.9026817959034714)","('cow (2).jpg', 1.464073945886533)","('cow (2).jpg', 1.464073945886533)","('carpet (2).jpg', 1.4140436512103827)","('carpet (2).jpg', 1.414036024771393)","('beachball (2).jpg', 1.382646999238725)","('beachball (2).jpg', 1.3826504174332588)","('cow (2).jpg', 1.672954698381815)","('cow (2).jpg', 1.672954698381815)","('cow (2).jpg', 1.672954698381815)","('carpet (2).jpg', 1.9884512366047637)","('carpet (2).jpg', 1.9884140405556268)","('carpet (2).jpg', 2.2481294791743323)","('carpet (2).jpg', 2.247832463093122)","('barbie (2).jpg', 2.8581761391755345)","('barbie (2).jpg', 2.857894935345417)","('cow (2).jpg', 3.394912987573329)","('cow (2).jpg', 3.3994469476706968)","('cow (2).jpg', 3.3994469476706968)","('cow (2).jpg', 3.641897982260707)","('cow (2).jpg', 3.6702719051859)","('parrot (2).jpg', 5.345831615684949)","('burger (2).jpg', 5.48523100151564)","('bird (2).jpg', 10.395857658319105)","('bird (2).jpg', 10.176828530009201)","('remotecontrol (2).jpg', 12.15200845255726)","('remotecontrol (2).jpg', 14.559476317655855)"
5,"('motorcycle (2).jpg', 1.0000095331866181)","('rubberduck (2).jpg', 1.0490913223862472)","('rubberduck (2).jpg', 1.0488383247285689)","('tennisball (2).jpg', 1.1897198233570772)","('tennisball (2).jpg', 1.1946387427656857)","('tennisball (2).jpg', 1.1946387427656857)","('burger (2).jpg', 1.4125153404495498)","('burger (2).jpg', 1.4125153404495498)","('burger (2).jpg', 1.8833367328883337)","('burger (2).jpg', 1.8833367328883337)","('burger (2).jpg', 1.8833367328883337)","('beachball (2).jpg', 1.4557694515995914)","('beachball (2).jpg', 1.4557726642852538)","('burger (2).jpg', 1.4078124243078087)","('burger (2).jpg', 1.4078124243078087)","('burger (2).jpg', 1.3817712645153792)","('burger (2).jpg', 1.3817712645153792)","('chicken (2).jpg', 1.6310118716746427)","('chicken (2).jpg', 1.6310118716746427)","('chicken (2).jpg', 1.6310118716746427)","('rolette (2).jpg', 1.8963745272242356)","('rolette (2).jpg', 1.8968896971839553)","('rolette (2).jpg', 2.152460509784537)","('rolette (2).jpg', 2.15507506586381)","('chicken (2).jpg', 2.8079661561902025)","('chicken (2).jpg', 2.805180202030393)","('parrot (2).jpg', 3.286111731031492)","('parrot (2).jpg', 3.2832953776685025)","('parrot (2).jpg', 3.2832953776685025)","('burger (2).jpg', 3.625006516334203)","('burger (2).jpg', 3.634939530210903)","('burger (2).jpg', 5.325029479747826)","('parrot (2).jpg', 5.450540373923342)","('fish (2).jpg', 8.725693714719057)","('remotecontrol (2).jpg', 8.728694212483648)","('baseballball (2).jpg', 9.843940099430924)","('baseballball (2).jpg', 11.185710434760422)"
6,"('stroller (2).jpg', 1.0000095331866181)","('deskchair (2).jpg', 1.0490241298738279)","('pizza (2).jpg', 1.0487323720234625)","('cone (2).jpg', 1.183559775637428)","('cone (2).jpg', 1.1837818168180902)","('cone (2).jpg', 1.1837818168180902)","('bag (2).jpg', 1.3636139723348184)","('bag (2).jpg', 1.3636245129698876)","('cow (2).jpg', 1.863892402587935)","('cow (2).jpg', 1.863892402587935)","('cow (2).jpg', 1.863892402587935)","('pizza (2).jpg', 1.4096960511007968)","('pizza (2).jpg', 1.4096969559320243)","('fries (2).jpg', 1.3919688639565937)","('fries (2).jpg', 1.3919688639565937)","('pizza (2).jpg', 1.3648238058467872)","('pizza (2).jpg', 1.3648136486662932)","('fries (2).jpg', 1.553067994566526)","('fries (2).jpg', 1.553067994566526)","('fries (2).jpg', 1.553067994566526)","('lipstick (2).jpg', 1.7323974617191882)","('lipstick (2).jpg', 1.7331660289221535)","('cow (2).jpg', 2.099550896640412)","('cow (2).jpg', 2.09883924727993)","('remotecontrol (2).jpg', 2.6745813516316312)","('remotecontrol (2).jpg', 2.6975666663624263)","('remotecontrol (2).jpg', 3.039331394677113)","('remotecontrol (2).jpg', 3.118952233910874)","('remotecontrol (2).jpg', 3.118952233910874)","('parrot (2).jpg', 3.6147420866729094)","('parrot (2).jpg', 3.6277171683543696)","('doll (2).jpg', 5.200599289739973)","('doll (2).jpg', 5.347423421526558)","('burger (2).jpg', 7.985446443438307)","('fish (2).jpg', 8.620679074870116)","('burger (2).jpg', 9.206606622254446)","('pizza (2).jpg', 11.117365230009288)"
7,"('bike (2).jpg', 1.0000095331866181)","('pizza (2).jpg', 1.048960602607964)","('deskchair (2).jpg', 1.0486162159405026)","('rubberduck (2).jpg', 1.1686026671499135)","('rubberduck (2).jpg', 1.1686774754450855)","('rubberduck (2).jpg', 1.1686774754450855)","('pants (2).jpg', 1.3444902616287835)","('pants (2).jpg', 1.3445057326614285)","('tennisball (2).jpg', 1.8026287392191596)","('tennisball (2).jpg', 1.8026288222922937)","('tennisball (2).jpg', 1.8026288222922937)","('fries (2).jpg', 1.4096440259729563)","('fries (2).jpg', 1.4096440259729563)","('television (2).jpg', 1.382976556350949)","('television (2).jpg', 1.3829901365968325)","('lipstick (2).jpg', 1.346410259712266)","('lipstick (2).jpg', 1.3464097085861706)","('pants (2).jpg', 1.5464749997886371)","('pants (2).jpg', 1.5464694007594575)","('pants (2).jpg', 1.5464694007594575)","('pants (2).jpg', 1.7109234163402351)","('pants (2).jpg', 1.7109524501627436)","('chicken (2).jpg', 2.077276191632141)","('chicken (2).jpg', 2.076119384010538)","('bike (2).jpg', 2.5904489550649177)","('bike (2).jpg', 2.5950014415476748)","('baseballball (2).jpg', 3.0377767310327077)","('baseballball (2).jpg', 3.0559457412871778)","('baseballball (2).jpg', 3.0559457412871778)","('bike (2).jpg', 3.4235377860071794)","('baseballball (2).jpg', 3.443988456624106)","('remotecontrol (2).jpg', 4.974976586559272)","('remotecontrol (2).jpg', 5.234654949803121)","('remotecontrol (2).jpg', 7.851764649362196)","('burger (2).jpg', 8.247198443777034)","('pizza (2).jpg', 9.159534905234889)","('burger (2).jpg', 10.176046330219876)"
8,"('sippycup (2).jpg', 1.0000094649943658)","('pancake (2).jpg', 1.0484159709802472)","('tennisball (2).jpg', 1.0482217537363612)","('carpet (2).jpg', 1.1683050086230906)","('carpet (2).jpg', 1.1683344519571184)","('carpet (2).jpg', 1.1683344519571184)","('roses (2).jpg', 1.3378846444003938)","('roses (2).jpg', 1.337894843138619)","('chicken (2).jpg', 1.7385814363255132)","('chicken (2).jpg', 1.7385814363255132)","('chicken (2).jpg', 1.7385814363255132)","('pancake (2).jpg', 1.392019523917601)","('pancake (2).jpg', 1.3920225994662208)","('fridge (2).jpg', 1.3707914296514945)","('fridge (2).jpg', 1.3717392592836208)","('bike (2).jpg', 1.3443562291044502)","('bike (2).jpg', 1.344364382360566)","('pizza (2).jpg', 1.5384717098877407)","('pizza (2).jpg', 1.5385289407953533)","('pizza (2).jpg', 1.5385289407953533)","('bike (2).jpg', 1.7069504218824003)","('bike (2).jpg', 1.7069391861388592)","('barbie (2).jpg', 2.012319894257796)","('barbie (2).jpg', 2.013559177267827)","('parrot (2).jpg', 2.5623915024423507)","('parrot (2).jpg', 2.5604755567964403)","('barbie (2).jpg', 2.8988808073487133)","('barbie (2).jpg', 2.916094509951431)","('barbie (2).jpg', 2.916094509951431)","('baseballball (2).jpg', 3.394644936006722)","('bike (2).jpg', 3.4359255334597543)","('pizza (2).jpg', 4.6209208034157525)","('pizza (2).jpg', 4.713216260897161)","('pizza (2).jpg', 6.944524959560414)","('pizza (2).jpg', 6.989081583255468)","('tractor (2).jpg', 9.1193226068587)","('tractor (2).jpg', 9.75197697527127)"
9,"('ovenmitt (2).jpg', 1.0000094649943658)","('beachball (2).jpg', 1.0481534276673277)","('pancake (2).jpg', 1.0481669135340546)","('pants (2).jpg', 1.165077845703414)","('pants (2).jpg', 1.1650654075253222)","('pants (2).jpg', 1.1650654075253222)","('sippycup (2).jpg', 1.3284856115767816)","('sippycup (2).jpg', 1.328500395185412)","('roses (2).jpg', 1.6460267768916428)","('roses (2).jpg', 1.646026725324764)","('roses (2).jpg', 1.646026725324764)","('chicken (2).jpg', 1.3910822439920212)","('chicken (2).jpg', 1.3910822439920212)","('beachball (2).jpg', 1.3515236320595154)","('beachball (2).jpg', 1.3515447614162517)","('plant (2).jpg', 1.341687094392374)","('plant (2).jpg', 1.3416950341775378)","('rubberduck (2).jpg', 1.4939492121979558)","('rubberduck (2).jpg', 1.4939733695199597)","('rubberduck (2).jpg', 1.4939733695199597)","('rubberduck (2).jpg', 1.7061937979215664)","('rubberduck (2).jpg', 1.706773276635007)","('doll (2).jpg', 1.955045735242721)","('doll (2).jpg', 1.9549259494217455)","('rolette (2).jpg', 2.5405770265291765)","('rolette (2).jpg', 2.543628596928665)","('bike (2).jpg', 2.8343673496446447)","('bike (2).jpg', 2.8559607414718347)","('bike (2).jpg', 2.8559607414718347)","('horse (2).jpg', 3.3618130956629217)","('horse (2).jpg', 3.3717999958410982)","('bike (2).jpg', 4.453180149698459)","('bike (2).jpg', 4.543573339255042)","('ambulance (2).jpg', 5.125145848300236)","('ambulance (2).jpg', 5.322424367556799)","('ambulance (2).jpg', 8.029531981545526)","('ambulance (2).jpg', 9.061247220350419)"
