,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10,Layer32_top10,Layer33_top10,Layer34_top10,Layer35_top10,Layer36_top10,Layer37_top10
0,"('21cheese', 1.0000101942001327)","('03backyard', 1.0393539159918155)","('03backyard', 1.0389431783760228)","('03backyard', 1.1275270531964452)","('03backyard', 1.1274874197288862)","('03backyard', 1.1274874197288862)","('08beachball-pail', 1.3793696876393609)","('08beachball-pail', 1.379386008694985)","('08beachball-pail', 1.5072598132298551)","('08beachball-pail', 1.507259776767045)","('08beachball-pail', 1.507259776767045)","('03backyard', 1.2524502629262473)","('03backyard', 1.252452409333659)","('45kitchen', 1.242125566217891)","('45kitchen', 1.242167408424789)","('08beachball-pail', 1.18236846448047)","('08beachball-pail', 1.1823720966588704)","('45kitchen', 1.2866036348985734)","('45kitchen', 1.2862767598084945)","('45kitchen', 1.2862767598084945)","('55office-computer-printer', 1.3928113210593245)","('55office-computer-printer', 1.392992885323307)","('55office-computer-printer', 1.5018471198649679)","('55office-computer-printer', 1.5034791966185934)","('32farm_animals', 1.7004374895768684)","('32farm_animals', 1.7000410356845224)","('32farm_animals', 2.0364151207119363)","('32farm_animals', 2.034528062772919)","('32farm_animals', 2.034528062772919)","('32farm_animals', 2.317436293370653)","('32farm_animals', 2.3177250175015054)","('32farm_animals', 3.0726794984421537)","('32farm_animals', 3.0405097015919673)","('32farm_animals', 3.9639399322706628)","('32farm_animals', 3.9621110248247318)","('32farm_animals', 5.996099494957339)","('32farm_animals', 5.6605230999898755)"
1,"('61street', 1.0000101942001327)","('18car', 1.0375837570919093)","('18car', 1.037150300317143)","('18car', 1.1162516871211325)","('18car', 1.1162167061609756)","('18car', 1.1162167061609756)","('03backyard', 1.2601383714435828)","('03backyard', 1.2601520441274565)","('45kitchen', 1.4520511815423258)","('45kitchen', 1.4520474105436247)","('45kitchen', 1.4520474105436247)","('17burger', 1.201206234696126)","('17burger', 1.201206234696126)","('03backyard', 1.2222857913403766)","('03backyard', 1.222291557224843)","('53ocean', 1.1713816907862917)","('53ocean', 1.1713790218082532)","('55office-computer-printer', 1.2551775877398617)","('55office-computer-printer', 1.255200173184747)","('55office-computer-printer', 1.255200173184747)","('53ocean', 1.367437811953519)","('53ocean', 1.3677397114161365)","('45kitchen', 1.470451772377199)","('45kitchen', 1.4717881499529535)","('45kitchen', 1.6754723680612462)","('45kitchen', 1.6748822266377141)","('55office-computer-printer', 1.7630420554426205)","('55office-computer-printer', 1.7706636681345405)","('55office-computer-printer', 1.7706636681345405)","('17burger', 1.928394533348292)","('17burger', 1.9257936917957257)","('17burger', 2.646563964085895)","('17burger', 2.661444060293873)","('17burger', 2.9001725398581164)","('17burger', 2.920308891345264)","('17burger', 3.585218883601663)","('17burger', 3.8322963116010773)"
2,"('60street', 1.0000101942001327)","('17burger', 1.03459646687936)","('17burger', 1.0348449442103864)","('71valentines', 1.1053815226243937)","('71valentines', 1.1054511828455116)","('71valentines', 1.1054511828455116)","('18car', 1.2046599382624195)","('18car', 1.2046705709455774)","('03backyard', 1.446280113453648)","('03backyard', 1.4462801204525733)","('03backyard', 1.4462801204525733)","('08beachball-pail', 1.199330176289918)","('08beachball-pail', 1.199332348591568)","('53ocean', 1.1783075601475022)","('53ocean', 1.1782989907860948)","('03backyard', 1.169728199148478)","('03backyard', 1.169736446674512)","('03backyard', 1.2503294037095882)","('03backyard', 1.2503377462413467)","('03backyard', 1.2503377462413467)","('17burger', 1.3323547437322594)","('17burger', 1.3324336769854697)","('53ocean', 1.3996247618877125)","('53ocean', 1.399339239282122)","('55office-computer-printer', 1.665652996149917)","('55office-computer-printer', 1.668350395791925)","('17burger', 1.7426995918411659)","('17burger', 1.749049501228939)","('17burger', 1.749049501228939)","('55office-computer-printer', 1.8929200690071393)","('55office-computer-printer', 1.9002920924939122)","('41hiking', 2.0701323176997777)","('41hiking', 2.10097111507021)","('55office-computer-printer', 2.239510815137279)","('55office-computer-printer', 2.283450225612925)","('41hiking', 2.8875975652699966)","('41hiking', 3.16838269495047)"
3,"('52motorbike', 1.0000100395066203)","('71valentines', 1.0322971625476578)","('71valentines', 1.0319972956946772)","('14boat', 1.103624001374182)","('14boat', 1.1036075460641268)","('14boat', 1.1036075460641268)","('42horseriding', 1.1715377993182081)","('42horseriding', 1.1715462561802292)","('20casino', 1.412241131886848)","('20casino', 1.4122410481500807)","('20casino', 1.4122410481500807)","('53ocean', 1.193175764610452)","('53ocean', 1.1931771297173883)","('17burger', 1.1774529159089744)","('17burger', 1.1774529159089744)","('55office-computer-printer', 1.1667208829129254)","('55office-computer-printer', 1.1667293430733299)","('53ocean', 1.2318093822915954)","('53ocean', 1.2318127212345729)","('53ocean', 1.2318127212345729)","('45kitchen', 1.3264158402665642)","('45kitchen', 1.3264616576923869)","('08beachball-pail', 1.3658660897637127)","('08beachball-pail', 1.3661416542242513)","('53ocean', 1.562106412453483)","('53ocean', 1.5611120476708686)","('45kitchen', 1.7197279540301795)","('45kitchen', 1.72976931196822)","('45kitchen', 1.72976931196822)","('45kitchen', 1.7967383403372958)","('45kitchen', 1.8006996638875485)","('55office-computer-printer', 2.0660376128629143)","('55office-computer-printer', 2.0874304832560373)","('41hiking', 2.2157272545157136)","('41hiking', 2.2775389829185535)","('55office-computer-printer', 2.7717922923967424)","('55office-computer-printer', 2.80595548248447)"
4,"('07bathrobe-slippers', 1.0000100395066203)","('42horseriding', 1.0308230921392565)","('42horseriding', 1.0304261670000932)","('37golf', 1.0984059022663846)","('37golf', 1.0983662284839488)","('37golf', 1.0983662284839488)","('71valentines', 1.1698832636662517)","('71valentines', 1.1698922023084293)","('17burger', 1.3608314365330472)","('17burger', 1.3608314365330472)","('17burger', 1.3608314365330472)","('65toilet', 1.1907102791394761)","('65toilet', 1.1907121095413202)","('08beachball-pail', 1.16923358133748)","('08beachball-pail', 1.1692507914363939)","('20casino', 1.1662903569456415)","('20casino', 1.1662972916332028)","('08beachball-pail', 1.2291299850009243)","('08beachball-pail', 1.2291355559354005)","('08beachball-pail', 1.2291355559354005)","('08beachball-pail', 1.2749887872166166)","('08beachball-pail', 1.2750551302134914)","('32farm_animals', 1.3459935992963128)","('32farm_animals', 1.3459488049532544)","('17burger', 1.5278185472309243)","('17burger', 1.5292466580607238)","('53ocean', 1.715143343018896)","('53ocean', 1.7188728628089156)","('53ocean', 1.7188728628089156)","('41hiking', 1.7898448661698585)","('41hiking', 1.8002645383657856)","('53ocean', 1.9704277017590963)","('53ocean', 1.985168769081477)","('53ocean', 2.0172638579763005)","('53ocean', 2.0350442778757)","('45kitchen', 2.5391604376523236)","('45kitchen', 2.6256437668727113)"
5,"('67toy', 1.0000098894377727)","('04barber', 1.0304659339582898)","('04barber', 1.030060396743886)","('42horseriding', 1.0943579705813442)","('42horseriding', 1.0943429466700323)","('42horseriding', 1.0943429466700323)","('30emergency', 1.1670013694003765)","('30emergency', 1.1670105217129927)","('65toilet', 1.3549192064679954)","('65toilet', 1.3549192290692396)","('65toilet', 1.3549192290692396)","('45kitchen', 1.1870673155459606)","('45kitchen', 1.1870700853596707)","('14boat', 1.1569157000026609)","('14boat', 1.1569194126491384)","('18car', 1.1610388132914935)","('18car', 1.1610475414781545)","('37golf', 1.2078428550327234)","('37golf', 1.2078546247410589)","('37golf', 1.2078546247410589)","('32farm_animals', 1.2706927080312789)","('32farm_animals', 1.2706951099559782)","('20casino', 1.3413976374272563)","('20casino', 1.3436611557485814)","('41hiking', 1.5229146647273668)","('41hiking', 1.5251188576238233)","('41hiking', 1.6196255356767653)","('41hiking', 1.6268751461239992)","('41hiking', 1.6268751461239992)","('53ocean', 1.7290558850642628)","('53ocean', 1.7344129408810558)","('31farm', 1.927241551554032)","('31farm', 1.9497645415299794)","('45kitchen', 1.9731273924993833)","('45kitchen', 2.0001308876412294)","('66tools', 2.46788296199498)","('61street', 2.5406040032329886)"
6,"('18car', 1.0000098894377727)","('11biking', 1.0303071570552051)","('11biking', 1.029901058355498)","('30emergency', 1.0927805579417356)","('30emergency', 1.0927626908560715)","('30emergency', 1.0927626908560715)","('20casino', 1.165965736463656)","('20casino', 1.1659759060136905)","('46kitchen2', 1.3211442520659564)","('46kitchen2', 1.3211442553348922)","('46kitchen2', 1.3211442553348922)","('56office-desk-chair', 1.1863916105346504)","('56office-desk-chair', 1.1863941908692592)","('42horseriding', 1.1554624478738862)","('42horseriding', 1.1554613640398188)","('42horseriding', 1.1565105544630263)","('42horseriding', 1.1565094648817595)","('65toilet', 1.2007931339734117)","('65toilet', 1.2007979147469865)","('65toilet', 1.2007979147469865)","('03backyard', 1.25919520691688)","('03backyard', 1.2594057141468127)","('41hiking', 1.3383642080625988)","('41hiking', 1.339914624970763)","('08beachball-pail', 1.4604007216826898)","('08beachball-pail', 1.4609860754722679)","('08beachball-pail', 1.5367150829046525)","('08beachball-pail', 1.5415716143132476)","('08beachball-pail', 1.5415716143132476)","('31farm', 1.62946328645003)","('31farm', 1.6338953685569035)","('14boat', 1.8708466170250218)","('14boat', 1.8872998781374055)","('31farm', 1.9448273845059876)","('31farm', 1.977533394711408)","('61street', 2.4572880949267675)","('66tools', 2.5311514201162932)"
7,"('29cooking', 1.0000098894377727)","('57pancakes', 1.0300429841888696)","('57pancakes', 1.0298198030403338)","('45kitchen', 1.0895996404686645)","('45kitchen', 1.0908425192780293)","('45kitchen', 1.0908425192780293)","('56office-desk-chair', 1.164440862192202)","('56office-desk-chair', 1.1644508090878012)","('18car', 1.310861109283465)","('18car', 1.3108611176243545)","('18car', 1.3108611176243545)","('18car', 1.1856519198546909)","('18car', 1.1856543566276145)","('20casino', 1.154662632444747)","('20casino', 1.1546733513428056)","('45kitchen', 1.139452524303478)","('45kitchen', 1.13937697338597)","('32farm_animals', 1.1979601171709104)","('32farm_animals', 1.1979601171709104)","('32farm_animals', 1.1979601171709104)","('65toilet', 1.2525610592709524)","('65toilet', 1.2523655895838284)","('03backyard', 1.3145290642859249)","('03backyard', 1.3157015207175895)","('20casino', 1.4300179249071894)","('20casino', 1.4340596539651782)","('14boat', 1.4840423154340612)","('14boat', 1.4888385717065027)","('14boat', 1.4888385717065027)","('14boat', 1.621035365762553)","('14boat', 1.6260411332828435)","('07bathrobe-slippers', 1.845614236805995)","('07bathrobe-slippers', 1.8583085940374353)","('66tools', 1.8773025325956039)","('66tools', 1.9122790543886812)","('53ocean', 2.4010229224307063)","('42horseriding', 2.4181445335119416)"
8,"('23childEating', 1.0000098894377727)","('37golf', 1.0294905303223703)","('37golf', 1.0290810627131606)","('57pancakes', 1.0868097084791615)","('57pancakes', 1.08691730981575)","('57pancakes', 1.08691730981575)","('17burger', 1.1573428626249587)","('17burger', 1.1573428626249587)","('48livingroom', 1.2979634156534903)","('48livingroom', 1.297963394026165)","('48livingroom', 1.297963394026165)","('14boat', 1.1829597153391065)","('14boat', 1.1829619653875683)","('65toilet', 1.1505225530970922)","('65toilet', 1.1505297311508835)","('31farm', 1.1376967628730603)","('31farm', 1.1377034863776379)","('30emergency', 1.1951133602628794)","('30emergency', 1.1951412503315628)","('30emergency', 1.1951412503315628)","('50lock', 1.2129840293439629)","('50lock', 1.2131718530028324)","('42horseriding', 1.2963224332546575)","('42horseriding', 1.2968123841627346)","('65toilet', 1.3877109989673315)","('65toilet', 1.3892669699447742)","('31farm', 1.4563504109179994)","('31farm', 1.461502658904251)","('31farm', 1.461502658904251)","('50lock', 1.5329636761239671)","('50lock', 1.5357559488536705)","('45kitchen', 1.8194794043071958)","('45kitchen', 1.8349943226757905)","('07bathrobe-slippers', 1.8615678419821047)","('07bathrobe-slippers', 1.8795351232103603)","('42horseriding', 2.3498382467178818)","('53ocean', 2.4066674416846845)"
9,"('54office_supply', 1.0000098894377727)","('14boat', 1.0288295597748474)","('14boat', 1.028474652264903)","('10bed-dresser', 1.0863794510880465)","('10bed-dresser', 1.086378158068172)","('10bed-dresser', 1.086378158068172)","('14boat', 1.1569834600686137)","('14boat', 1.1569924580878252)","('71valentines', 1.2660123550810916)","('71valentines', 1.2660123157043957)","('71valentines', 1.2660123157043957)","('42horseriding', 1.1827715142243922)","('42horseriding', 1.1827724902924925)","('56office-desk-chair', 1.1497309416388672)","('56office-desk-chair', 1.1497585677115065)","('30emergency', 1.1353219032476762)","('30emergency', 1.1353275520348638)","('07bathrobe-slippers', 1.1948641709427015)","('07bathrobe-slippers', 1.1948437286636837)","('07bathrobe-slippers', 1.1948437286636837)","('37golf', 1.2125230213034859)","('37golf', 1.2127017677660799)","('65toilet', 1.295786299808474)","('65toilet', 1.2961899877005352)","('18car', 1.3764764145576782)","('18car', 1.3764530117442888)","('50lock', 1.4381051292396176)","('50lock', 1.4435437236303583)","('50lock', 1.4435437236303583)","('08beachball-pail', 1.5321078324194304)","('08beachball-pail', 1.5331974162661355)","('66tools', 1.6980400588946838)","('66tools', 1.7136031891478367)","('50lock', 1.8246751318250458)","('50lock', 1.850745295518262)","('07bathrobe-slippers', 2.080035552194787)","('31farm', 2.1640134228196097)"
